Date,Open,High,Low,Close,Volume,OpenInt
20141008,19.57,19.93,19.42,19.93,4222,0
20141009,19.92,19.96,19.59,19.65,16417,0
20141010,19.25,19.59,18.95,18.95,3335,0
20141013,18.89,18.97,18.71,18.97,4011,0
20141014,18.82,18.82,18.69,18.76,5178,0
20141015,18.46,18.65,18.44,18.44,3475,0
20141016,18.95,18.95,18.58,18.95,3845,0
20141017,18.92,19.01,18.8,18.87,6758,0
20141020,18.98,19.06,18.98,19.06,4980,0
20141021,19.28,19.58,19.28,19.56,10476,0
20141022,19.55,19.57,19.4,19.4,3320,0
20141023,19.56,19.6,19.56,19.6,5215,0
20141024,19.72,19.73,19.72,19.73,3605,0
20141027,19.72,19.74,19.65,19.66,7237,0
20141028,19.71,20.08,19.71,20.08,5983,0
20141029,19.91,19.91,19.73,19.8,5050,0
20141030,19.77,19.81,19.58,19.81,5330,0
20141031,20.31,20.34,20.31,20.33,1300,0
20141103,20.44,20.53,20.4,20.4,2177,0
20141104,20.29,20.4,20.29,20.4,756,0
20141105,20.49,20.49,20.2,20.2,1950,0
20141106,20.19,20.28,20.15,20.28,1445,0
20141107,20.3,20.3,20.17,20.17,450,0
20141110,20.39,20.45,20.39,20.45,2555,0
20141111,20.37,20.37,20.37,20.37,550,0
20141112,20.39,20.48,20.34,20.47,2042,0
20141113,20.47,20.47,20.41,20.41,1525,0
20141114,20.52,20.75,20.52,20.75,404,0
20141117,20.7,20.7,20.7,20.7,304,0
20141118,20.63,20.63,20.56,20.56,476,0
20141119,20.37,20.48,20.24,20.24,2099,0
20141120,20.34,20.34,20.34,20.34,250,0
20141121,20.75,20.75,20.39,20.41,3939,0
20141124,20.49,20.57,20.45,20.57,2479,0
20141125,20.58,20.58,20.5,20.55,1225,0
20141126,20.6,20.62,20.6,20.6,7060,0
20141128,20.72,20.72,20.71,20.71,1350,0
20141201,20.36,20.7,20.2,20.2,1545,0
20141202,20.12,20.2,20.12,20.2,350,0
20141203,20.23,20.23,20.23,20.23,250,0
20141204,20.22,20.25,20.22,20.25,1125,0
20141205,20.34,20.34,20.33,20.34,1775,0
20141208,20.32,20.32,20.06,20.06,608,0
20141209,19.72,20.02,19.72,20.02,645,0
20141210,20.02,20.02,20.02,20.02,250,0
20141211,20.06,20.13,20.05,20.06,4755,0
20141215,19.96,19.96,19.65,19.73,777,0
20141216,19.63,19.63,19.28,19.28,1105,0
20141217,19.49,19.49,19.49,19.49,302,0
20141218,20.29,20.31,20.17,20.19,1249,0
20141219,20.49,20.49,20.47,20.47,425,0
20141222,20.67,20.67,20.66,20.66,284,0
20141223,20.69,20.75,20.69,20.73,1875,0
20141224,20.88,20.88,20.8,20.82,1065,0
20141226,20.95,20.96,20.94,20.94,345,0
20141229,20.81,20.83,20.81,20.82,747,0
20141230,20.65,20.65,20.55,20.55,1654,0
20141231,20.65,20.73,20.53,20.53,3595,0
20150102,20.49,20.52,20.28,20.32,976,0
20150105,20.31,20.31,20,20.01,1951,0
20150106,20.16,20.16,19.81,19.83,1950,0
20150107,20.1,20.1,20.01,20.03,500,0
20150108,20.45,20.5,20.45,20.45,421,0
20150109,20.5,20.5,20.38,20.41,734,0
20150112,20.3,20.3,20.13,20.14,700,0
20150113,20.37,20.37,20,20,248,0
20150114,20.09,20.09,19.83,19.93,1750,0
20150115,19.94,19.94,19.86,19.86,400,0
20150116,19.69,19.69,19.69,19.69,265,0
