Date,Open,High,Low,Close,Volume,OpenInt
20140213,38.97,39,38.97,39,300,0
20140218,40,40,40,40,150,0
20140219,40.85,40.85,40.85,40.85,100,0
20140303,35.02,40,35.02,40,302,0
20140326,40,40,40,40,100,0
20140617,45.6,45.6,45.6,45.6,1200,0
20140623,65.27,72.16,65.27,69.52,900,0
20140624,50,50,45.61,45.61,1617,0
20140626,45.65,45.65,45.65,45.65,1000,0
20140627,45.9,45.9,45.6,45.9,1000,0
20140707,45.9,45.9,45.9,45.9,300,0
20140708,44.72,44.72,44.72,44.72,1013,0
20140715,44.26,44.26,44.26,44.26,2200,0
20140717,43.89,43.9,43.89,43.9,412,0
20140722,44.5,44.64,44.5,44.64,1159,0
20140729,43.96,43.96,43.96,43.96,394,0
20140731,43.72,43.73,43.72,43.73,3000,0
20140804,43.27,43.28,41.6,41.7,16800,0
20140807,41.6,42,41.6,42,200,0
20140808,40.95,41.75,40.95,41.65,2652,0
20140815,41.3,41.65,40.68,41.55,2500,0
20140822,41.4,42,41.4,41.95,3400,0
20140825,41.8,41.95,41.5,41.6,7000,0
20140826,41.9,42.31,41.8,42.01,13556,0
20140827,41.85,42.2,41.75,41.86,11300,0
20140828,41.54,42.15,41.21,42.11,9900,0
20140829,41.95,42.9,41.95,42.53,10400,0
20140902,37.98,42.99,37.98,41.7,10500,0
20140903,41.85,42.1,40.75,42.05,3300,0
20140904,42.15,42.5,41.91,41.91,4900,0
20140905,41.87,41.9,41.39,41.9,5500,0
20140908,40.95,41.58,40.95,41.25,1800,0
20140909,40.95,41.3,40.95,41.2,2704,0
20140910,40.4,40.6,40.4,40.5,1800,0
20140911,40.05,40.3,40.05,40.3,1400,0
20140912,40.36,40.65,40.36,40.4,1800,0
20140915,40.49,40.49,40,40.36,1901,0
20140916,40.36,41.4,40.3,41.15,23701,0
20140917,41.2,41.7,41.2,41.4,3500,0
20140918,41.05,41.4,38,38.11,5700,0
20140919,40.8,41.2,40.8,40.85,3004,0
20140922,40.2,40.3,39.63,40.15,4802,0
20140923,40.9,40.9,40,40.1,1410,0
20140924,40,40.45,39.9,40.45,2985,0
20140926,39.75,39.97,39.75,39.97,1894,0
20140930,39.95,39.95,39.95,39.95,2000,0
20141001,38.9,38.9,38.9,38.9,2041,0
20141002,38.1,38.1,38.1,38.1,2000,0
20141009,36.95,36.95,36.95,36.95,2001,0
20141016,33.7,33.7,33.7,33.7,2002,0
20141105,35.5,35.5,35.5,35.5,355,0
20141124,33.9,33.91,33.9,33.9,400,0
20141201,33.9,33.9,32.57,32.57,384,0
20141216,31.75,31.75,29.26,29.26,200,0
20141217,24.5,24.5,24.5,24.5,148,0
20141231,25,25,25,25,110,0
20150102,26.2,35.62,26.2,31.55,1772,0
20150106,26,26,26,26,153,0
20150108,27,27,24.3,25.5,25609,0
20150109,24,24,24,24,100,0
