Date,Open,High,Low,Close,Volume,OpenInt
20100607,18.91,18.91,18.855,18.855,201,0
20100608,18.929,18.948,18.929,18.948,1494,0
20100609,18.967,18.967,18.929,18.967,20015,0
20100610,18.883,18.91,18.883,18.883,8128,0
20100611,18.845,18.845,18.807,18.836,14343,0
20100614,18.92,18.92,18.92,18.92,100,0
20100615,18.901,18.901,18.901,18.901,1768,0
20100616,18.948,18.948,18.836,18.836,19460,0
20100617,18.948,18.958,18.948,18.958,3321,0
20100618,19.004,19.004,18.985,19.004,634,0
20100621,19.004,19.004,18.975,18.975,5064,0
20100622,18.985,19.004,18.985,19.004,9517,0
20100623,19.05,19.05,19.05,19.05,5335,0
20100624,19.023,19.05,19.023,19.05,2344,0
20100625,19.032,19.079,19.032,19.059,16993,0
20100628,19.05,19.134,19.05,19.134,18651,0
20100629,19.172,19.182,19.153,19.172,15384,0
20100630,19.175,19.203,19.165,19.203,32761,0
20100701,19.199,19.199,19.162,19.162,7176,0
20100702,19.143,19.162,19.097,19.143,6460,0
20100706,19.107,19.143,19.107,19.134,18631,0
20100707,19.199,19.218,19.199,19.208,2337,0
20100708,19.182,19.182,19.182,19.182,481,0
20100709,19.172,19.172,19.134,19.134,1976,0
20100712,19.19,19.19,19.172,19.172,3731,0
20100713,19.19,19.19,19.172,19.19,4197,0
20100714,19.208,19.228,19.208,19.228,1963,0
20100715,19.274,19.274,19.237,19.237,5465,0
20100716,19.35,19.386,19.35,19.35,8609,0
20100719,19.405,19.405,19.396,19.396,3859,0
20100720,19.377,19.377,19.377,19.377,5324,0
20100721,19.396,19.434,19.396,19.396,6291,0
20100722,19.443,19.472,19.443,19.462,10269,0
20100723,19.434,19.472,19.424,19.443,34057,0
20100726,19.434,19.472,19.415,19.415,23437,0
20100727,19.443,19.462,19.443,19.443,4703,0
20100728,19.472,19.49,19.472,19.481,15668,0
20100729,19.527,19.527,19.508,19.518,11886,0
20100730,19.565,19.565,19.555,19.555,2732,0
20100802,19.574,19.584,19.555,19.574,17547,0
20100803,19.536,19.565,19.536,19.536,15165,0
20100804,19.622,19.631,19.612,19.612,13059,0
20100805,19.593,19.603,19.593,19.603,8820,0
20100806,19.603,19.612,19.603,19.612,7990,0
20100809,19.669,19.669,19.65,19.65,2536,0
20100810,19.65,19.678,19.593,19.659,7732,0
20100811,19.688,19.707,19.622,19.669,15942,0
20100812,19.659,19.659,19.659,19.659,613,0
20100813,19.603,19.669,19.603,19.603,5543,0
20100816,19.716,19.716,19.688,19.697,1071,0
20100817,19.745,19.745,19.735,19.735,6628,0
20100818,19.697,19.697,19.697,19.697,3989,0
20100819,19.697,19.707,19.697,19.697,7277,0
20100820,19.707,19.745,19.669,19.669,37939,0
20100823,19.669,19.669,19.641,19.659,19338,0
20100824,19.688,19.688,19.678,19.688,37518,0
20100825,19.716,19.716,19.707,19.716,1289,0
20100826,19.678,19.678,19.659,19.678,3971,0
20100827,19.669,19.688,19.641,19.641,3466,0
20100830,19.631,19.641,19.612,19.612,12121,0
20100831,19.672,19.681,19.672,19.672,8795,0
20100901,19.726,19.726,19.669,19.688,11177,0
20100902,19.612,19.612,19.603,19.603,3301,0
20100903,19.546,19.612,19.546,19.612,7113,0
20100907,19.641,19.641,19.622,19.631,7334,0
20100908,19.678,19.678,19.641,19.641,6413,0
20100909,19.641,19.641,19.641,19.641,333,0
20100910,19.555,19.565,19.555,19.565,5593,0
20100913,19.555,19.584,19.555,19.565,13112,0
20100914,19.631,19.641,19.631,19.641,5132,0
20100915,19.707,19.707,19.678,19.678,5633,0
20100916,19.641,19.669,19.641,19.669,5972,0
20100917,19.669,19.669,19.669,19.669,20835,0
20100920,19.678,19.697,19.65,19.697,8764,0
20100921,19.745,19.745,19.735,19.735,4639,0
20100922,19.745,19.82,19.745,19.82,27190,0
20100923,19.829,19.829,19.802,19.802,4958,0
20100924,19.802,19.802,19.802,19.802,3772,0
20100927,19.802,19.811,19.754,19.811,2446,0
20100928,19.811,19.858,19.802,19.858,9212,0
20100929,19.867,19.877,19.867,19.877,15393,0
20100930,19.859,19.878,19.859,19.878,13531,0
20101001,19.867,19.867,19.849,19.867,643,0
20101004,19.877,19.877,19.792,19.849,1865,0
20101005,19.867,19.867,19.858,19.858,2099,0
20101006,19.933,19.933,19.914,19.914,373,0
20101007,19.999,19.999,19.999,19.999,2452,0
20101008,20.018,20.018,19.999,19.999,7832,0
20101011,19.905,20.056,19.905,20.056,6451,0
20101013,20.036,20.036,20.018,20.018,2315,0
20101014,19.98,19.98,19.877,19.877,4219,0
20101015,19.98,19.98,19.858,19.858,11069,0
20101018,19.895,19.895,19.895,19.895,143,0
20101019,19.952,19.952,19.914,19.914,2726,0
20101020,19.961,19.999,19.942,19.942,2463,0
20101021,19.98,19.98,19.97,19.97,1324,0
20101022,19.961,19.98,19.942,19.942,3814,0
20101025,19.905,19.952,19.895,19.923,2828,0
20101026,19.933,19.933,19.914,19.914,536,0
20101027,19.886,19.886,19.849,19.867,3954,0
20101028,19.858,19.886,19.849,19.849,3946,0
20101029,19.923,19.942,19.885,19.942,2591,0
20101101,20.018,20.018,19.961,19.97,1396,0
20101102,19.98,19.98,19.961,19.98,2808,0
20101103,19.98,19.98,19.98,19.98,1277,0
20101104,20.008,20.036,20.008,20.036,1423,0
20101105,20.103,20.103,19.989,20.008,3082,0
20101108,20.065,20.065,20.056,20.056,405,0
20101109,20.036,20.036,19.98,19.98,2452,0
20101110,19.914,19.914,19.849,19.877,523,0
20101111,19.933,19.933,19.905,19.905,2006,0
20101112,19.895,19.895,19.82,19.82,10231,0
20101115,19.735,19.763,19.716,19.716,2657,0
20101116,19.754,19.754,19.707,19.707,5992,0
20101118,19.735,19.735,19.641,19.726,10415,0
20101119,19.726,19.726,19.726,19.726,506,0
20101122,19.726,19.783,19.707,19.783,8945,0
20101123,19.858,19.858,19.849,19.849,3539,0
20101124,19.829,19.829,19.65,19.726,11434,0
20101126,19.641,19.669,19.641,19.669,812,0
20101129,19.716,19.716,19.707,19.707,1525,0
20101130,19.748,19.748,19.7,19.719,138109,0
20101201,19.574,19.631,19.565,19.565,4616,0
20101202,19.555,19.565,19.49,19.527,5210,0
20101203,19.603,19.622,19.584,19.593,36749,0
20101206,19.593,19.697,19.593,19.659,2778,0
20101207,19.631,19.631,19.508,19.508,2242,0
20101208,19.424,19.481,19.386,19.386,19259,0
20101209,19.462,19.518,19.443,19.452,20392,0
20101210,19.424,19.434,19.405,19.424,3257,0
20101213,19.386,19.481,19.386,19.462,5651,0
20101214,19.443,19.443,19.302,19.33,12624,0
20101215,19.283,19.293,19.228,19.256,4647,0
20101216,19.311,19.33,19.246,19.32,9326,0
20101217,19.386,19.396,19.321,19.396,2986,0
20101220,19.481,19.546,19.462,19.462,7583,0
20101221,19.462,19.472,19.434,19.472,3116,0
20101222,19.49,19.49,19.396,19.472,7511,0
20101223,19.462,19.462,19.33,19.424,5142,0
20101227,19.434,19.434,19.302,19.386,3027,0
20101228,19.49,19.49,19.358,19.424,11521,0
20101229,19.363,19.41,19.363,19.401,1275,0
20101230,19.391,19.41,19.372,19.41,11007,0
20101231,19.41,19.497,19.41,19.497,2984,0
20110103,19.35,19.481,19.35,19.481,12245,0
20110104,19.508,19.565,19.499,19.555,28253,0
20110105,19.396,19.415,19.377,19.386,11514,0
20110106,19.396,19.424,19.386,19.424,7819,0
20110107,19.49,19.499,19.49,19.499,6030,0
20110110,19.536,19.536,19.518,19.518,3590,0
20110111,19.536,19.536,19.472,19.518,7005,0
20110112,19.481,19.481,19.415,19.415,7868,0
20110113,19.536,19.536,19.508,19.508,637,0
20110114,19.584,19.603,19.527,19.527,11249,0
20110118,19.481,19.546,19.462,19.518,15284,0
20110119,19.565,19.565,19.472,19.49,19593,0
20110120,19.518,19.518,19.452,19.481,2607,0
20110121,19.405,19.472,19.405,19.472,9809,0
20110124,19.527,19.527,19.462,19.508,1588,0
20110125,19.527,19.536,19.472,19.536,3198,0
20110126,19.555,19.565,19.481,19.527,7287,0
