Date,Open,High,Low,Close,Volume,OpenInt
20120402,18.871,18.88,18.843,18.843,10982,0
20120403,18.843,18.843,18.768,18.768,10634,0
20120404,18.814,18.824,18.797,18.824,35800,0
20120405,18.852,18.852,18.852,18.852,1804,0
20120409,18.89,18.909,18.89,18.899,4200,0
20120410,18.937,18.937,18.937,18.937,100,0
20120411,18.824,18.928,18.824,18.909,3025,0
20120412,18.937,18.937,18.899,18.928,4185,0
20120416,18.89,18.89,18.89,18.89,1271,0
20120417,18.955,18.955,18.955,18.955,386,0
20120420,18.984,18.993,18.984,18.993,1271,0
20120423,19.003,19.003,19.003,19.003,1647,0
20120424,18.984,19.012,18.984,18.984,1944,0
20120425,18.852,18.862,18.824,18.824,4989,0
20120426,19.012,19.012,19.012,19.012,2177,0
20120427,18.955,18.955,18.955,18.955,431,0
20120430,19.037,19.037,18.981,19.028,2925,0
20120501,19.021,19.021,19.021,19.021,3927,0
20120502,19.003,19.003,19.003,19.003,4775,0
20120503,19.059,19.059,19.012,19.012,7750,0
20120504,19.125,19.125,19.125,19.125,2887,0
20120507,19.134,19.144,19.134,19.134,11568,0
20120508,19.039,19.068,19.039,19.049,16520,0
20120509,19.134,19.134,19.097,19.097,5613,0
20120510,19.049,19.049,19.039,19.039,3841,0
20120511,19.012,19.03,19.012,19.03,6684,0
20120514,19.115,19.115,19.115,19.115,646,0
20120515,19.115,19.115,19.105,19.105,1297,0
20120516,19.068,19.068,19.068,19.068,2847,0
20120517,19.059,19.059,18.974,19.059,4491,0
20120518,18.899,18.928,18.89,18.928,9700,0
20120521,18.964,18.964,18.955,18.955,3695,0
20120522,18.919,18.919,18.919,18.919,404,0
20120523,18.974,18.984,18.964,18.984,4669,0
20120524,18.955,18.955,18.955,18.955,1271,0
20120525,18.964,18.984,18.937,18.937,17315,0
20120529,19.003,19.021,19.003,19.021,8725,0
20120530,19.03,19.078,18.974,18.974,27330,0
20120601,19.224,19.224,19.224,19.224,778,0
20120605,19.127,19.127,19.089,19.089,8515,0
20120606,19.051,19.07,19.051,19.07,2479,0
20120607,19.061,19.07,19.061,19.061,2598,0
20120608,19.118,19.118,19.118,19.118,531,0
