Date,Open,High,Low,Close,Volume,OpenInt
20130927,23.744,23.744,23.744,23.744,32859,0
20130930,23.866,23.915,23.866,23.866,7856,0
20131001,23.744,23.771,23.744,23.771,10001,0
20131002,23.798,23.798,23.771,23.789,15399,0
20131003,23.744,23.744,23.744,23.744,14648,0
20131004,23.744,23.744,23.744,23.744,10633,0
20131007,23.744,23.744,23.744,23.744,14805,0
20131008,23.744,23.744,23.744,23.744,20955,0
20131009,23.744,23.744,23.744,23.744,27275,0
20131010,23.922,23.972,23.904,23.922,7813,0
20131011,23.914,24.029,23.914,23.99,9611,0
20131014,23.744,23.744,23.744,23.744,6318,0
20131015,23.744,23.744,23.744,23.744,3489,0
20131016,23.744,23.744,23.744,23.744,2514,0
20131017,23.744,23.744,23.744,23.744,43577,0
20131018,24.18,24.189,24.18,24.189,3896,0
20131021,24.692,24.692,24.692,24.692,11826,0
20131022,24.692,24.692,24.692,24.692,38217,0
20131023,24.295,24.311,24.255,24.302,16952,0
20131024,24.321,24.329,24.255,24.311,8536,0
20131025,24.339,24.349,24.311,24.329,10932,0
20131028,24.321,24.398,24.321,24.349,23839,0
20131029,24.349,24.368,24.349,24.359,5786,0
20131030,24.349,24.359,24.349,24.359,11931,0
20131031,24.488,24.535,24.488,24.535,3541,0
20131101,24.364,24.364,24.354,24.364,3860,0
20131104,24.403,24.413,24.393,24.393,3473,0
20131105,24.423,24.423,24.364,24.383,10977,0
20131106,24.413,24.413,24.316,24.403,5219,0
20131107,24.441,24.441,24.393,24.393,6133,0
20131108,24.364,24.403,24.354,24.393,16832,0
20131111,24.364,24.373,24.325,24.373,17682,0
20131112,24.325,24.325,24.298,24.307,7175,0
20131113,24.344,24.354,24.334,24.344,6421,0
20131114,24.325,24.334,24.298,24.334,7507,0
20131115,24.364,24.393,24.344,24.393,14197,0
20131118,24.393,24.432,24.393,24.413,6910,0
20131119,24.45,24.45,24.393,24.413,8348,0
20131120,24.432,24.432,24.393,24.403,12219,0
20131121,24.459,24.459,24.423,24.45,18827,0
20131122,24.45,24.469,24.354,24.469,13104,0
20131125,24.469,24.489,24.459,24.489,7448,0
20131126,24.508,24.526,24.508,24.518,5986,0
20131127,24.526,24.555,24.526,24.536,17076,0
20131129,24.668,24.668,24.668,24.668,4242,0
20131202,24.555,24.574,24.545,24.564,4818,0
20131203,24.61,24.61,24.574,24.574,6948,0
20131204,24.564,24.564,24.517,24.564,5101,0
20131205,24.564,24.591,24.526,24.574,9347,0
20131206,24.583,24.629,24.574,24.629,42014,0
20131209,24.639,24.639,24.583,24.6,3786,0
20131210,24.649,24.649,24.62,24.639,10222,0
20131211,24.591,24.591,24.526,24.564,28930,0
20131212,24.61,24.62,24.555,24.6,18454,0
20131213,24.6,24.629,24.6,24.629,4090,0
20131216,24.668,24.668,24.649,24.668,7942,0
20131217,24.639,24.639,24.61,24.639,25734,0
20131218,24.668,24.668,24.591,24.668,15236,0
20131219,25.844,25.844,24.62,24.659,20543,0
20131220,24.785,24.785,24.629,24.629,17771,0
20131223,24.727,24.727,24.62,24.659,6798,0
20131224,24.727,24.745,24.659,24.659,13975,0
20131226,24.678,24.755,24.678,24.678,45595,0
20131227,24.907,24.907,24.678,24.698,2992,0
20131230,24.766,24.766,24.718,24.746,15151,0
20131231,24.746,24.766,24.708,24.756,21898,0
20140102,24.776,24.803,24.727,24.776,22200,0
20140103,24.822,24.822,24.727,24.766,18313,0
20140106,24.832,24.842,24.794,24.813,15681,0
20140107,24.878,24.878,24.794,24.832,25473,0
20140108,24.86,24.887,24.85,24.86,46998,0
20140109,24.937,24.937,24.86,24.868,18130,0
20140110,24.937,24.937,24.813,24.887,49430,0
20140113,24.887,24.937,24.813,24.878,25316,0
20140114,24.907,24.927,24.887,24.927,5674,0
20140115,24.927,24.956,24.927,24.956,8833,0
20140116,24.947,24.947,24.897,24.937,43917,0
20140117,24.947,24.966,24.927,24.956,47386,0
20140121,25.015,25.015,24.927,24.966,20175,0
20140122,24.966,24.976,24.947,24.956,19021,0
20140123,24.956,24.956,24.927,24.947,39148,0
20140124,24.937,24.937,24.822,24.822,32657,0
20140127,24.897,24.897,24.842,24.85,22583,0
20140128,24.85,24.897,24.85,24.878,25542,0
20140129,25.015,25.015,24.822,24.842,23685,0
20140130,24.86,24.897,24.85,24.897,81354,0
20140131,24.869,24.878,24.813,24.869,7758,0
20140203,24.984,24.984,24.801,24.858,19002,0
20140204,24.924,24.934,24.858,24.885,28176,0
20140205,24.876,24.876,24.83,24.84,17117,0
20140206,24.858,24.904,24.858,24.894,34365,0
20140207,24.954,24.954,24.858,24.954,55314,0
20140210,24.944,24.984,24.924,24.964,19709,0
20140211,25.013,25.013,24.974,24.994,14884,0
20140212,24.994,25.061,24.984,25.003,16806,0
20140213,25.052,25.052,25.042,25.042,7059,0
20140214,25.08,25.09,25.032,25.061,11152,0
20140218,25.071,25.126,25.052,25.08,15924,0
20140219,25.144,25.144,25.071,25.09,12703,0
20140220,25.184,25.184,25.126,25.154,36594,0
20140221,25.184,25.184,25.126,25.136,14420,0
20140224,25.174,25.204,25.174,25.184,11880,0
20140225,25.204,25.253,25.174,25.213,35349,0
20140226,25.223,25.253,25.223,25.243,15091,0
20140227,25.253,25.311,25.223,25.243,29455,0
20140228,25.292,25.292,25.244,25.272,11829,0
20140303,25.23,25.309,25.18,25.22,28337,0
20140304,25.26,25.328,25.22,25.289,10745,0
20140305,26.657,26.704,25.25,25.279,22395,0
20140306,25.318,25.318,25.21,25.21,9592,0
20140307,25.279,25.289,25.21,25.23,16880,0
20140310,25.23,25.279,25.19,25.26,38540,0
20140311,25.23,25.289,25.2,25.269,16973,0
20140312,25.25,25.25,25.23,25.25,10844,0
20140313,25.23,25.25,25.19,25.23,10074,0
20140314,25.26,25.269,25.18,25.22,35975,0
20140317,25.21,25.23,25.19,25.21,7211,0
20140318,25.22,25.279,25.22,25.269,7799,0
20140319,25.26,25.309,25.21,25.24,28599,0
20140320,25.21,25.279,25.21,25.269,22037,0
20140321,25.26,25.309,25.26,25.26,7003,0
20140324,25.269,25.299,25.24,25.299,12304,0
20140325,25.345,25.345,25.26,25.328,18655,0
20140326,25.335,25.355,25.309,25.318,17114,0
20140327,25.328,25.328,25.23,25.299,22393,0
20140328,25.345,25.345,25.279,25.289,6976,0
20140331,25.335,25.365,25.309,25.355,14884,0
20140401,25.434,25.454,25.348,25.387,31361,0
20140402,25.331,25.415,25.331,25.368,27809,0
20140403,25.395,25.434,25.377,25.405,36330,0
20140404,25.424,25.424,25.377,25.395,17623,0
20140407,25.405,25.464,25.395,25.415,19179,0
20140408,25.387,25.444,25.387,25.415,64298,0
20140409,25.405,25.434,25.395,25.424,14144,0
20140410,25.484,25.484,25.368,25.415,23842,0
20140411,25.434,25.444,25.405,25.434,10423,0
20140414,25.415,25.444,25.405,25.434,14806,0
20140415,25.464,25.464,25.405,25.444,3263,0
20140416,25.464,25.474,25.415,25.454,148940,0
20140417,25.415,25.454,25.415,25.444,10671,0
20140421,25.454,25.504,25.424,25.424,28651,0
20140422,25.444,25.494,25.434,25.464,15198,0
20140423,25.484,25.504,25.454,25.494,10310,0
20140424,25.543,25.543,25.474,25.474,12159,0
20140425,25.514,25.514,25.454,25.464,12369,0
20140428,25.444,25.484,25.434,25.484,14146,0
20140429,25.474,25.484,25.454,25.474,15649,0
20140430,25.484,25.494,25.434,25.484,9792,0
20140501,25.539,25.539,25.429,25.489,32713,0
20140502,25.41,25.509,25.41,25.499,15281,0
20140505,25.509,25.529,25.459,25.519,28503,0
20140506,25.509,25.529,25.489,25.499,11127,0
