Date,Open,High,Low,Close,Volume,OpenInt
20050225,2.8,2.8,2.78,2.8,5800,0
20050228,2.83,2.86,2.75,2.8,13400,0
20050301,2.82,2.82,2.75,2.79,10900,0
20050302,2.8,2.81,2.76,2.77,3000,0
20050303,2.75,2.75,2.65,2.69,4100,0
20050304,2.67,2.72,2.6,2.69,15200,0
20050307,2.7,2.71,2.69,2.7,4700,0
20050308,2.6,2.6,2.4,2.46,18200,0
20050309,2.5,2.5,2.25,2.4,23100,0
20050310,2.4,2.48,2.36,2.47,14200,0
20050311,2.37,2.46,2.36,2.45,2900,0
20050314,2.46,2.49,2.45,2.45,7900,0
20050315,2.48,2.48,2.45,2.45,3700,0
20050316,2.46,2.46,2.37,2.37,5200,0
20050317,2.38,2.4,2.35,2.35,10500,0
20050318,2.37,2.46,2.35,2.44,6100,0
20050321,2.45,2.45,2.45,2.45,1000,0
20050322,2.42,2.46,2.4,2.42,9500,0
20050323,2.45,2.49,2.45,2.47,4200,0
20050324,2.43,2.49,2.37,2.42,3200,0
20050328,2.36,2.48,2.2,2.38,28500,0
20050329,2.34,2.34,2.2,2.2,8700,0
20050330,2.24,2.3,2.24,2.3,8300,0
20050331,2.34,2.36,2.2,2.35,13600,0
20050401,2.31,2.49,2.31,2.41,14100,0
20050404,2.38,2.39,2.25,2.32,16400,0
20050405,2.3,2.31,2.2,2.25,13600,0
20050406,2.28,2.29,2.23,2.29,6500,0
20050407,2.23,2.4,2.23,2.36,21900,0
20050408,2.36,2.5,2.36,2.5,8800,0
20050411,2.5,2.52,2.35,2.5,6300,0
20050412,2.45,2.45,2.29,2.39,8200,0
20050413,2.33,2.39,2.26,2.33,3900,0
20050414,2.36,2.41,2.35,2.4,2700,0
20050415,2.36,2.44,2.36,2.41,2200,0
20050418,2.51,2.54,2.51,2.51,16800,0
20050419,2.54,2.54,2.51,2.51,7400,0
20050420,2.48,2.48,2.46,2.46,1300,0
20050421,2.46,2.46,2.39,2.39,2700,0
20050422,2.39,2.39,2.22,2.3,5600,0
20050425,2.3,2.3,2.2,2.3,13800,0
20050426,2.27,2.3,2.25,2.3,1700,0
20050427,2.34,2.45,2.31,2.43,4400,0
20050428,2.43,2.43,2.42,2.42,1600,0
20050429,2.36,2.44,2.34,2.4,7700,0
20050502,2.4,2.4,2.25,2.25,5900,0
20050503,2.23,2.29,2.2,2.25,7800,0
20050504,2.2,2.29,2.15,2.28,6500,0
20050505,2.25,2.25,2.25,2.25,1200,0
20050506,2.25,2.25,2.2,2.25,8900,0
20050509,2.2,2.25,2.2,2.24,7200,0
20050510,2.25,2.25,2.22,2.22,4100,0
20050511,2.2,2.26,2.2,2.25,3600,0
20050512,2.28,2.3,2.25,2.27,8000,0
20050513,2.13,2.29,2.09,2.29,64300,0
20050516,2.29,2.29,2.14,2.14,12400,0
20050517,2.13,2.13,2.1,2.1,12200,0
20050518,2.02,2.06,1.95,2.05,32400,0
20050519,2.1,2.16,2.1,2.13,6200,0
20050520,2.14,2.17,2.1,2.1,3700,0
20050523,2.11,2.14,2.06,2.08,800,0
20050524,2.13,2.2,2.13,2.2,2200,0
20050525,2.14,2.14,2.1,2.1,4200,0
20050526,2.1,2.18,2.05,2.05,14400,0
20050527,2.01,2.12,1.98,2.12,26500,0
20050531,2.09,2.14,2.09,2.12,7100,0
20050601,2.05,2.1,2.05,2.1,7100,0
20050602,2.1,2.12,2.09,2.1,13100,0
20050603,2.11,2.24,2.11,2.24,11100,0
20050606,2.2,2.2,2.1,2.1,10600,0
20050607,2.09,2.11,2.09,2.11,17600,0
20050608,2.1,2.16,2.09,2.15,8600,0
20050609,2.1,2.11,2.1,2.11,300,0
20050610,2.11,2.13,2.1,2.13,15100,0
20050613,2.11,2.13,2.1,2.12,12500,0
20050614,2.1,2.17,2.1,2.14,18900,0
20050615,2.19,2.2,2.18,2.19,6400,0
20050616,2.19,2.22,2.19,2.22,1200,0
