Date,Open,High,Low,Close,Volume,OpenInt
20090127,32.658,32.658,32.266,32.266,31036,0
20090129,32.247,32.247,32.121,32.121,10448,0
20090130,31.993,31.993,31.993,31.993,152,0
20090202,31.876,31.876,31.876,31.876,819,0
20090203,32.189,32.209,32.169,32.169,1331,0
20090204,32.071,32.071,31.876,31.876,10653,0
20090205,31.925,31.925,31.681,31.681,23149,0
20090206,32.101,32.101,32.101,32.101,235,0
20090209,32.403,32.413,32.345,32.354,13426,0
20090210,32.013,32.013,32.013,32.013,471,0
20090211,32.14,32.14,32.013,32.013,1536,0
20090213,31.827,31.827,31.778,31.778,1951,0
20090217,31.066,31.241,31.046,31.066,1595,0
20090219,31.339,31.339,31.105,31.105,10765,0
20090223,31.388,31.388,31.378,31.378,323,0
20090224,31.066,31.29,31.046,31.29,7673,0
20090225,30.978,31.037,30.919,30.939,31554,0
20090226,31.007,31.007,30.929,30.968,3115,0
20090302,30.686,30.686,30.617,30.617,484,0
20090303,30.549,30.549,30.509,30.509,3277,0
20090304,30.637,30.637,30.637,30.637,101,0
20090306,30.607,30.607,30.607,30.607,10243,0
20090309,30.529,30.529,30.529,30.529,204,0
20090310,30.656,30.666,30.529,30.529,1895,0
20090311,30.919,30.919,30.919,30.919,135,0
20090313,31.251,31.261,31.183,31.261,29637,0
20090317,31.408,31.408,31.202,31.222,1725,0
20090318,32.384,32.384,32.384,32.384,132,0
20090319,32.95,32.95,32.677,32.677,1534,0
20090320,32.569,32.589,32.521,32.56,12673,0
20090323,32.472,32.628,32.472,32.618,1300,0
20090324,32.423,32.462,32.364,32.364,1394,0
20090325,32.433,32.53,32.364,32.364,39435,0
20090326,32.433,32.433,32.393,32.403,1344,0
20090327,31.984,31.984,31.925,31.954,461,0
20090330,31.925,31.925,31.925,31.925,626,0
20090331,32.013,32.013,31.935,31.935,204,0
20090401,31.954,31.954,31.954,31.954,456,0
20090402,32.209,32.296,32.209,32.296,668,0
20090403,32.305,32.393,32.305,32.393,757,0
20090406,32.179,32.189,32.121,32.169,24845,0
20090407,32.023,32.14,32.023,32.14,3497,0
20090408,32.209,32.209,32.209,32.209,557,0
20090409,32.189,32.189,32.189,32.189,101,0
20090413,32.228,32.228,32.218,32.218,451,0
20090415,32.169,32.169,32.169,32.169,204,0
20090416,32.266,32.266,32.16,32.237,6450,0
20090417,32.121,32.169,32.121,32.14,5121,0
20090420,31.964,31.964,31.837,31.856,5980,0
20090422,31.964,31.993,31.964,31.993,271,0
20090423,32.169,32.169,32.169,32.169,10857,0
20090424,32.335,32.56,32.335,32.511,1649,0
20090427,32.364,32.364,32.315,32.315,2105,0
20090428,32.511,32.511,32.511,32.511,142,0
20090429,32.569,32.658,32.521,32.521,4761,0
20090430,32.472,32.472,32.433,32.452,317,0
20090501,32.462,32.658,32.423,32.423,8161,0
20090504,32.843,32.862,32.823,32.862,482,0
20090505,32.882,32.882,32.882,32.882,461,0
20090506,32.716,32.716,32.716,32.716,2561,0
20090507,33.058,33.058,32.754,32.754,2250,0
20090508,33.028,33.282,33.028,33.146,4404,0
20090511,33.389,33.438,33.389,33.418,8404,0
20090512,33.36,33.624,33.34,33.624,1107,0
20090513,33.487,33.487,33.487,33.487,1435,0
20090514,33.428,33.526,33.36,33.526,1788,0
20090515,33.516,33.526,33.272,33.272,12761,0
20090518,33.487,33.497,33.438,33.477,2971,0
20090519,33.507,33.624,33.438,33.624,1926,0
20090520,33.907,34.053,33.907,33.965,1435,0
20090521,33.995,34.004,33.995,33.995,2013,0
20090522,34.316,34.346,34.316,34.346,1123,0
20090526,34.171,34.269,34.131,34.171,10861,0
20090527,34.122,34.171,33.926,34.171,2651,0
20090528,34.053,34.083,33.975,33.975,6643,0
20090529,34.395,34.395,34.288,34.288,11674,0
20090601,34.649,34.649,34.316,34.512,6018,0
20090602,34.776,34.824,34.766,34.824,3075,0
20090603,34.61,34.61,34.463,34.463,1152,0
20090604,34.444,34.483,34.365,34.414,3024,0
20090605,34.024,34.024,33.887,33.887,8562,0
20090608,33.819,33.858,33.595,33.624,5828,0
20090609,34.053,34.063,34.053,34.063,912,0
20090610,34.161,34.161,33.916,33.916,3123,0
20090611,34.239,34.278,34.19,34.278,8754,0
20090612,34.053,34.102,34.053,34.092,1084,0
20090615,33.926,33.975,33.78,33.828,4351,0
20090616,34.014,34.014,34.014,34.014,511,0
20090617,34.043,34.102,33.828,34.102,8058,0
20090618,34.102,34.2,33.975,33.995,3643,0
20090619,34.043,34.21,33.936,33.936,700,0
20090622,34.024,34.024,33.897,33.975,2934,0
20090623,34.18,34.434,34.171,34.385,2603,0
20090624,34.404,34.404,34.122,34.122,1812,0
20090625,34.102,34.161,34.102,34.161,511,0
20090626,34.453,34.532,34.453,34.522,6672,0
20090629,34.434,34.522,34.395,34.522,17822,0
20090630,34.414,34.414,34.297,34.346,7735,0
20090701,34.463,34.561,34.395,34.512,6605,0
20090702,34.346,34.346,34.171,34.22,4164,0
20090706,34.239,34.259,34.239,34.249,3327,0
20090707,34.326,34.326,34.21,34.21,2156,0
20090708,34.171,34.18,34.151,34.171,7393,0
20090709,34.355,34.502,34.355,34.463,5739,0
20090710,34.375,34.375,34.346,34.355,773,0
20090713,34.19,34.483,34.19,34.483,14312,0
20090714,34.385,34.473,34.288,34.307,6171,0
20090715,34.59,34.649,34.463,34.532,7162,0
20090716,34.649,34.698,34.61,34.678,4666,0
20090717,34.659,34.668,34.492,34.551,7007,0
20090720,34.6,34.873,34.6,34.873,4106,0
20090721,34.922,35.02,34.922,35.02,5067,0
20090722,34.932,35.029,34.737,34.932,18420,0
20090723,34.902,34.942,34.834,34.834,1414,0
20090724,34.883,34.893,34.883,34.883,860,0
20090727,34.942,34.971,34.853,34.961,6175,0
20090728,34.902,34.942,34.766,34.796,8592,0
20090729,34.814,34.814,34.561,34.757,15183,0
20090730,34.708,34.708,34.453,34.688,19071,0
20090731,34.708,35.098,34.708,35.098,15489,0
20090803,35.098,35.274,35.098,35.274,7867,0
20090804,35.245,35.323,35.176,35.323,5658,0
20090805,35.176,35.225,35.117,35.147,4031,0
20090806,35.117,35.167,35.078,35.147,4790,0
20090807,34.932,34.932,34.805,34.853,8722,0
20090810,34.668,34.708,34.444,34.659,13294,0
20090811,34.659,34.708,34.63,34.688,3603,0
20090812,34.678,34.922,34.678,34.902,10461,0
20090813,34.99,35.117,34.883,35.117,27951,0
20090814,34.893,35.02,34.796,35.02,4167,0
20090817,35.225,35.225,34.805,34.942,13260,0
20090818,34.853,34.942,34.659,34.942,23490,0
20090819,34.902,35.196,34.902,35.196,2700,0
20090820,36.025,36.025,35.029,35.196,13516,0
20090821,35.313,35.313,35.176,35.274,10727,0
20090824,35.245,35.274,35.127,35.127,7563,0
20090825,35.361,35.42,35.361,35.42,14424,0
20090826,35.245,35.245,35.108,35.245,10295,0
20090827,35.225,35.43,35.215,35.4,9076,0
20090828,35.479,35.479,35.371,35.381,12369,0
20090831,35.342,35.439,35.323,35.439,5556,0
20090901,35.284,35.284,35.059,35.245,38930,0
20090902,35.167,35.342,35.167,35.342,15717,0
20090903,35.313,35.313,35.313,35.313,7223,0
20090904,35.235,35.439,35.186,35.439,13868,0
20090908,35.733,35.831,35.664,35.831,19462,0
20090909,35.879,36.035,35.879,35.947,36507,0
20090910,36.016,36.113,36.016,36.074,42318,0
20090911,36.182,36.28,36.123,36.201,17323,0
20090914,36.162,36.162,36.035,36.143,38616,0
20090915,36.162,36.241,36.064,36.241,20045,0
20090916,36.104,36.376,36.104,36.319,40903,0
20090917,36.309,36.386,36.006,36.348,146741,0
20090918,36.484,36.953,36.484,36.913,28229,0
20090921,36.904,36.904,36.123,36.123,47414,0
20090922,36.162,36.445,36.162,36.396,26822,0
20090923,36.416,36.543,36.367,36.386,23864,0
20090924,36.504,36.513,36.25,36.27,28742,0
20090925,36.348,36.376,36.28,36.358,18461,0
20090928,36.406,36.416,36.28,36.376,19514,0
20090929,36.27,36.27,36.25,36.27,16142,0
20090930,36.27,36.396,36.27,36.376,16954,0
20091001,36.319,36.319,36.27,36.27,23046,0
20091002,36.299,36.329,36.26,36.289,12243,0
20091005,36.289,36.386,36.25,36.367,13099,0
20091006,36.611,36.611,36.435,36.543,27480,0
20091007,36.553,36.553,36.231,36.484,19603,0
20091008,36.513,36.738,36.513,36.738,21406,0
20091009,36.65,36.65,36.455,36.464,11682,0
20091012,36.592,36.729,36.504,36.709,138541,0
20091013,36.758,36.797,36.758,36.787,46177,0
20091014,36.923,36.982,36.904,36.982,20016,0
20091015,36.836,36.846,36.455,36.787,57750,0
20091016,36.66,36.768,36.484,36.709,61801,0
20091019,36.797,36.856,36.592,36.807,78681,0
20091020,36.846,36.846,36.66,36.748,79658,0
