Date,Open,High,Low,Close,Volume,OpenInt
20140429,24.547,24.547,24.547,24.547,1227,0
20140430,24.577,24.596,24.567,24.596,5418,0
20140501,24.596,24.644,24.596,24.644,9174,0
20140502,24.605,24.682,24.605,24.682,3485,0
20140505,24.731,24.771,24.653,24.663,12373,0
20140507,24.672,24.692,24.672,24.692,1968,0
20140508,24.721,24.731,24.682,24.712,7919,0
20140509,24.702,24.702,24.672,24.692,2897,0
20140512,24.663,24.663,24.653,24.663,2994,0
20140513,24.692,24.692,24.692,24.692,11039,0
20140514,24.761,24.791,24.761,24.791,4560,0
20140516,24.801,24.811,24.801,24.811,3065,0
20140519,24.811,24.811,24.761,24.761,1531,0
20140522,24.791,24.791,24.751,24.751,2035,0
20140523,24.811,24.811,24.801,24.801,3492,0
20140527,24.771,24.771,24.771,24.771,505,0
20140528,24.839,24.927,24.801,24.859,10606,0
20140529,24.899,24.899,24.899,24.899,1209,0
20140530,24.829,24.879,24.771,24.869,16147,0
20140602,24.839,24.839,24.781,24.829,1069,0
20140603,24.762,24.782,24.762,24.772,3407,0
20140604,24.742,24.762,24.742,24.762,1533,0
20140605,24.722,24.802,24.693,24.792,2558,0
20140606,24.84,24.84,24.84,24.84,233,0
20140609,24.802,24.802,24.802,24.802,1017,0
20140610,24.762,24.772,24.683,24.772,3359,0
20140611,24.782,24.782,24.782,24.782,815,0
20140612,24.772,24.772,24.772,24.772,1526,0
20140613,24.772,24.792,24.742,24.792,1523,0
20140616,24.732,24.732,24.732,24.732,1326,0
20140617,24.782,24.782,24.782,24.782,4044,0
20140618,24.802,24.812,24.802,24.812,3885,0
20140619,24.85,24.85,24.752,24.762,3120,0
20140620,24.84,24.84,24.84,24.84,2035,0
20140623,24.87,24.87,24.821,24.86,1039,0
20140624,24.85,24.86,24.792,24.86,1409,0
20140625,24.919,24.919,24.88,24.88,3361,0
20140626,24.919,24.929,24.919,24.919,10154,0
20140630,24.87,24.9,24.87,24.9,2258,0
20140701,24.86,24.86,24.86,24.86,268,0
20140702,24.833,24.833,24.833,24.833,407,0
20140707,24.735,24.824,24.735,24.795,4001,0
20140708,24.805,24.805,24.805,24.805,1132,0
20140709,24.853,24.853,24.853,24.853,808,0
20140710,24.863,24.873,24.863,24.863,817,0
20140714,24.815,24.893,24.815,24.873,9038,0
20140715,24.883,24.883,24.873,24.873,3148,0
20140717,24.873,24.873,24.863,24.863,2031,0
20140718,24.883,24.883,24.863,24.883,5334,0
