Date,Open,High,Low,Close,Volume,OpenInt
20130813,51.15,51.15,51.15,51.15,200,0
20130815,51.49,51.78,51.46,51.78,5714,0
20130816,51.7,51.7,51.67,51.67,307,0
20130819,52.07,52.07,52.04,52.04,1100,0
20130820,51.87,51.87,51.87,51.87,2600,0
20130821,51.78,51.78,51.78,51.78,200,0
20130822,51.85,51.85,51.85,51.85,307,0
20130827,52.99,52.99,52.65,52.65,202,0
20130910,51.46,51.46,51.46,51.46,990,0
20130912,51.64,51.64,51.5,51.5,400,0
20130913,51.5,51.5,51.5,51.5,400,0
20130916,51.6,51.6,51.15,51.15,16400,0
20130917,51.43,51.43,50.95,51.01,55900,0
20130918,51.13,51.78,50.98,51.78,17500,0
20130919,51.95,51.98,51.75,51.75,1500,0
20130927,51.2,51.2,51.2,51.2,100,0
20130930,50.92,50.92,50.92,50.92,100,0
20131001,50.5,50.5,50.38,50.45,2200,0
20131002,50.94,50.94,50.83,50.86,600,0
20131003,50.88,50.88,50.79,50.8,1300,0
20131011,51.07,51.17,50.98,51.16,1219,0
20131014,51.4,51.4,51.3,51.34,400,0
20131015,51.34,51.34,51.15,51.19,3208,0
20131017,51.43,51.43,51.28,51.28,1300,0
20131018,51.42,51.42,51.32,51.32,500,0
20131021,51.42,51.42,51.34,51.34,700,0
20131022,51.35,51.35,51.35,51.35,1000,0
20131023,50.95,50.95,50.95,50.95,750,0
20131104,49.6,49.6,49.39,49.39,600,0
20131106,49.59,49.59,49.58,49.58,1286,0
20131111,49.65,49.65,49.56,49.56,1800,0
20131112,49.69,49.69,49.39,49.39,3200,0
20131125,49.94,49.94,49.94,49.94,101,0
20131127,49.69,49.72,49.55,49.72,2400,0
20131129,49.98,51,49.98,50.89,266724,0
20131202,50.47,50.62,50.23,50.35,20729,0
20131203,50.02,50.21,49.91,50.21,8741,0
20131204,50.38,50.39,50.19,50.19,8800,0
20131205,50.18,50.2,50.18,50.2,200,0
20131206,50.42,50.42,50.42,50.42,1438,0
20131209,50.7,50.7,50.7,50.7,896,0
20131210,51.06,51.06,50.69,50.69,3597,0
20131216,50.83,50.83,50.83,50.83,120,0
20131218,51.99,51.99,50.69,50.69,525,0
20131220,51.03,51.03,51.03,51.03,148,0
20131224,51.14,51.14,51.14,51.14,220,0
20131226,51.17,51.17,51.17,51.17,480,0
20131227,51.26,51.26,51.1,51.1,750,0
20140102,50.34,50.34,50.34,50.34,5600,0
