Date,Open,High,Low,Close,Volume,OpenInt
20120214,46.22,46.22,46.22,46.22,600,0
20120215,51.62,51.62,51.36,51.36,700,0
20120216,48.37,48.37,48.37,48.37,100,0
20120217,42.5,42.5,38.76,39.41,1500,0
20120221,42.83,43.92,42.64,42.64,1050,0
20120222,44.49,44.49,40.62,40.66,500,0
20120223,40.43,42.52,40.43,42.44,750,0
20120224,45.15,45.77,45.15,45.4,1650,0
20120227,44.8,49.55,44.8,49.55,1000,0
20120228,53.74,53.74,53.74,53.74,110,0
20120229,53.36,53.36,48.1,49.74,2000,0
20120301,52.47,52.47,52.47,52.47,400,0
20120305,63.02,63.96,63.02,63.96,1000,0
20120306,60.88,63.93,60.88,62.64,1200,0
20120307,67.5,67.5,67.5,67.5,100,0
20120308,67.81,73.16,67.23,68.33,4116,0
20120309,69.89,69.89,65.99,66.12,3000,0
20120312,72.75,72.75,72.32,72.32,1100,0
20120313,73.75,75.3,64.9,64.9,9500,0
20120314,66.29,68.59,64.61,66.63,14500,0
20120315,68.38,68.38,64.72,68.26,3900,0
20120316,64.56,65.91,63.66,64,3320,0
20120319,66.23,66.63,59.84,62.74,6649,0
20120320,64.99,65.37,63.54,65.37,1652,0
20120321,66.67,66.83,63.82,64.13,2105,0
20120322,65.85,70.29,65.85,70.29,5300,0
20120323,66.91,69.73,66.2,69.7,3400,0
20120326,73.6,75.49,73.15,75.49,6700,0
20120327,76.53,78.82,76.32,76.8,2250,0
20120328,78.99,80.08,75.77,76.5,5000,0
20120329,83,92.6,83,91.1,6950,0
20120330,90.71,95.09,89.95,95.09,10400,0
20120402,99.12,99.12,89.69,90.96,16901,0
20120403,90.48,90.53,85.2,86.32,9910,0
20120404,88.1,93.13,85.57,92.93,36137,0
20120405,91.85,99,90.99,97.84,9825,0
20120409,97.57,99.54,95,95.46,2400,0
20120410,101.32,119.95,101.32,119.95,3557,0
20120411,105.2,114.22,105,113.59,3390,0
20120412,113.63,116.34,104.22,114,5367,0
20120413,112.92,117,112.92,115.28,800,0
20120416,111.09,115.69,110.25,110.34,2050,0
20120417,115.9,121.64,115.65,121.64,1896,0
20120418,120.04,123.5,117,123.5,1500,0
20120419,125.75,131.44,124,130.99,2320,0
20120420,130.18,130.29,127.21,127.59,4277,0
20120423,122.08,123.6,109.75,109.75,12250,0
20120424,112,116.78,112,116.27,3079,0
20120425,110.65,110.82,96.27,97.4,7430,0
20120426,91.91,104.89,84.65,104.86,11480,0
20120427,99.87,101.9,95.48,95.48,3650,0
20120430,99.4,99.4,82,82.09,8665,0
20120501,78.88,80.61,73.46,73.74,16846,0
20120502,76.15,85.33,76,83.31,24770,0
20120503,76.92,78.32,70.85,74.95,25747,0
20120504,78.87,81.73,78.57,79.31,9740,0
20120507,74.02,75.93,73.82,74.69,13595,0
20120508,79.5,79.5,63.37,65,17706,0
20120509,66.3,66.64,58.52,64.39,9752,0
20120510,62.82,66.57,59.02,62.26,12790,0
20120511,62.87,62.87,59.99,60.4,2544,0
20120514,63.37,66.39,62.7,66.39,7826,0
20120515,61.69,63.65,60.26,60.36,18273,0
20120516,56.35,56.52,51.27,51.27,12638,0
20120517,53,58.11,49.92,50.35,27127,0
20120518,49.24,49.46,43.43,45.4,22533,0
20120521,48.01,50.77,46.98,50.03,15804,0
20120522,46.8,47.18,44.55,46.41,15141,0
20120523,47.32,47.47,44.36,44.83,15525,0
20120524,45.01,49.35,44.46,48.96,15152,0
20120525,51.19,55.36,51.02,53.9,17527,0
20120529,55.43,63.01,54.6,61.01,43806,0
20120530,64.55,68.15,63.16,65.57,30774,0
20120531,68.35,68.83,60.91,67.35,42156,0
20120601,70.96,75.23,70.75,74.31,30561,0
20120604,68.51,69.39,64.53,64.89,16951,0
20120605,61.39,64.45,61.08,64.45,5432,0
20120606,63.96,66.01,61.16,65.04,11929,0
20120607,66.5,77.86,66.49,76.82,45045,0
20120608,76.38,76.38,74,74.53,9413,0
20120611,79.25,83.71,77.41,83.48,29236,0
20120612,79.64,82.1,77.09,82.1,10776,0
20120613,83.32,85.12,81.87,84.66,9440,0
20120614,82.67,83.69,49,49.11,144827,0
20120615,52.95,53,50.51,52.03,50751,0
20120618,49.59,50.44,41.55,42.01,61780,0
20120619,45.81,48.93,44.32,46.22,46432,0
20120620,44.57,48.86,44.55,47.8,49521,0
20120621,47.05,47.05,41.59,44.51,38058,0
20120622,43.45,43.52,40.8,41.87,31261,0
20120625,39.01,40.01,38.15,40.01,38016,0
20120626,38.92,40.04,35.55,35.66,52899,0
20120627,31.55,36.66,31,36.59,90035,0
20120628,35.98,41.14,33.41,37.03,74522,0
20120629,37.96,39.02,34.44,34.44,30357,0
20120702,36.97,36.97,33.66,34.21,27462,0
20120703,33.91,33.97,32.81,33.02,17978,0
20120705,31.01,32.19,30.23,30.64,64641,0
