Date,Open,High,Low,Close,Volume,OpenInt
20060616,41.992,42.06,41.851,41.992,11595,0
20060619,41.934,41.934,41.608,41.666,1315,0
20060620,42.001,42.001,41.867,41.867,239,0
20060621,41.951,42.411,41.951,42.411,1197,0
20060622,42.202,42.243,42.151,42.169,1793,0
20060623,41.867,42.027,41.867,42.027,1315,0
20060626,42.11,42.26,42.11,42.26,239,0
20060627,42.243,42.243,42.16,42.16,480,0
20060628,42.119,42.16,41.992,42.16,838,0
20060629,42.453,42.662,42.453,42.662,838,0
20060630,43.901,43.959,43.901,43.959,2869,0
20060703,43.967,44.076,43.909,44.076,9324,0
20060705,43.816,43.833,43.625,43.833,3347,0
20060706,43.942,43.959,43.942,43.959,3230,0
20060707,44.252,44.285,44.21,44.21,3706,0
20060710,44.042,44.042,44.034,44.034,7173,0
20060711,43.916,44.227,43.749,44.227,4662,0
20060712,43.916,43.916,43.499,43.583,3347,0
20060713,43.172,43.172,42.93,42.93,1676,0
20060714,42.822,42.822,42.637,42.728,1676,0
20060717,41.992,41.992,41.951,41.951,1554,0
20060718,42.286,42.286,42.119,42.119,2153,0
20060719,42.001,43.23,42.001,43.23,8727,0
20060720,43.373,43.373,43.156,43.156,17813,0
20060721,43.256,43.256,43.081,43.113,2630,0
20060724,43.398,43.967,43.398,43.967,12192,0
20060725,43.791,43.825,43.557,43.825,4303,0
20060726,43.666,44.193,43.625,44.193,2512,0
20060727,44.586,44.678,44.084,44.084,5261,0
20060728,44.537,44.895,44.537,44.879,12435,0
20060731,44.586,44.704,44.586,44.62,2630,0
20060801,44.502,44.502,44.377,44.377,956,0
20060802,44.736,45.062,44.736,45.062,3347,0
20060803,44.628,44.845,44.602,44.845,1554,0
20060804,45.363,45.464,45.264,45.348,6214,0
20060807,45.013,45.164,44.979,45.164,4662,0
20060808,44.921,45.138,44.921,45.138,5976,0
20060809,45.213,45.49,45.204,45.363,3706,0
20060810,45.046,45.339,45.046,45.339,16976,0
20060811,44.921,45.172,44.921,45.172,10640,0
20060814,45.297,45.423,45.062,45.062,4303,0
20060815,45.84,46.091,45.765,45.924,30483,0
20060816,46.259,46.535,46.016,46.51,22117,0
20060817,46.351,46.351,46.25,46.25,10640,0
20060818,46.217,46.259,46.175,46.242,1913,0
20060821,46.393,47.163,46.376,46.978,14227,0
20060822,46.844,46.844,46.577,46.577,17691,0
20060823,46.285,46.285,45.213,45.38,125400,0
20060824,45.631,45.631,45.222,45.331,55349,0
20060825,45.423,45.423,45.297,45.314,24988,0
20060828,45.355,45.799,45.355,45.715,51762,0
20060829,45.924,46.041,45.615,46.016,18766,0
20060830,46.351,46.351,46.076,46.259,95156,0
20060831,46.267,46.367,45.966,46.135,35623,0
20060901,46.175,46.385,46.175,46.351,20083,0
20060905,46.426,46.552,46.276,46.552,16976,0
20060906,45.991,46.033,45.84,45.865,19009,0
20060907,45.507,45.765,45.38,45.522,30483,0
20060908,45.507,45.615,45.405,45.59,30125,0
20060911,45.389,45.556,45.238,45.53,8487,0
20060912,45.715,46.141,45.706,46.041,9683,0
20060913,45.941,46.109,45.849,46.076,6816,0
20060914,46.091,46.2,46.059,46.135,18530,0
20060915,46.135,46.141,45.932,46.059,17932,0
20060918,46.024,46.351,46.024,46.301,7411,0
20060919,46.192,46.2,45.666,45.916,30125,0
20060920,46.242,46.543,46.242,46.41,44826,0
20060921,46.744,46.744,46.468,46.577,8964,0
20060922,46.426,46.426,46.276,46.385,33114,0
20060925,46.259,46.636,46.008,46.636,47939,0
20060926,46.435,46.777,46.426,46.762,16499,0
20060927,46.844,47.128,46.82,47.047,13508,0
20060928,46.928,47.078,46.87,47.071,26063,0
20060929,46.862,47.012,46.844,46.886,8964,0
20061002,46.944,47.237,46.928,46.953,11595,0
20061003,46.928,47.413,46.844,47.071,12435,0
20061004,47.128,47.731,47.128,47.723,27616,0
20061005,47.639,47.756,47.498,47.756,16140,0
20061006,47.288,47.448,47.221,47.448,17691,0
20061009,47.338,47.48,47.197,47.279,86313,0
20061010,47.279,47.364,47.154,47.338,29050,0
20061011,47.372,47.563,47.254,47.454,10520,0
20061012,47.674,48.031,47.674,47.949,27493,0
20061013,47.881,48.016,47.806,47.991,10760,0
20061016,48.023,48.225,47.965,48.208,15781,0
20061017,47.731,47.731,47.448,47.656,18530,0
20061018,47.94,48.008,47.756,47.873,34546,0
20061019,47.957,48.242,47.957,48.216,13149,0
20061020,48.257,48.359,48.083,48.317,12552,0
20061023,47.873,48.266,47.873,48.257,29050,0
20061024,48.091,48.292,48.058,48.266,41124,0
20061025,48.341,48.702,48.334,48.643,19009,0
20061026,48.969,49.161,48.794,49.103,35743,0
20061027,49.178,49.228,48.902,48.936,278418,0
20061030,48.936,49.128,48.886,49.037,34546,0
20061031,49.161,49.388,49.161,49.329,31799,0
20061101,49.638,49.723,49.161,49.213,38493,0
20061102,49.128,49.371,49.128,49.346,52839,0
20061103,49.395,49.429,49.17,49.312,21638,0
20061106,49.638,50.049,49.638,49.973,29287,0
20061107,50.175,50.425,50.09,50.131,46862,0
20061108,50.099,50.541,50.056,50.441,35864,0
20061109,50.249,50.409,50.056,50.14,49850,0
20061110,50.333,50.342,50.149,50.342,33591,0
20061113,50.291,50.475,50.266,50.291,51284,0
20061114,50.55,50.851,50.467,50.668,35386,0
20061115,50.432,50.758,50.432,50.692,42200,0
20061116,50.684,50.709,50.576,50.576,25702,0
20061117,50.358,50.735,50.282,50.735,74356,0
20061120,50.274,50.45,50.249,50.382,33114,0
20061121,50.517,50.758,50.517,50.758,25104,0
20061122,50.893,51.001,50.834,50.992,33591,0
