Date,Open,High,Low,Close,Volume,OpenInt
20120215,44.17,44.17,44.17,44.17,500,0
20120217,42.81,43.45,42.81,43.45,200,0
20120224,37.08,37.4,36,36.01,1870,0
20120227,37.54,37.8,37.54,37.8,900,0
20120228,38.7,38.7,38,38.69,150936,0
20120229,38.56,40.9,38.56,38.67,6500,0
20120301,36.21,38.49,34.93,35.4,6200,0
20120308,38.34,38.34,38.34,38.34,400,0
20120312,39.17,39.17,39.17,39.17,200,0
20120314,39.56,39.58,39.56,39.58,200,0
20120315,41.47,41.47,39.51,39.51,600,0
20120316,38.27,38.37,37.67,37.7,2600,0
20120319,37.46,37.46,37.3,37.3,800,0
20120321,38.72,38.72,38.72,38.72,300,0
20120322,40.24,40.24,40.24,40.24,300,0
20120323,40.32,40.32,38.72,38.75,1800,0
20120326,38.2,38.2,38.2,38.2,400,0
20120327,38.27,38.27,38.26,38.26,1600,0
20120402,40.19,40.19,40.19,40.19,400,0
20120404,44.28,44.28,44.03,44.03,800,0
20120405,42.21,42.21,42.21,42.21,100,0
20120412,41.42,41.42,41.42,41.42,400,0
20120416,42.23,42.23,42.23,42.23,400,0
20120424,42.28,42.28,42.28,42.28,400,0
20120426,40.63,40.63,40.63,40.63,400,0
20120504,46.97,48.98,46.97,48.03,700,0
20120507,49.99,50,49.99,50,1000,0
20120509,52.46,52.46,51.06,51.06,700,0
20120510,49.96,49.96,49.96,49.96,200,0
20120511,52.13,52.13,52.13,52.13,300,0
20120514,54.23,54.58,54.23,54.23,200,0
20120516,57.4,57.98,56.77,57.98,35571,0
20120517,56.01,57.99,56.01,57.99,403,0
20120518,58.98,59.96,58.07,59.96,603,0
20120521,59.47,59.47,57.88,57.88,900,0
20120522,58.18,58.18,58.18,58.18,104,0
20120523,63.99,63.99,63.07,63.07,1900,0
20120524,61.38,61.38,61.38,61.38,500,0
20120530,68.03,68.25,67.07,68.23,3100,0
20120531,70.25,70.4,70.02,70.02,1300,0
20120601,76.64,78.32,76.64,78.21,1250,0
20120604,78.92,79.58,75.93,75.93,3364,0
20120605,75.69,75.69,75.69,75.69,125,0
20120606,71.98,73.45,71.31,73.45,1213,0
20120607,72.72,75.41,72.72,75.4,500,0
20120608,75.4,75.4,75.4,75.4,159,0
20120611,80.12,82.62,80.12,82.62,1000,0
20120612,78.82,79.06,77.19,77.19,1380,0
20120613,81.04,81.04,77.19,80.47,1100,0
20120614,79.89,79.89,76.32,76.74,1900,0
20120615,76.19,77.56,76.19,77.56,988,0
20120619,75.25,76.25,75.25,76.25,8091,0
20120620,77.45,84.37,77.45,84.37,600,0
20120621,86.1,92.51,85.33,90.74,1845,0
20120622,90.9,90.9,86.84,87.01,1072,0
20120625,90.54,93.11,89.58,90.14,4949,0
20120626,89.56,89.69,89.54,89.58,800,0
20120627,86.43,86.58,85.83,86.58,6480,0
