Date,Open,High,Low,Close,Volume,OpenInt
20140416,22.158,22.158,22.158,22.158,324,0
20140422,22.222,22.222,22.222,22.222,540,0
20140428,22,22.028,22,22.028,2250,0
20140430,21.843,21.852,21.834,21.834,864,0
20140501,22.306,22.306,22.139,22.176,100979,0
20140502,22.195,22.241,22.167,22.213,33696,0
20140505,22.167,22.185,22.111,22.158,14472,0
20140507,21.769,21.769,21.769,21.769,216,0
20140508,21.834,21.861,21.722,21.732,3800,0
20140509,21.63,21.75,21.63,21.75,540,0
20140512,21.759,21.917,21.759,21.898,112178,0
20140513,21.963,22.074,21.935,22.074,4001,0
20140514,21.806,21.824,21.732,21.732,16214,0
20140515,21.658,21.75,21.287,21.287,1315,0
20140519,21.167,21.167,21.167,21.167,323,0
20140520,21.241,21.241,21.241,21.241,322,0
20140522,21.75,21.871,21.75,21.871,9612,0
20140523,21.861,22.019,21.861,22,4169,0
20140528,22.167,22.167,22.148,22.148,756,0
20140529,22.222,22.315,22.222,22.306,1084,0
20140602,22.972,22.972,22.972,22.972,565,0
20140603,22.926,22.926,22.917,22.917,540,0
20140609,23.121,23.176,23.121,23.139,15121,0
20140610,22.824,22.88,22.824,22.88,2700,0
20140611,22.88,22.88,22.843,22.852,4213,0
20140612,23.148,23.148,22.861,22.861,349,0
20140613,23.13,23.13,23.111,23.13,648,0
20140616,23.13,23.13,23.084,23.084,6178,0
20140617,23.185,23.269,23.13,23.148,6858,0
20140618,23.352,23.352,23.334,23.343,2430,0
20140619,23.704,23.732,23.704,23.722,1135,0
20140620,23.824,23.824,23.797,23.797,1111,0
20140623,23.5,23.51,23.482,23.5,972,0
20140625,23.621,23.648,23.621,23.648,702,0
20140627,23.324,23.361,23.324,23.361,1430,0
20140630,23.51,23.51,23.51,23.51,419,0
20140702,23.945,23.945,23.908,23.908,5832,0
20140703,24,24,24,24,1020,0
20140707,23.972,23.972,23.843,23.843,797,0
20140708,23.648,23.676,23.648,23.676,1188,0
20140710,23.398,23.463,23.398,23.463,4884,0
20140711,23.426,23.426,23.426,23.426,324,0
20140715,23.871,23.991,23.824,23.824,2938,0
20140716,23.963,23.982,23.945,23.982,2513,0
20140723,23.889,23.889,23.889,23.889,432,0
20140724,24.056,24.056,23.935,23.935,325,0
20140725,24.074,24.074,24.074,24.074,1620,0
20140728,24.232,24.232,24.232,24.232,324,0
20140729,24.232,24.232,24.232,24.232,1620,0
20140731,24.185,24.222,24.084,24.121,5062,0
20140804,23.898,23.908,23.898,23.908,1247,0
20140805,23.63,23.63,23.63,23.63,108,0
20140806,23.491,23.491,23.445,23.454,325,0
20140807,23.602,23.602,23.269,23.269,4303,0
20140808,23.093,23.093,23.093,23.093,218,0
20140812,23.463,23.463,23.463,23.463,540,0
20140815,23.732,23.769,23.732,23.732,700,0
20140818,23.945,24.01,23.945,24.01,324,0
20140819,24.093,24.093,24.093,24.093,216,0
20140827,23.991,23.991,23.991,23.991,108,0
20140828,23.889,23.889,23.889,23.889,108,0
20140902,24.602,24.602,24.602,24.602,216,0
20140904,24.537,24.537,24.537,24.537,127,0
20140905,24.371,24.371,24.371,24.371,216,0
20140908,24.463,24.574,24.463,24.574,625,0
20140909,24.556,24.556,24.556,24.556,281,0
20140910,24.797,24.797,24.797,24.797,145,0
20140912,25,25,24.963,24.963,1188,0
20140915,24.963,24.963,24.963,24.963,378,0
20140917,24.972,25.185,24.972,25.185,1012,0
20140918,25.38,25.454,25.38,25.417,1352,0
20140919,25.528,25.528,25.38,25.463,10267,0
20140922,25.232,25.232,25.232,25.232,796,0
20140924,25.278,25.278,25.278,25.278,324,0
20140929,25.352,25.352,25.343,25.352,621,0
20140930,25.093,25.093,25.093,25.093,216,0
20141001,24.75,24.889,24.75,24.76,1070,0
20141002,23.815,24.084,23.815,23.88,1022,0
20141008,23.889,24.315,23.889,24.315,2522,0
20141009,23.435,23.435,23.435,23.435,272,0
20141010,23.084,23.084,23.084,23.084,1709,0
20141015,22.435,22.519,22.269,22.408,2647,0
20141016,22.158,22.232,21.676,22.195,4517,0
20141020,23.232,23.232,23.232,23.232,480,0
20141021,23.158,23.195,23.158,23.195,536,0
20141022,23.528,23.658,23.528,23.528,1256,0
20141024,23.797,23.797,23.797,23.797,228,0
20141028,23.898,23.898,23.861,23.861,414,0
20141029,24.13,24.398,24.13,24.398,45946,0
20141030,24.417,24.704,24.417,24.704,1268,0
20141031,26.047,26.241,26.047,26.213,1325,0
20141103,26.63,26.63,26.63,26.63,124,0
20141104,25.972,26.222,25.972,26.222,5414,0
20141105,26.195,26.195,26.195,26.195,108,0
20141106,26.176,26.176,26.037,26.065,1296,0
20141110,25.926,26.074,25.926,26.037,2484,0
20141111,26.537,26.658,26.491,26.5,10913,0
20141112,26.232,26.324,26.222,26.324,7290,0
20141113,26.621,26.621,26.417,26.621,216,0
20141114,26.695,26.695,26.695,26.695,396,0
20141117,26.398,26.398,26.398,26.398,448,0
20141118,26.806,27.028,26.602,27.01,9144,0
20141119,26.963,27.037,26.806,26.963,9834,0
20141120,26.584,26.769,26.584,26.713,1959,0
20141121,27.019,27.019,26.852,26.852,4077,0
20141124,27.084,27.084,26.991,27.028,2052,0
20141125,27.13,27.13,27.047,27.084,6265,0
20141126,26.991,27.102,26.926,26.954,12046,0
20141128,27.148,27.232,27.139,27.223,2948,0
20141201,27.241,27.371,27.241,27.371,883,0
20141202,27.732,27.732,27.732,27.732,620,0
20141203,27.732,27.732,27.732,27.732,368,0
20141204,27.593,27.778,27.593,27.778,517,0
20141205,28.074,28.074,27.982,27.982,683,0
20141208,27.611,27.611,27.389,27.417,6316,0
20141209,27.056,27.056,26.797,26.797,996,0
20141210,26.695,26.695,26.695,26.695,403,0
20141211,26.954,26.954,26.88,26.88,328,0
20141212,26.76,26.76,26.704,26.704,972,0
20141215,25.769,26.334,25.713,25.713,1192,0
20141216,25.324,25.769,25.324,25.769,526,0
20141217,26.25,26.306,26.25,26.306,1267,0
20141218,26.843,26.843,26.843,26.843,278,0
20141219,27.13,27.13,27.13,27.13,288,0
20141222,27.13,27.13,27.13,27.13,403,0
20141223,27.32,27.32,27.32,27.32,854,0
20141224,27.19,27.19,27.19,27.19,276,0
20141230,26.34,26.42,26.3,26.42,2457,0
20150102,26.76,26.77,26.66,26.66,5271,0
20150105,26.34,26.34,26.05,26.07,1234,0
20150107,26.1,26.1,25.85,25.91,3552,0
20150108,26.24,26.24,26.24,26.24,1133,0
20150112,25.81,25.81,25.65,25.65,425,0
20150113,26.06,26.06,26.06,26.06,179,0
20150114,25.45,25.61,25.45,25.61,202,0
20150115,25.8,25.8,25.8,25.8,200,0
20150116,25.79,25.97,25.79,25.97,480,0
