Date,Open,High,Low,Close,Volume,OpenInt
20110308,27.933,27.96,27.933,27.96,5316,0
20110309,28.006,28.033,28.006,28.033,2848,0
20110310,27.987,27.987,27.867,27.886,40811,0
20110311,27.777,27.924,27.777,27.896,3232,0
20110314,28.024,28.024,27.969,27.997,10336,0
20110315,27.814,27.851,27.777,27.851,2057,0
20110316,27.787,27.787,27.504,27.65,2726,0
20110317,27.815,27.815,27.815,27.815,2182,0
20110318,27.996,27.996,27.996,27.996,222,0
20110321,28.115,28.125,28.088,28.097,1655,0
20110322,28.188,28.188,28.188,28.188,2358,0
20110323,28.198,28.198,28.161,28.161,4711,0
20110324,28.17,28.243,28.17,28.234,7365,0
20110325,28.307,28.307,28.261,28.261,1781,0
20110328,28.316,28.316,28.243,28.28,8751,0
20110329,28.243,28.298,28.234,28.27,5702,0
20110330,28.335,28.389,28.325,28.389,47372,0
20110331,28.443,28.443,28.424,28.443,3936,0
20110401,28.417,28.472,28.307,28.472,15052,0
20110404,28.572,28.609,28.527,28.6,7199,0
20110406,28.709,28.774,28.7,28.774,9285,0
20110407,28.805,28.805,28.713,28.795,8363,0
20110408,28.92,28.984,28.856,28.984,11120,0
20110411,29.039,29.204,29.039,29.204,273875,0
20110412,29.227,29.227,29.144,29.153,10330,0
20110413,29.167,29.167,29.039,29.085,3333,0
20110414,29.121,29.24,28.957,29.195,4876,0
20110415,29.236,29.263,29.227,29.263,8552,0
20110418,29.176,29.176,28.709,28.947,14390,0
20110419,29.103,29.103,28.783,28.92,7471,0
20110420,29.048,29.24,29.048,29.24,2622,0
20110421,29.236,29.419,29.172,29.364,4478,0
20110425,29.469,29.561,29.442,29.561,35178,0
20110426,29.465,29.548,29.447,29.447,4725,0
20110427,29.64,29.704,29.502,29.704,5113,0
20110428,29.649,29.704,29.63,29.649,18022,0
20110429,29.609,29.823,29.6,29.823,2053,0
20110502,29.74,29.887,29.685,29.878,14295,0
20110503,29.611,29.684,29.546,29.684,30377,0
20110504,29.786,29.786,29.621,29.676,3264,0
20110505,29.482,29.509,29.306,29.371,6952,0
20110506,29.529,29.63,29.272,29.272,17260,0
20110509,29.539,29.603,29.419,29.594,11625,0
20110510,29.566,29.612,29.199,29.612,6964,0
20110511,29.601,29.601,29.389,29.482,51945,0
20110512,29.41,29.575,29.373,29.429,33641,0
20110513,29.346,29.392,29.144,29.144,5796,0
20110516,29.089,29.227,29.089,29.135,5089,0
