Date,Open,High,Low,Close,Volume,OpenInt
20050225,22.487,22.746,22.394,22.699,3831511,0
20050228,22.894,22.894,22.56,22.662,3667414,0
20050301,22.691,22.746,22.617,22.728,2790614,0
20050302,22.533,22.56,22.329,22.348,4439345,0
20050303,22.533,22.533,22.282,22.412,6476474,0
20050304,22.635,22.728,22.588,22.681,3122689,0
20050307,22.746,22.886,22.737,22.83,6871665,0
20050308,22.848,22.848,22.653,22.653,4466533,0
20050309,22.691,22.773,22.487,22.523,10230304,0
20050310,22.385,22.487,22.255,22.31,7320262,0
20050311,22.329,22.487,22.152,22.18,8504863,0
20050314,22.125,22.246,21.931,22.014,5703571,0
20050315,21.921,21.977,21.448,21.467,11018745,0
20050316,21.356,21.559,21.198,21.281,10177873,0
20050317,21.281,21.699,21.272,21.67,5755032,0
20050318,21.819,21.819,21.505,21.578,3919869,0
20050321,21.578,21.587,21.207,21.263,8174729,0
20050322,21.226,21.505,20.809,20.865,10157480,0
20050323,20.586,20.91,20.577,20.605,10674045,0
20050324,20.679,20.939,20.577,20.577,8177643,0
20050328,20.884,20.884,20.605,20.726,4722873,0
20050329,20.642,20.642,20.15,20.188,10755608,0
20050330,20.475,20.735,20.336,20.651,7910620,0
20050331,20.596,20.939,20.596,20.865,9472936,0
20050401,20.939,21.476,20.939,20.994,19177939,0
20050404,21.078,21.078,20.79,21.04,7369781,0
20050405,21.04,21.198,21.013,21.03,6779421,0
20050406,21.198,21.569,21.198,21.318,8362128,0
20050407,21.411,21.559,21.356,21.54,8137830,0
20050408,21.486,21.514,21.401,21.439,4843276,0
20050411,21.356,21.375,21.04,21.226,4704427,0
20050412,21.226,21.495,20.901,21.495,10627439,0
20050413,21.383,21.383,21.068,21.068,8636917,0
20050414,20.994,20.994,20.513,20.531,12442210,0
20050415,20.428,20.558,20.067,20.095,11643091,0
20050418,19.965,20.336,19.937,20.336,9132120,0
20050419,20.457,20.679,20.457,20.679,11391603,0
20050420,20.697,20.697,20.188,20.188,6324029,0
20050421,20.409,20.78,20.373,20.772,8735958,0
20050422,20.707,20.726,20.373,20.54,4017939,0
20050425,20.66,20.948,20.623,20.929,5704542,0
20050426,20.79,20.92,20.66,20.716,8318434,0
20050427,20.567,20.66,20.392,20.531,6348303,0
20050428,20.428,20.428,20.16,20.196,6315290,0
20050429,20.428,20.651,20.225,20.605,10089513,0
20050502,20.707,20.994,20.577,20.745,8713626,0
20050503,20.735,20.818,20.651,20.726,4528679,0
20050504,20.79,21.356,20.79,21.291,15102711,0
20050505,21.356,21.54,21.134,21.401,9269999,0
20050506,21.375,21.54,21.375,21.457,5597733,0
20050509,21.3,21.54,21.3,21.476,2539125,0
20050510,21.217,21.291,20.994,20.994,12202377,0
20050511,21.097,21.115,20.827,21.097,4978244,0
20050512,21.049,21.105,20.679,20.735,7830999,0
20050513,20.79,20.79,20.475,20.522,15154173,0
20050516,20.633,20.763,20.513,20.763,6527938,0
20050517,20.623,20.836,20.558,20.772,6249264,0
20050518,20.836,21.3,20.836,21.188,9893373,0
20050519,21.244,21.309,21.169,21.263,4719961,0
20050520,21.179,21.217,21.049,21.207,3240178,0
20050523,21.124,21.318,21.105,21.281,4635486,0
20050524,21.169,21.217,21.134,21.217,3029475,0
20050525,21.169,21.169,21.04,21.068,2274049,0
20050526,21.169,21.356,21.169,21.3,2431347,0
20050527,21.393,21.476,21.346,21.448,1535127,0
20050531,21.401,21.401,21.236,21.263,3213964,0
20050601,21.198,21.531,21.188,21.514,13803532,0
20050602,21.486,21.68,21.467,21.67,4357784,0
20050603,21.68,21.764,21.521,21.559,6093906,0
20050606,21.615,21.782,21.569,21.782,3409130,0
20050607,21.736,21.875,21.644,21.67,5462765,0
20050608,21.745,21.809,21.587,21.587,3560604,0
20050609,21.578,21.948,21.43,21.699,2720056,0
20050610,22.255,22.255,21.615,21.764,1730622,0
20050613,21.791,21.921,21.699,21.847,2655321,0
20050614,21.894,21.939,21.809,21.939,3785227,0
20050615,21.939,22.107,21.865,22.107,4922250,0
20050616,22.07,22.338,22.07,22.301,7719660,0
20050617,22.348,22.588,22.348,22.569,10146800,0
20050620,22.348,22.421,22.209,22.366,3349253,0
20050621,22.32,22.32,22.227,22.255,1704727,0
20050622,22.533,22.542,22.32,22.468,1836780,0
20050623,22.478,22.478,22.041,22.07,3634075,0
20050624,22.041,22.088,21.948,21.996,2591885,0
20050627,22.022,22.255,21.948,22.135,2957624,0
20050628,22.152,22.338,22.135,22.301,2446884,0
20050629,22.348,22.348,22.143,22.171,2588000,0
20050630,22.515,22.515,21.652,22.107,6526965,0
20050701,22.301,22.32,22.116,22.18,4121510,0
20050705,22.07,22.282,22.041,22.282,5017082,0
20050706,22.051,22.291,22.051,22.171,3949321,0
20050707,21.921,22.246,21.921,22.236,2567934,0
20050708,22.255,22.487,22.236,22.468,5758269,0
20050711,22.533,22.811,22.533,22.811,4650375,0
20050712,22.903,23.117,22.848,23.089,3185803,0
20050713,23.153,23.153,23.006,23.07,10619023,0
20050714,23.46,23.46,23.153,23.2,10062973,0
20050715,23.302,23.302,22.996,23.08,2576348,0
20050718,23.08,23.08,22.941,23.006,4038330,0
20050719,23.061,23.274,23.033,23.265,5410009,0
20050720,23.228,23.321,23.108,23.274,6384554,0
20050721,23.311,23.571,23.302,23.525,5050096,0
20050722,23.525,23.533,23.441,23.469,2819094,0
20050725,23.533,23.599,23.265,23.265,5179562,0
20050726,23.321,23.394,23.172,23.394,5575724,0
20050727,23.413,23.774,23.348,23.525,5817822,0
20050728,23.617,23.895,23.599,23.821,8368602,0
20050729,23.84,23.895,23.774,23.803,5005109,0
20050801,23.988,24.192,23.988,24.192,5811025,0
20050802,24.499,24.619,24.312,24.619,4928399,0
20050803,24.638,24.655,24.424,24.553,4199513,0
20050804,24.507,24.534,24.275,24.341,5737878,0
20050805,24.341,24.341,23.774,23.895,7731635,0
20050808,23.914,24.201,23.914,24.062,6707244,0
20050809,24.109,24.572,24.109,24.544,4104679,0
20050810,24.813,24.933,24.59,24.803,7066833,0
20050811,24.869,24.869,24.544,24.664,5361135,0
20050812,24.638,24.638,24.155,24.405,5179237,0
20050815,24.544,24.628,24.424,24.572,5165969,0
20050816,24.563,24.572,24.145,24.145,5246883,0
20050817,24.22,24.275,24.081,24.163,6209453,0
20050818,23.849,23.914,23.664,23.72,7949459,0
20050819,23.83,23.868,23.59,23.627,3940260,0
20050822,24.007,24.173,23.849,23.923,7005984,0
20050823,23.923,23.923,23.682,23.691,9032432,0
20050824,23.72,23.72,23.386,23.386,7105998,0
20050825,23.59,23.738,23.497,23.645,6239878,0
