Date,Open,High,Low,Close,Volume,OpenInt
20050225,48.184,48.576,48.06,48.496,2588401,0
20050228,48.549,48.665,48.229,48.38,2558728,0
20050301,48.531,48.718,48.487,48.646,2535798,0
20050302,48.104,48.46,48.104,48.282,3793241,0
20050303,48.487,48.54,48.21,48.308,2495333,0
20050304,48.771,49.251,48.504,49.154,3319127,0
20050307,48.887,49.038,48.824,48.949,2256590,0
20050308,49.145,49.199,49.011,49.083,2779597,0
20050309,49.091,49.199,48.833,48.86,3179188,0
20050310,49.074,49.11,48.789,49.02,2173637,0
20050311,49.11,49.208,48.931,49.003,2816690,0
20050314,48.763,48.851,48.585,48.851,2172962,0
20050315,48.994,49.003,48.522,48.549,2643028,0
20050316,48.843,48.869,48.531,48.603,3141420,0
20050317,48.478,48.665,48.451,48.549,1800012,0
20050318,48.576,48.576,48.326,48.451,1626686,0
20050321,48.318,48.318,48.041,48.121,2837598,0
20050322,48.086,48.406,47.508,47.57,2517588,0
20050323,47.446,47.446,47.161,47.25,3647232,0
20050324,47.321,47.508,47.241,47.241,3069258,0
20050328,47.269,47.436,47.241,47.241,1632419,0
20050329,47,47.161,46.663,46.752,2960004,0
20050330,47.036,47.276,47.01,47.134,3410512,0
20050331,47.446,47.48,47.045,47.116,6535412,0
20050401,47.508,47.58,46.885,47,3110736,0
20050404,46.85,47.064,46.689,47.019,2177010,0
20050405,47.125,47.303,47.08,47.269,3591256,0
20050406,47.285,47.553,47.241,47.401,2724970,0
20050407,47.508,47.784,47.508,47.596,2027626,0
20050408,47.596,47.801,47.48,47.596,5788161,0
20050411,47.864,47.935,47.677,47.775,1561267,0
20050412,47.49,47.989,47.303,47.89,2678100,0
20050413,47.57,47.784,47.348,47.392,2315939,0
20050414,47.25,47.25,46.769,46.769,3150527,0
20050415,46.859,46.894,46.191,46.191,4394145,0
20050418,46.084,46.262,45.906,46.023,5366651,0
20050419,46.44,46.671,46.395,46.636,2887167,0
20050420,46.36,46.548,45.995,46.04,3678592,0
20050421,46.556,46.885,46.369,46.876,4780584,0
20050422,46.796,46.948,46.343,46.708,3130630,0
20050425,46.841,46.966,46.708,46.956,2035718,0
20050426,46.619,46.645,46.369,46.369,2880085,0
20050427,46.12,46.316,46.04,46.245,3164014,0
20050428,45.959,46.12,45.613,45.622,3318117,0
20050429,46.262,46.369,45.906,46.351,4109206,0
20050502,46.28,46.405,46.191,46.334,7017279,0
20050503,46.36,46.529,46.245,46.44,2753295,0
20050504,46.663,47.153,46.556,46.991,1561944,0
20050505,47.125,47.205,46.911,47.055,2886494,0
20050506,47.045,47.08,46.796,46.85,2193868,0
20050509,46.778,46.974,46.689,46.956,2415414,0
20050510,46.591,46.68,46.306,46.306,3596314,0
20050511,46.494,46.564,46.253,46.511,2141265,0
20050512,46.253,46.306,45.844,45.934,5810751,0
20050513,45.889,45.959,45.479,45.666,3168398,0
20050516,45.506,45.889,45.498,45.853,5472869,0
20050517,45.534,45.898,45.489,45.844,3988149,0
20050518,45.862,46.485,45.826,46.369,3526511,0
20050519,46.236,46.405,46.2,46.395,2022568,0
20050520,46.111,46.227,45.943,46.2,2735760,0
20050523,46.325,46.645,46.262,46.583,3802347,0
20050524,46.485,46.52,46.36,46.467,3904183,0
20050525,46.44,46.44,46.2,46.334,3448956,0
20050526,46.271,46.405,46.236,46.369,3692081,0
20050527,46.423,46.583,46.343,46.556,2615716,0
20050531,46.227,46.253,45.906,45.95,6031624,0
20050601,45.986,46.369,45.986,46.227,2824110,0
20050602,46.343,46.636,46.298,46.628,2174310,0
20050603,46.458,46.539,46.111,46.191,2040103,0
20050606,46.45,46.529,46.351,46.494,2126091,0
20050607,46.68,46.92,46.654,46.689,3845846,0
20050608,46.991,47.045,46.511,46.556,5068897,0
20050609,46.423,46.796,46.378,46.743,2733964,0
20050610,46.823,46.85,46.334,46.564,4480583,0
20050613,46.227,46.45,46.129,46.405,1648831,0
20050614,46.369,46.494,46.28,46.351,2198139,0
20050615,46.574,46.708,46.351,46.628,3424337,0
20050616,46.796,46.885,46.583,46.778,5076541,0
20050617,47.214,47.544,47.205,47.48,3019802,0
20050620,47.036,47.178,46.778,47.036,1926576,0
20050621,47.036,47.401,46.93,47.392,1744935,0
20050622,47.285,47.366,47.108,47.25,1617807,0
20050623,47.108,47.205,46.68,46.716,2327741,0
20050624,46.876,46.911,46.663,46.708,2012901,0
20050627,46.6,46.752,46.494,46.6,2589863,0
20050628,46.574,46.974,46.574,46.867,2000200,0
20050629,46.743,46.93,46.619,46.671,5599549,0
20050630,46.716,46.911,46.467,46.609,3326436,0
