Date,Open,High,Low,Close,Volume,OpenInt
20050225,11.665,11.665,11.586,11.586,22400,0
20050228,11.617,11.641,11.58,11.601,33410,0
20050301,11.555,11.641,11.555,11.625,32130,0
20050302,11.601,11.633,11.572,11.601,54526,0
20050303,11.586,11.617,11.572,11.617,18687,0
20050304,11.609,11.641,11.609,11.641,7040,0
20050307,11.633,11.711,11.633,11.711,30720,0
20050308,11.681,11.719,11.681,11.719,24062,0
20050309,11.673,11.711,11.572,11.572,60544,0
20050310,11.593,11.609,11.532,11.609,81149,0
20050311,11.58,11.58,11.524,11.54,26623,0
20050314,11.515,11.515,11.399,11.399,26623,0
20050315,11.399,11.469,11.368,11.368,60029,0
20050316,11.368,11.421,11.36,11.414,23169,0
20050317,11.429,11.532,11.406,11.453,53120,0
20050318,11.453,11.453,11.391,11.391,7679,0
20050321,11.438,11.461,11.36,11.399,32384,0
20050322,11.328,11.399,11.328,11.368,43648,0
20050323,11.328,11.399,11.25,11.25,49017,0
20050324,11.242,11.336,11.212,11.328,21120,0
20050328,11.234,11.461,11.234,11.257,21891,0
20050329,11.438,11.438,11.328,11.36,16513,0
20050330,11.328,11.399,11.328,11.399,15106,0
20050331,11.446,11.478,11.438,11.461,15617,0
20050401,11.469,11.555,11.469,11.555,24191,0
20050404,11.515,11.601,11.494,11.601,28929,0
20050405,11.58,11.665,11.572,11.572,13183,0
20050406,11.609,11.641,11.572,11.572,11648,0
20050407,11.572,11.656,11.486,11.5,21891,0
20050408,11.478,11.508,11.453,11.486,20352,0
20050411,11.486,11.633,11.486,11.524,58622,0
20050412,11.524,11.555,11.486,11.508,31362,0
20050413,11.508,11.586,11.508,11.515,23035,0
20050414,11.54,11.548,11.478,11.486,46080,0
20050415,11.486,11.5,11.461,11.5,22656,0
20050418,11.478,11.593,11.478,11.563,17662,0
20050419,11.563,11.625,11.555,11.563,12029,0
20050420,11.494,11.633,11.494,11.572,38402,0
20050421,11.593,11.593,11.555,11.555,16257,0
20050422,11.609,11.609,11.58,11.601,2814,0
20050425,11.58,11.649,11.58,11.586,33918,0
20050426,11.593,11.649,11.586,11.641,30205,0
20050427,11.633,11.656,11.609,11.633,5633,0
20050428,11.617,11.673,11.617,11.617,14078,0
20050429,11.625,11.665,11.601,11.665,23292,0
20050502,11.656,11.665,11.617,11.665,27134,0
20050503,11.633,11.633,11.58,11.593,52347,0
20050504,11.633,11.665,11.633,11.665,14463,0
20050505,11.625,11.673,11.593,11.609,46717,0
20050506,11.572,11.572,11.494,11.54,26241,0
20050509,11.515,11.555,11.453,11.555,41213,0
20050510,11.58,11.633,11.548,11.625,45440,0
20050511,11.593,11.673,11.593,11.625,37245,0
20050512,11.665,11.673,11.633,11.665,9857,0
20050513,11.641,11.665,11.609,11.665,18687,0
20050516,11.673,11.673,11.617,11.673,20224,0
20050517,11.649,11.681,11.641,11.656,91260,0
20050518,11.681,11.711,11.673,11.695,23938,0
20050519,11.625,11.625,11.617,11.625,15486,0
20050520,11.625,11.633,11.58,11.617,31869,0
20050523,11.593,11.711,11.593,11.711,63996,0
20050524,11.711,11.744,11.695,11.744,27520,0
20050525,11.744,11.751,11.695,11.695,29187,0
20050526,11.681,11.735,11.681,11.727,18944,0
20050527,11.744,11.781,11.711,11.759,19844,0
20050531,11.82,11.82,11.711,11.767,21120,0
20050601,11.751,11.837,11.744,11.804,24062,0
20050602,11.796,11.868,11.796,11.868,26241,0
20050603,11.86,11.97,11.86,11.899,40954,0
20050606,11.939,12.024,11.939,12.016,36477,0
20050607,12.016,12.329,12.016,12.157,43388,0
20050608,12.211,12.219,12.118,12.172,37119,0
20050609,12.188,12.188,12.142,12.15,30075,0
20050610,12.071,12.11,12.032,12.11,20095,0
20050613,12.071,12.086,11.999,12.063,46848,0
20050614,12.04,12.11,12.04,12.086,11905,0
20050615,12.063,12.102,12.024,12.078,29820,0
20050616,12.032,12.157,12.016,12.157,19199,0
20050617,12.165,12.172,12.118,12.172,24448,0
20050620,12.157,12.219,12.126,12.195,22784,0
20050621,12.172,12.18,12.032,12.094,37375,0
20050622,12.118,12.188,12.118,12.18,14463,0
20050623,12.134,12.211,12.134,12.172,25727,0
20050624,12.15,12.469,12.15,12.313,26623,0
20050627,12.266,12.305,12.211,12.305,30591,0
20050628,12.29,12.305,12.266,12.273,8958,0
20050629,12.322,12.353,12.203,12.338,46848,0
20050630,12.338,12.338,12.188,12.227,36477,0
20050701,12.219,12.219,11.977,12.055,84221,0
20050705,12.055,12.188,12.04,12.126,38402,0
20050706,12.142,12.172,12.134,12.172,41213,0
20050707,12.172,12.282,12.172,12.282,41598,0
20050708,12.266,12.282,12.219,12.282,10369,0
20050711,12.251,12.282,12.243,12.282,28800,0
20050712,12.322,12.43,12.29,12.36,32768,0
20050713,12.539,12.539,12.243,12.406,20992,0
20050714,12.43,12.454,12.366,12.438,42495,0
20050715,12.414,12.438,12.383,12.43,46972,0
20050718,12.422,12.43,12.329,12.398,53371,0
20050719,12.414,12.43,12.322,12.366,39292,0
20050720,12.366,12.469,12.266,12.469,37375,0
20050721,12.398,12.438,12.329,12.414,35839,0
20050722,12.375,12.477,12.313,12.329,42750,0
20050725,12.329,12.329,12.211,12.322,56316,0
20050726,12.329,12.36,12.273,12.305,33154,0
20050727,12.266,12.305,12.266,12.305,12289,0
20050728,12.322,12.366,12.322,12.345,12543,0
20050729,12.259,12.383,12.259,12.383,28668,0
20050801,12.353,12.398,12.298,12.383,14590,0
20050802,12.353,12.353,12.322,12.353,19199,0
20050803,12.322,12.345,12.273,12.313,26623,0
20050804,12.305,12.313,12.29,12.305,18944,0
20050805,12.282,12.282,12.195,12.195,8322,0
20050808,12.235,12.259,12.094,12.142,20480,0
20050809,12.094,12.195,12.078,12.172,26109,0
20050810,12.071,12.195,12.071,12.195,30975,0
20050811,12.195,12.227,12.172,12.227,31742,0
20050812,12.219,12.235,12.18,12.227,3973,0
20050815,12.211,12.39,12.211,12.353,96381,0
20050816,12.36,12.36,12.243,12.36,19844,0
20050817,12.282,12.353,12.282,12.338,16128,0
20050818,12.329,12.36,12.211,12.345,45563,0
20050819,12.322,12.36,12.157,12.243,43648,0
