Date,Open,High,Low,Close,Volume,OpenInt
20100809,43.934,44.054,43.846,43.934,2709429,0
20100810,43.959,44.15,43.889,43.907,172379,0
20100811,44.141,44.141,43.829,43.872,248547,0
20100812,44.063,44.063,43.533,43.775,29074,0
20100813,43.889,43.889,43.749,43.758,27564,0
20100816,43.784,44.063,43.784,44.054,32158,0
20100817,44.01,44.168,43.942,44.088,246175,0
20100818,44.236,44.236,44.088,44.097,26962,0
20100819,44.254,44.254,43.959,44.054,56378,0
20100820,43.872,44.063,43.872,44.063,24345,0
20100823,44.088,44.114,43.897,43.925,53971,0
20100824,43.758,43.915,43.758,43.889,376410,0
20100825,43.829,43.846,43.705,43.829,124389,0
20100826,43.82,44.027,43.82,43.934,250694,0
20100827,43.934,44.071,43.872,44.063,186496,0
20100830,44.027,44.045,43.915,43.951,78515,0
20100831,43.942,43.942,43.82,43.855,73573,0
20100901,43.959,44.227,43.959,44.132,71566,0
20100902,44.254,44.254,44.159,44.194,40825,0
20100903,44.227,44.452,44.227,44.343,35091,0
20100907,44.307,44.307,44.141,44.141,88611,0
20100908,44.307,44.316,44.236,44.272,25150,0
20100909,44.488,44.498,44.272,44.343,135117,0
20100910,44.584,44.611,44.393,44.445,52184,0
20100913,44.827,44.827,44.655,44.81,231741,0
20100914,44.854,44.95,44.774,44.88,259166,0
20100915,44.916,44.916,44.682,44.758,176749,0
20100916,44.758,44.758,44.593,44.749,172198,0
20100917,44.783,44.818,44.62,44.783,385057,0
20100920,44.577,44.854,44.55,44.723,157630,0
20100921,44.836,44.836,44.655,44.818,46357,0
20100922,44.934,45.071,44.854,45.048,128807,0
20100923,44.95,45.021,44.723,44.942,234275,0
20100924,45.021,45.273,45.002,45.131,135741,0
20100927,45.314,45.421,45.14,45.35,254287,0
20100928,45.395,45.506,45.264,45.47,126394,0
20100929,45.593,45.638,45.514,45.585,97796,0
20100930,45.698,45.698,45.497,45.698,111222,0
20101001,45.853,45.906,45.775,45.863,366137,0
20101004,45.673,45.76,45.612,45.698,143094,0
20101005,45.958,46.253,45.836,46.209,219359,0
20101006,46.157,46.488,46.157,46.472,344469,0
20101007,46.628,46.628,46.343,46.455,374595,0
20101008,46.464,46.655,46.352,46.593,312585,0
20101011,46.601,46.681,46.464,46.479,111476,0
20101012,46.495,46.585,46.361,46.54,271555,0
20101013,46.664,46.828,46.593,46.812,236230,0
20101014,46.87,47.046,46.804,46.906,316846,0
20101015,46.932,46.949,46.699,46.75,179011,0
20101018,46.655,46.768,46.655,46.716,73299,0
20101019,46.412,46.504,46.307,46.385,253993,0
20101020,46.479,47.28,46.091,46.54,157615,0
20101021,46.593,46.681,46.271,46.376,180110,0
20101022,46.2,46.316,46.157,46.307,121946,0
20101025,46.2,46.334,46.157,46.307,170308,0
20101026,46.2,46.2,46.117,46.174,108484,0
20101027,46.037,46.037,45.655,45.76,238290,0
20101028,46.01,46.091,45.863,46.082,119170,0
20101029,46.053,46.176,46.035,46.149,94505,0
20101101,46.289,46.54,46.2,46.28,304190,0
20101102,46.352,46.479,46.307,46.402,336188,0
20101103,46.479,46.646,46.428,46.61,303256,0
20101104,46.888,47.02,46.828,46.958,364451,0
20101105,46.795,46.87,46.708,46.836,159596,0
20101108,46.61,46.61,46.352,46.412,145726,0
20101109,46.699,46.699,46.394,46.402,177123,0
20101110,46.368,46.428,46.191,46.412,323606,0
20101111,46.218,46.227,46.091,46.14,178907,0
20101112,46.064,46.073,45.792,45.88,117599,0
20101115,45.742,45.783,45.333,45.429,255833,0
20101116,45.228,45.314,44.801,44.968,212823,0
20101117,45.021,45.193,44.985,45.055,305610,0
20101118,45.514,45.629,45.395,45.612,164830,0
20101119,45.664,45.801,45.558,45.801,180983,0
20101122,45.647,45.681,45.506,45.602,99194,0
20101123,45.193,45.193,44.959,44.994,182614,0
20101124,45.131,45.202,45.029,45.105,96950,0
20101126,44.706,44.758,44.568,44.593,48165,0
20101129,44.479,44.524,44.298,44.452,152010,0
20101130,44.515,44.706,44.272,44.471,210408,0
20101201,44.568,44.871,44.568,44.836,114807,0
20101202,44.758,45.105,44.706,45.002,106305,0
20101203,45.055,45.246,44.985,45.176,69192,0
20101206,45.167,45.369,45.071,45.306,774597,0
20101207,45.421,45.453,45.158,45.314,429644,0
20101208,45.012,45.14,44.942,45.071,541536,0
20101209,45.039,45.039,44.792,44.88,338939,0
20101210,44.854,45.002,44.783,44.959,193780,0
20101213,45.002,45.002,44.889,44.925,135824,0
20101214,44.959,44.985,44.827,44.898,98281,0
20101215,44.81,44.977,44.691,44.723,467581,0
20101216,44.611,44.783,44.611,44.732,100554,0
20101217,44.706,44.723,44.611,44.611,54696,0
20101220,44.637,44.706,44.515,44.629,182398,0
20101221,44.637,44.706,44.602,44.682,170358,0
20101222,44.393,44.498,44.325,44.452,505365,0
20101223,44.435,44.559,44.42,44.479,104353,0
20101227,44.479,44.568,44.479,44.524,54934,0
20101228,44.741,44.774,44.55,44.629,98831,0
20101229,44.677,44.833,44.633,44.824,188965,0
20101230,44.956,45.121,44.931,45.104,240558,0
20101231,45.202,45.309,45.093,45.229,74830,0
20110103,45.228,45.404,45.202,45.323,221127,0
20110104,45.369,45.429,45.219,45.323,359800,0
20110105,45.211,45.246,45.096,45.228,209046,0
20110106,45.202,45.202,44.925,44.959,99304,0
20110107,44.959,45.055,44.836,45.029,299772,0
20110110,44.749,44.783,44.577,44.774,201636,0
20110111,44.871,44.925,44.706,44.88,328799,0
20110112,44.95,45.158,44.898,45.021,180627,0
20110113,45.113,45.176,45.002,45.055,98493,0
20110114,44.827,44.959,44.774,44.889,135558,0
20110118,44.818,45.021,44.263,44.862,255263,0
20110119,44.827,44.88,44.515,44.629,192207,0
20110120,44.445,44.445,44.132,44.411,150567,0
20110121,44.298,44.367,44.245,44.359,98292,0
20110124,44.123,44.186,43.934,44.079,215137,0
20110125,43.994,44.254,43.994,44.141,161040,0
20110126,44.194,44.359,44.097,44.316,206543,0
20110127,44.298,44.452,44.106,44.106,198036,0
20110128,44.159,44.159,43.749,43.82,89184,0
20110131,43.802,43.974,43.793,43.929,119924,0
20110201,44.159,44.186,44.01,44.088,635685,0
20110202,44.132,44.307,44.106,44.15,73894,0
20110203,44.132,44.15,43.959,44.079,102755,0
20110204,44.079,44.132,43.793,43.977,336083,0
20110207,43.959,44.071,43.723,43.88,329120,0
20110208,44.097,44.227,43.907,44.168,131095,0
20110209,44.254,44.254,43.994,44.123,156927,0
20110210,44.027,44.159,43.863,44.159,201919,0
20110211,43.977,44.106,43.977,44.088,83788,0
20110214,44.018,44.132,43.951,44.079,83163,0
20110215,44.114,44.114,44.063,44.063,67745,0
20110216,44.168,44.202,44.132,44.194,166658,0
20110218,44.55,44.646,44.479,44.577,189443,0
20110222,44.35,44.35,44.15,44.176,106788,0
20110223,44.219,44.219,44.054,44.097,133513,0
20110224,44.01,44.159,44.01,44.132,104343,0
20110225,44.281,44.281,44.168,44.245,167249,0
20110228,44.351,44.351,44.291,44.344,127056,0
20110301,44.375,44.384,44.211,44.227,270057,0
20110302,44.236,44.367,44.227,44.35,192544,0
20110303,44.506,44.515,44.42,44.515,164137,0
20110304,44.55,44.593,44.479,44.541,168341,0
20110307,44.532,44.584,44.479,44.506,235120,0
20110308,44.452,44.577,44.411,44.55,210453,0
20110309,44.664,44.699,44.62,44.682,101433,0
20110310,44.673,44.673,44.435,44.435,79319,0
20110311,44.568,44.664,44.479,44.646,86408,0
20110314,44.646,44.758,44.629,44.741,136185,0
20110315,44.35,44.515,44.186,44.445,179313,0
20110316,44.498,44.498,44.227,44.236,127287,0
20110317,44.378,44.406,44.294,44.338,91388,0
20110318,44.445,44.498,44.393,44.471,90453,0
20110321,44.498,44.559,44.411,44.559,96573,0
20110322,44.62,44.732,44.584,44.723,78501,0
20110323,44.611,44.801,44.584,44.792,106314,0
20110324,44.783,44.934,44.783,44.934,152319,0
20110325,44.907,45.021,44.88,44.959,223341,0
20110328,44.758,44.959,44.758,44.959,562951,0
20110329,44.907,45.055,44.818,45.055,368689,0
20110330,44.898,45.055,44.898,45.029,227782,0
20110331,45.148,45.193,45.059,45.138,851929,0
20110401,45.395,45.395,45.176,45.314,606328,0
