Date,Open,High,Low,Close,Volume,OpenInt
20130708,19.137,19.137,19.088,19.088,634,0
20130710,19.216,19.216,19.098,19.098,768,0
20130711,19.635,19.84,19.635,19.84,4311,0
20130712,19.684,19.724,19.684,19.724,766,0
20130715,19.849,19.908,19.849,19.908,5938,0
20130716,19.762,19.762,19.734,19.734,205,0
20130718,19.938,20.104,19.879,19.879,5586,0
20130719,20.007,20.007,19.83,19.83,356,0
20130722,19.782,19.899,19.782,19.899,1741,0
20130724,20.231,20.231,19.967,19.967,3633,0
20130725,20.25,20.25,19.977,19.977,1649,0
20130726,20.007,20.007,19.977,19.977,1543,0
20130731,20.827,20.827,20.827,20.827,205,0
20130801,19.977,19.977,19.977,19.977,102,0
20130802,19.84,20.007,19.84,20.007,2301,0
20130805,19.849,19.849,19.849,19.849,358,0
20130806,19.734,19.734,19.734,19.734,165,0
20130807,19.479,19.489,19.381,19.489,2224,0
20130808,19.547,19.557,19.547,19.557,490,0
20130809,19.82,19.82,19.782,19.782,458,0
20130812,19.948,19.948,19.948,19.948,304,0
20130815,19.801,19.83,19.801,19.83,1425,0
20130819,19.41,19.41,19.283,19.283,205,0
20130820,19.078,19.137,19.068,19.137,1639,0
20130821,18.941,18.941,18.815,18.815,1024,0
20130822,19.019,19.019,19.019,19.019,1432,0
20130823,19.068,19.078,19.068,19.078,1024,0
20130827,18.443,18.443,18.425,18.425,307,0
20130903,18.688,18.727,18.639,18.678,511,0
20130904,18.756,18.756,18.717,18.727,6859,0
20130905,18.854,18.912,18.834,18.892,7012,0
20130909,19.557,19.742,19.557,19.742,1094,0
20130911,20.056,20.084,19.967,20.036,13922,0
20130912,19.958,19.967,19.792,19.792,17607,0
20130913,19.928,19.938,19.82,19.899,13410,0
20130916,20.27,20.27,20.007,20.007,19156,0
20130917,20.27,20.27,20.104,20.104,48829,0
20130918,19.967,20.446,19.908,20.446,9623,0
20130919,20.768,20.925,20.69,20.778,26717,0
20130920,20.485,20.505,20.358,20.358,4094,0
20130923,20.446,20.621,20.436,20.621,2815,0
20130925,20.356,20.356,20.161,20.2,3063,0
20130926,20.044,20.082,20.004,20.024,9697,0
20130927,19.955,19.955,19.886,19.886,306,0
20131001,19.847,19.926,19.691,19.866,11432,0
20131003,20.064,20.064,20.064,20.064,102,0
20131004,20.259,20.259,20.132,20.132,47875,0
20131007,19.916,19.916,19.916,19.916,2042,0
20131008,19.945,19.945,19.945,19.945,2042,0
20131009,20.024,20.024,19.945,19.965,3777,0
20131010,20.209,20.504,20.209,20.494,21385,0
20131011,20.484,20.553,20.376,20.553,10208,0
20131014,20.435,20.602,20.435,20.544,3777,0
20131015,20.583,20.583,20.494,20.573,1633,0
20131016,20.62,20.758,20.563,20.563,18884,0
20131017,20.67,20.798,20.67,20.749,22697,0
20131021,20.808,20.808,20.67,20.67,716,0
20131023,20.553,20.553,20.504,20.524,1837,0
20131024,20.553,20.553,20.553,20.553,367,0
20131031,20.553,20.563,20.553,20.553,2858,0
20131101,20.269,20.269,20.269,20.269,409,0
20131107,19.896,19.896,19.769,19.769,2904,0
20131108,19.612,19.612,19.612,19.612,1938,0
20131112,19.436,19.436,19.436,19.436,102,0
20131114,19.396,19.837,19.396,19.837,1278,0
20131115,20.239,20.239,20.239,20.239,102,0
20131119,20.396,20.396,20.141,20.141,918,0
20131122,19.857,19.857,19.857,19.857,102,0
20131202,19.857,19.857,19.857,19.857,102,0
20131203,19.27,19.387,19.27,19.387,561,0
20131209,19.642,19.642,19.573,19.602,1226,0
20131213,18.936,18.936,18.936,18.936,1021,0
20131216,19.093,19.093,19.093,19.093,102,0
20131224,19.191,19.191,19.191,19.191,753,0
20131226,19.182,19.182,19.122,19.122,1633,0
20131230,19.434,19.434,19.354,19.354,406,0
20140103,18.762,18.762,18.762,18.762,1417,0
20140107,18.664,18.664,18.664,18.664,123,0
20140108,18.614,18.614,18.614,18.614,101,0
20140116,18.574,18.574,18.574,18.574,506,0
20140117,18.614,18.614,18.564,18.564,712,0
20140124,18.14,18.14,17.934,17.944,13543,0
20140127,17.864,17.924,17.814,17.864,810,0
20140128,17.953,17.953,17.884,17.904,1216,0
20140205,17.321,17.331,17.321,17.321,1417,0
20140224,18.328,18.495,18.328,18.456,1063,0
20140304,18.368,18.408,18.368,18.408,549,0
20140305,18.308,18.328,18.308,18.328,475,0
20140310,18.338,18.338,18.338,18.338,198,0
20140314,18.338,18.338,18.258,18.258,3465,0
20140319,18.535,18.535,18.476,18.476,456,0
20140320,18.446,18.446,18.378,18.378,3559,0
20140402,19.501,19.54,19.501,19.521,603,0
20140403,19.58,19.58,19.351,19.521,1197,0
20140404,19.808,19.818,19.7,19.818,1877,0
20140408,20.067,20.107,20.067,20.107,1408,0
20140411,19.799,19.898,19.799,19.898,1207,0
20140424,19.68,19.68,19.491,19.64,9558,0
20140425,19.531,19.531,19.371,19.461,38436,0
20140428,19.6,19.6,19.401,19.451,39879,0
20140501,19.858,19.858,19.63,19.63,10564,0
20140502,19.58,19.789,19.501,19.769,8351,0
20140505,19.59,19.61,19.59,19.61,2213,0
20140506,19.63,19.789,19.63,19.73,4861,0
20140507,19.878,19.958,19.878,19.938,816,0
20140508,20.157,20.157,20.077,20.087,302,0
20140509,19.988,20.058,19.928,19.928,13482,0
20140513,20.296,20.326,20.266,20.266,4572,0
20140519,20.505,20.505,20.505,20.505,259,0
20140521,20.663,20.663,20.246,20.435,1308,0
20140523,20.465,20.465,20.465,20.465,508,0
20140527,20.196,20.196,20.117,20.117,4226,0
20140528,20.276,20.276,20.206,20.236,20639,0
20140529,20.365,20.365,20.246,20.246,1819,0
20140610,20.246,20.246,20.246,20.246,100,0
20140620,20.525,20.525,20.525,20.525,1208,0
20140623,20.465,20.505,20.445,20.475,4829,0
20140624,20.575,20.613,20.565,20.604,8152,0
20140626,20.442,20.482,20.442,20.482,1083,0
20140701,20.631,20.631,20.542,20.552,3714,0
20140702,20.621,20.641,20.582,20.611,3413,0
20140710,20.611,20.611,20.611,20.611,1506,0
20140711,20.92,20.92,20.801,20.92,373,0
20140804,20.851,20.88,20.831,20.87,7329,0
20140822,21.289,21.309,21.279,21.289,1606,0
20140827,21.518,21.538,21.498,21.508,3015,0
20140828,21.319,21.319,21.319,21.319,377,0
20140908,21.508,21.508,21.508,21.508,0,0
20140915,20.472,20.532,20.472,20.532,1405,0
20140917,20.731,20.731,20.731,20.731,402,0
20140919,20.313,20.313,20.303,20.303,2108,0
20140926,19.89,19.89,19.89,19.89,1500,0
20141001,19.22,19.22,19.22,19.22,1426,0
20141002,19.03,19.03,19.03,19.03,400,0
20141007,19.69,19.7,19.65,19.65,3600,0
20141008,19.5,19.5,19.5,19.5,1300,0
20141010,19.29,19.29,19.29,19.29,158,0
20141015,19.16,19.16,19.16,19.16,900,0
20141024,19.23,19.26,19.23,19.26,1910,0
20141104,19.54,19.54,19.54,19.54,100,0
20141106,18.99,18.99,18.98,18.98,1200,0
20141121,19.53,19.53,19.5,19.5,1211,0
20141203,18.71,18.83,18.71,18.73,3510,0
20141210,18.08,18.08,18,18,200,0
20141215,17.21,17.21,17.21,17.21,500,0
20141216,16.9,16.9,16.9,16.9,100,0
20141224,16.9,16.9,16.9,16.9,200,0
