Date,Open,High,Low,Close,Volume,OpenInt
20050225,2.5314,2.5314,2.4899,2.5314,1567,0
20050228,2.5314,2.5314,2.5314,2.5314,362,0
20050302,2.5314,2.5397,2.5314,2.5397,1205,0
20050303,2.4982,2.4982,2.4982,2.4982,1205,0
20050304,2.5314,2.5646,2.5314,2.5563,6144,0
20050307,2.5563,2.5563,2.5314,2.5314,362,0
20050308,2.4982,2.4982,2.4982,2.4982,3856,0
20050309,2.5065,2.5065,2.5065,2.5065,121,0
20050311,2.4982,2.4982,2.4899,2.4899,9037,0
20050314,2.5314,2.5646,2.4899,2.5314,12772,0
20050315,2.5232,2.5314,2.5232,2.5314,1326,0
20050316,2.5314,2.5563,2.5232,2.5232,723,0
20050317,2.5314,2.5314,2.4899,2.4899,6144,0
20050321,2.4982,2.5314,2.4982,2.5314,723,0
20050322,2.4982,2.5314,2.4899,2.5314,3976,0
20050323,2.5065,2.5065,2.5065,2.5065,1205,0
20050324,2.4899,2.4899,2.4899,2.4899,1686,0
20050328,2.4982,2.5646,2.4899,2.4899,1446,0
20050329,2.5646,2.5978,2.5646,2.5978,3132,0
20050330,2.6393,2.6393,2.5978,2.6144,3253,0
20050331,2.6144,2.6393,2.6144,2.6393,3374,0
20050401,2.5729,2.5729,2.5729,2.5729,121,0
20050404,2.5895,2.5895,2.5729,2.5729,964,0
20050405,2.548,2.5646,2.4484,2.5148,17832,0
20050406,2.5563,2.5895,2.5563,2.5895,1686,0
20050407,2.6061,2.6061,2.5812,2.5812,1446,0
20050408,2.5978,2.5978,2.5978,2.5978,121,0
20050411,2.6476,2.6476,2.6144,2.6144,3494,0
20050412,2.6144,2.6144,2.6144,2.6144,362,0
20050414,2.6227,2.6227,2.5729,2.5729,2410,0
20050415,2.4817,2.5314,2.4484,2.4484,4217,0
20050418,2.4899,2.4982,2.4817,2.4899,5181,0
20050419,2.4982,2.5729,2.4982,2.5729,6025,0
20050420,2.5314,2.5314,2.5314,2.5314,1205,0
20050422,2.5314,2.5729,2.5314,2.5729,723,0
20050426,2.5314,2.5563,2.5314,2.5563,1928,0
20050427,2.5812,2.5812,2.5314,2.5729,1326,0
20050429,2.5397,2.6144,2.5397,2.6144,16748,0
20050502,2.5729,2.6144,2.5729,2.5812,1807,0
20050503,2.5812,2.6393,2.5812,2.6393,1686,0
20050504,2.6144,2.6476,2.5729,2.5729,4699,0
20050505,2.5812,2.6144,2.5812,2.5978,2410,0
20050506,2.6144,2.6144,2.6144,2.6144,843,0
20050509,2.6393,2.6393,2.6393,2.6393,1205,0
20050510,2.5729,2.5729,2.5314,2.5729,2289,0
20050511,2.5314,2.5729,2.5314,2.5729,241,0
20050512,2.5314,2.5314,2.4817,2.4899,4337,0
20050513,2.4982,2.5148,2.4899,2.5148,3374,0
20050516,2.5729,2.5729,2.4484,2.4899,12651,0
20050517,2.4899,2.5232,2.4484,2.4484,1567,0
20050518,2.4484,2.4567,2.4484,2.4567,723,0
20050519,2.4484,2.4484,2.3738,2.3738,15181,0
20050520,2.3654,2.382,2.2492,2.2492,8434,0
20050523,2.1247,2.1994,2.0915,2.0915,43616,0
20050524,2.0998,2.1247,2.0998,2.1247,2530,0
20050525,2.0915,2.0915,2.075,2.0915,8314,0
20050526,2.075,2.075,1.992,2.0335,1567,0
20050527,2.0335,2.1081,2.0251,2.1081,2651,0
20050531,2.0335,2.1165,2.0335,2.0998,9037,0
20050601,2.1247,2.1496,2.1165,2.1496,1686,0
20050606,2.1247,2.1247,2.1165,2.1247,3856,0
20050607,2.1247,2.1496,2.1247,2.1496,2048,0
20050608,2.133,2.133,2.133,2.133,121,0
20050609,2.1165,2.1165,2.0335,2.05,43737,0
20050610,2.05,2.05,2.05,2.05,723,0
20050613,2.05,2.05,2.0168,2.0335,4337,0
20050614,2.0335,2.0417,2.0335,2.0417,7590,0
20050615,2.05,2.05,1.992,2.0335,3012,0
20050616,2.0335,2.0335,2.0002,2.0002,3976,0
20050617,2.0086,2.0086,1.8923,1.8923,19278,0
20050620,1.9089,1.9504,1.9089,1.9421,5301,0
20050621,1.9504,1.9587,1.8757,1.8757,28315,0
20050622,1.8757,1.8757,1.8508,1.8592,9639,0
20050623,1.8508,1.9007,1.8508,1.9007,2651,0
20050624,1.9007,1.9007,1.9007,1.9007,121,0
20050627,1.9836,2.1496,1.9504,2.1496,12651,0
20050628,2.1496,2.158,2.1496,2.1496,3374,0
20050629,2.158,2.158,2.1165,2.1496,6144,0
20050630,2.158,2.158,2.075,2.1165,4337,0
20050701,2.075,2.075,2.075,2.075,964,0
20050705,2.0335,2.1165,2.0335,2.1165,1807,0
20050706,2.158,2.158,2.1496,2.158,6988,0
20050707,2.158,2.158,2.158,2.158,843,0
20050708,2.158,2.1994,2.158,2.1994,4820,0
20050711,2.1994,2.1994,2.1994,2.1994,241,0
20050712,2.2077,2.2077,2.158,2.1994,1205,0
20050713,2.158,2.1994,2.158,2.1994,2530,0
20050715,2.2409,2.3239,2.2409,2.3239,1326,0
20050718,2.2409,2.2409,2.2409,2.2409,602,0
20050719,2.2908,2.2908,2.2908,2.2908,602,0
