Date,Open,High,Low,Close,Volume,OpenInt
20050228,12.414,12.414,12.414,12.414,396,0
20050301,12.533,12.533,12.533,12.533,903,0
20050302,12.533,12.533,12.391,12.391,1672,0
20050303,12.639,12.648,12.639,12.648,1407,0
20050304,12.648,12.648,12.648,12.648,1157,0
20050307,12.578,12.648,12.578,12.648,769,0
20050308,12.648,12.648,12.648,12.648,3726,0
20050310,12.578,12.586,12.57,12.57,6937,0
20050311,12.57,12.944,12.57,12.734,12461,0
20050314,12.68,12.688,12.57,12.639,9253,0
20050315,12.533,12.562,12.533,12.562,1026,0
20050316,12.533,12.533,12.533,12.533,769,0
20050317,12.485,12.57,12.414,12.57,644,0
20050318,12.493,12.727,12.493,12.688,1407,0
20050321,12.688,12.688,12.375,12.375,7966,0
20050323,12.283,12.321,12.188,12.321,6164,0
20050324,12.313,12.313,12.258,12.258,903,0
20050328,12.258,12.258,12.103,12.103,4234,0
20050329,12.135,12.25,11.597,11.737,29161,0
20050330,11.691,11.712,11.691,11.705,3599,0
20050331,11.705,11.753,11.558,11.597,15674,0
20050401,11.614,11.675,11.614,11.675,4496,0
20050404,11.682,11.712,11.682,11.712,1544,0
20050405,11.721,11.753,11.675,11.675,4368,0
20050406,11.762,11.792,11.762,11.792,2573,0
20050407,11.691,11.792,11.691,11.792,769,0
20050411,11.801,11.838,11.801,11.838,2050,0
20050413,11.948,12.033,11.948,12.033,4368,0
20050414,12.048,12.143,12.048,12.143,2050,0
20050415,12.143,12.143,12.143,12.143,1544,0
20050418,12.338,12.375,12.298,12.375,12461,0
20050419,12.375,12.414,12.346,12.375,6555,0
20050420,12.221,12.242,12.188,12.242,4496,0
20050421,12.234,12.234,12.088,12.088,3083,0
20050422,12.182,12.298,12.174,12.298,1927,0
20050425,12.266,12.266,12.221,12.221,1284,0
20050426,12.159,12.213,12.159,12.213,1157,0
20050427,12.228,12.375,12.228,12.375,4496,0
20050428,12.399,12.453,12.338,12.338,2440,0
20050429,12.414,12.414,12.414,12.414,1157,0
20050502,12.368,12.414,12.313,12.414,2187,0
20050503,12.298,12.375,12.204,12.204,10278,0
20050504,12.174,12.258,11.987,11.987,7194,0
20050505,11.877,11.979,11.869,11.979,2308,0
20050506,11.877,11.9,11.712,11.869,4368,0
20050509,11.869,11.9,11.729,11.893,12077,0
20050510,11.855,11.855,11.675,11.801,10796,0
20050511,11.801,11.801,11.801,11.801,769,0
20050512,11.762,11.762,11.745,11.745,5143,0
20050513,11.675,11.855,11.675,11.768,8479,0
20050516,11.83,11.869,11.83,11.869,903,0
20050517,11.792,11.861,11.745,11.745,5143,0
20050518,11.753,11.855,11.729,11.855,9890,0
20050519,11.855,11.893,11.855,11.893,1927,0
20050524,11.9,11.94,11.9,11.932,2573,0
20050525,11.948,11.987,11.932,11.987,3726,0
20050526,12.002,12.095,12.002,12.095,4882,0
20050527,12.095,12.095,12.095,12.095,396,0
20050531,12.126,12.126,12.126,12.126,769,0
20050601,12.088,12.135,12.064,12.135,5009,0
20050602,12.033,12.071,12.026,12.033,4114,0
20050603,12.026,12.048,11.979,11.987,10918,0
20050606,12.002,12.002,11.907,11.907,1026,0
20050607,11.907,12.242,11.907,12.228,19017,0
20050608,12.221,12.221,12.08,12.174,4368,0
20050609,12.174,12.174,12.08,12.135,5399,0
20050610,12.126,12.126,12.018,12.018,3726,0
20050613,12.018,12.018,11.932,11.972,3855,0
20050614,11.964,11.964,11.932,11.932,903,0
20050615,11.94,11.948,11.847,11.847,4114,0
20050616,11.987,12.182,11.948,11.948,8609,0
20050617,11.948,12.064,11.948,12.056,2187,0
20050620,12.026,12.026,12.026,12.026,248,0
20050621,12.002,12.064,12.002,12.002,3468,0
20050622,12.002,12.103,11.995,11.995,3599,0
20050623,12.018,12.103,12.018,12.103,513,0
20050624,12.221,12.338,12.221,12.338,2440,0
20050627,12.338,12.453,12.338,12.408,6681,0
20050628,12.408,12.453,12.408,12.453,1927,0
20050629,12.338,12.338,12.298,12.298,1544,0
20050630,12.298,12.298,12.298,12.298,148,0
20050701,12.174,12.174,12.064,12.103,13621,0
20050705,12.103,12.119,12.103,12.119,1927,0
20050706,12.026,12.026,12.026,12.026,769,0
20050707,12.04,12.174,11.964,12.159,5009,0
20050711,12.159,12.166,12.135,12.135,769,0
20050712,12.174,12.174,12.159,12.166,903,0
20050713,12.151,12.213,12.018,12.182,6041,0
20050714,12.228,12.228,12.228,12.228,513,0
20050715,12.182,12.313,12.056,12.313,3599,0
20050718,12.321,12.321,12.095,12.095,1284,0
20050719,12.103,12.103,12.088,12.088,396,0
20050720,12.088,12.204,12.08,12.103,3726,0
20050721,12.08,12.08,12.08,12.08,644,0
20050722,12.018,12.018,12.018,12.018,6041,0
20050725,12.018,12.018,11.948,11.948,4234,0
20050726,11.956,12.018,11.956,12.018,3216,0
20050727,12.002,12.002,12.002,12.002,396,0
20050728,11.964,12.018,11.964,12.018,1026,0
20050729,11.964,11.987,11.948,11.987,7966,0
20050801,12.026,12.033,12.026,12.033,248,0
20050802,12.04,12.04,12.04,12.04,248,0
20050803,12.033,12.126,12.033,12.126,3726,0
20050804,12.095,12.095,12.095,12.095,148,0
20050805,12.026,12.026,12.026,12.026,148,0
20050808,12.064,12.064,12.064,12.064,148,0
20050809,12.026,12.064,11.893,12.064,1026,0
20050810,12.143,12.298,12.143,12.221,2050,0
20050811,12.026,12.283,12.026,12.283,4234,0
20050812,12.313,12.338,12.305,12.305,3083,0
20050815,12.196,12.196,12.119,12.119,1284,0
20050816,12.135,12.648,12.135,12.562,20296,0
20050817,12.578,12.578,12.508,12.508,1284,0
20050818,12.453,12.453,12.453,12.453,644,0
20050819,12.414,12.414,12.414,12.414,769,0
20050822,12.422,12.422,12.422,12.422,248,0
20050823,12.429,12.429,12.422,12.422,1544,0
20050824,12.461,12.469,12.453,12.453,1407,0
20050825,12.391,12.391,12.391,12.391,248,0
20050829,12.391,12.391,12.391,12.391,513,0
20050830,12.453,12.765,12.453,12.765,4752,0
20050831,12.757,12.92,12.757,12.843,11435,0
20050901,12.92,12.92,12.92,12.92,396,0
20050902,13.038,13.038,12.96,13.03,4752,0
20050906,13.038,13.038,13.038,13.038,1026,0
20050907,12.92,12.92,12.92,12.92,1407,0
20050908,12.997,13.271,12.997,13.271,6164,0
20050909,13.16,13.16,13.145,13.145,903,0
20050912,13.077,13.085,13.077,13.085,1672,0
20050913,13.077,13.077,13.038,13.038,1284,0
20050914,13.022,13.022,12.859,12.875,7707,0
20050915,12.92,12.928,12.882,12.882,2573,0
20050916,12.96,13.077,12.843,13.077,5143,0
