Date,Open,High,Low,Close,Volume,OpenInt
20101213,28.858,28.858,28.831,28.831,1325,0
20101214,28.877,28.877,28.877,28.877,2013,0
20101215,28.754,28.858,28.688,28.688,57223,0
20101216,28.594,28.594,28.594,28.594,318,0
20101220,29.057,29.066,28.906,28.906,1152,0
20101221,29.161,29.292,29.161,29.292,847,0
20101222,29.33,29.387,29.33,29.368,4823,0
20101223,29.33,29.33,29.33,29.33,635,0
20101227,29.17,29.179,29.17,29.179,3180,0
20101228,29.273,29.273,29.273,29.273,425,0
20101229,29.345,29.345,29.345,29.345,531,0
20101230,29.402,29.402,29.402,29.402,1144,0
20101231,29.327,29.394,29.327,29.394,531,0
20110103,29.575,29.717,29.575,29.603,47949,0
20110104,29.594,29.594,29.253,29.349,7683,0
20110105,29.425,29.613,29.425,29.613,1950,0
20110106,29.555,29.641,29.5,29.5,1634,0
20110107,29.32,29.32,29.301,29.301,1907,0
20110110,29.435,29.584,29.435,29.584,2973,0
20110111,29.594,29.756,29.594,29.698,67537,0
20110112,29.924,29.972,29.924,29.953,1838,0
20110113,30.01,30.038,30,30,1974,0
20110114,30.038,30.038,30.038,30.038,425,0
20110120,29.764,29.774,29.613,29.613,1802,0
20110121,29.774,29.774,29.632,29.651,55048,0
20110124,29.831,29.896,29.831,29.886,6445,0
20110125,29.793,29.793,29.727,29.727,339,0
20110126,30.085,30.143,29.962,30.143,3846,0
20110127,30.274,30.293,30.264,30.293,3019,0
20110128,30.274,30.274,29.746,29.746,8954,0
20110131,30.119,30.119,30.032,30.032,3398,0
20110201,30.378,30.445,30.378,30.445,1091,0
20110203,30.482,30.482,30.283,30.283,637,0
20110204,30.604,30.641,30.463,30.641,2966,0
20110207,30.822,30.925,30.822,30.877,4977,0
20110208,30.867,30.944,30.867,30.944,3074,0
20110209,30.858,30.858,30.858,30.858,159,0
20110210,30.896,30.982,30.896,30.982,5849,0
20110211,30.934,31.227,30.934,31.227,2225,0
20110214,31.265,31.36,31.265,31.36,345,0
20110215,31.274,31.274,31.274,31.274,102,0
20110216,31.453,31.538,31.444,31.501,903,0
20110218,31.708,31.717,31.708,31.717,8962,0
20110222,31.434,31.463,30.934,30.934,4037,0
20110223,30.849,30.849,30.472,30.718,1960,0
20110224,30.765,30.765,30.699,30.765,370,0
20110225,30.934,31.151,30.934,31.151,8652,0
20110228,31.354,31.354,31.306,31.306,2333,0
20110301,30.935,30.935,30.775,30.775,874,0
20110302,30.935,30.935,30.935,30.935,159,0
20110303,31.323,31.464,31.323,31.436,2074,0
20110304,31.425,31.425,31.095,31.189,86825,0
20110307,31.274,31.274,31.274,31.274,212,0
20110308,31.001,31.265,30.896,31.245,32825,0
20110309,31.151,31.161,31.02,31.132,2268,0
20110310,30.868,30.868,30.575,30.575,2095,0
20110311,30.435,30.832,30.435,30.757,3410,0
20110314,30.737,30.737,30.613,30.613,598,0
20110315,30.114,30.594,30.02,30.594,2949,0
20110316,30.425,30.557,30.293,30.293,1871,0
20110317,30.501,30.501,30.31,30.358,5193,0
20110318,30.737,30.765,30.454,30.463,25200,0
20110321,31.087,31.087,31.05,31.077,634,0
20110322,31.021,31.021,30.916,30.916,1374,0
20110323,30.757,31.068,30.718,31.002,12937,0
20110324,31.199,31.352,31.181,31.352,3313,0
20110325,31.455,31.559,31.455,31.559,4862,0
20110328,31.655,31.655,31.484,31.484,2380,0
20110329,31.53,31.645,31.53,31.645,5100,0
20110330,31.853,31.984,31.853,31.984,5289,0
20110331,31.985,32.023,31.947,32.023,3422,0
20110401,32.258,32.296,32.194,32.268,1590,0
20110404,32.353,32.353,32.155,32.155,9393,0
20110405,32.268,32.343,32.22,32.324,10537,0
20110406,32.41,32.41,32.249,32.362,10672,0
20110407,32.22,32.296,32.136,32.268,3273,0
20110408,32.42,32.42,31.946,31.946,8989,0
20110411,32.022,32.098,31.871,31.881,12029,0
20110412,31.719,31.719,31.512,31.54,1602,0
20110413,31.777,31.777,31.578,31.671,3637,0
20110414,31.522,31.663,31.464,31.635,10616,0
20110415,31.777,31.974,31.719,31.956,4258,0
20110418,31.512,31.719,31.388,31.569,11541,0
20110419,31.559,31.69,31.53,31.681,9439,0
20110420,32.127,32.184,32.108,32.155,9655,0
20110421,32.249,32.391,32.249,32.381,4413,0
20110425,32.429,32.429,32.372,32.372,1693,0
20110426,32.495,32.665,32.467,32.608,10195,0
20110427,32.579,32.845,32.561,32.845,25696,0
20110428,32.855,32.948,32.788,32.874,40939,0
20110429,32.919,33.043,32.9,32.967,11432,0
20110502,33.052,33.204,32.864,32.91,40915,0
20110503,32.864,32.864,32.448,32.579,16820,0
20110504,32.362,32.362,32.211,32.343,17735,0
20110505,32.136,32.343,31.993,32.184,5333,0
20110506,32.588,32.608,32.276,32.372,30211,0
20110509,32.391,32.608,32.362,32.588,11978,0
20110510,32.741,33.005,32.741,32.91,8958,0
20110511,32.864,32.864,32.495,32.542,5784,0
20110512,32.391,32.845,32.362,32.759,3458,0
20110513,32.769,32.807,32.514,32.561,3215,0
20110516,32.448,32.636,32.23,32.23,10718,0
20110517,32.136,32.239,31.919,32.127,15012,0
20110518,32.401,32.598,32.372,32.598,5838,0
20110519,32.759,32.778,32.608,32.608,2179,0
20110520,32.57,32.57,32.353,32.353,1338,0
20110523,32.079,32.127,31.946,32.041,45705,0
20110524,32.098,32.127,31.946,31.965,6332,0
20110525,31.974,32.165,31.974,32.165,820,0
20110526,32.155,32.391,32.155,32.391,18981,0
20110527,32.65,32.65,32.575,32.575,2222,0
20110531,32.947,32.947,32.624,32.767,10614,0
20110601,32.769,32.769,32.136,32.136,1113,0
20110602,32.239,32.258,32.012,32.108,83126,0
20110603,31.655,31.89,31.484,31.881,7063,0
20110606,31.493,31.493,31.191,31.199,3349,0
20110607,31.344,31.542,31.344,31.486,3129,0
20110608,31.022,31.06,31.022,31.051,2310,0
20110609,31.21,31.344,31.088,31.335,33768,0
20110610,31.022,31.041,30.813,30.813,18946,0
20110613,30.859,30.859,30.585,30.822,4418,0
20110614,31.078,31.287,31.078,31.287,639,0
20110615,31.088,31.098,30.719,30.775,2151,0
20110616,30.859,30.898,30.491,30.491,21404,0
20110617,30.964,30.964,30.775,30.775,869,0
20110620,30.794,30.974,30.775,30.936,3496,0
20110621,31.135,31.561,31.135,31.524,4272,0
20110622,31.561,31.722,31.447,31.447,229357,0
20110623,30.898,31.354,30.842,31.354,2972,0
20110624,31.239,31.239,31.183,31.23,2765,0
20110627,31.21,31.306,31.135,31.306,2119,0
20110628,31.344,31.665,31.344,31.665,1293,0
20110629,31.912,32.073,31.912,31.987,6248,0
20110630,32.214,32.309,32.214,32.252,75051,0
20110701,32.252,32.755,32.233,32.746,3867,0
20110705,32.841,32.841,32.66,32.727,14463,0
20110706,32.583,32.831,32.583,32.812,6094,0
20110707,33.115,33.218,33.048,33.163,39193,0
20110708,32.783,32.886,32.66,32.886,24226,0
20110711,32.299,32.299,32.13,32.13,10467,0
20110712,32.121,32.29,32.111,32.111,10411,0
20110713,32.205,32.546,32.149,32.178,13329,0
20110714,32.252,32.252,31.789,31.817,6577,0
20110715,31.969,32.073,31.874,32.073,123788,0
20110718,31.732,31.874,31.486,31.619,3167,0
20110719,31.94,32.252,31.922,32.233,2016,0
20110720,32.299,32.309,32.121,32.197,11713,0
20110721,32.357,32.603,32.328,32.593,24400,0
20110722,32.546,32.698,32.546,32.66,16010,0
20110725,32.309,32.583,32.28,32.424,6745,0
20110726,32.417,32.417,32.207,32.226,4116,0
20110727,31.922,31.94,31.4,31.419,15565,0
20110728,31.61,31.658,31.258,31.258,1904,0
20110729,30.85,31.306,30.747,31.116,15543,0
20110801,31.409,31.524,30.719,30.974,36795,0
20110802,30.907,30.916,30.025,30.053,16582,0
20110803,29.932,30.132,29.306,30.132,94169,0
20110804,29.364,29.412,28.303,28.323,40344,0
20110805,28.607,28.644,27.185,27.952,164875,0
20110808,27.1,27.252,25.726,25.811,268176,0
20110809,26.304,27.375,25.746,27.375,227796,0
20110810,26.636,27.119,26.54,26.665,28411,0
20110811,26.617,27.668,26.494,27.668,12458,0
20110812,28,28.029,27.63,27.857,19161,0
20110815,28.208,28.607,28.16,28.607,44393,0
20110816,28.265,28.445,28.095,28.323,102661,0
20110817,28.511,28.511,28,28.142,42620,0
20110818,27.072,27.119,26.53,26.54,116692,0
20110819,26.569,26.891,26.361,26.39,9588,0
20110822,26.834,26.834,26.153,26.266,13884,0
20110823,26.266,27.232,26.219,27.232,45028,0
20110824,27.213,27.232,27.072,27.1,1769,0
20110825,27.801,27.829,26.987,27.194,17031,0
20110826,26.503,27.63,26.503,27.592,23500,0
20110829,28.179,28.644,28.179,28.644,4818,0
20110830,28.493,29.022,28.36,28.833,186850,0
20110831,29.089,29.375,28.746,28.928,122660,0
20110901,29.042,29.354,28.501,28.54,32915,0
20110902,27.955,28.118,27.67,27.774,27892,0
20110906,26.998,27.585,26.96,27.567,30468,0
20110907,28.127,28.535,28.004,28.535,9664,0
20110908,28.336,28.658,28.136,28.174,27008,0
20110909,27.757,27.927,27.225,27.444,22548,0
20110912,27.043,27.479,26.881,27.479,24547,0
20110913,27.577,27.937,27.538,27.937,16724,0
20110914,28.061,28.544,27.738,28.317,12166,0
20110915,28.483,28.671,28.407,28.671,26358,0
20110916,28.734,28.753,28.564,28.715,7770,0
20110919,28.033,28.298,28.033,28.298,3840,0
20110920,28.573,28.583,28.202,28.202,12025,0
20110921,28.136,28.146,27.244,27.244,4474,0
20110922,26.324,26.486,25.925,26.192,106247,0
20110923,26.192,26.419,26.192,26.381,14680,0
20110926,26.695,26.695,26.163,26.532,8789,0
20110927,27.567,27.899,27.378,27.378,36072,0
20110928,27.463,27.472,26.666,26.666,9421,0
20110929,26.95,26.95,26.211,26.704,9176,0
20110930,26.226,26.503,26.036,26.036,14940,0
20111003,25.584,26.106,24.777,24.834,74865,0
20111004,24.644,25.128,24.36,24.72,80311,0
20111005,25.584,26.333,25.451,26.333,26324,0
20111006,26.228,26.96,26.228,26.96,45927,0
20111007,27.037,27.093,26.429,26.618,38448,0
20111010,27.406,27.5,27.225,27.5,16073,0
20111011,27.273,27.595,27.273,27.548,23347,0
20111012,27.805,28.193,27.805,27.899,3939,0
20111013,27.662,28.004,27.472,27.937,14501,0
20111014,28.45,28.45,28.07,28.44,8290,0
20111017,28.033,28.033,27.776,27.776,1139,0
20111018,27.823,28.44,27.463,28.44,11536,0
20111019,28.26,28.478,28.014,28.014,8030,0
20111020,27.966,28.033,27.757,27.995,5279,0
20111021,28.506,28.763,28.43,28.658,64531,0
