Date,Open,High,Low,Close,Volume,OpenInt
20130529,96.75,96.78,95.5,96.33,8682,0
20130530,96.74,97.9,96.74,97.48,8248,0
20130531,95.47,96,93.82,93.82,13049,0
20130603,94.28,95.19,93.04,95.19,4019,0
20130604,95.94,95.94,94.39,94.91,4849,0
20130605,93.71,93.79,91.93,91.93,25431,0
20130606,92.84,92.84,91.29,92.83,6745,0
20130607,92.91,94.82,92.85,94.78,20513,0
20130610,94.59,94.9,94.04,94.89,6419,0
20130611,91.69,93.13,91.69,92.88,4105,0
20130612,94.21,94.21,92.49,92.76,4075,0
20130613,92.48,94.68,92.35,94.68,2136,0
20130614,93.51,93.55,92.45,92.83,9007,0
20130617,95.83,96.2,93.98,95.11,2026,0
20130618,95.22,95.7,95.21,95.7,3194,0
20130619,94.74,95.28,92.12,92.12,2491,0
20130620,88.09,88.13,85.25,85.54,5631,0
20130621,85.29,86.34,83.01,84.41,13308,0
20130624,79.8,82,79.76,81.8,9118,0
20130625,82.17,83.77,82.17,83.64,1994,0
20130626,85.7,85.7,84.94,85.42,6477,0
20130627,87.27,87.27,86.19,86.65,4729,0
20130628,85.89,86.17,85.18,85.46,16600,0
20130701,87.64,87.74,87.15,87.18,3927,0
20130702,86.43,86.62,84.79,85.46,4680,0
20130703,83.59,84.87,83.44,84.87,2717,0
20130705,85.5,85.62,84.65,85.05,1748,0
20130708,87.1,87.73,86.66,87.21,20946,0
20130709,88.14,88.14,87.2,87.87,7019,0
20130710,88.37,89.36,88.37,89.07,1600,0
20130711,92.16,93.8,91.74,93.8,2314,0
20130712,92.54,92.54,92.12,92.12,3000,0
20130715,92.77,93.37,92.77,93.31,5400,0
20130716,93.15,93.17,92.51,93.17,1726,0
20130717,94.21,94.36,93.19,93.6,2342,0
20130718,94.07,94.73,94.07,94.7,991,0
20130719,94.15,95.33,94.15,95.03,2084,0
20130722,95.51,96.43,95.48,96.25,6830,0
20130723,96.31,96.48,96.31,96.46,310,0
20130724,96.81,97.01,96.17,96.41,3539,0
20130725,96.4,97.35,96.4,97.28,5000,0
20130726,95.79,96.8,95.26,96.8,959,0
20130729,95.75,96.03,95.21,95.93,8304,0
20130730,95.93,95.93,94.65,95.13,2625,0
20130731,95.78,97.37,95.78,97.37,7120,0
20130801,97.64,98.29,97.31,97.98,2800,0
20130802,98.92,99.03,98.92,99.03,300,0
20130805,98.22,98.59,97.83,98.54,6270,0
20130806,98.89,98.89,97.95,98.16,3545,0
20130807,98.26,98.7,98.1,98.7,13435,0
20130808,99.32,100.32,99.24,100.32,2628,0
20130809,100.34,100.72,100.1,100.6,2209,0
20130812,99.44,99.79,99.29,99.75,5722,0
20130813,99.47,101,99,100.92,17736,0
20130814,100.94,101.2,100.84,101.07,2780,0
20130815,98.56,100,97.8,99.95,4357,0
20130816,100.22,100.47,100.08,100.43,3530,0
20130819,99.46,99.46,98.62,98.62,564,0
20130820,98.81,99.86,98.8,99.65,16982,0
20130821,98.65,98.65,97.39,97.76,780959,0
20130822,99.1,99.36,98.72,99.36,5056,0
20130823,100.31,100.89,99.9,100.89,14761,0
20130826,100.45,100.79,99.8,100.5,40868,0
20130827,97.87,98.11,96.52,96.52,12225,0
20130828,95.95,96.59,95.3,96.17,30714,0
20130829,95.5,95.58,95.2,95.47,3090,0
20130830,94.46,94.58,93.57,93.97,11145,0
20130903,96.76,96.79,95.05,96.06,55142,0
20130904,95.46,97.4,94.92,97.17,9369,0
20130905,96.95,97.25,96.26,97.15,7214,0
20130906,97.87,98.91,97.18,98.43,6215,0
20130909,99,100.16,98.84,99.78,9371,0
