Date,Open,High,Low,Close,Volume,OpenInt
20120223,28.893,28.893,28.893,28.893,525,0
20120228,29.473,30.319,29.473,29.491,525,0
20120229,29.316,29.316,29.268,29.268,842,0
20120301,29.52,29.568,29.52,29.568,1052,0
20120302,29.377,29.377,29.377,29.377,1140,0
20120309,28.846,28.846,28.846,28.846,210,0
20120314,29.301,29.301,29.301,29.301,210,0
20120316,29.701,29.701,29.701,29.701,336,0
20120323,29.805,29.805,29.805,29.805,336,0
20120417,28.893,28.893,28.893,28.893,210,0
20120418,28.864,28.864,28.864,28.864,305,0
20120424,28.293,28.293,28.293,28.293,210,0
20120517,26.22,26.287,26.135,26.135,471,0
20120523,25.783,26.154,25.783,26.144,16681,0
20120524,25.926,25.926,25.735,25.821,1858,0
20120525,25.812,26.106,25.812,25.897,54776,0
20120529,26.334,26.334,26.173,26.173,947,0
20120530,25.555,25.555,24.651,25.212,18944,0
20120605,24.281,24.3,24.281,24.3,234,0
20120606,25.216,25.264,25.216,25.264,421,0
20120608,25.313,25.313,25.313,25.313,210,0
20120611,25.411,25.411,25.411,25.411,210,0
20120613,25.269,25.269,25.269,25.269,789,0
20120615,25.371,25.766,25.361,25.757,7874,0
20120618,25.573,25.659,25.573,25.621,19136,0
20120619,26.363,26.41,26.363,26.41,1078,0
20120621,26.075,26.075,26.075,26.075,113,0
20120625,25.284,25.284,25.226,25.236,479,0
20120626,25.11,25.11,25.11,25.11,383,0
20120627,25.12,25.12,25.12,25.12,207,0
20120629,26.201,26.24,26.152,26.192,1817,0
20120703,26.683,26.683,26.451,26.451,414,0
20120706,25.487,25.602,25.487,25.506,1914,0
20120711,25.593,25.593,25.593,25.593,1036,0
20120713,25.632,25.632,25.622,25.622,518,0
20120720,25.998,25.998,25.901,25.921,1929,0
20120723,25.921,25.921,24.87,25.033,875,0
20120725,25.168,25.168,25.091,25.091,207,0
20120727,26.182,26.182,26.182,26.182,158,0
20120802,26.567,26.567,25.303,25.303,8986,0
20120803,26.307,26.653,26.307,26.653,600,0
20120807,27.194,27.194,27.194,27.194,167,0
20120808,26.731,26.731,26.731,26.731,190,0
20120809,26.75,27.04,26.731,27.03,1554,0
20120810,26.982,26.982,26.982,26.982,450,0
20120813,26.972,26.972,26.972,26.972,374,0
20120815,27.069,27.069,26.808,26.808,675,0
20120817,27.455,27.639,27.397,27.589,7265,0
20120821,28.004,28.082,27.975,28.004,3161,0
20120824,27.523,27.523,27.523,27.523,278,0
20120827,27.715,27.725,27.706,27.715,623,0
20120828,27.706,27.774,27.706,27.764,2152,0
20120829,27.715,27.831,27.639,27.831,5494,0
20120830,27.388,27.388,27.117,27.137,1194,0
20120831,27.589,27.589,27.484,27.542,622,0
20120904,27.146,27.262,27.146,27.262,781,0
20120905,27.242,27.252,27.155,27.204,3872,0
20120906,27.571,28.014,27.571,27.802,9786,0
20120907,28.265,28.496,28.265,28.496,3794,0
20120910,28.468,28.468,28.168,28.168,1708,0
20120911,28.468,28.689,28.468,28.593,2903,0
20120912,28.921,29.046,28.825,28.883,2530,0
20120913,28.67,28.67,28.67,28.67,104,0
20120914,29.876,30.011,29.654,29.837,1861,0
20120917,29.586,29.586,29.586,29.586,207,0
20120918,29.296,29.316,29.296,29.316,980,0
20120919,29.422,29.499,29.422,29.48,2349,0
20120920,28.998,29.211,28.97,29.085,1378,0
20120921,29.384,29.432,28.844,28.853,29911,0
20120924,28.757,28.795,28.719,28.757,1761,0
20120926,27.917,27.956,27.898,27.927,11165,0
20120927,27.917,28.313,27.917,28.313,8293,0
20120928,28.022,28.022,27.905,27.982,973,0
20121002,28.506,28.506,28.487,28.487,1201,0
20121003,28.651,28.651,28.641,28.641,2022,0
20121004,28.825,28.931,28.689,28.902,1544,0
20121005,29.374,29.374,29.306,29.306,892,0
20121008,28.67,28.67,28.641,28.641,243,0
20121011,28.786,29.095,28.777,28.998,9605,0
20121012,29.134,29.134,28.94,28.94,8731,0
20121015,28.97,28.97,28.892,28.96,823,0
20121016,29.278,29.278,29.278,29.278,830,0
20121017,29.499,29.692,29.432,29.692,1970,0
20121018,29.673,29.673,29.673,29.673,142,0
20121019,29.354,29.354,29.268,29.268,1099,0
20121022,29.963,29.963,29.519,29.519,752,0
20121023,29.326,29.326,28.883,28.883,1761,0
20121024,28.863,28.863,28.853,28.853,311,0
20121025,28.921,29.008,28.921,29.008,788,0
20121102,29.547,29.664,29.547,29.664,319,0
20121106,29.74,29.74,29.74,29.74,311,0
20121108,28.883,28.96,28.883,28.931,1016,0
20121109,28.786,28.786,28.689,28.689,968,0
20121114,28.651,28.651,28.458,28.458,414,0
20121116,28.072,28.072,28.072,28.072,104,0
20121119,28.777,28.777,28.777,28.777,207,0
20121123,29.74,29.74,29.74,29.74,104,0
20121127,29.943,29.943,29.808,29.808,283,0
20121128,29.673,29.943,29.673,29.943,414,0
20121129,30.242,30.242,30.108,30.127,830,0
20121130,30.483,30.589,30.483,30.589,377,0
20121203,30.561,30.571,30.561,30.571,5804,0
20121204,30.61,30.61,30.61,30.61,1658,0
20121205,30.85,30.85,30.678,30.734,451,0
20121206,30.821,30.821,30.792,30.802,6706,0
20121207,30.552,30.695,30.493,30.695,2110,0
20121210,30.773,30.773,30.753,30.753,585,0
20121211,31.091,31.187,31.091,31.139,2667,0
20121212,31.38,31.38,31.38,31.38,336,0
20121213,31.323,31.4,31.313,31.4,476,0
20121214,31.468,31.651,31.468,31.583,1336,0
20121217,31.757,31.757,31.699,31.699,945,0
20121218,32.008,32.22,32.008,32.2,527,0
20121219,32.5,32.586,32.49,32.49,516,0
20121221,32.066,32.066,32.066,32.066,128,0
20121224,32.21,32.365,32.105,32.105,585,0
20121226,32.21,32.21,32.21,32.21,207,0
20121228,31.94,31.999,31.94,31.999,1745,0
20121231,32.199,32.334,32.161,32.334,781,0
20130102,32.799,32.867,32.634,32.664,2024,0
20130104,32.451,32.731,32.451,32.722,2364,0
20130107,32.471,32.634,32.471,32.616,2067,0
20130108,32.268,32.297,32.114,32.297,726,0
20130109,32.5,32.586,32.49,32.568,6975,0
20130110,33.118,33.223,32.867,33.223,4449,0
20130111,33.05,33.185,32.992,33.137,1762,0
20130114,33.146,33.175,33.098,33.175,1140,0
20130116,32.963,32.963,32.963,32.963,466,0
20130117,33.388,33.388,33.359,33.359,623,0
20130118,33.321,33.321,33.021,33.272,15982,0
20130122,33.127,33.223,33.088,33.223,5155,0
20130123,33.204,33.204,33.204,33.204,207,0
20130124,33.571,33.609,33.522,33.522,1017,0
20130125,33.83,33.947,33.676,33.927,3891,0
20130128,33.927,33.927,33.879,33.879,67805,0
20130129,33.889,33.937,33.821,33.937,3394,0
20130130,33.995,34.082,33.918,33.918,57287,0
20130131,33.936,34.13,33.811,33.917,49008,0
20130201,34.333,34.718,34.323,34.642,11702,0
20130204,34.198,34.198,33.311,33.349,7624,0
20130205,33.657,33.686,33.657,33.686,1017,0
20130206,33.494,33.647,33.474,33.619,2653,0
20130207,33.715,33.879,33.214,33.407,31229,0
20130208,33.792,33.792,33.589,33.764,10908,0
20130211,33.947,33.947,33.609,33.705,13151,0
20130212,33.898,34.111,33.898,34.063,3586,0
20130213,34.584,34.584,34.42,34.468,76728,0
20130214,33.957,33.957,33.86,33.957,1056,0
20130215,34.015,34.015,33.927,33.985,1911,0
20130219,34.584,34.7,34.584,34.593,2181,0
20130220,34.825,34.825,34.217,34.217,3779,0
20130221,33.253,33.504,33.253,33.446,1371,0
20130222,33.705,33.744,33.638,33.715,1448,0
20130225,33.532,34.71,32.76,32.76,1590,0
20130226,33.321,33.321,33.214,33.253,1940,0
20130227,33.474,33.628,33.474,33.628,309,0
20130228,33.662,33.672,33.525,33.525,1763,0
20130301,32.924,33.513,32.924,33.348,2105,0
