Date,Open,High,Low,Close,Volume,OpenInt
20120308,28.803,28.84,28.775,28.775,42261,0
20120326,28.718,28.718,28.718,28.718,126,0
20120330,28.324,28.324,28.324,28.324,309,0
20120418,29.103,29.103,29.103,29.103,158,0
20120419,29.169,29.169,29.169,29.169,203,0
20120425,29.103,29.103,28.981,28.981,534,0
20120504,28.915,28.915,28.915,28.915,155,0
20120510,27.957,27.957,27.957,27.957,1064,0
20120511,27.901,27.901,27.901,27.901,168,0
20120514,27.355,27.355,27.355,27.355,192,0
20120517,26.406,26.406,26.312,26.312,877,0
20120518,26.434,26.5,26.434,26.5,284,0
20120525,26.096,26.096,26.096,26.096,153,0
20120529,26.687,26.687,26.687,26.687,113,0
20120531,26.268,26.268,26.268,26.268,478,0
20120604,25.334,25.334,25.334,25.334,119,0
20120611,25.624,25.624,25.624,25.624,214,0
20120614,26.527,26.527,26.527,26.527,172,0
20120622,26.401,26.401,26.401,26.401,222,0
20120705,27.68,27.719,27.68,27.719,212,0
20120710,27.33,27.405,27.33,27.405,212,0
20120803,28.296,28.296,28.296,28.296,105,0
20120808,28.353,28.353,28.353,28.353,152,0
20120810,28.238,28.238,28.238,28.238,213,0
20120815,28.229,28.229,28.229,28.229,130,0
20120820,28.087,28.192,28.069,28.097,13749,0
20120821,28.248,28.248,28.248,28.248,466,0
20120827,28.553,28.553,28.248,28.248,3261,0
20120912,29.035,29.035,29.016,29.016,1055,0
20121002,30.29,30.29,30.29,30.29,210,0
20121109,31.118,31.118,31.118,31.118,111,0
20121113,30.795,30.795,30.795,30.795,104,0
20121211,32.987,33.062,32.987,33.033,316,0
20121221,32.624,32.624,32.558,32.624,420,0
20121228,32.653,32.671,32.653,32.671,210,0
20130102,33.625,33.776,33.367,33.776,1050,0
20130104,33.386,33.434,33.386,33.414,630,0
20130116,34.548,35.329,34.53,34.557,7140,0
20130118,34.901,34.901,34.901,34.901,104,0
20130122,35.101,35.129,35.101,35.129,1050,0
20130123,34.891,35.043,34.891,34.93,946,0
20130124,35.167,35.167,35.167,35.167,210,0
20130125,35.262,35.262,35.215,35.215,2827,0
20130131,35.225,35.32,35.225,35.32,263,0
20130204,34.834,34.863,34.814,34.814,1201,0
20130207,34.643,34.643,34.643,34.643,111,0
20130208,34.957,34.957,34.957,34.957,408,0
20130211,34.957,34.957,34.957,34.957,104,0
20130215,35.444,35.444,35.444,35.444,1402,0
20130219,35.157,35.157,35.157,35.157,252,0
20130220,34.957,34.957,34.957,34.957,179,0
20130222,33.976,33.976,33.976,33.976,293,0
20130225,34.52,34.567,34.463,34.481,1003,0
20130304,34.282,34.282,34.282,34.282,263,0
20130306,34.682,34.682,34.682,34.682,1700,0
20130308,34.863,34.863,34.863,34.863,104,0
20130312,34.53,34.633,34.481,34.633,1574,0
20130322,34.05,34.05,34.031,34.031,734,0
20130326,34.451,34.451,34.451,34.451,734,0
20130328,34.479,34.479,34.479,34.479,734,0
20130401,34.25,34.593,34.25,34.25,742,0
20130402,35.051,35.051,35.051,35.051,149,0
20130403,34.451,34.451,34.451,34.451,192,0
20130405,33.725,33.725,33.725,33.725,115,0
20130408,33.715,33.715,33.715,33.715,104,0
20130410,34.66,34.66,34.66,34.66,115,0
20130418,33.601,33.601,33.601,33.601,2619,0
20130508,36.206,36.387,36.206,36.35,33131,0
20130509,36.293,36.293,36.293,36.293,828,0
20130513,36.12,36.12,36.12,36.12,104,0
20130515,36.111,36.245,36.064,36.245,1142,0
20130520,36.341,36.341,36.341,36.341,137,0
20130522,36.397,36.397,36.169,36.169,523,0
20130610,33.296,33.296,33.296,33.296,210,0
20130613,32.637,32.637,32.637,32.637,210,0
20130627,32.52,32.52,32.52,32.52,173,0
20130628,32.52,32.52,32.52,32.52,513,0
20130708,32.068,32.068,32.068,32.068,102,0
20130709,32.164,32.164,32.164,32.164,1554,0
20130710,32.145,32.145,32.145,32.145,411,0
20130711,32.906,33.195,32.791,33.195,2657,0
20130717,33.002,33.002,33.002,33.002,517,0
20130718,33.041,33.041,32.896,32.925,756,0
20130723,33.195,33.329,33.195,33.311,543,0
20130731,33.707,33.707,33.697,33.707,717,0
20130801,34.102,34.102,34.102,34.102,312,0
20130808,33.658,33.658,33.658,33.658,213,0
20130809,33.571,33.571,33.388,33.388,1244,0
20130819,33.349,33.349,33.272,33.272,445,0
20130826,33.339,33.339,33.292,33.292,385,0
20130829,32.693,32.693,32.693,32.693,726,0
20130909,34.478,34.487,34.256,34.419,38377,0
20130910,34.578,34.618,34.413,34.511,48644,0
20130911,34.333,34.468,34.13,34.459,23025,0
20130912,34.208,34.226,33.871,33.908,11737,0
20130913,34.453,34.453,34.199,34.199,130098,0
20130916,34.583,35.383,34.333,35.095,79346,0
20130917,34.568,34.968,34.481,34.481,44729,0
20130918,34.511,35.873,34.511,35.28,22613,0
20130920,35.386,35.386,35.28,35.28,206,0
20130926,35.045,35.23,34.89,34.89,12022,0
20130927,35.036,35.23,34.9,34.9,11919,0
20130930,34.987,35.144,34.531,34.92,6473,0
20131001,34.637,35.62,34.637,35.445,7322,0
