Date,Open,High,Low,Close,Volume,OpenInt
20120229,29.119,29.183,29.119,29.183,867,0
20120301,29.199,29.264,29.135,29.264,5681,0
20120302,28.744,28.967,28.744,28.967,649,0
20120306,27.668,27.668,27.668,27.668,3889,0
20120307,27.678,27.678,27.678,27.678,108,0
20120308,28.634,28.634,28.634,28.634,397,0
20120315,29.079,29.135,29.079,29.135,344,0
20120321,29.18,29.217,29.18,29.217,374,0
20120322,29.079,29.079,28.782,28.782,1725,0
20120327,29.06,29.117,28.856,28.856,7667,0
20120328,28.977,28.977,28.977,28.977,368,0
20120329,28.661,28.661,27.984,27.984,740,0
20120330,28.608,28.608,28.608,28.608,323,0
20120405,28.243,28.318,28.188,28.226,58826,0
20120409,28.16,31.397,28.086,28.188,6071,0
20120410,27.502,27.502,27.456,27.456,491,0
20120411,27.957,27.957,27.957,27.957,318,0
20120412,28.522,28.625,28.522,28.625,5311,0
20120413,27.957,28.048,27.873,27.975,6901,0
20120416,28.151,28.151,28.141,28.141,300,0
20120418,28.725,28.744,28.707,28.707,1485,0
20120419,28.652,28.809,28.652,28.809,6763,0
20120420,29.079,29.117,29.079,29.117,739,0
20120423,28.531,28.559,28.531,28.559,432,0
20120425,28.985,28.985,28.985,28.985,214,0
20120426,29.496,29.496,29.404,29.404,770,0
20120427,29.533,29.533,29.523,29.533,1877,0
20120430,29.126,29.211,29.126,29.211,750,0
20120503,29.347,29.347,29.217,29.217,787,0
20120504,28.448,28.616,28.393,28.458,2920,0
20120507,28.671,28.671,28.671,28.671,323,0
20120509,27.826,27.826,27.566,27.761,1295,0
20120510,28.105,28.105,28.105,28.105,108,0
20120511,28.234,28.383,28.039,28.16,14408,0
20120514,27.687,27.687,27.687,27.687,271,0
20120517,27.798,27.798,26.695,26.695,1746,0
20120518,26.407,26.462,26.083,26.194,2556,0
20120525,26.342,26.342,26.175,26.184,1095,0
20120530,26.083,26.083,25.693,25.693,19894,0
20120531,25.784,25.861,25.784,25.861,754,0
20120604,25.396,25.424,25.118,25.378,46467,0
20120605,25.388,25.463,25.257,25.36,17136,0
20120606,25.8,26.251,25.771,26.241,25552,0
20120607,26.793,27.225,26.597,26.597,9593,0
20120608,26.108,26.438,26.101,26.4,10025,0
20120611,26.612,26.612,26.232,26.305,39134,0
20120612,26.379,26.547,26.109,26.547,43880,0
20120613,26.138,26.417,26.046,26.065,43899,0
20120614,26.109,26.407,26.018,26.369,38596,0
20120615,26.559,26.85,26.438,26.671,56011,0
20120618,26.648,26.861,26.602,26.723,90993,0
20120619,27.03,27.297,26.982,27.234,26215,0
20120620,27.502,27.798,27.325,27.547,72018,0
20120621,27.393,27.506,26.821,26.821,30197,0
20120622,26.784,26.821,26.662,26.803,42060,0
20120625,26.203,26.409,26.127,26.278,96590,0
