Date,Open,High,Low,Close,Volume,OpenInt
20070510,29.115,29.233,29.105,29.144,13712,0
20070511,29.203,29.262,29.203,29.223,15762,0
20070514,29.272,29.272,29.174,29.174,12283,0
20070515,29.203,29.312,29.154,29.302,5323,0
20070516,29.085,29.085,28.968,29.008,6755,0
20070517,29.282,29.33,29.272,29.321,11257,0
20070518,29.312,29.505,29.312,29.505,9007,0
20070521,29.74,29.74,29.74,29.74,3069,0
20070522,29.77,29.887,29.77,29.887,6654,0
20070523,29.878,29.878,29.858,29.858,818,0
20070524,29.692,29.692,29.282,29.282,15048,0
20070525,29.427,29.476,29.427,29.476,13204,0
20070529,29.643,29.74,29.564,29.574,20468,0
20070530,29.643,29.76,29.643,29.76,615,0
20070531,30.101,30.101,30.101,30.101,615,0
20070604,30.268,30.327,30.268,30.288,9007,0
20070605,30.199,30.219,30.199,30.219,2150,0
20070607,29.74,29.74,29.74,29.74,309,0
20070608,29.105,29.282,29.105,29.282,11770,0
20070612,29.436,29.436,29.144,29.144,922,0
20070614,29.75,29.75,29.73,29.73,2456,0
20070615,30.014,30.042,30.014,30.042,1330,0
20070618,29.945,29.945,29.945,29.945,1125,0
20070619,29.935,29.935,29.78,29.896,615,0
20070620,29.878,29.935,29.535,29.535,1330,0
20070621,29.643,29.78,29.643,29.78,309,0
20070622,29.554,29.584,29.554,29.584,410,0
20070626,29.223,29.223,29.223,29.223,100,0
20070627,28.968,29.486,28.968,29.486,1228,0
20070629,29.721,29.73,29.486,29.486,1228,0
20070702,29.75,29.839,29.73,29.799,15048,0
20070705,29.925,30.042,29.868,29.868,3583,0
20070706,30.239,30.239,30.199,30.209,30910,0
20070709,30.258,30.308,30.131,30.298,2764,0
20070710,30.17,30.17,29.809,29.809,615,0
20070711,29.829,29.935,29.829,29.915,2764,0
20070712,30.249,30.433,30.249,30.433,4607,0
20070713,30.414,30.424,30.385,30.385,615,0
20070716,30.414,30.452,30.308,30.308,1943,0
20070718,30.033,30.199,30.033,30.199,715,0
20070719,30.347,30.385,30.337,30.347,14636,0
20070720,30.318,30.318,29.974,29.974,922,0
20070723,30.111,30.111,29.964,29.964,1435,0
20070724,29.486,29.545,29.144,29.154,82394,0
20070725,29.446,29.446,29.056,29.056,1537,0
20070726,28.479,28.529,28.148,28.46,5527,0
20070727,28.371,28.666,28.178,28.411,4607,0
20070730,27.953,27.953,27.953,27.953,100,0
20070731,27.864,27.864,27.864,27.864,922,0
20070801,27.982,28.158,27.621,27.796,9417,0
20070802,28.119,28.119,28.03,28.03,2150,0
20070803,27.903,27.903,27.249,27.249,4196,0
20070806,27.004,27.503,26.887,27.503,2865,0
20070807,27.513,27.747,27.473,27.727,8803,0
20070808,27.903,28.275,27.903,28.197,3686,0
20070809,27.444,27.659,27.365,27.365,5220,0
20070810,26.937,27.757,26.937,27.757,2969,0
20070813,27.933,28.03,27.776,27.776,1024,0
20070814,27.592,27.601,27.279,27.279,2662,0
20070815,26.535,26.555,26.535,26.545,2764,0
20070816,26.428,26.662,25.832,26.662,2865,0
20070817,26.985,27.336,26.976,27.22,3276,0
20070820,27.092,27.464,27.092,27.464,922,0
20070821,27.493,27.493,27.405,27.405,615,0
20070822,28.138,28.138,27.641,27.864,2865,0
20070823,27.893,27.893,27.737,27.747,922,0
20070824,27.903,27.903,27.903,27.903,1228,0
20070827,27.854,27.854,27.767,27.767,1842,0
20070828,27.688,27.688,27.326,27.326,4607,0
20070829,27.621,27.621,27.601,27.601,818,0
20070830,27.601,27.737,27.601,27.688,6142,0
20070831,27.972,27.972,27.943,27.943,1842,0
20070904,28.178,28.371,28.168,28.371,3686,0
20070905,28.03,28.06,27.933,27.933,3069,0
20070907,27.707,27.707,27.707,27.707,204,0
20070910,27.23,27.279,27.141,27.22,12386,0
20070911,27.552,27.737,27.552,27.737,1330,0
20070912,27.678,27.786,27.678,27.786,3172,0
20070913,27.776,27.923,27.737,27.864,1943,0
20070914,27.727,27.844,27.727,27.786,2150,0
20070917,27.688,27.747,27.668,27.727,3378,0
20070918,27.757,28.333,27.747,28.333,6142,0
20070919,28.919,28.919,28.666,28.685,4504,0
20070920,28.617,28.617,28.401,28.411,3276,0
20070921,28.568,28.578,28.548,28.558,818,0
20070924,28.519,28.519,28.275,28.275,2560,0
20070925,28.187,28.187,28.109,28.109,1330,0
20070926,28.45,28.548,28.361,28.361,3583,0
20070927,28.607,29.282,28.568,28.637,31525,0
20070928,28.607,28.734,28.568,28.568,1228,0
20071001,28.792,28.822,28.792,28.812,309,0
20071002,29.095,29.194,29.095,29.194,1125,0
20071003,29.076,29.076,29.056,29.056,11157,0
20071004,29.154,29.154,29.076,29.076,2252,0
20071005,29.359,29.359,29.34,29.34,1228,0
20071008,29.613,29.663,29.486,29.486,2456,0
20071009,29.486,29.486,29.486,29.486,204,0
20071010,29.604,29.701,29.564,29.633,8188,0
20071011,29.799,29.915,29.456,29.476,2150,0
20071012,29.486,29.486,29.456,29.456,818,0
20071015,29.272,29.272,29.144,29.203,2456,0
20071016,29.105,29.134,29.095,29.095,1330,0
20071017,29.282,29.282,28.89,28.89,1637,0
20071018,28.978,29.018,28.978,29.018,410,0
20071019,28.88,28.88,28.342,28.342,3788,0
20071022,28.46,28.47,28.45,28.45,615,0
20071023,28.588,28.588,28.46,28.46,715,0
20071024,28.519,28.578,28.509,28.578,818,0
20071025,28.44,28.598,28.178,28.178,29888,0
20071026,28.627,28.763,28.627,28.763,204,0
20071029,28.812,28.812,28.754,28.754,204,0
20071030,28.734,28.734,28.568,28.578,1435,0
20071031,28.959,28.968,28.959,28.968,204,0
20071101,28.509,28.705,28.371,28.371,5220,0
20071102,28.381,28.391,28.255,28.361,8188,0
20071105,27.992,28.216,27.992,28.168,3888,0
20071107,28.275,28.275,27.933,27.943,818,0
20071108,27.815,27.815,27.815,27.815,615,0
20071109,27.552,27.552,27.513,27.513,204,0
20071112,27.513,27.737,27.513,27.601,1740,0
20071113,27.552,27.776,27.464,27.776,2560,0
20071114,27.864,27.893,27.844,27.844,2456,0
20071115,27.483,27.483,27.375,27.375,1740,0
20071116,27.326,27.326,27.161,27.161,1435,0
20071119,26.927,26.927,26.809,26.809,615,0
20071120,26.624,26.624,26.349,26.497,6345,0
20071121,26.535,26.624,26.497,26.497,4504,0
20071126,26.858,26.858,26.672,26.692,615,0
20071127,26.527,26.575,26.527,26.575,2047,0
20071128,27.444,27.444,27.405,27.405,1330,0
20071129,27.424,27.424,27.102,27.356,3378,0
20071130,27.641,27.678,27.592,27.592,4094,0
20071204,27.102,27.326,27.102,27.326,715,0
20071205,27.668,27.668,27.631,27.641,2865,0
20071206,28.03,28.265,28.01,28.265,1537,0
20071207,28.371,28.489,28.304,28.381,9622,0
20071210,28.578,28.685,28.519,28.519,9211,0
20071211,28.489,28.489,28.02,28.02,15149,0
20071212,27.903,27.903,27.796,27.796,204,0
20071213,27.659,28.168,27.659,28.168,1637,0
20071214,27.825,27.825,27.65,27.65,309,0
20071217,27.2,27.23,27.141,27.141,410,0
20071218,27.151,27.151,27.122,27.122,1740,0
20071220,27.249,27.464,27.23,27.464,615,0
20071221,27.854,27.943,27.727,27.943,3686,0
20071224,28.099,28.109,28.099,28.109,410,0
20071226,28.03,28.04,28.03,28.04,1024,0
20071227,27.757,27.796,27.582,27.582,8188,0
20071228,27.757,27.835,27.678,27.678,6142,0
20071231,27.493,27.493,27.493,27.493,204,0
20080102,27.503,27.503,26.995,26.995,1740,0
20080103,27.19,27.22,26.838,26.838,2865,0
20080104,26.234,26.234,26.076,26.076,204,0
20080107,26.027,26.027,25.783,25.812,3172,0
20080108,25.676,25.676,25.314,25.314,3480,0
20080109,25.07,25.402,24.855,24.952,12487,0
20080110,25.763,25.763,25.763,25.763,100,0
20080111,25.294,26.937,25.294,25.646,2662,0
20080114,25.363,25.363,25.363,25.363,100,0
20080115,25.353,25.353,25.011,25.011,4912,0
20080116,24.718,25.139,24.592,24.836,4094,0
20080117,24.904,24.924,24.415,24.445,4196,0
20080118,24.278,24.278,23.927,24.143,10133,0
20080122,23.547,24.103,23.547,23.936,9825,0
20080123,23.692,24.592,23.301,24.513,4402,0
20080124,24.904,24.904,24.689,24.846,4811,0
20080125,25.07,25.07,24.64,24.738,2560,0
20080128,24.592,25.06,24.572,25.05,1024,0
20080129,25.441,25.753,25.421,25.753,2150,0
20080130,25.421,25.773,25.343,25.363,5731,0
20080131,25.119,25.881,25.1,25.881,1228,0
20080201,26.076,26.555,26.027,26.555,3888,0
20080204,26.301,26.428,26.282,26.379,1537,0
20080205,25.95,26.057,25.852,25.852,2865,0
20080206,25.696,25.803,25.334,25.334,1637,0
20080207,25.217,25.539,25.217,25.539,1740,0
20080208,25.549,25.763,25.5,25.666,10133,0
20080211,25.686,25.696,25.411,25.686,7166,0
20080212,25.921,25.921,25.872,25.872,5527,0
20080213,26.057,26.165,26.057,26.115,309,0
20080214,26.155,26.155,25.921,25.921,4094,0
20080215,25.421,25.51,25.421,25.48,2354,0
20080219,25.872,25.988,25.763,25.763,615,0
20080220,25.734,26.145,25.676,26.076,9417,0
20080221,26.359,26.359,25.734,25.734,2354,0
20080222,25.646,25.646,25.411,25.411,309,0
20080225,25.734,26.194,25.734,26.194,12999,0
20080226,26.349,26.731,26.349,26.594,6958,0
20080228,26.32,26.32,26.135,26.135,2560,0
20080229,25.696,25.696,25.363,25.363,2354,0
20080304,24.952,24.972,24.952,24.972,1228,0
20080306,24.826,24.836,24.826,24.836,204,0
20080307,25.51,27.21,24.123,24.356,29888,0
20080310,24.66,24.66,23.498,23.858,1740,0
20080311,24.386,24.386,24.093,24.093,1943,0
20080312,24.904,24.904,24.464,24.464,615,0
20080313,24.777,24.787,24.777,24.787,309,0
20080314,24.757,24.757,24.113,24.172,5425,0
20080317,24.044,24.044,23.722,23.839,615,0
20080318,24.386,24.474,24.346,24.356,6654,0
20080319,24.445,24.445,24.445,24.445,513,0
20080320,24.376,24.395,24.376,24.395,309,0
20080324,25.314,25.47,25.294,25.304,2969,0
20080325,25.304,25.578,25.304,25.578,1637,0
20080326,25.363,25.363,25.178,25.324,6858,0
20080327,25.198,25.276,24.972,24.972,1943,0
20080328,24.914,25.021,24.816,24.816,615,0
20080331,24.933,24.933,24.65,24.836,2456,0
20080401,25.529,25.666,25.529,25.627,715,0
20080402,25.783,26.047,25.783,25.911,4299,0
20080403,25.842,25.891,25.842,25.891,615,0
20080404,25.901,26.047,25.901,26.017,1435,0
20080407,26.184,26.32,26.037,26.037,1125,0
20080408,25.95,26.096,25.95,25.95,10750,0
20080409,25.988,25.988,25.588,25.598,5630,0
20080410,25.852,25.931,25.812,25.812,1125,0
20080414,25.334,25.451,25.324,25.363,3311,0
20080415,25.421,25.421,25.421,25.421,373,0
20080416,25.94,26.184,25.94,26.184,2193,0
20080417,26.076,26.076,26.047,26.047,410,0
20080418,26.349,26.575,26.349,26.535,2638,0
20080421,26.477,26.584,26.477,26.575,812,0
20080422,26.458,26.458,26.174,26.174,462,0
20080423,26.145,26.145,26.037,26.125,2544,0
20080424,26.349,26.379,26.34,26.379,513,0
20080425,26.535,26.848,26.535,26.848,922,0
20080428,26.828,26.995,26.819,26.985,963,0
20080429,26.779,26.789,26.779,26.779,410,0
20080430,26.976,27.102,26.828,26.828,3480,0
20080501,26.927,27.259,26.927,27.171,7076,0
20080502,27.523,27.523,27.22,27.239,2531,0
20080506,27.21,27.346,27.19,27.298,1116,0
20080507,27.375,27.375,27.053,27.053,2419,0
20080508,27.19,27.23,27.014,27.131,20112,0
20080509,27.063,27.269,27.063,27.239,2073,0
20080512,27.533,27.65,27.533,27.65,456,0
20080513,27.611,27.806,27.611,27.806,1106,0
20080514,28.168,28.216,28.05,28.05,513,0
20080515,28.001,28.304,27.923,28.304,7754,0
20080516,28.45,28.45,28.069,28.342,1493,0
20080519,28.352,28.529,28.206,28.206,1893,0
20080520,28.099,28.099,28.01,28.04,1703,0
20080521,28.285,28.285,28.089,28.089,600,0
20080522,27.786,27.893,27.767,27.854,6994,0
20080523,27.717,27.717,27.289,27.493,4999,0
20080527,27.493,27.65,27.493,27.65,665,0
20080528,27.825,27.825,27.688,27.776,2477,0
20080529,28.01,28.01,28.01,28.01,100,0
20080530,28.206,28.265,28.158,28.265,22570,0
20080602,28.178,28.178,27.825,27.943,1484,0
20080603,28.216,28.236,27.815,27.815,2166,0
20080604,28.02,28.187,28.02,28.158,919,0
20080605,28.519,28.695,28.519,28.695,5187,0
20080606,28.295,28.295,27.893,27.903,11293,0
20080609,27.864,27.982,27.806,27.923,5749,0
20080610,27.835,27.893,27.815,27.893,1841,0
20080611,27.727,27.747,27.269,27.269,2237,0
