Date,Open,High,Low,Close,Volume,OpenInt
20110525,68.999,70.186,68.51,70.146,1543,0
20110526,70.865,71.942,69.917,71.942,8458,0
20110527,72.561,73.479,71.793,71.933,6263,0
20110531,75.096,75.096,71.733,72.781,1503,0
20110601,73.22,73.958,69.647,69.927,1515,0
20110602,70.845,70.955,68.669,70.535,1854,0
20110603,67.292,70.426,67.112,69.438,2498,0
20110606,68.929,69.547,65.955,65.975,4567,0
20110607,66.065,67.741,66.065,66.693,1904,0
20110608,66.663,67.472,65.496,66.763,7756,0
20110609,66.953,68.42,66.953,68.42,2981,0
20110610,66.653,66.793,65.176,65.615,3858,0
20110613,65.546,65.546,61.743,62.232,5171,0
20110614,64.079,65.406,63.869,64.737,4753,0
20110615,62.781,64.278,61.644,62.382,1528,0
20110616,62.971,63.18,61.713,62.083,14129,0
20110617,62.212,62.871,61.005,62.183,2856,0
20110620,61.863,61.863,61.214,61.414,2555,0
20110621,62.981,65.017,62.981,65.017,1754,0
20110622,64.737,65.486,64.737,64.897,9636,0
20110623,60.227,63.35,60.227,63.35,2496,0
20110624,63.41,63.41,62.332,62.332,802,0
20110627,60.017,61.424,60.007,61.424,9354,0
20110628,62.871,64.208,62.871,64.168,1102,0
20110629,65.745,67.731,64.957,66.783,5172,0
20110630,67.17,68.36,67.17,67.77,6042,0
20110701,67.941,69.577,66.504,69.577,7936,0
20110705,69.787,71.134,69.787,70.286,2295,0
20110706,69.857,69.857,68.22,69.368,3367,0
20110707,70.905,71.154,69.458,69.987,7716,0
20110708,68.06,68.579,67.362,68.031,5722,0
20110711,66.264,66.264,63.38,63.759,4008,0
20110712,63.121,64.588,63.121,64.258,2605,0
20110713,64.797,66.853,64.618,64.717,3923,0
20110714,65.685,65.875,63.18,63.21,12125,0
20110715,68.689,71.843,68.689,71.843,10171,0
20110718,69.987,71.184,69.577,70.615,6997,0
20110719,71.813,74.238,71.813,74.238,10341,0
20110720,74.757,75.355,73.898,74.817,13778,0
20110721,75.805,76.852,75.805,76.852,3217,0
20110722,76.663,77.96,76.304,77.96,9447,0
20110725,76.044,78.18,75.765,76.912,14152,0
20110726,76.663,78.419,76.034,76.793,20777,0
20110727,75.775,76.314,73.639,74.148,55258,0
20110728,73.579,75.465,73.3,73.829,37777,0
20110729,72.002,74.148,71.473,72.641,42657,0
20110801,75.246,75.266,71.703,72.142,42771,0
20110802,72.022,73.529,68.659,68.659,10576,0
20110803,68.3,68.789,64.697,67.861,74309,0
20110804,65.655,65.665,58.47,58.47,41834,0
20110805,59.857,59.967,52.313,55.416,29205,0
20110808,50.746,51.594,45.108,45.177,35152,0
20110809,47.253,48.91,43.95,48.72,17414,0
20110810,47.762,51.075,46.575,46.944,269948,0
20110811,48.54,54.079,46.894,52.892,195762,0
20110812,54.329,54.927,52.393,52.892,28001,0
20110815,54.848,56.414,54.598,56.414,30968,0
20110816,54.568,55.546,52.712,53.76,38156,0
20110817,54.728,56.285,53.51,54.159,20002,0
20110818,51.285,51.285,46.485,47.503,121533,0
20110819,44.389,48.82,44.389,45.696,236122,0
20110822,48.201,48.421,43.68,44.03,97606,0
20110823,43.84,48.051,43.84,47.752,126864,0
20110824,47.762,48.65,46.555,48.56,117936,0
20110825,49.289,49.778,45.696,46.016,121118,0
20110826,44.868,48.231,43.581,47.962,130166,0
20110829,49.658,51.714,49.449,51.614,147618,0
20110830,50.686,53.56,49.998,53.56,112904,0
20110831,53.64,55.21,52.92,53.56,111483,0
20110901,55.197,55.486,52.941,52.961,182712,0
20110902,49.9,50.87,48.84,49.76,96498,0
20110906,44.848,48.431,44.848,48.401,57963,0
20110907,50.087,52.452,49.948,52.283,19710,0
20110908,51.415,52.592,50.397,50.397,8659,0
20110909,48.121,49.399,45.936,46.724,8998,0
20110912,44.898,46.205,43.91,46.205,12109,0
20110913,46.485,47.283,45.587,47.133,7735,0
20110914,46.834,49.678,46.295,48.82,4063,0
20110915,49.958,50.896,49.299,50.886,5038,0
20110916,51.215,51.365,49.668,50.357,6791,0
20110919,47.393,49.509,46.545,48.531,105225,0
20110920,49,50.217,47.543,47.612,18641,0
20110921,47.173,49.119,44.01,44.01,25270,0
20110922,40.547,42.413,36.815,37.892,27857,0
20110923,37.513,38.371,36.096,36.196,3928,0
20110926,37.074,39.07,35.956,39.07,14801,0
20110927,41.794,43.191,40.806,40.806,48239,0
20110928,41.265,41.265,37.214,37.214,7305,0
20110929,38.84,38.95,35.308,36.815,17739,0
20110930,35.64,36.26,34.42,34.42,35844,0
20111003,33.152,33.551,30.687,31.086,44854,0
20111004,28.212,30.697,27.983,30.418,13389,0
20111005,33.451,36.176,32.234,35.876,75523,0
20111006,36.076,37.673,35.268,37.423,18756,0
20111007,38.092,38.092,35.018,35.857,9289,0
20111010,37.673,39.449,37.473,39.18,21968,0
20111011,38.471,39.918,38.072,39.23,5640,0
20111012,39.888,41.515,39.868,40.347,7581,0
20111013,39.539,40.537,37.912,40.537,7773,0
20111014,42.024,43.91,41.625,43.8,14002,0
20111017,43.651,44.05,42.463,42.463,7872,0
20111018,42.663,45.826,41.046,45.317,14820,0
20111019,44.968,46.565,43.92,44.359,13153,0
20111020,44.429,44.988,41.964,44.289,8832,0
20111021,45.527,46.684,45.437,46.634,8350,0
20111024,46.984,48.59,46.984,48.391,11834,0
20111025,47.004,47.403,44.888,44.888,4710,0
20111026,46.115,48.042,44.648,47.493,14895,0
20111027,51.854,53.49,50.377,52.472,22300,0
20111028,50.866,53.57,50.866,53.52,2843,0
20111031,50.16,50.19,48.4,48.4,8252,0
20111101,43.561,45.966,42.403,45.387,11122,0
20111102,47.652,49.179,47.163,49.129,13233,0
20111103,49.718,51.664,49.309,51.464,12250,0
20111104,50.26,52.59,49.86,52.1,7876,0
20111107,52.762,53.331,50.646,52.283,7826,0
20111108,51.544,53.49,50.257,53.46,4620,0
20111109,49.898,50.347,47.762,47.902,6389,0
20111110,49.798,50.946,47.932,50.197,3001,0
20111111,51.484,52.752,51.464,52.462,3787,0
20111114,51.554,51.694,49.898,50.726,7139,0
20111115,50.646,52.373,50.646,52.273,1202,0
20111116,50.656,53.72,50.397,50.457,6540,0
20111117,50.127,50.806,46.285,46.475,14629,0
20111118,47.313,47.902,46.205,46.934,5321,0
20111121,45.197,45.407,42.832,45.407,11829,0
20111122,44.569,44.928,43.261,44.02,9711,0
20111123,42.513,42.543,40.607,40.607,20042,0
20111125,40.846,41.106,39.589,39.589,5486,0
20111128,43.221,44.02,42.942,43.092,86986,0
20111129,44.03,45.906,43.551,45.467,94745,0
20111130,49.39,50.65,48.77,50.65,24082,0
20111201,50.636,51.415,48.71,49.299,32655,0
20111202,51.185,52.213,49.399,49.399,7856,0
20111205,52.363,52.941,49.399,50.576,7669,0
20111206,50.67,53.3,49.7,52.48,9059,0
20111207,51.45,52.37,48.97,50.95,4251,0
20111208,49.78,49.78,44.41,44.48,21012,0
20111209,45.87,48.27,44.77,48.06,14720,0
20111212,45.856,45.856,41.245,42.233,19271,0
20111213,43.631,45.237,38.471,39.699,10860,0
20111214,38.032,38.032,34.639,35.018,46641,0
20111215,36.874,36.904,34,34.649,58838,0
20111216,35.75,36.43,34.88,36.06,16013,0
20111219,36.425,36.805,32.653,32.653,20988,0
20111220,34.14,37.353,34.14,37.054,28982,0
20111221,36.42,38.26,35.82,38.16,13815,0
20111222,38.07,41,38.07,40.57,43591,0
20111223,41.56,41.57,39.98,40.57,5590,0
20111227,40.39,41.4,40.17,41.24,11400,0
20111228,40.61,40.61,37.86,38.12,11483,0
20111229,38.33,39.77,38.33,39.72,7575,0
20111230,39.33,40.32,39.33,39.53,2660,0
20120103,41.89,44.13,41.89,43.5,27895,0
20120104,42.92,44.17,42.21,43.99,3700,0
20120105,42.49,44.2,42.17,43.87,4628,0
20120106,43.8,44.16,42.48,42.48,5680,0
20120109,42.76,42.83,41.98,42.22,4309,0
20120110,44.49,45,42.58,42.67,2222,0
20120111,41.6,41.6,38.08,38.08,28804,0
20120112,38.2,38.2,36.05,36.05,28289,0
20120113,35.14,35.14,33.59,33.9,30175,0
20120117,35.2,35.5,33.51,33.92,30613,0
20120118,34,35.5,33.5,35.5,26412,0
20120119,36.05,36.37,33.75,34.1,19175,0
20120120,34,34.82,32.55,33.2,42929,0
20120123,35.03,37.9,35.03,37.59,63518,0
20120124,36.69,37.8,35.51,36.32,48672,0
20120125,38.74,39.73,34.85,39.73,68675,0
20120126,40.93,40.93,35.19,35.65,75686,0
20120127,34.77,36.55,34.09,36.25,32077,0
20120130,37.43,37.43,33.98,35.59,36206,0
20120131,36.38,36.5,33.85,34.45,53768,0
20120201,34.65,35.2,33.13,33.68,57602,0
20120202,33.66,35.12,33.51,34.62,74320,0
20120203,35.64,36.03,34.88,35.93,78040,0
20120206,35.53,37.84,35.12,37.84,71622,0
20120207,37.94,38.89,36.1,38.74,51545,0
20120208,39.21,39.46,37.58,38.67,28207,0
20120209,39.1,39.5,37.86,38.96,30509,0
20120210,37.54,37.77,36.6,37.52,33481,0
20120213,39.15,39.23,37.85,39.04,27295,0
20120214,39.75,40.56,39.09,40.18,136643,0
20120215,41.09,43.02,40.91,42.47,55901,0
20120216,45.12,45.12,40.99,44.52,20770,0
20120217,44.52,46.13,44.52,45.48,27489,0
20120221,46.48,46.98,45.1,45.6,16939,0
20120222,45.5,45.5,43.87,43.89,24936,0
20120223,44.7,46.92,43.38,46.92,30435,0
20120224,46.88,47.88,46.69,47.13,14862,0
20120227,45.98,47.28,45.63,46.18,9462,0
20120228,45.77,46.86,44.84,45.47,25170,0
20120229,45.47,46.02,42.6,43.67,29963,0
20120301,44.23,45.52,43.96,45.23,19678,0
