Date,Open,High,Low,Close,Volume,OpenInt
20050225,4.57,4.61,4.55,4.61,132500,0
20050228,4.61,4.66,4.36,4.5,102300,0
20050301,4.5,4.57,4.36,4.46,110400,0
20050302,4.44,4.63,4.4,4.51,65600,0
20050303,4.56,4.56,4.28,4.3,76000,0
20050304,4.32,4.6,4.32,4.43,164200,0
20050307,4.44,4.52,4.39,4.52,110900,0
20050308,4.55,4.65,4.55,4.6,168200,0
20050309,4.6,4.79,4.6,4.72,140600,0
20050310,4.72,4.72,4.51,4.6,43900,0
20050311,4.57,4.64,4.4,4.4,99200,0
20050314,4.35,4.4,4.3,4.34,69500,0
20050315,4.39,4.44,4.36,4.4,73800,0
20050316,4.44,4.5,4.29,4.36,28400,0
20050317,4.31,4.35,4.16,4.29,71400,0
20050318,4.28,4.29,4.19,4.23,67300,0
20050321,4.14,4.25,3.92,4.11,166500,0
20050322,4.1,4.15,3.97,4.01,68300,0
20050323,3.95,3.97,3.84,3.87,38000,0
20050324,3.94,3.94,3.78,3.8,70100,0
20050328,3.8,3.87,3.55,3.64,104800,0
20050329,3.67,3.69,3.44,3.54,96700,0
20050330,3.52,3.69,3.44,3.69,60800,0
20050331,3.72,3.99,3.72,3.98,153200,0
20050401,3.91,3.96,3.73,3.96,98500,0
20050404,3.96,3.96,3.81,3.94,58200,0
20050405,3.92,4,3.81,3.9,107200,0
20050406,3.92,3.92,3.79,3.9,67000,0
20050407,3.85,3.92,3.75,3.79,22600,0
20050408,3.75,3.76,3.58,3.65,50700,0
20050411,3.65,3.72,3.61,3.72,24000,0
20050412,3.68,3.7,3.6,3.69,105600,0
20050413,3.68,3.75,3.67,3.75,198900,0
20050414,3.65,3.65,3.49,3.54,72300,0
20050415,3.5,3.6,3.46,3.54,33000,0
20050418,3.54,3.62,3.33,3.45,97900,0
20050419,3.44,3.6,3.4,3.56,185500,0
20050420,3.58,3.62,3.5,3.52,87300,0
20050421,3.54,3.56,3.4,3.5,89700,0
20050422,3.5,3.59,3.4,3.59,110700,0
20050425,3.65,3.65,3.46,3.53,59400,0
20050426,3.54,3.56,3.46,3.52,63700,0
20050427,3.5,3.5,3.21,3.33,81900,0
20050428,3.3,3.33,3.16,3.31,89400,0
20050429,3.31,3.4,3.3,3.35,74500,0
20050502,3.43,3.43,3.22,3.28,38500,0
