Date,Open,High,Low,Close,Volume,OpenInt
20081203,505.8,517,505.6,510.8,129,0
20081204,514.4,520,502.4,520,217,0
20081205,535.8,544.4,523.6,526.6,376,0
20081208,499.8,510,496.12,503.2,274,0
20081209,516.2,516.2,501.4,503.2,765,0
20081210,465,467.4,452.8,457.2,1234,0
20081211,438,446,431,446,172,0
20081212,446.6,457.6,436.8,443.4,460,0
20081215,437.8,437.8,421.2,423.8,500,0
20081216,428.8,429.8,400,401.2,1565,0
20081217,399.8,448.2,385,395.8,3149,0
20081218,403,414.6,399.2,410.4,4616,0
20081219,424,427.6,420,424.2,2989,0
20081222,406.8,417.6,406,414,1391,0
20081223,417.6,428.4,396,421.4,3186,0
20081224,420,421.68,411.4,412.2,363,0
20081226,410.24,412.6,376.08,390.6,503,0
20081229,379,387,357.2,382.6,1836,0
20081230,387.6,391.6,385,385.64,659,0
20081231,398,400,373.8,382,958,0
20090102,382,386.2,379,385.4,674,0
20090105,416.2,416.2,396.6,401,1941,0
20090106,410.6,413,386.64,392,1687,0
20090107,433,433,401.4,417,761,0
20090108,393.4,404.8,393.4,400.2,1531,0
20090109,411,411,386.6,400.4,4468,0
20090112,420.2,440,420,432.8,5435,0
20090113,432.8,436.2,422.4,432.6,28840,0
20090114,434.6,447,433.2,445.8,15547,0
20090115,441,452.4,434.4,436.2,3698,0
20090116,416.4,421.6,408,409.6,4809,0
20090120,394.6,402.4,386,397.4,11540,0
20090121,401.4,406.4,395.2,398.8,2472,0
20090122,397,398.8,390.6,394.2,1268,0
20090123,375.8,420,353,358.8,6454,0
20090126,349,355.8,342,352,3171,0
20090127,358,360.2,355.6,359.6,3230,0
20090128,361.2,370,357,369.6,5793,0
20090129,372.8,374,348.96,349.4,4387,0
20090130,340,347.2,331.8,334.8,9125,0
20090202,342.8,353.8,339.2,353.2,3481,0
20090203,348.6,362,345.4,355,6162,0
20090204,350.8,353.8,346.6,350.88,2807,0
20090205,337.6,347.6,336,340,3831,0
20090206,344.4,346.2,341.6,344.2,2742,0
20090209,355.6,360,352.6,356,3287,0
20090210,350.2,350.2,339.4,340.2,3340,0
20090211,336.8,336.8,317.8,323.2,10845,0
20090212,320,322,315.2,317.2,7464,0
20090213,323.4,328.6,321,321,7802,0
20090217,304,305.4,300,302,8617,0
20090218,303.4,306.64,292,293.76,9114,0
20090219,298.4,301,294.8,300.4,10097,0
20090220,284.4,291,280,287.6,16455,0
20090223,295.6,298.8,285.4,289,26080,0
20090224,289,308.6,288.6,304.4,55128,0
20090225,306.4,317,296.32,313.4,37254,0
20090226,317.8,324.6,313.6,314,38002,0
20090227,306,327.8,303.4,318,26333,0
20090302,312,330.32,310.4,328.4,31799,0
20090303,330,342.2,327.96,335.6,24353,0
20090304,333,346.2,332,341,15282,0
20090305,335.6,340.6,316.8,319.2,30236,0
20090306,320.2,323,312.2,317.12,12968,0
20090309,317,336.2,317,328,11497,0
20090310,336.8,350,336.8,346.8,22722,0
20090311,344.8,349.2,333.8,338.4,14763,0
20090312,330.4,331.2,320.8,325,17144,0
20090313,320,327,318.8,322.2,11689,0
20090316,329.8,331.56,324.72,325,7026,0
20090317,330,333.6,328.2,332.4,4355,0
20090318,341.2,354.52,303.8,305.6,38836,0
20090319,302.8,306.6,293.6,297.2,24554,0
20090320,301.4,303.6,297.4,301.2,10575,0
20090323,303.4,313,300.68,313,17935,0
20090324,320.4,322.4,313.4,318,23542,0
20090325,319.8,322.2,307.2,310,10467,0
20090326,305.6,312.8,305.4,312.8,8387,0
20090327,319.6,322,317.4,320,7708,0
20090330,325,326,312.6,324.28,19586,0
20090331,322.2,326.88,319,323.4,5849,0
20090401,315.2,322.4,314.8,317.88,6015,0
20090402,333,339.64,329.8,333.2,34807,0
20090403,332.4,343,328.8,341.4,19055,0
20090406,352,361.8,350.8,359.8,34974,0
20090407,351.4,352,344.6,347.4,18493,0
20090408,343,350,340,348.2,27907,0
20090409,351,352,345.8,350.6,9049,0
20090413,335.6,339.6,332.2,337,18944,0
20090414,338,343.6,337.4,341.4,6815,0
20090415,341.2,342,337,339.2,5944,0
20090416,340.8,354.6,340.8,353.08,20780,0
20090417,354.6,360.2,354,358.24,11777,0
20090420,352,352,341,343,18995,0
20090421,336.6,348.2,335.8,343.6,8519,0
20090422,342.8,344.8,336.8,339.8,7967,0
20090423,338,338.2,325,329.6,11823,0
20090424,327,328.4,321.2,321.8,11913,0
20090427,325.8,327.56,322.2,327,4642,0
20090428,339.8,341,335.64,336,8861,0
20090429,332.8,338.2,329,332.4,20073,0
20090430,344.8,346.12,336.2,340.2,15054,0
20090501,343.6,344.4,338.44,342.6,11469,0
20090504,338.2,338.2,325,329.4,12429,0
20090505,320.2,334.4,320.2,330.6,13212,0
20090506,323.2,327.2,321,321.52,11058,0
20090507,316.2,323,315.8,322.8,19919,0
20090508,320,325.96,317.4,318.2,5776,0
20090511,319.8,321.6,317.8,319.8,4224,0
20090512,315.8,318,311.4,312.2,50701,0
20090513,312.8,315,307.4,311.4,9153,0
20090514,311.8,312.8,308.8,311,5825,0
20090515,310.4,310.4,305.2,307.4,6027,0
20090518,307.6,316,307.2,314.8,7418,0
20090519,313.8,313.8,308,311,5797,0
20090520,307.2,307.2,300.8,301.8,12009,0
20090521,301.2,303.8,291.2,291.96,17162,0
20090522,288.8,291.6,288.2,289.8,9355,0
20090526,296.48,297.4,290.8,292,8131,0
20090527,291.4,295.2,288.4,293.4,15815,0
20090528,288.6,290.4,285,289,8230,0
20090529,279.8,280,276,276.6,22212,0
20090601,274,280,273.6,279.4,15538,0
20090602,277.2,277.2,272.6,275.8,7651,0
20090603,278.2,287.2,276.8,286.2,20454,0
20090604,282.6,282.8,274.8,275.92,13704,0
20090605,288.6,292,285,290.8,18337,0
20090608,293.8,297.8,291.4,291.4,16754,0
20090609,288,292,287,289.8,7996,0
20090610,285.6,295,285.2,289.8,9624,0
20090611,294.6,295,286,291,7750,0
20090612,299,301.4,296.8,300.32,15895,0
20090615,302.2,308.28,302,306.6,23607,0
20090616,302.4,305.2,300.44,302,5847,0
20090617,303.6,307,299,299.4,20175,0
20090618,299,305.32,297.4,301.8,9214,0
20090619,301.6,303.2,299.4,301.2,4759,0
20090622,310.2,312.8,309.2,309.8,16297,0
20090623,309.4,314,306.2,306.8,13433,0
20090624,299.6,305.8,297.2,303.2,11078,0
20090625,299.6,300.8,297.6,297.6,8489,0
20090626,294.4,300,294,297.6,5064,0
20090629,297.8,301.6,297,299,8113,0
20090630,300.4,308.6,300.4,305.2,12280,0
20090701,298,299.2,293.6,297,10296,0
20090702,303,305.4,302.2,304.36,12080,0
20090706,309.8,310,306.6,307.2,5386,0
20090707,306.8,309,303.6,308.2,7446,0
20090708,311.8,320.6,310.6,318.2,21802,0
20090709,315.8,317,311.4,316,9941,0
20090710,318,318.6,314.8,315.6,10059,0
20090713,316.8,319.2,307.8,310.8,16220,0
20090714,306.8,308.4,304.6,306.4,11543,0
20090715,297.8,298.2,294.8,297.4,24743,0
20090716,298.2,301,297.4,298.4,13981,0
20090717,297,299.4,296.6,299.4,5267,0
20090720,288.2,292.32,286.4,290,12970,0
20090721,288.2,293.8,288,290.4,9255,0
20090722,293.2,293.2,286.8,289.4,5559,0
20090723,290.2,290.4,285.2,289.6,5927,0
20090724,289.6,289.6,287.6,289,3792,0
20090727,286.4,289.4,285.8,287,4505,0
20090728,292.8,299.6,292.6,297,14575,0
20090729,300,305.2,299.6,302.6,15971,0
20090730,300.6,301.2,297.2,299.8,8978,0
20090731,298.6,298.6,284.4,288.8,14774,0
20090803,283.2,286.2,281.24,285,12523,0
20090804,283.6,284.2,276.8,279.6,13482,0
20090805,279,283.8,278,280.4,6285,0
20090806,278.4,285.4,277,280.8,15680,0
20090807,282.12,286.4,280.8,286,5867,0
20090810,291.6,292.6,289.4,290.6,7307,0
20090811,291.8,293.6,290.6,292,7234,0
20090812,293,293,287.4,291,5251,0
20090813,285,287,283.6,285.4,5801,0
20090814,284.6,293.2,284.44,289.6,6233,0
20090817,298.8,300.4,296.8,298.6,9096,0
20090818,297.4,297.4,294.84,296.4,5856,0
20090819,298.2,298.2,291.2,292.4,7620,0
20090820,294,295.4,292.6,293.8,2345,0
20090821,285.4,286.8,284.4,285.8,8349,0
20090824,285.2,297,284.6,293.2,11425,0
20090825,286.8,292,286.4,290.4,5718,0
20090826,290.8,293.4,289.8,290.2,3530,0
20090827,290.4,292.6,287,288.2,8644,0
20090828,282.8,285,281.8,284,6220,0
20090831,287.6,289,285.4,286.2,5556,0
20090901,286,288.2,282.8,282.8,5677,0
20090902,278.8,279,268.6,268.8,23183,0
20090903,267.4,268.8,259.4,262.6,30539,0
20090904,264,266.6,260.6,261.8,12481,0
20090908,256.6,262.8,255.8,262.6,20742,0
20090909,259.6,265.4,258,264.2,17243,0
20090910,264.6,265.2,260,261.8,8129,0
20090911,254.8,258,252.8,255.2,17550,0
20090914,258.6,260.4,256.8,259.6,6991,0
20090915,260.2,261.4,253.2,254.6,6611,0
20090916,248.4,251,247.6,248.6,17149,0
20090917,250.6,253.2,247.8,252,8949,0
20090918,249.8,255.2,249,255.2,7277,0
20090921,258.8,260,255,256.6,15485,0
20090922,249.6,251.4,248.8,250,14071,0
20090923,251.8,254.6,248.24,254,12185,0
20090924,251.4,262,250.6,260.6,15017,0
20090925,262.8,264,260.4,262.6,16837,0
20090928,262,262.6,258.6,262.4,8989,0
20090929,262,262.36,259,260.8,3072,0
20090930,256,259.8,252,253.2,15156,0
20091001,253.2,258,252.8,257.6,14003,0
20091002,258.4,258.8,253,255.6,7590,0
20091005,255,255.2,247.8,247.8,7120,0
20091006,240.4,240.6,235,236,36414,0
20091007,235.8,238,234.8,235.6,15043,0
20091008,233.4,235,227,229.4,23862,0
20091009,232.2,234.6,231.2,232.4,22502,0
20091012,230.6,230.8,228.08,229.6,12245,0
20091013,228.68,230,225.4,226.6,15245,0
20091014,226.4,228.4,224.4,227,13856,0
20091015,231,233.6,228,232.24,11975,0
20091016,233.2,233.8,229,230.8,11138,0
20091019,230.8,232.8,226,226.4,10036,0
20091020,225.8,230.4,225.4,229.4,10645,0
20091021,229.6,230.2,225.2,228.4,7875,0
20091022,229.4,230.4,226.6,227.6,6030,0
20091023,225,231.2,224.4,229,14154,0
20091026,229.2,236.8,227.2,236.4,27980,0
20091027,236.4,239,235.6,236,10934,0
20091028,237.6,241.6,235.4,241,22639,0
20091029,237,237.4,231.88,232,14116,0
20091030,233.8,237.6,232.4,233.2,11146,0
20091102,228.6,229.4,225,226.6,12485,0
20091103,227,227.4,214.8,215.68,45551,0
20091104,213,215.4,210.8,213.2,24407,0
20091105,214.4,215,213,213.8,13328,0
20091106,212.2,213.4,209.4,211.8,15578,0
20091109,207,209.6,206.4,209,16794,0
20091110,209,210.4,206.2,207.8,30672,0
20091111,203.6,205.4,202.6,203.4,21427,0
20091112,204.8,208.6,203.6,208.4,23449,0
20091113,208,208.4,202.2,202.6,12002,0
20091116,199,199,193.4,195.6,31033,0
20091117,197.4,198,194,194.4,13436,0
20091118,191.8,194.6,190.4,193.4,23756,0
20091119,194.2,197.8,192.6,193,23846,0
20091120,195.2,195.4,190.6,191.2,18664,0
20091123,184.2,186.6,183,186,36174,0
20091124,184.6,186.8,184,184.6,29217,0
20091125,181.6,181.8,177.4,178.4,51836,0
20091127,188.6,189,180.6,182.8,32663,0
20091130,185,185.2,180.4,181.2,17527,0
20091201,175.8,177.56,174.2,175.8,43844,0
20091202,171.8,172.6,170,170.6,72445,0
20091203,172,173.2,169,171.4,88581,0
20091204,176,190,175.4,186.2,125853,0
20091207,192.4,193,183.4,187.4,96198,0
20091208,188.8,197,187.4,195,62289,0
20091209,193,200,189.6,195.6,61395,0
20091210,195,197.8,194.2,195.2,30525,0
20091211,195.8,202,195,200.6,52965,0
20091214,198.2,199.6,196,197.4,28762,0
20091215,198,200,195.6,197.4,27326,0
20091216,195,195.2,191,192.4,33035,0
20091217,199.6,207.4,198,207.4,56076,0
20091218,205,206.4,199.2,201.4,41155,0
20091221,200.6,208.72,199.8,208.4,41265,0
20091222,209.4,215,208.2,211.8,50552,0
20091223,210,211.2,206.6,210.2,24990,0
20091224,205,205,202.6,203.2,14945,0
20091228,201.6,204.4,201,202.2,14897,0
20091229,202.8,206.4,202.2,206.4,12356,0
20091230,209.6,210.4,206.2,207.8,14478,0
20091231,204.2,207,203.4,207,19516,0
20100104,197.4,198.6,195.6,197,37473,0
20100105,196,198.8,194.4,197.4,30383,0
20100106,193.4,194.4,190,191,38329,0
20100107,192.8,193.8,191.6,193,22438,0
20100108,190.6,195.2,190.6,191.4,12814,0
20100111,184.6,186.6,183.6,186.2,22294,0
20100112,187.4,194.8,185.44,194,33169,0
20100113,192.6,196.8,190,190.4,27881,0
20100114,190.2,192.6,187.2,188.4,19938,0
20100115,191,194,190.8,192.6,21400,0
20100119,192.2,192.4,189.4,190,12629,0
20100120,195,200.6,195,198.8,27956,0
20100121,200.8,207.2,199.4,204.8,40752,0
20100122,206.6,209.8,203.6,205.4,42826,0
20100125,204.6,205.4,202.8,203.8,26330,0
20100126,205.8,206.8,202,204,24035,0
20100127,204,209,202.6,207.8,25537,0
20100128,205.4,212.8,205,208.2,44491,0
20100129,210,212.6,208.6,209.6,31253,0
20100201,207.4,208.2,199.6,200.4,41638,0
20100202,196.8,199.2,195.4,197.4,30875,0
20100203,197.6,199.8,195.8,199.2,18312,0
20100204,205.4,217.2,205.4,215,89845,0
20100205,217,223.4,213.4,213.4,78258,0
20100208,214.2,216.2,211.4,216,24484,0
20100209,211.4,212.2,207.4,210.4,18592,0
20100210,211.2,215.6,210,212,20470,0
20100211,209.8,211,201.6,203.6,45098,0
20100212,207.4,209.6,203.6,204.2,18493,0
20100216,194.2,195.8,193.2,193.8,35798,0
20100217,193.4,196.6,192.4,195.4,34149,0
20100218,194.2,195.4,192,193,38663,0
20100219,195.2,196.6,191,194.6,23308,0
20100222,192.8,197,192.6,196,14843,0
20100223,196.8,200.8,196.4,200.2,20794,0
20100224,202.2,202.8,198.8,202.2,21058,0
20100225,204.4,204.8,196.8,198.2,41164,0
