Date,Open,High,Low,Close,Volume,OpenInt
20101029,23.771,23.847,23.742,23.838,62627,0
20101101,23.933,23.971,23.78,23.857,117272,0
20101102,24.019,24.047,23.971,24.047,43922,0
20101103,24.105,24.133,23.914,24.067,100210,0
20101104,24.305,24.448,24.276,24.448,46199,0
20101105,24.4,24.476,24.371,24.438,129847,0
20101108,24.381,24.419,24.305,24.4,138543,0
20101109,24.543,24.581,24.085,24.143,403347,0
20101110,24.209,24.305,24.067,24.305,323245,0
20101111,24.161,24.161,24.085,24.133,110923,0
20101112,24.037,24.037,23.78,23.819,114157,0
20101115,23.981,24.247,23.771,23.78,94587,0
20101116,23.742,23.742,23.256,23.38,177759,0
20101117,23.504,23.514,23.399,23.438,64504,0
20101118,23.685,23.694,23.628,23.676,177006,0
20101119,23.666,23.676,23.532,23.676,60844,0
20101122,23.676,23.685,23.552,23.647,125788,0
20101123,23.504,23.504,23.38,23.428,150802,0
20101124,23.666,23.666,23.532,23.656,36465,0
20101126,23.552,23.59,23.447,23.494,31655,0
20101129,23.58,23.58,23.323,23.523,92804,0
20101130,23.476,23.542,23.399,23.476,55737,0
20101201,23.59,23.685,23.59,23.676,73747,0
20101202,23.828,23.838,23.676,23.828,91939,0
20101203,23.857,23.952,23.819,23.952,68910,0
20101206,23.933,23.981,23.885,23.971,130406,0
20101207,24.219,24.219,23.895,23.961,44408,0
20101208,23.971,23.971,23.771,23.857,41294,0
20101209,24.019,24.019,23.799,23.799,26050,0
20101210,23.847,23.923,23.799,23.914,39238,0
20101213,23.971,24.171,23.971,24.019,37411,0
20101214,23.876,24.085,23.876,23.99,29734,0
20101215,23.904,23.999,23.799,23.828,34908,0
20101216,23.99,23.999,23.78,23.895,33220,0
20101217,23.828,23.943,23.742,23.914,123976,0
20101220,24.152,24.457,23.961,24.057,93747,0
20101221,24.199,24.276,24.095,24.209,57385,0
20101222,24.305,24.305,24.209,24.267,28530,0
20101223,24.238,24.276,24.229,24.247,55740,0
20101227,24.295,24.352,24.209,24.314,35998,0
20101228,24.352,24.371,24.295,24.333,21647,0
20101229,24.324,24.324,24.171,24.257,35428,0
20101230,24.305,24.305,24.199,24.238,50106,0
20101231,24.276,24.39,24.238,24.352,43473,0
20110103,24.543,24.581,24.448,24.524,77690,0
20110104,24.743,24.743,24.191,24.314,102784,0
20110105,24.276,24.381,24.181,24.381,38884,0
20110106,24.448,24.448,24.181,24.219,42770,0
20110107,24.247,24.257,24.029,24.171,45234,0
20110110,24.143,24.199,23.99,24.191,136212,0
20110111,24.333,24.333,24.209,24.267,44064,0
20110112,24.581,24.581,24.41,24.486,123961,0
20110113,24.572,24.572,24.419,24.457,32145,0
20110114,24.457,24.543,24.39,24.543,16972,0
20110118,24.628,24.628,24.514,24.572,41906,0
20110119,24.714,24.714,24.352,24.381,40434,0
20110120,24.352,24.352,24.123,24.238,33095,0
20110121,24.324,24.324,24.229,24.238,15831,0
20110124,24.285,24.352,24.257,24.305,23368,0
20110125,24.305,24.305,24.143,24.295,31967,0
20110126,24.495,24.495,24.333,24.448,33625,0
20110127,24.428,24.534,24.41,24.486,19960,0
20110128,24.495,24.504,24.247,24.257,38336,0
20110131,24.428,24.448,24.314,24.428,19266,0
20110201,24.62,24.924,24.448,24.628,239622,0
20110202,25.772,25.772,24.552,24.676,44701,0
20110203,24.705,24.705,24.543,24.705,24469,0
20110204,24.504,24.772,24.504,24.658,19478,0
20110207,24.781,24.781,24.638,24.714,38335,0
20110208,24.734,24.781,24.658,24.781,49058,0
20110209,24.734,24.762,24.666,24.714,28169,0
20110210,24.6,24.696,24.543,24.648,38008,0
20110211,24.62,24.781,24.581,24.752,86476,0
20110214,24.781,24.781,24.734,24.781,42082,0
20110215,24.781,24.781,24.666,24.686,17006,0
20110216,24.762,24.848,24.762,24.848,19768,0
20110218,24.962,25.019,24.924,24.981,37897,0
20110222,24.791,24.896,24.6,24.648,74756,0
20110223,24.666,24.705,24.524,24.638,19351,0
20110224,24.838,24.838,24.562,24.562,108882,0
20110225,24.734,24.896,24.724,24.896,26824,0
20110228,25.029,25.095,24.991,25.095,240044,0
20110301,25.057,25.115,24.848,24.876,408963,0
20110302,24.934,24.972,24.819,24.924,225590,0
