Date,Open,High,Low,Close,Volume,OpenInt
20130716,98.351,98.351,98.141,98.255,5541,0
20130717,98.4,98.4,98.4,98.4,4104,0
20130722,98.633,98.633,98.633,98.633,2977,0
20130723,98.732,98.732,98.732,98.732,1018,0
20130724,98.537,98.537,98.537,98.537,150,0
20130725,98.121,98.121,98.121,98.121,2001,0
20130726,98.633,98.643,98.623,98.643,20005,0
20130730,98.507,98.693,98.4,98.4,22518,0
20130731,98.207,98.207,98.101,98.189,3797,0
20130802,97.966,98.48,97.966,98.42,812,0
20130805,98.4,98.47,98.4,98.47,1247,0
20130806,98.517,98.517,98.517,98.517,100,0
20130807,99.039,99.039,98.537,98.597,818,0
20130808,98.613,98.613,98.613,98.613,251,0
20130809,98.683,98.683,98.633,98.683,437,0
20130813,98.643,98.643,98.351,98.351,276,0
20130814,98.207,98.207,98.207,98.207,140,0
20130815,98.101,98.215,98.101,98.169,585,0
20130816,98.159,98.159,97.936,97.936,2048,0
20130819,97.936,97.986,97.936,97.956,718,0
20130820,98.073,98.073,98.073,98.073,748,0
20130822,97.721,97.721,97.584,97.613,1234,0
20130823,97.633,97.899,97.633,97.82,966,0
20130827,98.141,98.169,98.081,98.169,1203,0
20130828,98.101,98.101,98.073,98.073,6161,0
20130829,98.073,98.073,97.731,97.849,974,0
20130903,97.781,97.83,97.741,97.741,3069,0
20130904,98.235,98.235,97.506,97.506,8813,0
20130905,97.262,97.331,97.195,97.331,1398,0
20130906,97.417,97.623,97.398,97.446,2410,0
20130909,97.633,97.702,97.633,97.702,1289,0
20130910,97.584,97.594,97.272,97.554,2388,0
20130911,97.751,97.751,97.321,97.751,4034,0
20130912,97.731,98.103,97.613,97.987,25479,0
20130913,97.711,97.761,97.574,97.604,37382,0
20130916,98.225,98.315,98.142,98.215,1511,0
20130917,98.702,98.702,97.9,97.957,22879,0
20130918,98.093,98.623,98.064,98.46,19742,0
20130919,98.597,98.865,98.597,98.816,4104,0
20130920,98.885,98.934,98.885,98.924,1807,0
20130924,98.507,99.049,98.507,99.049,415,0
20130925,99.139,99.139,99.119,99.119,200,0
20130926,98.964,99.199,98.964,99.199,2658,0
20130927,99.169,99.179,98.797,99.099,4911,0
20131004,99.54,99.64,99.421,99.481,5455,0
20131007,99.287,99.287,99.219,99.219,353,0
20131008,99.53,99.53,99.179,99.189,15112,0
20131009,99.421,99.56,98.845,98.845,2147,0
20131010,99.327,99.51,99.327,99.461,1241,0
20131011,99.74,99.78,99.63,99.77,2550,0
20131014,99.83,99.83,99.67,99.67,200,0
20131015,99.71,99.79,99.71,99.75,1680,0
20131016,99.77,99.92,99.76,99.92,958,0
20131017,100.07,100.07,99.8,99.84,715,0
20131018,100.57,100.57,100.2,100.2,302,0
20131021,100.14,100.14,100.14,100.14,200,0
20131022,100.86,100.86,100.86,100.86,195,0
20131023,100.95,100.95,100.11,100.73,894,0
20131024,100.09,100.09,100.09,100.09,3620,0
20131025,100.4,100.4,100.4,100.4,342,0
20131028,100.57,100.76,100.38,100.45,3699,0
20131029,100.55,100.73,100.55,100.73,455,0
20131030,100.85,100.85,100,100,1738,0
20131101,100.69,100.69,100.27,100.54,2128,0
20131104,100.56,100.56,100.56,100.56,196,0
20131105,100.56,100.56,100.46,100.56,1927,0
20131106,100.67,100.68,100.25,100.64,1061,0
20131107,100.27,100.78,100.27,100.36,962,0
20131108,100.02,100.02,99.97,99.97,1428,0
20131111,99.75,99.75,99.75,99.75,155,0
20131112,100.08,100.08,100.08,100.08,351,0
20131113,99.99,100.08,99.92,100.07,5767,0
20131114,100.16,100.19,100.15,100.15,554,0
20131115,100.55,100.55,100.12,100.16,2154,0
20131118,100.16,100.37,100.16,100.37,416,0
20131119,100.6,100.6,100.3,100.3,1227,0
20131120,100.51,100.51,100.28,100.32,1900,0
20131121,100.48,100.48,100.2,100.27,2658,0
20131122,100.08,100.85,100.08,100.58,650,0
20131125,100.89,100.89,100.6,100.61,1723,0
20131126,100.67,100.7,100.67,100.7,877,0
20131127,101.32,101.32,100.61,100.61,3699,0
20131202,100.7,100.7,100.7,100.7,288,0
20131203,101.07,101.07,100.63,100.63,913,0
20131204,100.93,100.93,100.47,100.55,2201,0
20131205,100.88,100.88,100.38,100.38,1402,0
20131206,100.99,100.99,100.45,100.51,1187,0
20131209,100.83,100.83,99.68,99.68,13058,0
20131210,99.99,100.43,99.99,100.31,1535,0
20131211,100.27,100.45,99.91,100.41,5174,0
20131212,100.21,100.4,100.19,100.4,487,0
20131213,100.58,100.59,100.46,100.46,2648,0
20131216,100.6,100.76,100.6,100.76,3579,0
20131217,101.16,101.16,100.88,101.01,3925,0
20131218,102.67,102.67,100.94,101.16,3419,0
20131219,100.82,100.92,100.46,100.46,6466,0
20131220,100.83,100.87,100.46,100.55,7213,0
20131223,100.45,101.22,100.44,101.03,7136,0
20131224,100.72,100.72,100.2,100.2,8151,0
20131226,100.56,100.56,100.42,100.42,588,0
20131227,100.37,100.55,100.27,100.3,3447,0
20131230,100.48,100.59,100.48,100.59,641,0
20131231,100.61,100.61,100.29,100.59,12435,0
20140102,100.25,100.54,100.25,100.5,31854,0
20140103,100.57,100.62,100.32,100.53,6199,0
20140106,100.54,100.56,100.36,100.56,2108,0
20140107,100.47,100.52,100.42,100.46,6519,0
20140108,100.7,100.7,100.43,100.53,4460,0
20140109,100.5,100.67,100.34,100.67,8369,0
20140110,101.12,101.12,100.52,100.56,1493,0
20140113,101.39,101.39,100.26,100.26,7334,0
20140114,101.17,101.17,100.78,100.83,2545,0
20140115,101.16,101.16,100.55,100.83,3589,0
20140116,100.72,100.72,100.72,100.72,437,0
20140117,100.17,100.89,100.17,100.88,18216,0
20140121,101.33,101.33,100.81,100.81,4107,0
20140122,100.73,100.95,100.67,100.8,7443,0
20140123,100.84,101.14,100.84,100.9,5199,0
20140124,101.09,101.09,101.09,101.09,337,0
20140127,101.09,101.09,101.04,101.04,1380,0
20140128,101.1,101.1,100.88,101.05,3750,0
20140129,101.24,101.25,100.82,100.82,4079,0
20140130,101.21,101.46,101.12,101.12,2289,0
20140131,101.25,101.45,101.18,101.2,3031,0
20140203,101.11,101.44,101.11,101.36,1408,0
20140204,101.49,101.5,101.41,101.41,1240,0
20140205,101.35,101.35,101.15,101.26,1823,0
20140206,101.58,101.58,101.12,101.13,6842,0
20140207,101.25,101.47,101.23,101.47,3517,0
20140210,101.02,101.63,101.02,101.18,5681,0
20140211,101.33,101.42,101.16,101.36,1638,0
20140212,101.41,101.41,101.19,101.21,1775,0
20140213,101.47,101.47,101.24,101.36,2770,0
20140214,101.57,101.57,101.33,101.5,1039,0
20140218,101.61,101.69,101.36,101.36,2779,0
20140219,101.71,101.71,101.54,101.65,2223,0
20140220,101.51,101.51,101.42,101.42,903,0
20140221,101.46,101.46,101.34,101.34,726,0
20140224,101.51,101.53,101.44,101.53,1727,0
20140225,101.53,101.6,101.5,101.6,2306,0
20140226,101.79,101.79,101.51,101.7,3779,0
20140227,101.63,101.71,101.59,101.59,1750,0
20140228,101.56,101.76,101.53,101.68,2455,0
20140303,101.96,101.98,101.72,101.98,1809,0
20140304,102.08,102.08,101.48,101.48,2418,0
20140305,101.87,101.87,101.75,101.76,2695,0
20140306,101.68,101.7,101.49,101.68,3437,0
20140307,101.74,101.74,101.39,101.56,4745,0
20140310,101.69,101.7,101.69,101.7,1074,0
20140311,101.69,101.94,101.57,101.77,3802,0
20140312,101.89,101.89,101.58,101.82,79352,0
20140313,101.88,101.88,101.5,101.76,6727,0
20140314,101.66,101.75,101.66,101.73,1891,0
20140317,101.73,101.73,101.73,101.73,730,0
20140318,101.67,101.75,101.52,101.69,3319,0
20140319,101.69,101.8,101.33,101.33,5407,0
20140320,101.14,101.54,101.14,101.46,4461,0
20140321,101.33,101.37,101.32,101.32,3317,0
20140324,101.27,101.34,101.17,101.3,3173,0
20140325,101.28,101.29,101.11,101.23,2861,0
20140326,101.21,101.26,101.21,101.23,1320,0
20140327,101.38,101.45,101.37,101.45,712,0
20140328,101.42,101.52,101.42,101.42,1052,0
20140331,101.68,101.7,101.32,101.39,3537,0
20140401,102.04,102.04,101.42,101.82,7362,0
20140402,101.63,101.77,101.61,101.76,5062,0
20140403,101.78,101.81,101.72,101.77,1661,0
20140404,101.6,102.01,101.6,102.01,1964,0
20140407,102.16,102.19,102.16,102.19,1545,0
20140408,102.09,102.17,102.05,102.11,1845,0
20140409,102.04,102.31,101.92,102.27,7333,0
20140410,102.31,102.43,102.31,102.43,3977,0
20140411,102.56,102.74,102.18,102.22,2711,0
20140414,102.54,102.54,102.36,102.42,2439,0
20140415,102.36,102.52,101.95,101.95,3426,0
20140416,102.49,102.49,102.36,102.47,2884,0
20140417,102.34,102.4,101.99,102.17,4930,0
20140421,102.24,102.39,102.13,102.39,9348,0
20140422,102.23,102.39,102.23,102.36,10307,0
20140423,102.3,102.42,102.3,102.35,733,0
20140424,102.27,102.46,102.27,102.41,4051,0
20140425,102.49,102.49,102.29,102.43,5917,0
20140428,102.52,102.52,102.21,102.25,4393,0
20140429,102.43,102.46,102.25,102.46,1078,0
20140430,102.81,102.81,102,102,3094,0
20140501,102.46,102.46,102.36,102.46,1502,0
20140502,102.22,102.23,102.1,102.23,1493,0
20140505,102.31,102.31,102.08,102.25,1160,0
