Date,Open,High,Low,Close,Volume,OpenInt
20100108,48.571,48.581,48.571,48.581,6768,0
20100111,48.984,48.994,48.984,48.994,1872,0
20100112,48.994,49.07,48.984,49.07,7412,0
20100113,49.128,49.185,49.119,49.185,3307,0
20100114,49.214,49.214,49.195,49.195,1461,0
20100115,49.318,49.346,49.299,49.346,3918,0
20100120,49.433,49.433,49.424,49.424,409,0
20100121,49.471,49.471,49.471,49.471,1657,0
20100122,49.481,49.481,49.481,49.481,870,0
20100125,49.481,49.481,49.481,49.481,1820,0
20100126,49.491,49.491,49.491,49.491,1564,0
20100127,49.491,49.491,49.491,49.491,3384,0
20100128,49.79,49.79,49.52,49.53,16992,0
20100129,49.559,49.559,49.549,49.559,1358,0
20100201,49.52,49.52,49.52,49.52,517,0
20100202,49.52,49.539,49.52,49.539,713,0
20100204,49.559,49.645,49.559,49.645,625,0
20100205,49.635,49.635,49.635,49.635,863,0
20100208,49.684,49.684,49.684,49.684,200,0
20100209,49.587,49.617,49.568,49.578,14990,0
20100210,49.539,49.578,49.539,49.539,2225,0
20100211,49.559,49.559,49.559,49.559,709,0
20100212,49.559,49.559,49.559,49.559,413,0
20100216,49.587,49.587,49.578,49.587,520,0
20100217,49.607,49.607,49.607,49.607,100,0
20100218,49.597,49.607,49.597,49.607,1024,0
20100219,49.597,49.597,49.597,49.597,1897,0
20100222,49.491,49.501,49.452,49.452,2368,0
20100223,49.578,49.665,49.578,49.578,2444,0
20100225,49.762,49.762,49.762,49.762,446,0
20100226,49.8,49.8,49.8,49.8,803,0
20100302,49.79,49.79,49.781,49.781,3471,0
20100303,49.838,49.838,49.828,49.838,1899,0
20100304,49.915,49.915,49.915,49.915,517,0
20100305,49.905,50,49.905,50,4650,0
20100308,50.01,50.02,49.992,50.02,854,0
20100309,50.02,50.02,50.01,50.02,1121,0
20100310,50.039,50.049,50.039,50.039,454,0
20100311,50.068,50.068,50.068,50.068,1488,0
20100312,50.068,50.068,50.068,50.068,1456,0
20100315,50.087,50.087,50.078,50.087,4132,0
20100316,50.126,50.126,50.116,50.116,1358,0
20100317,50.107,50.136,50.02,50.02,4585,0
20100318,50.107,50.107,50.097,50.097,673,0
20100319,50.126,50.126,50.126,50.126,409,0
20100322,50.136,50.136,50.136,50.136,326,0
20100324,50.087,50.126,50.039,50.126,5711,0
20100325,50.039,50.068,50.039,50.039,3332,0
20100326,49.703,49.713,49.626,49.626,2917,0
20100330,49.635,49.635,49.635,49.635,310,0
20100331,49.635,49.635,49.635,49.635,710,0
20100401,49.568,49.568,49.549,49.568,2267,0
20100405,49.568,49.568,49.481,49.568,2781,0
20100406,49.481,49.481,49.148,49.148,6768,0
20100407,49.214,49.214,49.08,49.157,1461,0
20100408,49.195,49.195,49.195,49.195,200,0
20100409,49.176,49.176,49.167,49.176,1599,0
20100412,49.214,49.214,49.195,49.195,5436,0
20100413,49.214,49.214,49.204,49.204,866,0
20100414,49.204,49.233,49.204,49.233,517,0
20100415,49.29,49.318,49.262,49.318,1111,0
20100416,49.356,49.366,49.262,49.337,4536,0
20100419,49.318,49.433,49.309,49.424,21438,0
20100420,49.375,49.414,49.318,49.414,2373,0
20100421,49.404,49.424,49.366,49.366,7500,0
20100422,49.452,49.501,49.452,49.471,6344,0
20100423,49.453,49.453,49.414,49.414,3023,0
20100426,49.414,49.443,49.414,49.433,2570,0
20100427,49.433,49.433,49.404,49.404,1609,0
20100428,49.366,49.617,49.366,49.481,7831,0
20100429,49.462,49.501,49.394,49.424,2085,0
20100430,49.385,49.433,49.366,49.366,6513,0
20100503,49.337,49.366,49.309,49.309,1769,0
20100504,49.318,49.328,49.309,49.328,2791,0
20100505,49.309,49.309,49.309,49.309,665,0
20100506,49.299,49.299,46.757,49.224,2469,0
20100507,49.214,49.214,48.965,49.176,5435,0
20100510,49.167,49.185,49.157,49.157,409,0
20100511,49.233,49.29,49.204,49.272,4217,0
20100512,49.29,49.299,49.243,49.281,4676,0
20100513,49.281,49.281,49.099,49.109,7074,0
20100514,49.281,49.281,49.281,49.281,517,0
20100518,49.328,49.366,49.328,49.346,1465,0
20100519,49.433,49.433,49.433,49.433,200,0
20100520,49.452,49.452,49.424,49.443,1228,0
20100521,49.328,49.52,49.061,49.481,3229,0
20100524,49.549,49.559,49.549,49.559,200,0
20100525,49.587,49.617,49.568,49.617,3544,0
20100526,49.617,49.674,49.617,49.674,1589,0
20100527,49.645,49.665,49.462,49.645,1347,0
20100528,49.665,49.665,49.665,49.665,1707,0
20100601,49.587,49.607,49.568,49.607,4531,0
20100602,49.394,49.607,49.394,49.607,1267,0
20100603,49.607,49.607,49.607,49.607,925,0
20100604,49.587,49.587,49.549,49.549,1437,0
20100607,49.578,49.578,49.559,49.559,435,0
20100608,49.587,49.587,49.578,49.587,1134,0
20100609,49.568,49.568,49.568,49.568,426,0
20100610,49.539,49.539,49.328,49.328,5075,0
20100611,49.597,49.597,49.587,49.597,1513,0
20100614,49.587,49.587,49.356,49.481,2790,0
20100615,49.471,49.471,49.346,49.346,1737,0
20100616,49.346,49.443,49.346,49.443,2264,0
20100617,49.433,49.481,49.29,49.452,7272,0
20100618,49.481,49.481,49.272,49.471,2927,0
20100621,49.471,49.501,49.346,49.501,3230,0
20100622,49.433,49.433,49.433,49.433,3575,0
20100623,49.471,49.471,49.462,49.471,1166,0
20100624,49.346,49.51,49.253,49.51,24319,0
20100625,49.53,49.53,49.53,49.53,140,0
20100628,49.607,49.607,49.607,49.607,196,0
20100629,49.635,49.674,49.539,49.665,1973,0
20100630,49.711,49.72,49.711,49.72,818,0
20100701,49.491,49.684,49.424,49.684,861,0
20100706,49.684,49.684,49.617,49.617,1358,0
20100707,49.809,49.924,49.53,49.924,24276,0
20100708,49.915,49.915,49.471,49.895,2395,0
20100709,49.895,49.895,49.876,49.876,1604,0
20100712,49.934,49.944,49.895,49.895,1647,0
20100713,49.924,49.944,49.8,49.905,2370,0
20100714,49.963,49.982,49.924,49.982,4946,0
20100715,50.039,50.068,50.02,50.068,2707,0
20100716,50.116,50.116,50.116,50.116,597,0
20100719,50.126,50.126,50.078,50.126,8985,0
20100722,50.261,50.261,50.223,50.223,3126,0
20100723,50.309,50.309,50.261,50.271,2481,0
20100727,50.309,50.358,50.309,50.309,2811,0
20100728,50.387,50.387,50.387,50.387,118,0
20100729,50.406,50.406,50.367,50.406,3163,0
20100730,50.377,50.377,50.377,50.377,392,0
20100802,50.3,50.3,50.165,50.28,2354,0
