Date,Open,High,Low,Close,Volume,OpenInt
20131220,50.03,50.03,50.03,50.03,1000,0
20131226,50.04,50.04,50.04,50.04,600,0
20131227,50.04,50.04,50.04,50.04,100,0
20131230,50.05,50.05,50.05,50.05,200,0
20140108,50.06,50.06,50.06,50.06,100,0
20140110,50.07,50.07,50.07,50.07,1000,0
20140115,50.07,50.07,50.07,50.07,500,0
20140117,50.08,50.08,50.08,50.08,2798,0
20140122,50.09,50.09,50.09,50.09,698,0
20140123,50.07,50.07,50.07,50.07,2244,0
20140124,50.08,50.08,50.08,50.08,199,0
20140127,50.08,50.08,50.08,50.08,1000,0
20140128,50.09,50.09,50.09,50.09,2398,0
20140129,50.11,50.11,50.11,50.11,646,0
20140130,50.11,50.11,50.07,50.11,1926,0
20140131,50.11,50.11,50.11,50.11,1168,0
20140203,50.11,50.11,50.11,50.11,2000,0
20140204,50.13,50.15,50.13,50.15,6258,0
20140205,50.16,50.16,50.16,50.16,1099,0
20140210,50.16,50.16,50.16,50.16,1100,0
20140211,50.17,50.17,50.17,50.17,199,0
20140212,50.16,50.16,50.16,50.16,7529,0
20140213,50.15,50.15,50.15,50.15,500,0
20140214,50.16,50.16,50.15,50.15,2190,0
20140219,50.09,50.15,50.09,50.15,499,0
20140221,50.09,50.09,50.09,50.09,2000,0
20140226,50.15,50.15,50.15,50.15,100,0
20140227,50.61,50.61,50.15,50.15,300,0
20140306,50.15,50.15,50.15,50.15,637,0
20140311,50.05,50.05,50.05,50.05,670,0
20140312,50.15,50.15,50.15,50.15,400,0
20140314,50.05,50.05,50.05,50.05,200,0
20140317,50.15,50.15,50.15,50.15,2000,0
20140318,50.15,50.15,50.15,50.15,800,0
20140321,50.09,50.09,50.09,50.09,250,0
20140324,50.1,50.1,50.1,50.1,300,0
20140325,50.15,50.15,50.12,50.12,979,0
20140326,50.15,50.15,50.15,50.15,500,0
20140402,49.5,50.05,49.5,50.05,300,0
20140403,50.14,50.14,50.14,50.14,100,0
20140409,49.53,49.53,49.53,49.53,102,0
20140410,50.06,50.15,50.06,50.15,300,0
20140416,50.06,50.06,50.06,50.06,500,0
20140421,50.8,50.8,49.7,50.07,305,0
20140422,50.09,50.09,50.08,50.08,200,0
20140424,50.87,50.87,49.71,50.1,420,0
20140428,50.15,50.15,50.15,50.15,250,0
20140429,50.15,50.15,50.15,50.15,2000,0
20140430,50.15,50.15,50.15,50.15,200,0
20140505,49.44,50.13,49.44,50.13,202,0
20140506,50.13,50.13,50.13,50.13,102,0
20140508,49.48,50.14,49.48,50.14,501,0
20140513,50.15,50.15,50.15,50.15,100,0
20140523,50.12,50.12,50.12,50.12,401,0
20140528,50.12,50.12,50.12,50.12,1000,0
20140602,49,50.12,49,50.12,2080,0
20140604,50.12,50.12,50.12,50.12,3300,0
20140612,49.95,50.04,49.95,50.04,300,0
20140613,50.04,50.12,50.04,50.12,2255,0
20140616,50.12,50.12,50.12,50.12,1000,0
20140626,50.05,50.05,50.05,50.05,600,0
20140702,50.07,50.07,50.07,50.07,500,0
20140703,50.08,50.08,50.08,50.08,499,0
20140707,50.09,50.09,50.09,50.09,1103,0
20140708,50.11,50.15,50.08,50.08,129241,0
20140709,50.06,50.07,50.05,50.05,21652,0
20140710,50.08,50.08,50.07,50.07,642,0
20140711,50.07,50.07,50.07,50.07,1203,0
20140715,50.06,50.06,50.06,50.06,1900,0
20140716,50.14,50.14,50.06,50.06,1294,0
20140717,50.03,50.04,50.03,50.04,500,0
20140718,50.08,50.08,50.08,50.08,1500,0
20140721,50.07,50.07,50.07,50.07,1000,0
20140722,50.07,50.07,50.07,50.07,1500,0
20140723,50.05,50.05,50.05,50.05,8343,0
20140725,50.08,50.08,50.08,50.08,320,0
20140730,50.07,50.07,50.07,50.07,1897,0
20140731,50.07,50.07,50.03,50.03,435,0
20140804,50.01,50.01,50.01,50.01,11701,0
20140806,50.01,50.01,50.01,50.01,2002,0
20140807,49.98,49.98,49.98,49.98,225,0
20140808,50.01,50.01,50,50.01,3722,0
20140811,50.01,50.01,50.01,50.01,2230,0
20140812,50.01,50.03,50,50.03,136761,0
20140813,50.01,50.01,50.01,50.01,69657,0
20140814,50.03,50.03,50.03,50.03,1090,0
20140815,50.05,50.05,50.01,50.01,2001,0
20140819,50.01,50.06,50.01,50.06,300,0
20140825,50.07,50.07,50.07,50.07,2200,0
20140826,50.04,50.04,50.04,50.04,11360,0
20140827,50.06,50.06,50.04,50.04,3000,0
20140829,50.05,50.05,50.05,50.05,283,0
20140902,50.03,50.03,50.03,50.03,2000,0
20140904,50.03,50.06,50.03,50.06,7338,0
20140905,50.05,50.05,50.05,50.05,1601,0
20140908,50,50.07,50,50.05,3000,0
20140909,50.02,50.02,50.02,50.02,2002,0
20140912,50.04,50.04,50.04,50.04,1000,0
20140915,50.05,50.05,50.05,50.05,1245,0
20140917,50.02,50.02,50.02,50.02,503,0
20140923,50.03,50.03,50.03,50.03,250,0
20140924,50.06,50.06,50.06,50.06,100,0
20140926,50.01,50.01,50.01,50.01,1800,0
20140929,50,50.05,50,50.01,3200,0
20140930,50.05,50.05,50.04,50.04,1100,0
20141007,50.04,50.04,50.04,50.04,802,0
20141008,50.04,50.05,47.66,50.01,117282,0
20141009,50.04,50.1,50.03,50.03,9513,0
20141010,49.89,50.09,49.89,50.09,1050,0
20141014,50.07,50.09,50.02,50.04,3952,0
20141021,50.12,50.15,50.1,50.12,6850,0
20141023,50.13,50.13,50.04,50.04,2800,0
20141103,50.01,50.01,50.01,50.01,1200,0
20141105,50.1,50.1,49.95,49.95,5059,0
20141106,50.07,50.07,49.95,49.97,4801,0
20141107,50.01,50.01,49.98,50.01,200,0
20141110,50.09,50.09,50,50.08,2786,0
20141111,50.1,50.1,50.1,50.1,202,0
20141113,50.08,50.09,50.08,50.09,328,0
20141114,50.08,50.09,50.08,50.08,1712,0
20141117,50.09,50.09,50.09,50.09,100,0
20141124,49.97,49.97,49.97,49.97,400,0
20141212,49.97,49.97,49.97,49.97,500,0
20141215,49.96,49.97,49.96,49.97,381,0
20141223,49.95,49.95,49.95,49.95,1162,0
20141229,49.92,49.92,49.92,49.92,500,0
20141230,49.91,49.91,49.88,49.89,7523,0
20150105,49.92,50.03,49.92,50.03,400,0
20150114,49.93,49.98,49.93,49.93,3006,0
20150115,49.94,50.03,49.94,50.03,1204,0
