Date,Open,High,Low,Close,Volume,OpenInt
20050225,77.726,77.847,77.614,77.781,461383,0
20050228,77.632,77.753,77.172,77.275,431454,0
20050301,77.024,77.154,76.942,77.07,325843,0
20050302,77.015,77.135,76.978,77.061,162217,0
20050303,77.154,77.201,76.988,77.015,648972,0
20050304,77.256,77.449,77.22,77.356,194531,0
20050307,77.394,77.494,77.366,77.375,176856,0
20050308,77.172,77.182,76.988,77.015,754910,0
20050309,76.765,76.765,76.351,76.425,284419,0
20050310,76.49,76.721,76.314,76.563,284419,0
20050311,76.435,76.49,76.221,76.24,220553,0
20050314,76.158,76.425,76.139,76.425,208513,0
20050315,76.573,76.573,76.183,76.277,107998,0
20050316,76.444,76.747,76.379,76.453,242564,0
20050317,76.755,76.858,76.629,76.747,370950,0
20050318,76.6,76.62,76.472,76.554,217192,0
20050321,76.509,76.537,76.425,76.463,485998,0
20050322,76.657,76.73,75.9,75.9,328334,0
20050323,75.732,76.139,75.732,76.074,385915,0
20050324,76.112,76.212,76.047,76.139,143135,0
20050328,75.956,75.984,75.845,75.891,74275,0
20050329,76.038,76.212,76.038,76.202,378756,0
20050330,76.158,76.389,76.139,76.379,272490,0
20050331,76.695,76.755,76.544,76.755,731921,0
20050401,76.755,76.793,76.192,76.657,398162,0
20050404,76.573,76.849,76.554,76.62,147359,0
20050405,76.629,76.721,76.528,76.629,81433,0
20050406,76.793,76.858,76.755,76.858,55517,0
20050407,76.885,77.043,76.544,76.563,213074,0
20050408,76.537,76.657,76.408,76.648,93578,0
20050411,76.629,76.876,76.573,76.876,45434,0
20050412,76.765,77.284,76.703,77.275,158421,0
20050413,77.375,77.43,77.126,77.311,185963,0
20050414,77.385,77.513,77.266,77.513,211120,0
20050415,77.698,78.021,77.504,78.021,192903,0
20050418,78.076,78.102,77.838,77.856,353600,0
20050419,77.92,78.306,77.901,78.306,122095,0
20050420,77.847,78.306,77.847,78.26,248637,0
20050421,77.956,78.111,77.688,77.698,612861,0
20050422,77.966,78.085,77.847,78.03,81106,0
20050425,78.021,78.066,77.956,78.03,85772,0
20050426,78.13,78.139,77.828,77.994,129687,0
20050427,78.213,78.372,78.121,78.232,134130,0
20050428,78.353,78.712,78.297,78.712,112012,0
20050429,78.511,78.758,78.4,78.428,188890,0
20050502,78.241,78.306,78.076,78.26,153323,0
20050503,78.316,78.428,78.121,78.363,281057,0
20050504,78.185,78.419,78.139,78.344,124155,0
20050505,78.438,78.693,78.287,78.592,117106,0
20050506,78.121,78.213,77.947,78.03,640845,0
20050509,77.985,78.039,77.91,78.021,35673,0
20050510,78.111,78.316,78.102,78.297,109843,0
20050511,78.446,78.601,78.344,78.4,443054,0
20050512,78.232,78.528,78.139,78.473,592912,0
20050513,78.656,78.776,78.538,78.675,232476,0
20050516,78.776,78.795,78.646,78.684,121338,0
20050517,78.804,78.878,78.749,78.776,122311,0
20050518,79.083,79.145,78.925,79.036,100843,0
20050519,79,79.083,78.795,78.795,126000,0
20050520,78.795,78.84,78.722,78.785,76332,0
20050523,78.916,79.209,78.887,79.145,177614,0
20050524,79.357,79.404,79.163,79.357,204828,0
20050525,79.516,79.516,79.064,79.073,162646,0
20050526,79.073,79.266,79.027,79.117,196700,0
20050527,79.182,79.256,79.073,79.201,75467,0
20050531,79.432,79.615,79.432,79.615,132938,0
20050601,79.525,79.91,79.469,79.863,847294,0
20050602,79.8,79.957,79.754,79.836,167529,0
20050603,80.233,80.242,79.376,79.376,265987,0
20050606,79.442,79.643,79.357,79.591,337986,0
20050607,79.809,79.882,79.591,79.817,120582,0
20050608,79.8,79.817,79.643,79.67,113422,0
20050609,79.478,79.652,79.293,79.624,849460,0
20050610,79.376,79.376,79.108,79.117,217842,0
20050613,78.991,79.027,78.84,78.906,299711,0
20050614,78.897,78.897,78.703,78.812,326922,0
20050615,78.693,78.785,78.601,78.785,127951,0
20050616,78.749,79.045,78.665,79.036,233887,0
20050617,78.897,79.036,78.812,78.944,161568,0
20050620,78.712,78.822,78.637,78.822,193877,0
20050621,78.916,79.099,78.859,79.073,236277,0
20050622,79.451,79.745,79.283,79.67,528393,0
20050623,79.563,79.624,79.442,79.591,183468,0
20050624,79.782,79.836,79.689,79.782,73188,0
20050627,79.846,79.92,79.773,79.846,956051,0
20050628,79.745,79.745,79.478,79.507,182168,0
20050629,79.716,79.716,79.357,79.478,379837,0
20050630,79.478,79.79,79.423,79.754,324757,0
20050701,79.321,79.367,78.722,78.822,292772,0
20050705,78.592,78.722,78.473,78.511,154190,0
20050706,78.628,78.712,78.538,78.675,324974,0
20050707,79.027,79.064,78.831,78.85,227601,0
20050708,78.925,78.925,78.465,78.574,171106,0
20050711,78.353,78.574,78.279,78.538,185744,0
20050712,78.419,78.501,78.325,78.334,134130,0
20050713,78.334,78.353,78.213,78.26,117436,0
20050714,78.306,78.325,78.093,78.158,255901,0
20050715,78.102,78.232,78.085,78.176,345684,0
20050718,78.149,78.223,77.985,78.048,198103,0
20050719,78.066,78.251,78.013,78.158,169806,0
20050720,78.176,78.39,77.892,78.306,369864,0
20050721,78.021,78.039,77.707,77.726,552141,0
20050722,77.956,78.139,77.866,78.093,399140,0
