Date,Open,High,Low,Close,Volume,OpenInt
20121026,45.142,45.398,45.142,45.369,8843,0
20121031,45.473,45.473,45.236,45.284,14638,0
20121101,45.663,45.806,45.587,45.682,1967,0
20121102,45.758,45.758,45.284,45.331,2879,0
20121105,45.218,45.236,45.18,45.199,13731,0
20121106,45.473,45.473,45.473,45.473,106,0
20121107,44.715,45.065,44.715,45.009,14135,0
20121108,44.724,44.733,44.573,44.648,58312,0
20121109,44.184,44.611,44.184,44.459,4881,0
20121112,44.383,44.516,44.364,44.459,26393,0
20121114,44.126,44.164,44.126,44.146,2215,0
20121115,43.909,44.06,43.89,43.89,3211,0
20121116,43.805,43.937,43.568,43.937,2636,0
20121119,44.706,44.81,44.706,44.752,815,0
20121120,44.62,44.847,44.62,44.847,16083,0
20121121,44.933,45.027,44.933,45.018,8861,0
20121123,45.824,45.824,45.777,45.786,1371,0
20121126,45.682,45.815,45.634,45.815,703,0
20121127,45.654,45.862,45.634,45.692,81626,0
20121128,45.644,45.947,45.644,45.947,4730,0
20121129,46.251,46.346,46.109,46.346,4630,0
20121130,46.469,46.469,46.336,46.441,4096,0
20121203,46.469,46.469,46.309,46.309,211,0
20121204,46.517,46.612,46.517,46.602,1924,0
20121205,46.83,46.83,46.763,46.763,403,0
20121206,46.811,46.811,46.697,46.734,2646,0
20121207,46.63,46.744,46.63,46.744,964,0
20121210,46.687,46.838,46.687,46.838,3263,0
20121211,47.105,47.133,47.067,47.086,2273,0
20121212,47.228,47.474,47.171,47.285,24417,0
20121213,46.992,47.228,46.962,47.047,8076,0
20121214,47.161,47.389,47.161,47.275,2018,0
20121217,47.332,47.474,47.266,47.351,4818,0
20121218,47.779,47.825,47.275,47.825,4704121,0
20121219,48.092,48.119,47.93,48.043,4593,0
20121220,48.271,48.291,48.167,48.223,1898,0
20121221,47.797,47.93,47.655,47.797,6208,0
20121224,48.024,48.024,47.779,47.779,9480,0
20121226,48.024,48.024,47.625,47.749,10440,0
20121227,48.138,48.138,47.703,48.024,38459,0
20121228,47.608,47.749,47.512,47.531,43849,0
20121231,47.854,48.422,47.854,48.223,23299,0
20130102,48.992,49.182,48.717,48.983,25961,0
20130103,48.735,48.897,48.48,48.48,10247,0
20130104,48.499,48.84,48.451,48.831,16746,0
20130107,48.451,48.65,48.405,48.641,241351,0
20130108,48.499,48.499,48.148,48.357,82740,0
20130109,48.536,48.574,48.461,48.574,47172,0
20130110,49.106,49.286,48.925,49.2,116835,0
20130111,49.353,49.353,49.153,49.267,9083,0
20130114,49.267,49.267,49.162,49.238,38030,0
20130115,49.068,49.219,49.002,49.219,6448,0
20130116,48.944,49.048,48.84,48.944,341893,0
20130117,49.466,49.466,49.229,49.371,32786,0
20130118,49.267,49.381,49.124,49.361,29628,0
20130122,49.333,49.333,49.2,49.314,15338,0
20130123,49.305,49.305,49.144,49.305,33954,0
20130124,49.457,49.627,49.457,49.552,17128,0
20130125,49.931,50.044,49.827,49.997,28041,0
20130128,49.883,50.026,49.656,49.789,29886,0
20130129,49.94,50.14,49.94,50.12,32440,0
20130130,50.11,50.253,50.11,50.148,3013,0
20130131,50.168,50.168,49.959,49.959,21647,0
20130201,50.396,50.509,50.367,50.443,20959,0
20130204,49.865,49.865,49.409,49.514,14128,0
20130205,49.798,49.855,49.646,49.731,19987,0
20130206,49.323,49.798,49.323,49.798,9954,0
20130207,49.694,49.694,49.153,49.343,12714,0
20130208,49.674,49.722,49.646,49.656,31627,0
20130211,49.59,49.694,49.505,49.636,20440,0
20130212,49.883,49.987,49.855,49.865,11815,0
20130213,50.215,50.215,49.987,50.026,8146,0
20130214,49.627,49.75,49.59,49.741,8249,0
20130215,49.76,49.835,49.514,49.608,579182,0
20130219,50.083,50.187,50.035,50.158,538692,0
20130220,50.396,50.396,49.722,49.722,22352,0
20130221,49.2,49.2,48.783,49.02,988848,0
20130222,49.286,49.694,49.286,49.666,1610451,0
20130225,49.997,50.026,48.803,48.803,85356,0
20130226,49.096,49.209,48.717,48.992,98041,0
20130227,48.954,49.646,48.954,49.522,12380,0
20130228,49.619,49.783,49.457,49.457,69106,0
20130301,49.219,49.466,49.124,49.428,15500,0
20130304,49.314,49.618,49.229,49.618,137764,0
20130305,50.102,50.215,50.026,50.092,137334,0
20130306,50.348,50.357,50.006,50.13,55934,0
20130307,50.414,50.414,50.292,50.367,73881,0
20130308,50.396,50.414,50.12,50.377,18110,0
20130311,50.319,50.491,50.302,50.348,100405,0
20130312,50.491,50.547,50.224,50.292,111921,0
20130313,50.073,50.367,50.054,50.244,20666,0
20130314,50.509,50.756,50.414,50.756,58117,0
20130315,50.945,50.945,50.68,50.718,266169,0
20130318,50.272,50.614,50.244,50.302,29391,0
20130319,50.471,50.471,49.865,50.14,95368,0
20130320,50.576,50.576,50.396,50.5,42867,0
20130321,50.064,50.329,50.016,50.044,94924,0
20130322,50.423,50.557,50.272,50.538,39858,0
20130325,50.557,50.614,49.779,49.931,57669,0
20130326,50.12,50.253,50.016,50.205,57558,0
20130327,49.731,50.044,49.618,49.987,99019,0
20130328,50.083,50.302,50.083,50.234,47398,0
20130401,49.903,49.931,49.542,49.608,93444,0
20130402,50.073,50.262,50.016,50.073,40620,0
