Date,Open,High,Low,Close,Volume,OpenInt
20131111,80.22,80.28,80.2,80.28,2000,0
20131112,80.32,80.33,80.31,80.33,2069,0
20131113,80.29,80.36,80.29,80.34,3400,0
20131114,80.2,80.2,80.2,80.2,100,0
20131115,80.09,80.09,79.96,79.96,233,0
20131118,80.38,80.46,80.37,80.46,1650,0
20131119,80.45,80.45,80.37,80.37,3145,0
20131120,80.58,80.58,80.57,80.57,1000,0
20131121,80.48,80.49,80.43,80.43,1500,0
20131122,80.47,80.66,80.47,80.66,3025,0
20131125,80.6,80.64,80.6,80.61,900,0
20131126,80.54,80.57,80.54,80.57,720,0
20131127,80.63,80.91,80.63,80.91,900,0
20131202,80.95,80.98,80.74,80.79,3786,0
20131203,80.43,80.61,80.43,80.61,1750,0
20131204,80.92,80.92,80.67,80.67,2700,0
20131205,80.63,80.63,80.45,80.45,2400,0
20131206,80.66,80.69,80.66,80.66,5850,0
20131209,80.67,80.67,80.55,80.57,6132,0
20131210,80.44,80.73,80.44,80.71,9988,0
20131211,80.85,80.99,80.73,80.93,6192,0
20131212,80.87,80.9,80.87,80.88,2097,0
20131216,80.84,80.93,80.84,80.9,7715,0
20131217,80.79,81.05,80.79,81.05,1300,0
20131218,81.2,81.3,81.2,81.24,4496,0
20131219,81.26,81.41,81.26,81.41,4505,0
20131220,81.6,81.71,81.58,81.71,6840,0
20131223,81.87,81.96,81.87,81.94,36536,0
20131224,81.75,81.84,81.75,81.84,7584,0
20131226,81.96,81.96,81.5,81.5,1796,0
20131227,81.37,81.48,81.37,81.48,2055,0
20131230,81.84,81.84,81.75,81.8,1523,0
20131231,81.85,81.89,81.83,81.89,11214,0
20140102,81.99,81.99,81.95,81.99,4070,0
20140103,82.09,82.1,82,82,5920,0
20140106,82.13,82.16,81.88,81.88,32700,0
20140107,82,82,81.8,81.93,1980,0
20140108,81.98,81.98,81.92,81.93,4400,0
20140109,81.81,81.84,81.77,81.77,2804,0
20140110,81.74,81.77,81.73,81.75,2259,0
20140113,86.12,86.12,81.5,81.75,1166,0
20140114,81.78,81.82,81.78,81.81,4220,0
20140115,81.88,81.88,81.52,81.52,2085,0
20140116,81.5,81.8,81.5,81.75,4014,0
20140117,81.69,81.75,81.51,81.66,5012,0
20140121,81.71,81.72,81.66,81.68,14448,0
20140122,81.76,81.77,81.73,81.76,1725,0
20140123,81.34,81.39,81.3,81.39,922,0
20140124,81.42,81.42,81.39,81.39,1402,0
20140127,81.3,81.3,80.69,80.9,7427,0
20140128,80.9,80.9,80.9,80.9,200,0
20140129,80.95,81.03,80.93,81.03,5539,0
20140130,81.15,81.15,81.06,81.11,8215,0
20140131,80.87,80.87,80.87,80.87,300,0
20140203,80.56,80.56,80.08,80.2,2620,0
20140204,80.67,80.75,80.49,80.51,4030,0
20140205,80.54,80.54,80.4,80.48,4025,0
20140206,80.72,80.72,80.31,80.72,1224,0
20140207,80.71,80.82,80.4,80.42,3215,0
20140210,80.22,80.67,80.22,80.67,2085,0
20140211,80.85,80.85,80.64,80.85,3143,0
20140212,80.95,80.95,80.9,80.95,20463,0
20140213,80.76,80.83,80.65,80.83,3257,0
20140214,80.82,81.29,80.82,81.29,4931,0
20140218,81.2,81.33,81.2,81.25,3842,0
20140219,81.32,81.32,81.28,81.3,18641,0
20140220,81.44,81.47,81.4,81.47,19830,0
20140221,81.4,81.4,81.39,81.4,9511,0
20140224,81.5,81.5,81.35,81.4,137032,0
20140225,81.35,81.53,81.25,81.48,56227,0
20140226,81.6,81.67,81.48,81.66,68592,0
20140227,81.56,81.67,81.5,81.66,34173,0
20140228,81.7,81.98,81.15,81.93,4478,0
20140303,81.74,81.74,81.45,81.48,19936,0
20140304,81.88,81.88,81.61,81.73,22708,0
20140305,81.64,81.9,81.5,81.68,25828,0
20140306,81.69,82.2,81.63,81.63,12282,0
20140307,82.24,82.24,81.73,81.78,12217,0
20140310,81.75,81.84,81.5,81.72,8173,0
20140311,81.65,85.79,81.6,81.6,8341,0
20140312,81.5,81.64,81.45,81.59,6286,0
20140313,81.35,81.39,80.91,81.31,24577,0
20140314,81.21,81.34,80.95,81.24,7373,0
20140317,81.41,81.51,80.9,81.35,13696,0
20140318,80.75,81.42,80.75,81.39,14875,0
20140319,81.42,81.87,81.4,81.84,20213,0
20140320,81.79,81.79,81.64,81.72,10439,0
20140321,81.89,81.98,81.5,81.96,25762,0
20140324,82.18,85.54,81.85,81.99,29431,0
20140325,82.18,82.18,82.1,82.15,8463,0
20140326,82.26,82.26,81.84,82.14,15200,0
20140327,82.15,82.19,81.94,82.15,9040,0
20140328,82.36,82.47,82.18,82.28,11784,0
20140331,82.48,82.51,82.01,82.05,5273,0
20140401,82.09,82.15,82.01,82.01,19405,0
20140402,82.21,82.38,82,82.29,2109,0
20140403,82.7,82.7,82.3,82.53,6227,0
20140404,82.5,82.57,82.32,82.42,20295,0
20140407,82.42,82.45,82.1,82.1,8255,0
20140408,82.52,82.52,82.32,82.48,3883,0
20140409,82.61,82.7,82.57,82.65,2057,0
20140410,82.48,82.48,81.85,81.85,9637,0
20140411,82.41,82.41,81.92,82.28,4556,0
20140414,82.44,82.56,82.4,82.53,6703,0
20140415,81.98,82.24,81.43,81.43,22124,0
20140416,82.53,82.53,81.6,82,3619,0
20140417,82.27,82.49,82.1,82.34,10856,0
20140421,82.32,82.46,82.11,82.45,5590,0
20140422,82.29,82.46,82.29,82.3,8658,0
20140423,82.22,82.52,82.1,82.11,21718,0
