Date,Open,High,Low,Close,Volume,OpenInt
20060505,47.347,47.347,47.347,47.347,102,0
20060508,47.272,47.281,47.272,47.272,848,0
20060509,47.158,47.158,46.95,47.007,2225,0
20060510,46.922,46.922,46.695,46.704,3495,0
20060511,46.686,46.686,46.28,46.309,1272,0
20060512,46.111,46.13,45.941,45.941,3813,0
20060515,45.96,46.498,45.96,46.3,2121,0
20060516,46.704,46.752,46.572,46.752,3389,0
20060517,46.252,46.545,45.78,45.855,7519,0
20060518,46.044,46.13,45.817,45.817,2437,0
20060519,45.515,45.647,45.308,45.308,636,0
20060522,45.592,45.592,45.477,45.554,29982,0
20060523,45.62,45.62,45.262,45.262,4449,0
20060524,45.374,45.374,44.836,45.224,3813,0
20060525,45.44,45.762,45.44,45.762,2861,0
20060526,46.12,46.167,46.054,46.092,2648,0
20060530,45.855,45.855,45.629,45.629,1060,0
20060531,45.544,45.62,45.421,45.62,2121,0
20060601,45.666,46.149,45.666,46.034,2331,0
20060602,46.252,46.319,46.063,46.319,2648,0
20060605,46.195,46.195,45.676,45.676,1695,0
20060606,45.685,45.685,45.186,45.402,4449,0
20060607,45.752,45.996,45.657,45.657,848,0
20060608,45.563,45.695,45.072,45.695,20868,0
20060609,45.723,45.752,45.44,45.44,8476,0
20060612,45.392,45.392,44.713,44.713,2648,0
20060613,44.996,44.996,44.392,44.392,2331,0
20060614,44.221,44.647,44.221,44.487,2437,0
20060615,45.034,45.515,44.996,45.515,3179,0
20060616,45.515,45.515,45.176,45.176,2648,0
20060619,45.326,45.326,44.949,44.949,2544,0
20060620,45.024,45.062,45.024,45.062,1802,0
20060621,45.062,45.326,45.024,45.053,4343,0
20060622,44.865,44.958,44.609,44.798,7099,0
20060623,44.836,45.1,44.836,45.1,422,0
20060626,45.091,45.091,44.93,44.939,1483,0
20060627,44.855,44.913,44.316,44.44,5722,0
20060628,44.571,44.571,44.269,44.459,5509,0
20060629,45.005,45.506,44.939,45.506,3921,0
20060630,45.836,45.912,45.817,45.817,2648,0
20060703,45.922,45.988,45.836,45.97,8581,0
20060705,45.826,45.826,45.647,45.704,2969,0
20060706,45.903,45.941,45.733,45.845,29452,0
20060707,45.884,45.978,45.855,45.874,14832,0
20060710,45.78,45.78,45.308,45.392,3921,0
20060711,45.392,45.582,45.043,45.582,13666,0
20060712,45.374,45.374,45.119,45.186,37396,0
