Date,Open,High,Low,Close,Volume,OpenInt
20080725,28.345,28.345,28.345,28.345,105,0
20080728,29.524,29.524,28.76,28.76,543,0
20080729,28.714,28.851,28.704,28.806,17655,0
20080730,29.081,29.221,29.081,29.221,10524,0
20080804,27.792,27.792,27.792,27.792,105,0
20080811,26.465,26.465,25.857,25.857,434,0
20080815,25.81,25.81,25.81,25.81,105,0
20080818,25.967,25.967,25.967,25.967,105,0
20080819,26.926,26.926,25.441,25.717,12841,0
20080820,26.224,26.224,26.224,26.224,105,0
20080821,26.363,26.363,26.363,26.363,237,0
20080822,26.574,26.574,26.574,26.574,2170,0
20080825,26.621,26.621,26.621,26.621,105,0
20080827,25.884,26.409,25.884,26.409,434,0
20080828,26.87,26.87,26.87,26.87,217,0
20080829,26.87,26.87,26.87,26.87,217,0
20080902,25.901,25.901,25.874,25.874,881,0
20080905,24.492,24.492,23.569,23.588,2789,0
20080908,25.229,25.229,23.644,23.644,543,0
20080910,22.611,22.611,22.197,22.197,217,0
20080911,22.039,22.261,22.039,22.261,217,0
20080915,22.952,22.952,22.952,22.952,651,0
20080916,21.644,21.644,21.644,21.644,217,0
20080917,21.708,21.736,20.048,20.372,4682,0
20080918,21.211,22.104,21.109,22.104,1488,0
20080919,23.137,23.137,23.137,23.137,651,0
20080922,22.455,24.298,22.455,23.92,651,0
20080923,23.827,23.827,23.827,23.827,760,0
20080924,23.183,23.183,23.183,23.183,217,0
20080925,23.091,23.137,23.091,23.128,324,0
20080926,22.261,22.261,22.261,22.261,105,0
20081001,20.178,20.252,20.178,20.252,706,0
20081002,19.569,19.578,18.851,18.942,1627,0
20081006,17.255,17.255,16.002,16.362,5641,0
20081007,17.183,17.183,16.731,16.731,2587,0
20081008,16.27,16.27,15.799,15.799,543,0
20081009,16.518,16.528,16.315,16.315,651,0
20081010,14.841,14.887,14.794,14.794,934,0
20081013,15.855,16.251,15.855,16.251,4883,0
20081014,17.781,17.781,17.284,17.284,434,0
20081015,16.122,16.122,15.302,15.302,2657,0
20081016,13.817,13.817,13.817,13.817,2280,0
20081017,13.827,14.38,13.827,14.38,217,0
20081020,14.629,14.701,14.629,14.701,716,0
20081021,15.116,15.116,14.933,14.933,1726,0
20081022,13.734,13.734,13.384,13.384,434,0
20081023,13.273,13.273,13.09,13.09,277,0
20081024,11.983,12.167,11.983,12.167,1429,0
20081027,11.983,11.983,11.891,11.891,217,0
20081028,12.565,12.629,12.471,12.471,903,0
20081029,13.384,13.827,13.384,13.827,2420,0
20081030,14.933,15.025,14.537,14.555,3949,0
20081031,13.827,14.472,13.827,14.389,1302,0
20081103,14.905,15.21,14.905,15.21,6400,0
20081104,16.482,16.482,15.515,15.736,4121,0
20081105,15.21,15.975,15.21,15.975,869,0
20081106,14.905,14.905,14.167,14.167,760,0
20081110,12.537,14.472,12.537,14.472,651,0
20081111,13.975,13.975,13.966,13.966,488,0
20081112,14.021,37.129,13.282,13.282,9598,0
20081113,12.821,12.821,12.794,12.802,5261,0
20081114,13.513,14.011,13.162,13.366,3272,0
20081118,12.49,12.684,12.49,12.684,3115,0
20081119,11.761,11.761,11.761,11.761,105,0
20081120,11.025,11.08,10.923,10.923,594,0
20081121,11.531,11.531,11.531,11.531,105,0
20081126,12.979,16.86,10.425,13.2,18415,0
20081128,13.827,14.748,13.541,13.588,2517,0
20081201,12.104,13.615,10.149,12.565,11076,0
20081203,12.241,12.369,11.707,12.296,3073,0
20081204,12.315,12.325,12.315,12.325,335,0
20081205,11.733,12.113,11.733,12.113,3579,0
20081208,12.701,12.998,12.701,12.998,6347,0
20081209,13.2,13.725,12.786,12.906,5743,0
20081210,13.827,14.003,13.827,13.975,3365,0
20081211,14.149,15.431,14.149,14.361,4090,0
20081212,13.854,13.854,13.854,13.854,105,0
20081215,14.445,14.591,14.445,14.591,2170,0
20081216,16.426,16.426,14.417,14.767,7555,0
