Date,Open,High,Low,Close,Volume,OpenInt
20070523,0,49.221,0,49.221,0,0
20070524,0,49.212,0,49.212,0,0
20070525,0,49.202,0,49.202,0,0
20070529,0,49.165,0,49.165,0,0
20070530,49.316,49.316,49.316,49.316,101,0
20070601,49.1,49.1,49.1,49.1,101,0
20070608,48.911,48.911,48.911,48.911,201,0
20070611,48.864,48.864,48.864,48.864,101,0
20070612,48.835,48.835,48.835,48.835,201,0
20070622,49.09,49.09,49.09,49.09,304,0
20070702,49.138,49.138,49.138,49.138,1062,0
20070703,49.033,49.033,49.033,49.033,304,0
20070705,48.92,48.92,48.911,48.911,304,0
20070709,48.883,48.892,48.883,48.892,538,0
20070710,48.995,48.995,48.995,48.995,201,0
20070711,49.138,49.138,49.138,49.138,1062,0
20070716,49.033,49.081,49.033,49.081,201,0
20070720,49.156,49.362,49.156,49.362,3935,0
20070724,49.371,49.371,49.344,49.344,2128,0
20070726,49.586,49.633,49.586,49.633,749,0
20070727,49.69,49.699,49.68,49.699,304,0
20070730,49.699,49.699,49.67,49.67,201,0
20070731,49.605,49.605,49.567,49.567,648,0
20070801,49.558,49.567,49.529,49.529,4572,0
20070806,49.718,49.737,49.708,49.708,428,0
20070810,49.737,49.737,49.615,49.615,428,0
20070813,49.605,49.605,49.577,49.577,1062,0
20070814,49.661,49.68,49.661,49.68,2023,0
20070815,49.746,49.784,49.746,49.784,1590,0
20070816,49.964,50.199,49.964,50.057,42015,0
20070817,50.143,50.218,49.954,49.954,6701,0
20070820,50.011,50.086,50.011,50.086,1590,0
20070821,50.199,50.199,50.143,50.143,749,0
20070822,50.086,50.086,49.851,50.03,4572,0
20070823,50.021,50.077,49.775,49.992,1590,0
20070824,49.983,49.983,49.983,49.983,101,0
20070827,49.908,50.057,49.851,50.057,18506,0
20070828,50.171,50.189,50.153,50.153,2023,0
20070829,50.331,50.331,50.331,50.331,428,0
20070830,50.275,50.275,50.275,50.275,851,0
20070831,50.246,50.734,50.246,50.695,3086,0
20070904,50.105,50.105,50.105,50.105,428,0
20070905,50.265,50.275,50.171,50.275,15209,0
20070906,50.227,50.227,50.189,50.189,2023,0
20070907,50.425,50.509,50.425,50.492,7020,0
20070910,50.574,50.659,50.564,50.611,4257,0
20070911,50.554,50.554,50.492,50.492,1488,0
20070913,50.256,50.444,50.256,50.444,3402,0
20070914,50.492,50.492,50.256,50.256,2982,0
20070917,50.331,50.34,50.331,50.34,11595,0
20070918,50.312,50.79,50.246,50.79,3192,0
20070919,50.331,50.331,46.136,50.284,3828,0
20070920,50.227,50.227,50.114,50.114,2341,0
20070921,50.189,50.189,50.002,50.124,3192,0
20070924,50.199,50.199,50.199,50.199,1488,0
20070925,50.302,50.302,50.293,50.293,1590,0
20070926,50.171,50.554,50.011,50.246,5952,0
20070927,50.312,50.369,50.312,50.369,648,0
20070928,50.435,50.435,50.34,50.359,1384,0
20071001,50.246,50.246,50.048,50.067,16487,0
20071002,50.086,50.246,50.086,50.246,1812,0
20071003,50.181,50.181,50.171,50.171,201,0
20071004,50.162,50.256,50.162,50.256,1384,0
20071005,50.105,50.105,50.002,50.03,1168,0
20071008,50.077,50.124,50.077,50.124,1168,0
20071009,50.143,50.143,50.002,50.002,1168,0
20071010,49.983,49.992,49.983,49.992,428,0
20071011,49.917,49.992,49.889,49.992,648,0
20071015,49.946,50.057,49.946,50.057,201,0
20071016,50.04,50.04,50.04,50.04,201,0
20071017,50.162,50.265,50.162,50.265,1812,0
20071019,50.464,50.564,50.464,50.528,2552,0
20071022,50.554,50.564,50.554,50.564,749,0
20071023,50.5,50.554,50.5,50.554,3935,0
20071024,50.734,50.78,50.724,50.743,2128,0
20071025,50.724,50.724,50.659,50.705,851,0
20071026,50.64,50.659,50.63,50.659,1168,0
20071029,50.583,50.687,50.583,50.63,2023,0
20071030,50.705,50.705,50.602,50.602,304,0
20071031,50.602,50.678,50.592,50.678,538,0
20071102,50.583,50.687,50.583,50.687,648,0
20071105,50.678,50.678,50.678,50.678,101,0
20071106,50.583,50.65,50.554,50.592,648,0
20071107,50.65,50.65,50.65,50.65,101,0
20071108,50.77,50.837,50.77,50.837,1062,0
20071109,51.036,51.036,50.998,51.017,749,0
20071112,51.065,51.065,51.065,51.065,428,0
20071113,51.478,51.478,50.913,50.913,2382,0
20071114,50.856,50.866,50.856,50.856,2128,0
20071115,51.008,51.111,51.008,51.102,1168,0
20071116,51.205,51.205,51.205,51.205,304,0
20071119,51.308,51.365,51.28,51.346,1916,0
20071120,51.289,51.402,51.289,51.346,3299,0
20071121,51.535,51.554,51.535,51.554,3299,0
20071123,51.601,51.619,51.601,51.619,1062,0
20071126,51.554,51.908,51.554,51.871,2233,0
20071127,51.646,51.664,51.535,51.61,25844,0
20071128,51.516,51.535,51.516,51.535,648,0
20071129,51.692,51.778,51.573,51.778,5532,0
20071130,51.564,51.619,51.488,51.583,5426,0
20071203,51.573,51.573,51.573,51.573,201,0
20071204,51.673,51.673,51.383,51.564,8937,0
20071205,51.525,51.592,51.516,51.592,9252,0
20071206,51.61,51.61,51.421,51.478,4783,0
20071207,51.299,51.299,51.148,51.242,8937,0
20071210,51.232,51.252,51.13,51.196,4572,0
20071211,51.261,51.544,51.261,51.544,2447,0
20071212,51.167,51.449,51.167,51.449,2982,0
20071213,51.196,51.356,51.196,51.205,8718,0
20071214,51.214,51.214,50.998,51.093,2982,0
20071217,51.196,51.232,51.13,51.232,6276,0
20071218,51.337,51.346,51.337,51.337,2023,0
20071219,51.28,51.497,51.28,51.431,2447,0
20071220,51.478,51.628,51.449,51.564,24992,0
20071221,51.506,51.506,51.346,51.356,8508,0
20071224,51.177,51.261,51.177,51.252,6170,0
20071226,51.186,51.242,50.922,50.922,3299,0
20071228,51.177,51.327,51.177,51.327,8405,0
20071231,51.373,51.469,51.373,51.469,2552,0
20080102,51.683,51.721,51.655,51.721,3086,0
20080103,51.692,51.692,51.655,51.664,3828,0
20080104,51.908,51.927,51.861,51.89,4149,0
20080107,51.797,51.899,51.797,51.899,4998,0
20080108,51.854,51.927,51.854,51.918,3402,0
20080109,51.908,51.985,51.908,51.937,2762,0
20080110,52.042,52.042,51.899,51.908,3721,0
20080111,52.003,52.145,51.975,52.127,7977,0
20080114,52.136,52.164,52.108,52.145,1278,0
20080115,52.256,52.323,52.079,52.323,313222,0
20080116,52.295,52.304,52.164,52.285,79415,0
20080117,52.222,52.474,52.212,52.474,3721,0
20080118,52.427,52.502,52.295,52.352,4681,0
