Date,Open,High,Low,Close,Volume,OpenInt
20100914,50.466,50.76,50.28,50.721,10716,0
20100915,50.359,50.897,50.339,50.868,12829,0
20100916,50.789,50.887,50.623,50.809,17838,0
20100917,50.966,51.103,50.878,50.878,7756,0
20100920,51.574,51.574,51.504,51.504,1440,0
20100921,51.759,51.759,51.613,51.613,439,0
20100922,51.132,51.211,51.054,51.123,4188,0
20100923,51.279,51.554,50.849,50.887,5213,0
20100924,51.603,52.132,51.603,52.132,8955,0
20100927,52.23,52.289,51.926,52.289,7960,0
20100928,51.868,52.475,51.868,52.475,17437,0
20100929,52.426,52.661,52.396,52.494,9541,0
20100930,52.828,52.945,52.426,52.426,715,0
20101001,52.328,52.524,52.328,52.524,2000,0
20101004,52.221,52.221,51.749,51.906,4713,0
20101006,52.886,52.955,52.308,52.358,2490,0
20101008,52.808,52.808,52.808,52.808,2041,0
20101011,53.063,53.259,53.063,53.259,2653,0
20101012,52.916,53.348,52.456,53.348,3071,0
20101013,53.583,53.915,53.553,53.915,3408,0
20101015,53.475,53.475,53.475,53.475,204,0
20101019,53.328,53.328,53.171,53.298,1678,0
20101020,53.141,53.141,53.141,53.141,1021,0
20101021,53.749,53.896,53.014,53.083,2742,0
20101022,53.739,53.847,53.739,53.847,2571,0
20101025,54.386,54.493,54.386,54.493,433,0
20101026,54.092,54.347,54.092,54.347,204,0
20101027,53.925,53.925,53.925,53.925,153,0
20101029,54.483,54.601,54.483,54.592,4159,0
20101101,54.935,54.935,54.465,54.503,3377,0
20101102,54.915,55.2,54.827,55.072,1848,0
20101103,55.238,55.238,54.631,55.228,4546,0
20101104,56.12,56.12,55.954,56.062,8235,0
20101105,56.345,56.581,56.345,56.542,10349,0
20101108,56.552,56.552,56.228,56.473,3474,0
20101109,56.767,56.816,55.865,55.865,10825,0
20101110,55.905,56.463,55.777,56.463,4772,0
20101111,56.257,56.257,56.257,56.257,255,0
20101112,56.12,56.12,55.483,55.748,2228,0
20101115,55.915,56.218,55.787,55.787,3014,0
20101116,55.61,55.61,54.758,54.837,6286,0
20101117,54.973,55.375,54.973,55.297,14945,0
20101118,55.973,56.395,55.973,56.022,8228,0
20101119,56.199,56.257,56.199,56.228,5072,0
20101122,56.199,56.797,56.199,56.797,3575,0
20101123,56.199,56.267,55.983,56.218,10331,0
20101124,56.835,57.326,56.835,57.326,2438,0
20101126,57.453,57.453,57.384,57.394,674,0
20101129,56.982,56.982,56.571,56.571,888,0
20101130,57.169,57.257,57.08,57.149,2011,0
20101201,57.952,58.1,57.855,58.1,4638,0
20101202,58.207,58.707,58.207,58.707,6528,0
20101203,58.933,59.236,58.668,59.236,27313,0
20101206,59.197,59.197,59.021,59.099,6533,0
20101207,59.413,59.668,59.344,59.344,9747,0
20101208,59.393,59.491,59.021,59.079,5209,0
20101209,59.354,59.354,59.011,59.276,11996,0
20101210,59.599,59.932,59.324,59.883,20307,0
20101213,60.589,60.589,59.658,59.658,19420,0
20101214,59.844,59.844,59.452,59.559,5788,0
20101215,59.491,59.648,59.452,59.452,3337,0
20101216,59.511,60.05,59.384,60.04,24257,0
20101217,59.932,60.431,59.923,60.256,24445,0
20101220,60.256,60.569,59.893,60.236,11284,0
20101221,60.403,60.618,60.373,60.618,2591,0
20101222,60.814,60.814,60.461,60.569,8279,0
20101223,60.569,60.608,60.383,60.481,12704,0
20101227,59.971,60.549,59.864,60.383,21459,0
20101228,60.246,60.246,60.128,60.197,5145,0
20101229,60.275,60.441,60.275,60.373,8705,0
20101230,60.589,60.638,60.344,60.54,11878,0
20101231,60.301,60.351,60.292,60.292,1714,0
20110103,60.726,61.108,60.589,60.834,30950,0
20110104,61.138,61.138,59.786,60.187,11898,0
20110105,60.236,60.559,60.001,60.53,12126,0
20110106,60.755,60.765,60.285,60.334,14870,0
20110107,60.461,60.559,59.746,60.187,7877,0
20110110,59.874,60.696,59.531,60.696,4337,0
20110111,60.951,60.951,60.52,60.706,23139,0
20110112,61.108,61.108,60.824,60.991,13087,0
20110113,61.098,61.098,60.804,60.951,7254,0
20110114,61.049,61.333,61.03,61.333,1811,0
20110118,61.373,61.52,61.255,61.52,6881,0
20110119,61.638,61.638,60.736,60.843,6589,0
20110120,60.746,60.746,59.893,60.118,8397,0
20110121,60.598,60.598,60.021,60.021,3982,0
20110124,60.148,60.52,60.148,60.461,1396,0
20110125,60.206,60.256,60.206,60.256,5095,0
20110126,60.481,61.059,60.481,61.03,2877,0
20110127,61.158,61.49,61.069,61.49,6144,0
20110128,61.568,61.568,60.187,60.304,11163,0
20110131,60.607,60.903,60.469,60.903,2738,0
20110201,61.196,61.706,61.196,61.686,2805,0
20110202,61.628,61.961,61.628,61.666,23275,0
20110203,61.49,61.853,61.206,61.853,4222,0
20110204,61.951,62.411,61.902,62.372,10834,0
20110207,62.656,63.127,62.656,62.862,3734,0
20110208,62.843,63.088,62.843,63.078,11604,0
20110209,63,63.205,62.99,63.038,3806,0
20110210,62.803,63.568,62.676,63.548,3221,0
20110211,64.107,64.332,64.107,64.273,1905,0
20110214,64.44,64.655,64.391,64.567,14214,0
20110215,64.547,64.547,64.205,64.205,1385,0
20110216,64.685,64.724,64.597,64.685,5698,0
20110218,64.91,65.027,64.764,64.9,7897,0
20110222,64.234,64.665,63.283,63.283,22649,0
20110223,63.166,63.411,61.657,62.47,26870,0
20110224,62.323,62.715,61.892,62.353,25195,0
20110225,63.185,63.773,63.156,63.773,2613,0
20110228,64.342,64.42,63.587,63.96,10544,0
20110301,64.185,64.185,62.666,62.862,13678,0
20110302,62.823,63.46,62.695,63.097,10740,0
20110303,64.058,64.645,63.832,64.518,9724,0
20110304,64.322,64.41,64.077,64.077,3011,0
20110307,64.332,64.332,62.852,63.48,8785,0
20110308,63.156,64.175,63.156,64.009,1625,0
20110309,63.48,63.715,63.48,63.715,522,0
20110310,63.028,63.028,62.578,62.852,7789,0
20110311,62.196,63.274,62.196,63.274,4188,0
20110314,62.823,63.323,62.608,62.95,3171,0
20110315,61.363,62.843,61.088,62.843,4241,0
20110316,62.265,62.568,62.048,62.048,9578,0
20110317,62.872,63.058,62.196,62.196,12540,0
20110318,62.833,62.833,62.402,62.402,4028,0
20110321,63.313,63.705,63.255,63.577,5510,0
20110322,63.695,63.735,63.175,63.255,6402,0
20110323,62.745,63.137,62.745,63.127,2523,0
20110324,63.42,63.832,63.166,63.754,3629,0
20110325,64.058,64.842,64.048,64.645,11844,0
20110328,64.645,64.695,64.234,64.234,3243,0
20110329,63.989,64.871,63.989,64.852,8868,0
20110330,65.312,65.655,65.272,65.606,8666,0
20110331,65.533,65.819,65.475,65.819,2295,0
20110401,66.312,66.399,66.116,66.135,7211,0
20110404,66.399,66.469,66.037,66.194,5499,0
