Date,Open,High,Low,Close,Volume,OpenInt
20050225,59.993,60.538,59.938,60.529,83120,0
20050228,60.475,60.475,59.91,60.104,195275,0
20050301,60.308,60.557,60.308,60.503,154040,0
20050302,60.308,60.761,60.188,60.503,150155,0
20050303,60.733,60.77,60.196,60.465,184696,0
20050304,60.679,61.206,60.679,61.068,261120,0
20050307,61.002,61.438,61.002,61.281,138061,0
20050308,61.142,61.271,60.892,60.964,129537,0
20050309,60.874,60.964,60.335,60.335,124894,0
20050310,60.494,60.529,60.085,60.42,245146,0
20050311,60.447,60.651,59.919,60.104,135796,0
20050314,60.262,60.475,60.039,60.475,97259,0
20050315,60.651,60.67,60.03,60.067,108811,0
20050316,59.901,59.901,59.4,59.54,155119,0
20050317,59.567,59.761,59.428,59.614,128456,0
20050318,59.751,59.751,59.233,59.53,807329,0
20050321,59.604,59.604,59.057,59.298,62178,0
20050322,59.436,59.614,58.724,58.724,276773,0
20050323,58.751,58.91,58.529,58.769,142490,0
20050324,58.511,58.696,58.354,58.363,204991,0
20050328,58.529,58.65,58.418,58.446,201536,0
20050329,58.344,58.641,57.881,57.974,256695,0
20050330,58.169,58.769,58.159,58.769,146482,0
20050331,58.696,58.937,58.677,58.797,155442,0
20050401,59.114,59.242,58.232,58.502,1033585,0
20050404,58.455,58.669,58.122,58.567,83225,0
20050405,58.734,58.919,58.584,58.844,162242,0
20050406,59.02,59.223,58.863,58.919,210171,0
20050407,58.955,59.354,58.919,59.308,129426,0
20050408,59.382,59.382,58.724,58.724,114961,0
20050411,59.029,59.029,58.687,58.797,521705,0
20050412,58.734,59.186,58.27,59.095,222801,0
20050413,59.029,59.048,58.335,58.474,84199,0
20050414,58.455,58.455,57.714,57.714,163213,0
20050415,57.751,57.835,56.843,56.917,229926,0
20050418,57.047,57.213,56.732,57.093,251408,0
20050419,57.391,57.585,57.241,57.51,177789,0
20050420,57.622,57.622,56.584,56.695,198514,0
20050421,57.316,57.853,57.047,57.788,161488,0
