Date,Open,High,Low,Close,Volume,OpenInt
20050225,52.152,52.631,51.983,52.585,38470,0
20050228,52.511,52.557,52.106,52.283,94896,0
20050301,52.379,52.623,52.379,52.548,55259,0
20050302,52.208,52.83,52.189,52.613,116786,0
20050303,52.849,52.858,52.415,52.755,37939,0
20050304,52.811,53.611,52.811,53.536,83737,0
20050307,53.649,53.865,53.536,53.761,58871,0
20050308,53.723,53.752,53.546,53.602,25609,0
20050309,53.413,53.527,53.046,53.055,59827,0
20050310,53.206,53.301,52.849,53.141,36768,0
20050311,53.254,53.403,52.962,53.074,22954,0
20050314,52.979,53.328,52.979,53.273,13495,0
20050315,53.565,53.574,53.131,53.187,22104,0
20050316,52.858,52.989,52.415,52.492,22954,0
20050317,52.482,52.736,52.444,52.576,34322,0
20050318,52.604,52.679,52.34,52.631,22315,0
20050321,52.576,52.792,52.425,52.764,87986,0
20050322,52.774,53.178,52.444,52.482,67371,0
20050323,52.511,52.511,52.218,52.247,14663,0
20050324,52.379,52.576,52.247,52.247,44738,0
20050328,52.321,52.397,52.189,52.237,21680,0
20050329,52.049,52.162,51.334,51.408,19658,0
20050330,51.56,52.125,51.513,52.125,23592,0
20050331,52.001,52.162,51.918,51.926,83846,0
20050401,52.227,52.35,51.513,51.587,41126,0
20050404,51.418,51.56,51.175,51.446,74704,0
20050405,51.446,51.672,51.446,51.644,44950,0
20050406,51.776,51.955,51.644,51.691,39849,0
20050407,51.739,52.115,51.739,51.983,13389,0
20050408,52.096,52.096,51.663,51.72,43567,0
20050411,51.757,51.757,51.484,51.663,10733,0
20050412,51.522,52.058,51.003,51.983,28903,0
20050413,51.88,51.926,51.003,51.079,37939,0
20050414,51.258,51.258,50.289,50.298,165456,0
20050415,50.213,50.516,49.461,49.574,62590,0
20050418,49.536,49.979,49.461,49.725,79377,0
20050419,49.95,50.101,49.846,50.035,31668,0
20050420,50.073,50.073,49.396,49.414,36660,0
20050421,50.044,50.674,49.836,50.543,190111,0
20050422,50.665,50.665,49.855,50.082,147710,0
20050425,50.449,50.77,50.449,50.741,84480,0
20050426,50.543,50.674,50.111,50.111,19128,0
20050427,49.782,50.222,49.488,50.222,32622,0
20050428,50.082,50.195,49.536,49.593,24653,0
20050429,49.836,50.111,49.32,50.016,63654,0
20050502,50.213,50.43,49.96,50.241,185433,0
20050503,50.092,50.222,49.818,49.922,21041,0
20050504,49.997,50.581,49.997,50.572,29649,0
20050505,50.393,50.617,50.149,50.411,22528,0
20050506,50.598,50.712,50.402,50.525,32091,0
20050509,50.439,50.797,50.374,50.789,6802,0
20050510,50.59,50.627,50.158,50.232,23484,0
20050511,50.346,50.655,50.054,50.655,20404,0
20050512,50.655,50.731,49.941,50.063,69712,0
20050513,50.149,50.241,49.451,49.754,54090,0
20050516,49.706,50.384,49.706,50.336,222521,0
20050517,50.158,50.77,50.149,50.76,34751,0
20050518,51.032,51.587,50.929,51.475,29861,0
20050519,51.57,51.682,51.362,51.578,23803,0
20050520,51.541,51.653,51.315,51.541,19658,0
20050523,51.587,52.115,51.587,51.973,17111,0
20050524,51.832,51.936,51.634,51.88,20404,0
20050525,51.663,51.663,51.286,51.353,40807,0
20050526,51.757,51.841,51.596,51.701,7438,0
20050527,51.691,51.841,51.663,51.766,50584,0
20050531,51.757,51.757,51.522,51.56,9033,0
20050601,51.625,52.02,51.484,51.926,16471,0
20050602,51.813,52.011,51.776,51.926,8076,0
20050603,51.785,51.945,51.596,51.672,11157,0
20050606,51.739,51.813,51.551,51.729,22954,0
20050607,51.851,52.415,51.851,51.899,103611,0
20050608,52.087,52.087,51.578,51.691,42932,0
20050609,51.522,51.776,51.343,51.682,12327,0
20050610,51.663,51.861,51.408,51.691,22208,0
20050613,51.522,52.068,51.503,51.691,17747,0
20050614,51.757,51.813,51.625,51.71,9033,0
20050615,51.663,51.749,51.334,51.634,7120,0
20050616,51.757,51.926,51.615,51.87,12010,0
20050617,52.02,52.34,52.02,52.152,20933,0
20050620,52.039,52.115,51.832,52.049,17536,0
20050621,51.794,52.03,51.757,51.899,27949,0
20050622,52.134,52.134,51.653,51.653,78426,0
20050623,51.541,51.541,50.684,50.684,20722,0
20050624,50.553,50.674,49.997,50.241,40276,0
20050627,50.27,50.27,50.016,50.241,285216,0
20050628,50.327,51.041,50.327,50.994,61421,0
20050629,51.051,51.192,50.835,50.901,13495,0
20050630,50.901,51.108,50.525,50.525,39211,0
20050701,50.674,50.826,50.627,50.684,11157,0
20050705,50.497,51.07,50.497,51.06,17213,0
20050706,50.826,50.939,50.478,50.572,18173,0
20050707,50.203,50.608,49.95,50.608,30180,0
20050708,50.581,51.587,50.581,51.456,14663,0
20050711,51.57,51.955,51.57,51.757,89687,0
20050712,51.851,51.851,51.446,51.596,22422,0
20050713,51.522,51.701,51.513,51.587,25291,0
20050714,52.039,52.115,51.88,52.011,28372,0
