Date,Open,High,Low,Close,Volume,OpenInt
20061114,48.992,49.11,48.688,49.11,6199,0
20061115,48.495,48.495,48.495,48.495,653,0
20061116,48.357,48.357,48.293,48.293,1632,0
20061117,47.759,47.952,47.759,47.944,761,0
20061120,46.887,46.887,46.887,46.887,108,0
20061122,47.521,47.521,47.521,47.521,436,0
20061124,47.575,47.575,47.575,47.575,218,0
20061127,47.897,47.897,47.493,47.493,2066,0
20061129,49.019,49.129,48.863,48.863,1414,0
20061130,49.608,49.608,49.608,49.608,1088,0
20061201,49.543,49.543,49.543,49.543,1197,0
20061204,50.205,50.205,50.205,50.205,10876,0
20061205,49.948,49.957,49.948,49.957,218,0
20061207,50.729,50.739,50.509,50.509,2501,0
20061208,50.344,50.344,50.344,50.344,54376,0
20061212,50.196,50.196,50.196,50.196,54376,0
20061213,50.344,50.344,50.196,50.196,653,0
20061214,50.546,50.895,50.546,50.895,1632,0
20061215,50.812,50.822,50.776,50.785,653,0
20061218,50.766,50.766,50.499,50.499,326,0
20061219,50.169,50.214,50.169,50.214,218,0
20061220,50.877,50.913,50.647,50.647,869,0
20061221,50.665,51.052,50.665,50.785,1957,0
20061222,50.655,50.849,50.655,50.849,1306,0
20061226,50.794,50.794,50.647,50.674,869,0
20061228,51.106,51.106,50.987,50.987,218,0
20061229,51.005,51.097,51.005,51.052,1088,0
20070103,50.95,51.015,50.877,50.877,1523,0
20070104,51.336,51.428,51.336,51.428,1414,0
20070105,50.692,50.757,50.003,50.491,13704,0
20070108,50.637,50.637,50.637,50.637,544,0
20070109,50.831,50.885,50.794,50.885,2501,0
20070110,50.049,50.306,49.957,50.251,761,0
20070111,49.957,50.123,49.875,50.123,544,0
20070112,50.481,50.711,50.481,50.711,1632,0
20070116,50.922,50.922,50.867,50.885,1957,0
20070117,50.858,51.005,50.831,50.877,4460,0
20070118,51.015,51.042,51.015,51.042,3154,0
20070119,51.143,51.263,51.097,51.245,118649,0
20070122,50.822,50.95,50.822,50.904,10113,0
20070123,51.29,51.438,51.272,51.272,7176,0
20070124,51.548,51.999,51.548,51.98,979,0
20070125,51.428,51.428,50.867,50.959,5111,0
20070126,51.152,51.162,50.932,51.162,4460,0
20070129,51.245,51.428,51.198,51.299,4351,0
20070130,51.327,51.493,51.327,51.447,6743,0
20070131,50.877,51.705,50.877,51.456,19142,0
20070201,52.393,52.393,52.017,52.21,14899,0
20070202,51.879,51.935,51.759,51.759,7287,0
20070205,51.363,51.363,51.345,51.345,3371,0
20070206,51.879,51.879,51.576,51.705,4242,0
20070207,51.723,51.723,51.695,51.695,7287,0
20070208,50.969,51.097,50.941,51.097,1632,0
20070209,51.649,51.649,51.391,51.391,761,0
20070212,51.308,51.308,51.162,51.17,2501,0
20070213,52.063,52.173,52.063,52.173,2175,0
20070214,52.403,53.064,52.403,53.029,15771,0
20070215,53.257,53.257,53.257,53.257,108,0
20070216,53.203,53.487,53.203,53.487,979,0
20070220,53.257,53.313,53.148,53.313,1197,0
20070221,52.936,53.111,52.936,53.111,4351,0
20070222,53.396,53.396,53.368,53.368,1739,0
20070223,53.773,53.994,53.681,53.994,16421,0
20070226,54.178,54.223,53.874,53.911,7722,0
20070227,53.911,53.911,52.458,52.569,46763,0
20070228,52.514,52.965,52.514,52.743,3262,0
20070301,52.247,52.651,51.75,52.651,3262,0
20070302,52.247,52.247,51.787,51.787,761,0
20070305,51.41,51.447,51.088,51.088,12181,0
20070306,52.035,52.035,52.035,52.035,108,0
20070307,52.247,52.247,52.017,52.017,2285,0
20070308,52.587,52.844,52.587,52.844,10005,0
20070309,52.569,52.678,52.532,52.623,44154,0
20070312,53.001,53.257,52.688,53.222,129958,0
20070313,52.753,52.753,52.035,52.054,11202,0
20070314,51.584,51.613,51.29,51.475,5873,0
20070315,51.879,51.879,51.731,51.777,5655,0
20070316,51.677,51.898,51.594,51.594,11093,0
20070319,52.072,52.118,52.054,52.072,4242,0
20070320,52.237,52.651,52.237,52.651,3589,0
20070321,52.623,53.064,52.385,53.064,7504,0
20070322,53.213,53.506,53.166,53.166,10005,0
20070323,53.378,53.378,53.185,53.213,11310,0
20070326,52.863,52.863,52.863,52.863,108,0
20070327,52.412,52.421,52.412,52.421,436,0
20070328,52.412,52.412,52.247,52.247,1414,0
20070329,52.412,52.514,52.412,52.514,326,0
20070330,52.467,52.55,52.228,52.228,1523,0
20070402,51.925,51.925,51.925,51.925,3262,0
20070403,52.109,52.376,52.017,52.2,6089,0
20070404,52.542,52.688,52.403,52.688,38389,0
20070405,52.623,52.623,52.467,52.495,10876,0
20070409,52.66,52.688,52.532,52.605,7287,0
20070410,52.735,52.918,52.688,52.835,22404,0
20070411,52.569,52.569,52.366,52.366,5003,0
20070412,52.311,52.605,52.311,52.569,15335,0
20070413,52.43,52.43,52.256,52.357,8482,0
20070416,52.357,52.881,52.357,52.881,11093,0
20070417,52.329,52.44,52.329,52.44,5003,0
20070418,52.678,52.678,52.542,52.542,3807,0
20070419,52.302,52.302,52.292,52.292,5437,0
20070420,52.43,52.514,52.43,52.514,7831,0
20070423,51.943,51.943,51.943,51.943,218,0
20070424,51.898,51.898,51.898,51.898,1306,0
20070425,51.787,52.146,51.787,52.146,6852,0
20070426,51.594,51.668,51.538,51.538,10876,0
20070427,51.208,51.327,51.143,51.327,24361,0
20070430,51.475,51.584,51.088,51.097,12290,0
20070502,51.282,51.603,51.282,51.566,20011,0
20070503,51.705,51.705,51.705,51.705,326,0
20070504,51.824,51.824,51.824,51.824,2175,0
20070507,52.163,52.163,52.054,52.163,14139,0
20070508,52.007,52.007,51.833,51.833,6526,0
20070509,52.569,52.623,52.514,52.532,8699,0
20070510,51.787,51.787,51.768,51.768,436,0
20070511,51.961,52.237,51.961,52.237,28711,0
20070514,51.777,51.916,51.777,51.916,12833,0
20070515,51.52,51.658,51.438,51.557,6633,0
20070516,51.428,51.428,51.428,51.428,10876,0
20070517,51.005,51.005,50.849,50.932,5873,0
20070518,51.061,51.061,50.913,50.913,979,0
20070521,50.877,50.997,50.831,50.877,6797,0
20070522,51.576,51.576,51.576,51.576,326,0
20070523,51.824,51.861,51.603,51.603,26210,0
20070524,51.52,51.677,51.042,51.042,56334,0
20070525,51.115,51.115,51.115,51.115,5437,0
20070529,51.695,51.695,51.613,51.613,9352,0
20070530,51.475,51.677,51.475,51.677,5765,0
20070531,52.091,52.099,52.091,52.099,544,0
20070601,52.458,52.495,52.44,52.495,19357,0
20070604,52.532,52.532,52.43,52.532,7938,0
20070605,52.697,52.697,52.514,52.651,10876,0
20070606,52.633,52.642,52.21,52.21,2175,0
20070607,52.081,52.081,52.017,52.017,6307,0
20070608,52.21,52.329,52.21,52.329,436,0
