Date,Open,High,Low,Close,Volume,OpenInt
20111011,56.507,57.427,54.947,54.947,31950,0
20111012,55.733,57.32,55.733,57.307,13125,0
20111013,57.653,57.787,56.68,56.68,13125,0
20111014,55.933,55.933,53.253,53.253,2325,0
20111018,56.293,57.44,56.293,57.44,1575,0
20111019,56.373,56.88,56.08,56.48,11625,0
20111025,56.32,56.32,56.32,56.32,2025,0
20111026,57.413,57.947,57.413,57.947,375,0
20111027,58.707,58.707,56.627,58.067,2400,0
20111028,54.88,55.427,53.84,54.08,36600,0
20111031,54.427,54.427,54.427,54.427,150,0
20111101,56.987,57.027,56.56,57.027,2100,0
20111102,58.347,58.347,57.147,58.093,2100,0
20111103,55.867,57.68,55.787,57.68,2775,0
20111104,56.68,58.213,56.413,58.213,3450,0
20111107,60.72,60.72,60.16,60.16,2325,0
20111108,60.773,60.773,59.253,59.253,3375,0
20111109,60.84,61.827,60.533,61.573,4069,0
20111110,62.093,62.973,61.267,62.56,5925,0
20111111,64.293,64.293,63.187,63.813,3525,0
20111114,66.493,67.467,66.493,67.36,22650,0
20111115,67.773,69.787,67.453,69.12,20850,0
20111116,68.373,72.28,68.373,71.627,14325,0
20111117,70.48,71.547,67.24,67.84,20775,0
20111118,69.227,72.187,69.027,71.44,15825,0
20111121,70.747,71.493,67.573,68.24,23741,0
20111122,69.76,69.773,69.187,69.253,3225,0
20111123,70.507,70.827,66.173,66.733,5175,0
20111125,64.827,65.547,64.8,65.44,9225,0
20111128,66.827,69.253,66.827,69.147,8400,0
20111129,66.507,67.653,65.293,65.293,21300,0
20111130,67.4,68.12,65.56,67.8,9975,0
20111201,67.933,68.053,63.2,64.68,5850,0
20111202,66.387,66.573,66.387,66.573,4950,0
20111205,69.813,71.88,69.48,71.24,7688,0
20111206,71.787,72.12,69.8,70.533,11475,0
20111207,72,72.707,72,72.613,6150,0
20111208,70.707,71.547,70.707,71.28,4950,0
20111209,74.613,76.893,74.587,76.493,8475,0
20111212,79.84,79.84,79.173,79.72,7163,0
20111213,80.573,80.573,77.84,78.133,8025,0
20111214,81.88,84.307,81.733,83.88,9023,0
20111215,82.507,84.68,81.707,84.333,22050,0
20111216,84.24,85.48,82.64,83.96,9825,0
20111219,88.173,88.173,85.213,85.213,16354,0
20111220,85.8,86.253,83.8,83.8,1865,0
20111221,85.907,86.16,81.173,82.4,12075,0
20111222,81.6,85.187,81.013,82.973,5213,0
20111223,83.467,86.04,83.467,86.04,825,0
20111227,83.333,86.08,83.333,86.08,1026,0
20111228,87.253,87.267,87.253,87.267,1275,0
20111229,91.187,93.093,91.187,93.093,1090,0
20111230,93.24,95.84,93.16,95.84,5907,0
20120103,94.6,98.333,93.707,94.653,11022,0
20120104,92.187,92.693,88.4,88.4,4429,0
20120105,91.84,95.693,91.84,94.373,960,0
20120106,92.533,93.387,89.533,89.573,5625,0
20120109,91.853,92.84,91.213,91.907,2100,0
20120110,93.333,97.907,93.2,97.907,4079,0
20120111,104.65,109.91,104.47,107.32,21082,0
20120112,112.12,115.64,110.88,111.15,24095,0
20120113,113.31,118.77,112.11,118.77,26138,0
20120117,126.39,133.92,125.52,130.93,28322,0
20120118,127.47,134.41,125.84,131.13,11006,0
20120119,137.87,150.33,137.27,148.11,23363,0
20120120,146.13,149.84,141.47,143.65,36978,0
20120123,133.09,135.96,117.77,118,169233,0
20120124,115.6,123.97,110.71,118.73,61206,0
20120125,115.73,115.73,100.32,102.84,57237,0
20120126,108.19,117.07,102.21,114.07,67454,0
20120127,116.75,118.65,102.87,103.39,48143,0
20120130,102.57,112.11,100.07,112,27214,0
20120131,120.44,127.64,119.48,127.56,32088,0
20120201,132.76,138.4,129.55,136.2,17980,0
20120202,134.65,135.53,114.91,117.76,44937,0
20120203,122.95,125.37,117.31,120.59,27839,0
20120206,118.93,123.87,114.04,114.76,15396,0
20120207,112.37,124.93,112.37,122.51,17449,0
20120208,123.19,126.49,118.72,126.25,14632,0
20120209,123.8,128.33,112.71,123.07,27497,0
20120210,120.77,123.65,120.01,120.64,4740,0
20120213,125.13,125.6,121.89,124.09,16981,0
20120214,118.64,119.81,116.01,117.67,10466,0
20120215,121.87,127.19,121.33,124.76,10051,0
20120216,123.51,124.4,116.33,118.2,16979,0
20120217,112.05,114.2,106,108.27,31377,0
20120221,113.2,116.96,111.33,111.84,13835,0
20120222,114.16,117.57,110.24,110.33,13235,0
20120223,110.57,117.16,110.21,113.96,7958,0
20120224,116.41,119.47,116.41,118.36,8942,0
20120227,117.19,126.13,116.76,124.69,13670,0
20120228,131.47,134.35,130.51,132.59,15656,0
20120229,132.84,134.48,124.72,127.52,7496,0
20120301,131.17,138.67,131.17,137.35,30220,0
20120302,134.75,136.56,133.49,136.56,3758,0
20120305,145.69,148.71,144.51,148.09,11984,0
20120306,146.31,150.67,145.99,150.11,14157,0
20120307,158.2,158.91,145.2,156.88,6938,0
20120308,158.69,165.72,155.29,156.89,11287,0
20120309,159.2,161.61,153.29,154.79,12351,0
20120312,161.08,164.48,159.87,162.15,11159,0
20120313,165.28,166.84,150.73,151.71,14810,0
20120314,151.75,157.21,150.77,154.91,6377,0
20120315,156.33,156.39,148.85,156.39,9592,0
20120316,152.16,153.04,149.2,151.07,4528,0
20120319,151.59,151.59,144.07,148.67,10036,0
20120320,148.97,152.83,148.97,152.47,9295,0
20120321,154.19,154.67,149.48,150.76,4199,0
20120322,152.41,160.2,152.41,160.2,16659,0
20120323,155.87,159.8,153.53,159.8,8314,0
20120326,165.37,167.45,163.21,163.39,8422,0
20120327,168.2,174.96,168.19,174.96,6152,0
20120328,173.07,174.69,167.75,173.11,14147,0
20120329,177.29,192.73,173.51,190.12,21367,0
20120330,190.44,201.08,189.8,197.4,14936,0
20120402,202.33,202.57,189.16,190.96,17218,0
20120403,189.35,191.13,182.08,187.2,7514,0
20120404,186.52,194.28,183.08,193.48,7662,0
20120405,193,202.16,191.08,200.8,7597,0
20120409,200.04,202.72,196.36,196.64,6184,0
20120410,204.91,213.25,204.52,212.85,12326,0
20120411,210.6,221.92,209.33,221.92,7703,0
20120412,222.63,225.37,204,223.37,13010,0
20120413,223.63,227.84,223.49,225.51,6743,0
20120416,220.68,227.56,220.68,222.65,6338,0
20120417,227.72,234,227.16,232.12,5626,0
20120418,234.13,237.55,228.49,237.41,16734,0
20120419,239.63,246.65,234,245.87,11367,0
20120420,245.24,245.88,241,241.72,5076,0
20120423,236.56,238.23,222.53,223.37,14408,0
20120424,225.96,230.95,224.51,230.95,4214,0
20120425,231.33,231.33,205,205.52,14708,0
20120426,198.87,215.6,188.24,215.6,21809,0
20120427,209.76,211.68,202.16,202.16,7113,0
20120430,209.12,209.52,186.12,186.12,10222,0
20120501,184.08,185.56,174.12,177.4,17015,0
20120502,180.85,194.03,179.33,191.08,8303,0
20120503,181.6,184.24,173.36,179.28,6560,0
20120504,186.28,189.28,185.36,187.08,2131,0
20120507,180.16,183.32,178.8,180,2613,0
20120508,187.84,187.84,162.92,164.96,8915,0
20120509,166.92,167.56,156.64,164.24,17639,0
20120510,162.12,168,155.08,160.56,22880,0
20120511,156.32,162.56,156.32,157.04,2632,0
20120514,160.64,169.24,160.64,169.04,13220,0
20120515,160.04,163.56,157.32,157.32,4860,0
20120516,152,153.16,141.56,142.76,10258,0
20120517,145,154.68,138.6,140.24,12144,0
20120518,136.24,138.32,123.92,131.96,15893,0
20120521,136.2,142.92,134.2,139.24,7380,0
20120522,135.2,135.2,130.72,132.72,5659,0
20120523,134.84,136.96,129.6,130.6,2289,0
20120524,130.08,140.16,130.08,137.8,8188,0
20120525,142.68,150.92,142.68,148.52,5680,0
20120529,151.24,163.2,148.2,160.6,10922,0
20120530,167.88,174.32,166,169.8,17702,0
20120531,174.08,174.92,160,170.68,13615,0
20120601,178.52,185.72,177.64,184.88,12740,0
20120604,174.96,177,167.04,168,7080,0
20120605,162.36,168.72,161.04,168.72,5053,0
20120606,167.24,171.6,161.52,168.04,3473,0
20120607,172.28,191.52,171.32,188,8611,0
20120608,189.16,189.16,182,184.28,7482,0
20120611,192,200,188.6,198.88,3624,0
20120612,192.68,197.4,188.32,197.4,3321,0
20120613,200.44,205.24,197.44,203.04,3621,0
20120614,200,200.4,146.52,148.96,26492,0
20120615,155.72,155.72,151.12,153.16,9240,0
20120618,147.76,150.68,132,135.64,15825,0
20120619,142,149.4,140.28,143.56,9883,0
20120620,140.88,149.32,139.52,146.4,5950,0
20120621,146.36,147.96,134.6,140,9507,0
20120622,140.96,141.8,132.48,134.2,8770,0
20120625,128.52,132.76,126.84,130.84,9457,0
20120626,130.24,131.92,122.08,123,9144,0
20120627,114,126.96,112.56,123.92,24412,0
20120628,123.12,135.64,122.08,126.72,13471,0
20120629,128.8,131.2,120.52,120.52,9515,0
20120702,126.92,127,119.44,120.84,5434,0
20120703,119.56,119.56,117.12,117.12,3681,0
20120705,112.64,115.48,111.2,112.56,11770,0
20120706,112.6,125.4,105,123.32,19003,0
20120709,118,118.32,114.68,116,8161,0
20120710,120.48,128,120.48,127,10666,0
20120711,123.4,125.36,117.6,117.8,7105,0
20120712,120.52,128,112.4,115.16,13430,0
20120713,117.84,117.84,112.04,115.36,2745,0
20120716,115.8,122.4,115.8,120.72,6450,0
20120717,120.68,122,119,121.56,2647,0
20120718,116,117.28,107.08,108.4,24220,0
20120719,108.6,110.04,103.08,103.4,19050,0
20120720,101.2,105.72,98,98.72,10174,0
20120723,100.96,100.96,95.76,96.48,11227,0
20120724,94.64,96,92,93,10053,0
20120725,94.64,100,93.84,99,11978,0
20120726,97.12,102.24,92.44,96.8,11671,0
20120727,101.12,103.52,99.12,100.36,9224,0
20120730,91.88,92.16,87.2,88.84,24749,0
20120731,88.72,91.08,84.6,87.4,18027,0
20120801,91.68,93.04,87.2,90.88,35474,0
20120802,94.52,105.2,90,104.4,46713,0
20120803,104.96,108.32,102.4,106.8,26293,0
20120806,108.52,112,104.08,105.24,32489,0
20120807,104.52,104.56,99.36,101.6,14469,0
20120808,103.6,105.28,99.16,102.64,5995,0
20120809,104.32,104.96,92,104.96,18280,0
20120810,108.6,112.84,108.48,111.4,33762,0
20120813,112.76,115.28,112,114.44,12836,0
20120814,114.2,114.52,108.64,109.64,10947,0
20120815,112.52,115.76,112.16,114.28,8388,0
20120816,114.92,119.44,105.92,118.4,21535,0
20120817,117.64,118.8,116.12,116.72,6901,0
20120820,117,119.12,113.56,114.08,6570,0
20120821,113,120,111.04,113.08,10676,0
20120822,112.6,114.4,109.56,110,7353,0
20120823,111.44,120.4,110.32,111.2,22717,0
20120824,112.4,119.2,111.28,118.92,19257,0
20120827,118.52,124.96,117.6,124.52,20861,0
20120828,124.88,129.12,123.6,129.12,24084,0
20120829,128.4,128.4,122.6,123.2,13873,0
20120830,122.56,128,118,118.84,21242,0
20120831,120.2,120.28,115,116.04,5514,0
20120904,113.04,118.72,110.2,113.36,16695,0
20120905,116.44,118.28,114.32,117.12,14413,0
20120906,120.2,120.2,111.96,119.92,24944,0
20120907,125.92,128,119.32,125.28,16203,0
20120910,124.08,125.6,114.68,115.2,29507,0
20120911,107.2,109.4,102.88,103.32,55761,0
20120912,104.72,105.32,97.56,98.28,38925,0
20120913,99.84,103.8,98.12,100.08,40165,0
20120914,104.44,106,101.92,103.52,23988,0
20120917,108.64,109.2,107.32,108.24,26900,0
20120918,106.24,113.68,105.24,112.56,19671,0
20120919,109.52,114.44,108.4,112.52,19459,0
20120920,111.92,113.64,110.08,111.84,18459,0
20120921,109.32,109.32,103.96,105.04,27472,0
20120924,107.6,109.04,104.64,105.8,11839,0
20120925,105.12,105.72,101.16,101.36,12851,0
20120926,99.96,100.2,93.08,96.12,38040,0
20120927,92.2,94.76,88.84,90.68,42501,0
20120928,91.84,92.32,88.16,88.56,21353,0
20121001,83.2,83.64,79.88,80.52,47272,0
20121002,81.96,82.96,77.6,78.48,34083,0
20121003,83.08,85.68,81.76,82.48,52004,0
20121004,82.2,85,80.44,82.92,28727,0
20121005,83.8,86.56,82.76,84.04,25212,0
20121008,85.88,85.88,82.16,83.32,22123,0
20121009,85.16,85.44,78.44,80,29447,0
20121010,80.2,81.6,78.52,79.92,16814,0
20121011,78.76,79.32,74.56,74.6,36006,0
20121012,77.36,78,76.48,77.16,16635,0
20121015,80.68,81.76,79.72,80.28,17693,0
20121016,80.36,81.8,80.08,80.12,10984,0
20121017,79.24,79.24,77.32,78.04,14499,0
