Date,Open,High,Low,Close,Volume,OpenInt
20060622,44.797,44.797,44.498,44.592,1465239,0
20060623,44.183,44.202,43.79,44.014,753605,0
20060626,44.247,44.554,44.202,44.489,154803,0
20060627,44.714,44.714,44.183,44.202,464292,0
20060628,44.136,44.265,43.818,44.126,793326,0
20060629,44.573,45.104,44.424,45.104,65700,0
20060630,45.142,45.18,44.797,44.89,299510,0
20060703,44.918,45.207,44.918,45.207,60654,0
20060705,44.947,44.947,44.611,44.667,152224,0
20060706,44.806,44.947,44.759,44.759,71281,0
20060707,44.852,44.937,44.388,44.453,264407,0
20060710,44.648,44.648,44.526,44.583,47450,0
20060711,44.443,44.695,44.155,44.695,184859,0
20060712,44.602,44.602,44.117,44.117,245405,0
20060713,43.884,43.941,43.548,43.613,1065033,0
20060714,43.623,43.689,43.315,43.595,63554,0
20060717,43.512,43.79,43.503,43.781,73967,0
20060718,44.079,44.098,43.66,44.098,621885,0
20060719,44.107,45.234,44.088,45.216,1005238,0
20060720,45.394,45.394,44.9,44.9,156734,0
20060721,44.293,44.536,44.247,44.507,339122,0
20060724,44.695,45.029,44.695,45.02,93503,0
20060725,45.002,45.243,44.928,45.243,94898,0
20060726,44.992,45.44,44.797,45.252,68705,0
20060727,45.318,45.485,44.787,44.797,603743,0
20060728,45.057,45.756,45.057,45.709,179814,0
20060731,45.318,45.394,45.011,45.29,187757,0
20060801,44.871,45.095,44.695,44.918,130429,0
20060802,45.133,45.309,44.918,45.123,239717,0
20060803,45.18,45.747,45.161,45.718,133651,0
20060804,46.13,46.13,45.504,45.709,81157,0
20060807,45.654,45.69,45.394,45.495,359736,0
20060808,45.664,45.859,45.189,45.243,105312,0
20060809,45.645,45.645,44.676,44.74,127963,0
20060810,44.554,45.133,44.554,45.011,55286,0
20060811,44.778,44.928,44.695,44.881,123777,0
20060814,45.086,45.281,44.806,44.862,508200,0
20060815,45.366,45.608,45.366,45.561,136552,0
20060816,45.803,45.868,45.551,45.822,330640,0
20060817,45.775,45.925,45.775,45.83,59149,0
20060818,45.664,45.83,45.664,45.83,50884,0
20060821,45.599,45.635,45.495,45.495,60760,0
20060822,45.466,45.683,45.466,45.599,49703,0
20060823,45.673,45.673,45.038,45.067,334614,0
20060824,45.086,45.17,44.983,45.142,47234,0
20060825,45.216,45.216,44.881,44.947,179383,0
20060828,45.029,45.271,45.011,45.271,67846,0
20060829,45.151,45.151,44.806,45.123,269343,0
20060830,45.281,45.561,45.281,45.523,90069,0
20060831,45.561,45.673,45.485,45.617,54428,0
20060901,45.495,45.673,45.495,45.589,104346,0
20060905,45.617,45.784,45.617,45.69,30486,0
20060906,45.457,45.561,45.413,45.413,1611,0
20060907,45.252,45.318,44.966,44.966,56896,0
20060908,44.9,45.067,44.797,45.038,540836,0
20060911,44.992,45.123,44.843,45.086,164463,0
20060912,45.3,45.699,45.3,45.683,16747,0
20060913,45.83,46.035,45.737,46.027,167577,0
20060914,45.998,46.008,45.989,46.008,75252,0
20060915,45.765,45.849,45.69,45.765,90173,0
20060918,45.523,45.645,45.476,45.523,47127,0
20060919,45.551,45.551,44.871,45.384,355333,0
20060920,45.859,46.13,45.859,46.101,436060,0
20060921,46.092,46.092,45.431,45.561,672771,0
20060922,45.309,45.366,44.992,45.252,549208,0
20060925,45.18,45.859,45.151,45.859,146320,0
20060926,45.813,45.925,45.654,45.83,132473,0
20060927,45.887,46.111,45.878,46.073,198063,0
20060928,45.961,46.111,45.84,46.027,372938,0
20060929,46.035,46.045,45.495,45.495,44657,0
20061002,45.366,45.384,44.871,45.002,431661,0
20061003,44.909,45.3,44.797,45.057,479430,0
20061004,44.9,45.542,44.824,45.476,788604,0
20061005,45.542,45.784,45.431,45.784,757042,0
20061006,45.645,45.645,45.394,45.485,654520,0
20061009,45.747,46.054,45.599,46.027,160060,0
20061010,46.111,46.111,45.859,45.989,340089,0
20061011,45.803,45.925,45.645,45.83,679211,0
20061012,46.073,46.24,46.063,46.24,239069,0
20061013,46.372,46.482,46.325,46.473,284266,0
20061016,46.454,46.454,46.249,46.363,302731,0
20061017,46.24,46.24,45.98,46.158,417488,0
20061018,46.24,46.268,46.194,46.203,573575,0
20061019,46.175,46.175,45.915,46.017,394624,0
20061020,45.868,45.868,45.337,45.384,1360249,0
20061023,45.17,45.57,45.17,45.542,431444,0
20061024,45.337,45.403,45.271,45.384,284157,0
20061025,45.431,45.431,45.18,45.403,278575,0
20061026,45.422,45.794,45.17,45.794,496715,0
20061027,45.737,45.747,45.431,45.431,587964,0
20061030,45.504,45.617,45.457,45.504,222969,0
20061031,45.709,45.709,45.366,45.457,108317,0
20061101,45.413,45.542,44.852,44.852,216312,0
20061102,44.731,44.871,44.648,44.714,346747,0
20061103,44.834,45.067,44.638,44.852,239607,0
20061106,45.142,45.224,45.104,45.224,111108,0
20061107,45.448,45.69,45.309,45.309,195488,0
20061108,45.431,45.645,45.384,45.617,90926,0
20061109,45.709,45.709,45.18,45.207,12881,0
20061110,45.328,45.485,45.309,45.485,231021,0
20061113,45.627,45.897,45.627,45.897,272243,0
20061114,46.017,46.454,45.645,46.454,572721,0
20061115,46.353,46.81,46.353,46.81,553396,0
20061116,46.81,46.967,46.772,46.967,331502,0
20061117,46.939,46.939,46.678,46.838,47877,0
20061120,46.865,47.014,46.865,46.967,8803,0
20061121,46.81,46.829,46.763,46.772,17498,0
20061122,46.734,46.734,46.567,46.633,170689,0
20061124,46.492,46.624,46.382,46.605,102305,0
20061127,46.501,46.501,45.728,45.728,26085,0
20061128,45.589,45.84,45.57,45.794,382172,0
20061129,45.906,46.344,45.897,46.344,359627,0
20061130,46.408,46.408,46.073,46.222,92000,0
20061201,46.222,46.222,45.673,46.017,452806,0
20061204,46.073,46.838,45.97,46.838,92109,0
20061205,46.668,46.911,46.668,46.856,11595,0
20061206,46.715,46.715,46.548,46.586,52173,0
20061207,46.53,46.649,46.287,46.315,129466,0
20061208,46.184,46.24,45.998,46.175,1815203,0
20061211,46.158,46.344,46.158,46.344,260326,0
20061212,46.344,46.391,46.184,46.391,82983,0
20061213,46.53,46.53,46.436,46.473,21577,0
20061214,46.781,46.838,46.763,46.838,12345,0
20061215,46.819,46.829,46.641,46.641,53137,0
20061218,46.641,46.753,46.278,46.325,205576,0
20061219,46.054,46.222,45.925,46.166,72356,0
20061220,46.166,46.372,46.158,46.287,242185,0
20061221,46.391,46.668,46.268,46.417,544701,0
