Date,Open,High,Low,Close,Volume,OpenInt
20100422,59.656,64.629,59.656,64.279,570314,0
20100423,63.579,65.061,63.014,64.661,762528,0
20100426,64.649,64.668,60.24,60.24,334237,0
20100427,59.452,61.223,57.34,57.477,398054,0
20100428,58.323,59.472,57.671,57.924,348556,0
20100429,58.236,61.068,57.379,60.736,338012,0
20100430,60.309,60.678,57.078,57.087,199514,0
20100503,58.605,59.121,56.328,57.281,155967,0
20100504,56.231,56.231,52.601,53.087,173209,0
20100505,51.355,54.401,50.848,53.807,404065,0
20100506,52.902,54.566,44.863,49.817,285351,0
20100507,50.021,51.384,46.782,47.852,224804,0
20100510,52.912,53.535,51.189,53.36,85831,0
20100511,52.065,56.902,51.715,55.228,108552,0
20100512,56.221,58.089,55.335,57.554,61561,0
20100513,57.496,58.255,56.61,56.834,32151,0
20100514,55.958,55.958,52.718,53.972,84978,0
20100517,53.954,55.676,51.92,54.314,62065,0
20100518,55.52,55.773,50.41,51.394,33332,0
20100519,49.905,53.194,49.107,50.177,73366,0
20100520,48.055,48.396,44.339,44.378,102618,0
20100521,42.353,47.073,42.353,46.207,131711,0
20100524,46.664,46.664,43.627,43.667,40096,0
20100525,41.808,44.27,40.67,44.027,45212,0
20100526,45.691,45.896,44.036,44.474,43980,0
20100527,46.031,47.754,45.584,47.725,18805,0
20100528,46.762,47.034,45.137,45.759,58570,0
20100601,45.35,45.73,44.202,44.523,18321,0
20100602,43.647,45.779,43.083,45.779,26095,0
20100603,45.935,46.324,44.951,45.876,13663,0
20100604,44.902,44.902,40.388,40.407,94400,0
20100607,41.01,41.497,40.056,40.066,36771,0
20100608,39.911,40.611,38.227,39.852,66291,0
20100609,40.378,40.552,38.898,39.035,24600,0
20100610,39.901,41.516,39.901,41.516,15465,0
20100611,40.65,42.412,40.65,42.412,12587,0
20100614,43.015,43.92,42.207,42.207,8836,0
20100615,42.596,43.589,42.344,43.589,16237,0
20100616,43.394,45.02,43.394,44.309,3287,0
20100617,44.513,44.747,43.404,44.222,26153,0
20100618,44.378,44.718,43.258,44.368,8323,0
20100621,45.253,45.545,43.784,44.251,23122,0
20100622,44.397,45.137,43.404,43.404,17879,0
20100623,42.995,42.995,41.536,41.575,28944,0
20100624,41.458,41.876,40.388,40.494,15415,0
20100625,41.137,42.616,40.611,42.606,16343,0
20100628,42.586,42.829,41.691,42.275,11765,0
20100629,41.36,41.36,39.005,39.297,22317,0
20100630,39.403,40.495,37.941,38.01,59649,0
