Date,Open,High,Low,Close,Volume,OpenInt
20131120,2.7426,3.166,2.6848,3.0408,1005486,0
20131121,3.0794,3.1467,3.0024,3.0313,799599,0
20131122,3.1178,3.1178,2.8965,2.9831,842879,0
20131125,3.0986,3.1274,2.9831,3.1274,530484,0
20131126,3.1178,3.5605,3.0986,3.5125,924036,0
20131127,3.5412,4.0415,3.3681,3.5316,1447974,0
20131129,3.6086,3.6086,3.1274,3.2237,614138,0
20131202,3.2237,3.2429,2.8965,3.0601,650947,0
20131203,2.935,3.0504,2.935,3.0313,227303,0
20131204,3.0698,3.3585,2.9831,3.3391,451933,0
20131205,3.3969,3.4547,3.2814,3.3969,404268,0
20131206,3.3777,3.6568,3.3777,3.4931,546986,0
20131209,3.5508,3.6374,3.4835,3.5316,429118,0
20131210,3.6086,3.7049,3.5412,3.7049,621152,0
20131211,3.7626,3.8012,3.5412,3.6086,342042,0
20131212,3.522,3.6086,3.1178,3.4931,699748,0
20131213,3.5125,3.6086,3.4643,3.5701,180357,0
20131216,3.7915,3.7915,3.6086,3.7337,477470,0
20131217,3.7529,3.8203,3.7145,3.7818,478439,0
20131218,3.8395,3.8588,3.7529,3.8491,408555,0
20131219,3.8685,3.8877,3.8108,3.8491,509739,0
20131220,3.8491,3.8491,3.6278,3.7145,543320,0
20131223,3.8203,3.8491,3.7529,3.8395,369299,0
20131224,4.0898,4.3302,3.8972,4.0705,751819,0
20131226,4.1187,4.2341,3.9646,4.1378,680362,0
20131227,4.2533,4.3016,4.1187,4.1956,665069,0
20131230,4.2149,4.4266,3.8491,3.8972,652188,0
20131231,3.9358,4.186,3.9358,4.0128,457033,0
20140102,4.0415,4.1378,3.8685,4.1378,551633,0
20140103,4.0513,4.1859,4.0415,4.1378,380560,0
20140106,4.1378,4.1859,4.0801,4.1572,458731,0
20140107,4.1859,4.4266,4.1668,4.3592,340893,0
20140108,4.4266,4.4939,4.2822,4.4746,526492,0
20140109,4.5229,4.5805,4.3785,4.4939,529947,0
20140110,4.4266,4.696,4.4266,4.5419,461566,0
20140113,4.619,4.7345,4.5324,4.696,520437,0
20140114,4.8019,4.9077,4.7441,4.8116,910476,0
20140115,4.8885,5.2637,4.773,5.1194,2050340,0
20140116,5.2541,5.6583,5.0905,5.36,1599975,0
20140117,5.437,5.7161,5.3889,5.7161,1297258,0
20140121,5.7737,5.7737,3.7626,4.5036,6388392,0
20140122,4.465,4.9462,4.3016,4.8212,1434937,0
20140123,4.9366,5.1867,4.5805,5.1387,1290692,0
20140124,5.1098,5.1483,4.5036,4.7441,1278982,0
20140127,4.7537,4.8885,4.2533,4.4939,1297729,0
20140128,4.3688,4.4458,3.9551,4.0995,1216095,0
20140129,4.0898,4.3208,4.0898,4.2918,452184,0
20140130,4.3592,4.5709,4.1859,4.5229,555327,0
20140131,4.4266,4.7922,4.4266,4.7922,440048,0
20140203,4.5419,4.7633,4.4266,4.6287,403870,0
20140204,4.5132,4.5324,4.2341,4.3592,408272,0
20140205,4.2533,4.4746,4.1378,4.4555,366155,0
20140206,4.5229,4.7057,4.4555,4.4843,308082,0
20140207,4.6672,4.6672,4.4555,4.5709,185598,0
20140210,4.4555,4.619,4.2822,4.3496,370990,0
20140211,4.3302,4.5036,4.2822,4.4458,314942,0
20140212,4.5036,4.5132,4.3302,4.3977,247752,0
20140213,4.3785,4.3785,3.6471,3.8877,1657838,0
20140214,3.8877,3.8877,3.3681,3.6856,1446559,0
20140218,3.6086,3.6471,3.32,3.5125,955497,0
20140219,3.4066,3.5508,3.3777,3.4739,451918,0
20140220,3.3777,3.5125,3.3681,3.4643,237320,0
20140221,3.4643,3.8299,3.445,3.5701,925215,0
20140224,3.6086,3.9935,3.6086,3.7818,748471,0
20140225,3.8012,4.0129,3.7241,3.8203,260060,0
20140226,3.8299,4.0898,3.8299,3.9454,436287,0
20140227,4.0129,4.3592,3.9935,4.2341,487215,0
20140228,4.3785,4.4361,4.2341,4.3302,427625,0
20140303,4.3302,4.3785,3.8491,4.2437,490381,0
20140304,4.2149,4.3881,3.9935,4.0032,482218,0
20140305,3.9935,4.2245,3.8781,4.1378,267565,0
20140306,4.2341,4.2341,4.0898,4.1764,184909,0
20140307,4.1282,4.2629,4.1187,4.2149,239078,0
20140310,4.2149,4.3785,4.1474,4.2726,265982,0
20140311,4.2726,4.3785,4.0513,4.0898,286780,0
20140312,4.0513,4.3208,4.0415,4.2533,160996,0
20140313,4.3592,4.3592,4.1282,4.1668,127598,0
20140314,4.3399,4.3399,4.1378,4.1378,148177,0
20140317,4.1378,4.2245,4.0609,4.0609,109888,0
20140318,4.0415,4.0609,3.676,3.7529,836634,0
20140319,3.8012,3.8395,3.5508,3.6471,532931,0
20140320,3.7337,3.8012,3.5605,3.5605,399436,0
20140321,3.6664,3.6664,3.4161,3.5798,1046417,0
20140324,3.6088,3.7738,3.4148,3.7641,503151,0
20140325,3.7253,3.8222,3.6379,3.7738,223430,0
20140326,3.735,3.929,3.6282,3.8319,321610,0
20140327,3.8029,3.8029,3.4536,3.5798,239784,0
20140328,3.5603,3.8125,3.5603,3.735,228783,0
20140331,3.8125,3.8319,3.6962,3.8125,97131,0
20140401,3.8708,3.8805,3.7446,3.8611,180883,0
20140402,3.929,4.0746,3.8805,4.026,322606,0
20140403,4.0162,4.1618,3.8805,3.9775,322871,0
20140404,4.0551,4.1133,3.9387,4.0454,301537,0
20140407,4.0649,4.2104,3.8708,3.8708,294682,0
20140408,3.8319,3.8319,3.6574,3.7738,194383,0
20140409,3.8222,3.9484,3.6865,3.929,87363,0
20140410,3.929,4.0649,3.9193,3.9873,113525,0
20140411,4.026,4.123,3.9387,4.1133,183374,0
20140414,4.1715,4.3462,3.8514,3.9775,383139,0
20140415,3.9775,4.0551,3.735,3.8805,340140,0
20140416,4.026,4.0454,3.8319,3.8902,123964,0
20140417,3.8417,4.0357,3.8125,3.9095,91375,0
20140421,3.9581,3.9678,3.7641,3.8805,182276,0
20140422,3.7641,3.8611,3.6379,3.7543,210106,0
20140423,3.7543,3.8611,3.6574,3.735,170867,0
20140424,3.7446,3.8319,3.6574,3.735,133560,0
20140425,3.6379,3.7932,3.5409,3.57,168556,0
20140428,3.5022,3.735,3.4924,3.6865,153434,0
20140429,3.6865,3.7738,3.57,3.6185,127228,0
20140430,3.5895,3.7543,3.5895,3.7543,132061,0
20140501,3.7059,3.8417,3.7059,3.8319,109072,0
20140502,3.8029,3.8417,3.7155,3.735,103500,0
20140505,3.6282,3.8125,3.6282,3.8125,104005,0
20140506,3.8125,3.8805,3.7059,3.8611,145925,0
20140507,3.8998,3.9484,3.7253,3.8222,90607,0
20140508,3.7835,3.8029,3.6865,3.735,107227,0
20140509,3.6865,3.8125,3.6671,3.735,160779,0
20140512,3.735,3.8805,3.735,3.8029,64317,0
20140513,3.8805,3.8805,3.6767,3.6767,56215,0
20140514,3.7835,3.8319,3.6379,3.6476,41280,0
20140515,3.6282,3.7155,3.473,3.7059,149103,0
20140516,3.7059,3.7446,3.5119,3.5798,149978,0
20140519,3.5022,3.7059,3.5022,3.5603,194130,0
20140520,3.5409,3.5992,3.4634,3.5022,220869,0
20140521,3.57,3.57,3.4051,3.4536,191805,0
20140522,3.3955,3.4342,3.1238,3.3276,399467,0
20140523,3.2305,3.4439,3.2305,3.376,136504,0
20140527,3.4924,3.5119,3.4342,3.4924,128722,0
20140528,3.5119,3.5312,3.4342,3.5312,72719,0
20140529,3.5409,3.5409,3.4634,3.5409,75499,0
20140530,3.4634,3.5895,3.4634,3.5798,93365,0
20140602,3.5992,3.5992,3.5119,3.5992,87874,0
20140603,3.5992,3.6574,3.5312,3.6379,179345,0
20140604,3.6476,3.6865,3.6282,3.6865,131198,0
20140605,3.6865,3.7059,3.6671,3.7059,122262,0
20140606,3.7835,3.8125,3.6962,3.735,102094,0
20140609,3.6476,3.8319,3.6476,3.7932,226499,0
20140610,3.8319,3.8805,3.7835,3.8417,80402,0
20140611,3.8222,3.8708,3.7835,3.8708,179490,0
20140612,3.8029,3.9095,3.7738,3.9095,169957,0
20140613,3.929,4.026,3.8514,4.0066,143972,0
20140616,4.026,4.026,3.8998,3.9387,68429,0
20140617,3.8998,3.9678,3.8417,3.8902,126779,0
20140618,3.8998,3.9678,3.8902,3.9484,121828,0
20140619,3.9775,3.9969,3.929,3.9387,163170,0
20140620,3.9387,3.9678,3.8514,3.9678,232823,0
20140623,3.9873,3.9873,3.8902,3.929,126564,0
20140624,3.9094,3.9779,3.8508,3.9583,390171,0
20140625,3.8606,4.0071,3.8606,3.9192,164265,0
20140626,3.9094,3.9583,3.8704,3.9192,256073,0
20140627,3.9094,3.9485,3.4794,3.4794,2787039,0
20140630,3.6651,3.7335,3.6163,3.6651,343596,0
20140701,3.6651,3.7237,3.5673,3.6749,267049,0
20140702,3.6553,3.6944,3.5771,3.6065,279222,0
20140703,3.5967,3.6651,3.5673,3.626,81627,0
20140707,3.6651,3.7042,3.5087,3.5967,192840,0
20140708,3.5869,3.6065,3.4208,3.4208,192398,0
20140709,3.4501,3.5185,3.2448,3.323,189571,0
20140710,3.323,3.3622,3.196,3.2937,265045,0
20140711,3.2742,3.3328,3.2644,3.2937,201733,0
20140714,3.4208,3.4208,3.3132,3.3719,135005,0
20140715,3.3719,3.4403,3.3524,3.3816,87041,0
20140716,3.4012,3.4208,3.3426,3.3816,72274,0
20140717,3.3719,3.4208,3.3719,3.4012,87213,0
20140718,3.3524,3.4208,3.3524,3.411,70818,0
20140721,3.3132,3.411,3.3132,3.3816,48080,0
20140722,3.411,3.5185,3.3816,3.4989,107923,0
20140723,3.5087,3.5185,3.3914,3.4794,118801,0
20140724,3.4892,3.5087,3.3328,3.4892,70652,0
20140725,3.4305,3.4892,3.4012,3.4208,104070,0
20140728,3.4403,3.4892,3.3622,3.3816,45487,0
20140729,3.3914,3.4208,3.196,3.2253,171525,0
20140730,3.2546,3.3132,3.196,3.2351,76559,0
20140731,3.2057,3.3132,3.0396,3.0396,196192,0
20140801,3.0787,3.0983,2.893,2.9321,243359,0
20140804,2.9712,3.0493,2.8832,2.9321,158280,0
20140805,2.9126,3.0298,2.893,2.9223,143335,0
20140806,2.9126,2.9907,2.7659,2.9516,151666,0
20140807,2.9907,2.9907,2.893,2.9126,91143,0
20140808,2.8246,2.9126,2.7757,2.8636,168013,0
20140811,2.8344,2.9321,2.8246,2.9223,65707,0
20140812,2.9223,2.9712,2.8246,2.8538,58971,0
20140813,2.8442,2.9028,2.8344,2.9028,54475,0
20140814,2.893,3.0201,2.893,3.0005,147388,0
20140815,3.0298,3.0689,2.7952,2.8734,241359,0
20140818,2.8832,2.893,2.7952,2.8344,136093,0
20140819,2.8246,2.8636,2.7855,2.805,79596,0
20140820,2.7757,2.8344,2.2479,2.6291,2106050,0
20140821,2.6779,2.8538,2.6585,2.7952,567466,0
20140822,2.805,2.8832,2.7659,2.8246,165217,0
20140825,2.8442,2.9126,2.8442,2.8636,208200,0
20140826,2.8344,2.9321,2.7757,2.9321,311770,0
20140827,2.8734,2.9907,2.8538,2.893,151337,0
20140828,2.8832,2.9321,2.8734,2.8734,351742,0
20140829,2.8636,2.9126,2.8442,2.8832,300084,0
20140902,2.9028,3.0298,2.893,2.9809,283394,0
20140903,2.9809,3.0493,2.9418,2.9809,280208,0
20140904,3.0005,3.0493,2.9516,2.9809,641830,0
20140905,2.9614,3.0298,2.9418,3.0005,236018,0
20140908,3.0103,3.1177,2.9809,3.1081,172246,0
20140909,3.0885,3.1667,3.0885,3.1177,272077,0
20140910,3.1275,3.1569,3.0983,3.1275,200612,0
20140911,3.1275,3.2546,3.0885,3.1081,194343,0
20140912,3.0983,3.1471,2.9516,2.9712,159811,0
20140915,3.0103,3.0396,2.9321,2.9614,54364,0
20140916,2.9516,3.0493,2.9418,2.9907,127579,0
20140917,3.0005,3.0298,2.9712,3.0201,77778,0
20140918,3.0201,3.0396,2.9712,2.9809,49563,0
20140919,2.9712,3.0103,2.893,2.9126,144709,0
20140922,2.893,2.9126,2.8538,2.8832,71693,0
20140923,2.8734,2.9126,2.6877,2.7562,148430,0
20140924,2.7685,2.9069,2.7685,2.8773,190804,0
20140925,2.8773,2.9465,2.7586,2.8179,214478,0
20140926,2.8377,2.8971,2.8179,2.8773,51497,0
20140929,2.8377,2.8971,2.8179,2.8773,66342,0
20140930,2.8674,3.0948,2.8377,3.0948,316799,0
20141001,2.986,2.986,2.8476,2.8476,238272,0
20141002,2.8377,2.8971,2.7586,2.8872,103868,0
20141003,2.9267,2.9267,2.8179,2.8278,67642,0
20141006,2.8179,2.8575,2.7982,2.8278,81429,0
20141007,2.8179,2.8674,2.7883,2.8081,91773,0
20141008,2.7982,2.8476,2.729,2.8179,126143,0
20141009,2.8377,2.8377,2.6795,2.6795,94254,0
20141010,2.6795,2.8575,2.64,2.6597,150326,0
20141013,2.7191,2.8179,2.5708,2.6696,107820,0
20141014,2.6795,2.7586,2.5213,2.6004,172873,0
20141015,2.5806,2.6894,2.4818,2.5905,206826,0
20141016,2.5411,2.6696,2.5411,2.6301,144411,0
20141017,2.6696,2.6894,2.5411,2.6004,80249,0
20141020,2.6103,2.6894,2.6004,2.6795,124242,0
20141021,2.6795,2.7586,2.64,2.7586,59948,0
20141022,2.7586,2.8179,2.7487,2.7685,60498,0
20141023,2.8278,2.8278,2.7487,2.8081,48443,0
20141024,2.7784,2.8278,2.6202,2.6993,87571,0
20141027,2.6993,2.7685,2.6202,2.6993,57805,0
20141028,2.7191,2.8971,2.6696,2.8081,141118,0
20141029,2.7784,2.9168,2.7487,2.7982,52511,0
20141030,2.7883,2.8674,2.7685,2.8081,150922,0
20141031,2.7982,2.8872,2.7784,2.8476,146076,0
20141103,2.8476,2.8674,2.7685,2.8377,120505,0
20141104,2.8179,2.9069,2.8179,2.8476,40987,0
20141105,2.9168,2.9366,2.8476,2.8872,135212,0
