Date,Open,High,Low,Close,Volume,OpenInt
20110620,36.83,36.83,36.83,36.83,218,0
20110621,38,39.89,37.96,39.83,2800,0
20110622,39.62,40.26,39.62,39.77,3900,0
20110623,37.02,38.75,36.38,38.75,28470,0
20110627,38.96,38.96,38.96,38.96,600,0
20110629,42.16,43.37,42.16,42.51,4095,0
20110630,42.89,44.38,42.75,43.94,2827,0
20110701,44.8,45.1,44.71,44.95,2812,0
20110705,45.9,46.1,45.2,45.89,4837,0
20110706,45.2,46.62,45.06,46.08,1000,0
20110707,47.96,49.76,47.7,48.57,4873,0
20110708,46.73,46.88,46,46.88,3255,0
20110711,44.93,45.6,40.13,44.47,3723,0
20110712,43.49,44.33,43.49,44.33,1200,0
20110713,44.75,46.26,44.75,45.2,2650,0
20110714,45.45,45.69,43.8,43.85,3570,0
20110715,44.65,44.65,44.06,44.06,350,0
20110718,44.27,44.27,42.99,43,1700,0
20110719,44.8,45.15,44.77,45.15,9550,0
20110720,45.57,45.76,45.1,45.18,14468,0
20110721,46.76,47,46.33,46.6,11750,0
20110722,46.55,46.73,45.83,46.14,3925,0
20110725,44.98,46.3,44.98,45.79,3800,0
20110726,45.66,45.66,44.25,44.25,5200,0
20110727,44.3,44.3,41.26,41.45,1600,0
20110728,41.77,42.93,41.01,41.06,11600,0
20110729,39.44,40.68,38.5,39.77,3579,0
20110801,41.91,41.91,38.32,38.48,3560,0
20110802,38.24,39.16,35.72,35.72,10107,0
20110803,35.79,36.08,33.67,36.08,9500,0
20110804,34,34,29.37,29.37,13960,0
20110805,30.68,30.68,27,28.81,8600,0
20110808,27,27.08,22.42,22.45,11831,0
20110809,23.29,25.63,21.99,25.63,6987,0
20110810,24.76,25.94,23.99,23.99,6583,0
20110811,25.53,27.87,24.56,27.7,14316,0
20110812,27.88,28.62,27.27,27.69,28001,0
20110815,28.56,28.86,27.9,28.7,17700,0
20110816,28,28.26,27,27.72,3550,0
20110817,28.2,29.04,27.74,27.91,3420,0
20110818,24.68,24.68,22.4,23.14,7738,0
20110819,22.2,24.05,21.98,22.03,8083,0
20110822,23.57,23.57,21.74,21.75,7090,0
20110823,22.15,23.97,22.15,23.97,1600,0
20110824,25,25.06,23.68,25.03,4325,0
20110825,25.55,25.63,24.04,24.77,3458,0
20110826,24.02,25.92,23.38,25.86,6754,0
20110829,26.95,28.27,26.9,28.27,8540,0
20110830,28.38,29.44,27.74,29.07,24468,0
20110831,30.29,30.54,28.53,29.04,10030,0
20110901,28.89,29.99,28.06,28.15,4736,0
20110902,26.4,26.79,25.81,26.05,5299,0
20110906,23.45,25.6,23.45,25.6,18879,0
20110907,26.77,27.5,25.74,27.48,4993,0
20110908,27.38,27.38,26.64,26.73,1190,0
20110909,25.5,25.52,23.73,24.03,9906,0
20110912,23.09,24.11,22.15,23.4,8320,0
20110913,23.51,24.66,23.4,24.42,3600,0
20110914,25.25,26.64,23.96,25.98,9225,0
20110915,26.67,27.08,25.95,27.08,5763,0
20110916,26.62,27.69,26.62,27.27,5350,0
20110919,25.52,26.3,25.14,26.3,3134,0
20110920,26.66,26.77,25.18,25.18,1870,0
20110921,24.53,24.95,21.8,21.8,14056,0
20110922,19.51,19.51,17.25,18.34,18733,0
20110923,17.8,18.69,17.64,17.94,16835,0
20110926,18.15,19.72,17.44,19.72,15430,0
20110927,21.72,22.21,20.83,20.99,17320,0
20110928,20.51,20.69,18.15,18.21,17990,0
20110929,19.35,19.41,17.45,18.16,22878,0
20110930,17.39,17.62,16.25,16.25,36385,0
20111003,15.65,18.15,15,15,30637,0
20111004,14.2,16.65,13.87,16.65,24837,0
20111005,16.86,19.32,16.44,18.55,130480,0
20111006,18.87,20.05,18.58,20.04,64787,0
20111007,20.27,20.58,18.4,19.03,49666,0
20111010,20.47,21.42,20.44,21.42,33050,0
20111011,20.78,21.91,20.63,21.48,79968,0
20111012,21.83,23,21.81,22.14,19190,0
20111013,21.5,21.91,20.69,21.88,24085,0
20111014,22.85,23.47,22.35,23.4,9801,0
20111017,23.2,23.2,21.15,21.17,30721,0
20111018,20.9,23.04,20.05,22.73,25683,0
20111019,22.56,22.56,20.58,20.78,16081,0
20111020,20.79,21.59,20.13,21.32,15537,0
20111021,22.26,22.97,22.1,22.97,27817,0
20111024,23.53,24.68,23.53,24.58,27546,0
20111025,24.44,24.54,22.5,22.79,27888,0
20111026,23.83,24.49,22.33,24.09,26601,0
20111027,26.66,28.68,26.12,27.88,72503,0
20111028,27,28.66,26.94,28.46,19536,0
20111031,26.08,26.53,25,25,13394,0
20111101,22,23.78,21.3,23.04,21006,0
20111102,24.32,24.89,23.55,24.48,20223,0
20111103,25.44,26.07,24.04,25.98,14505,0
20111104,25.31,26.03,24.52,25.93,14519,0
20111107,25.87,26.55,25.02,26.5,19958,0
20111108,26.9,27.51,26,27.47,23871,0
20111109,25.23,25.66,23.39,23.49,100469,0
20111110,24.63,24.63,23.43,24.23,9072,0
20111111,25.29,26.2,25.11,25.9,23234,0
20111114,25.74,25.88,24.71,25.29,7685,0
20111115,24.78,25.77,24.44,25.49,16537,0
20111116,24.34,24.94,23.51,23.61,24753,0
20111117,23.55,23.55,21.2,21.53,23688,0
20111118,22.19,22.49,21.46,21.84,13409,0
20111121,20.48,20.98,20.14,20.74,9475,0
20111122,20.71,21.06,20.14,20.31,11165,0
20111123,19.61,19.63,18.6,18.6,18328,0
20111125,18.46,19.13,18.39,18.39,8876,0
20111128,20.37,20.74,19.99,20.36,27101,0
20111129,20.6,20.97,20.29,20.77,20220,0
20111130,22.93,24.07,22.88,23.95,41077,0
20111201,23.71,24.67,23.28,23.59,24393,0
20111202,24.46,24.53,23.1,23.1,25783,0
20111205,23.95,24.43,23.42,23.77,26278,0
20111206,23.78,24.89,23.46,24.68,10200,0
20111207,23.87,24.67,23.55,24.43,35371,0
20111208,23.83,23.87,22.06,22.24,17319,0
20111209,21.66,23.4,21.62,22.99,22855,0
20111212,21.71,21.72,20.92,21.5,20346,0
20111213,21.99,22.56,20,20.4,25808,0
20111214,20.01,20.41,19.47,19.65,15324,0
20111215,20.54,20.58,19.9,20.01,28520,0
20111216,20.66,21.19,20.15,20.51,12273,0
20111219,20.64,21.1,19.16,19.29,9900,0
20111220,20.62,21.58,20.62,21.49,11420,0
20111221,21.38,21.75,20.97,21.75,6805,0
20111222,21.76,22.31,21.7,22.23,9766,0
20111223,22.37,22.86,22.33,22.8,8452,0
20111227,22.69,23.06,22.61,22.86,6400,0
20111228,22.89,22.89,21.31,21.33,4775,0
20111229,21.16,22.01,21.16,22,26770,0
20111230,22,22.21,22,22.15,5462,0
20120103,23.49,24.13,23.46,23.86,19701,0
20120104,23.6,24.49,23.58,24.46,13297,0
20120105,23.8,24.81,23.62,24.6,6924,0
20120106,24.54,24.67,24.17,24.6,5103,0
20120109,24.71,24.92,24.49,24.69,4142,0
20120110,25.87,26.38,25.85,26.05,16181,0
20120111,25.88,26.9,25.87,26.8,5191,0
20120112,27.3,28,26.7,27.93,18054,0
20120113,27.23,27.49,26.47,27.44,16760,0
20120117,28.53,28.57,27.67,27.87,14738,0
20120118,27.82,28.82,27.53,28.82,23010,0
20120119,28.83,28.94,28.21,28.72,14619,0
20120120,28.71,28.72,28.28,28.42,5535,0
20120123,28.37,28.91,28.27,28.6,3830,0
20120124,27.63,28.41,27.43,28.41,12507,0
20120125,27.99,29.7,27.59,29.7,11099,0
20120126,30.38,31.21,29.44,29.77,23041,0
20120127,29.3,30.01,29.3,29.94,9885,0
20120130,28.57,29.9,28.35,29.79,14325,0
20120131,30.56,30.59,29.15,29.81,13096,0
