Date,Open,High,Low,Close,Volume,OpenInt
20050225,5.4,5.45,5.4,5.4,6900,0
20050228,5.5,5.5,5.4,5.4,5000,0
20050303,5.5,5.6,5.5,5.5,7000,0
20050304,5.3,5.3,5.3,5.3,694,0
20050307,5.4,5.4,5.4,5.4,3000,0
20050308,5.35,5.4,5.35,5.35,10600,0
20050309,5.25,5.25,5,5,5350,0
20050310,5,5.05,4.95,5.05,19075,0
20050311,5.15,5.25,5.15,5.25,1500,0
20050315,5.2,5.2,4.99,4.99,12500,0
20050316,4.99,5,4.9,4.9,34900,0
20050317,4.9,4.9,4.9,4.9,5500,0
20050318,4.9,4.9,4.8,4.8,3500,0
20050321,4.75,4.84,4.7,4.84,14000,0
20050322,4.9,5.1,4.9,5.1,9200,0
20050323,5.1,5.35,5.1,5.3,6400,0
20050324,5.4,5.9,5.4,5.85,13300,0
20050328,5.85,6,5.65,5.88,19400,0
20050329,5.85,5.85,5.53,5.53,8700,0
20050330,5.45,5.45,5,5.1,9700,0
20050331,5.1,5.1,5.06,5.08,15000,0
20050401,5.08,5.08,5.08,5.08,400,0
20050404,5.03,5.03,4.98,4.98,500,0
20050405,4.88,5.05,4.75,4.75,8000,0
20050406,5,5.23,4.45,4.65,23500,0
20050407,4.75,5,4.75,4.8,4500,0
20050408,4.9,4.9,4.9,4.9,300,0
20050411,4.75,4.8,4.75,4.75,2900,0
20050412,4.8,4.85,4.7,4.85,9500,0
20050413,4.8,4.8,4.8,4.8,500,0
20050414,4.75,4.75,4.5,4.6,3500,0
20050415,4.65,4.75,4.55,4.55,4500,0
20050418,4.5,4.5,4.5,4.5,4000,0
20050420,4.4,4.48,4.4,4.4,9000,0
20050421,4.45,4.65,4.45,4.6,8700,0
20050422,4.55,4.55,4.25,4.4,10900,0
20050427,4.35,4.35,4.35,4.35,2000,0
20050428,4.25,4.25,4.05,4.05,11300,0
20050429,4,4,4,4,5100,0
20050502,4,4,4,4,100,0
20050503,4,4.2,4,4.2,2000,0
20050505,4.19,4.19,4.19,4.19,100,0
20050509,4.15,4.15,4.15,4.15,1100,0
20050511,4.1,4.15,4.1,4.15,6100,0
20050516,4.1,4.1,4.1,4.1,100,0
20050519,4,4,3.9,3.9,5400,0
20050524,3.9,3.9,3.9,3.9,500,0
20050603,3.9,3.9,3.85,3.88,1400,0
20050606,3.9,3.9,3.9,3.9,3500,0
20050609,4,4,4,4,10000,0
20050610,4.01,4.01,4.01,4.01,1200,0
20050613,4.05,4.05,4.05,4.05,100,0
20050614,4,4,4,4,4000,0
20050617,3.9,3.9,3.9,3.9,100,0
20050621,3.9,3.9,3.9,3.9,500,0
20050622,3.85,3.85,3.8,3.8,6100,0
20050623,3.8,3.8,3.7,3.7,6200,0
20050624,3.7,3.8,3.7,3.8,9000,0
20050627,3.75,3.8,3.7,3.8,3600,0
20050629,3.7,3.7,3.55,3.55,1700,0
20050630,3.55,3.6,3.4,3.4,5800,0
20050701,3.3,3.3,3.2,3.26,11800,0
20050705,3.4,3.8,3.4,3.8,4300,0
20050706,3.75,3.75,3.6,3.6,1900,0
20050707,3.6,3.6,3.6,3.6,200,0
20050712,3.55,3.55,3.55,3.55,1700,0
20050713,3.5,3.5,3.3,3.3,5800,0
20050714,3.4,3.4,3.4,3.4,1000,0
20050715,3.26,3.26,3.2,3.2,11100,0
20050720,3.3,3.3,3.2,3.2,1300,0
20050721,3.38,3.38,3.25,3.3,18600,0
20050727,3.26,3.26,3.26,3.26,300,0
20050728,3.26,3.26,3.26,3.26,100,0
20050729,3.33,3.33,3.33,3.33,2000,0
20050801,3.33,3.33,3.33,3.33,9200,0
20050803,3.45,3.5,3.35,3.35,800,0
20050808,3.4,3.4,3.4,3.4,2500,0
20050809,3.33,3.33,3.33,3.33,10000,0
20050810,3.4,3.4,3.4,3.4,4400,0
20050815,3.5,3.5,3.48,3.5,700,0
20050816,3.55,3.65,3.5,3.5,10700,0
20050817,3.5,3.5,3.5,3.5,400,0
20050818,3.4,3.4,3.27,3.27,11000,0
20050822,3.39,3.39,3.39,3.39,900,0
20050823,3.41,3.41,3.2,3.2,2000,0
20050825,3.35,3.5,3.35,3.5,6800,0
20050829,3.47,3.47,3.47,3.47,200,0
20050830,3.45,3.5,3.45,3.45,5500,0
20050831,3.37,3.37,3.37,3.37,100,0
20050901,3.25,3.35,3.25,3.35,500,0
20050902,3.37,3.7,3.3,3.45,11300,0
20050906,3.53,3.53,3.53,3.53,400,0
20050907,3.5,3.55,3.5,3.55,500,0
20050908,3.5,3.6,3.5,3.5,6300,0
20050909,3.5,3.6,3.45,3.6,2300,0
20050912,3.5,3.5,3.45,3.5,4000,0
20050913,3.5,3.5,3.5,3.5,5300,0
20050915,3.45,3.5,3.45,3.5,5800,0
20050916,3.55,3.65,3.55,3.65,7800,0
20050920,3.6,3.6,3.6,3.6,500,0
20050921,3.6,3.6,3.55,3.55,1500,0
20050922,3.5,3.6,3.5,3.55,3300,0
20050927,3.52,3.52,3.52,3.52,500,0
20050929,3.5,3.55,3.46,3.5,2900,0
20051004,3.46,3.46,3.4,3.4,2300,0
20051005,3.4,3.4,3.4,3.4,100,0
20051006,3.35,3.35,3.25,3.25,2000,0
20051007,3.22,3.22,3.22,3.22,500,0
20051012,3.21,3.21,3.21,3.21,3000,0
20051014,3.2,3.2,3.2,3.2,400,0
20051024,3.25,3.25,3.11,3.15,3100,0
20051027,3.1,3.1,2.75,2.75,18900,0
20051028,2.75,2.9,2.75,2.85,4200,0
20051031,2.95,3,2.95,3,13000,0
20051101,3.12,3.2,3.12,3.2,2000,0
20051102,3.16,3.25,3.1,3.21,10200,0
20051103,3.3,3.33,3.1,3.1,10900,0
20051104,3.19,3.2,3.19,3.2,800,0
20051107,3.3,3.3,3.19,3.2,3300,0
20051108,3.25,3.29,3.2,3.29,3700,0
20051109,3.25,3.3,3.25,3.3,5700,0
20051110,3.3,3.34,3.3,3.34,4300,0
20051111,3.35,3.4,3.35,3.4,1100,0
20051115,3.31,3.31,3.28,3.28,3300,0
20051116,3.25,3.31,3.25,3.31,1800,0
20051118,3.25,3.27,3.25,3.27,1300,0
20051121,3.25,3.31,3.15,3.31,6500,0
20051122,3.31,3.31,3.31,3.31,3000,0
20051123,3.31,3.4,3.31,3.31,9300,0
20051128,3.31,3.36,3.31,3.36,2400,0
20051129,3.38,3.38,3.35,3.35,3600,0
20051130,3.35,3.35,3.34,3.35,4100,0
20051201,3.34,3.34,3.3,3.3,8500,0
20051202,3.23,3.24,3.15,3.15,7400,0
20051205,3.16,3.25,3.16,3.25,9000,0
20051206,3.2,3.2,3.1,3.1,2400,0
20051207,3.05,3.05,3,3.05,13000,0
20051208,3,3,2.85,2.91,6900,0
20051209,2.95,3,2.9,3,1000,0
20051212,2.75,2.78,2.75,2.78,13900,0
20051213,2.85,3,2.85,3,17900,0
20051214,3.05,3.05,3,3,1700,0
20051215,3,3.2,3,3.05,9200,0
20051216,3.05,3.05,2.95,2.96,5000,0
20051219,2.95,2.95,2.95,2.95,100,0
20051220,2.9,2.93,2.9,2.92,6500,0
20051222,2.94,3.04,2.94,3.04,1900,0
20051223,3,3.04,3,3.04,2200,0
20051227,3.04,3.04,3.03,3.03,300,0
20051229,3.01,3.05,3.01,3.03,6600,0
20060103,3.05,3.1,3.04,3.09,2300,0
20060104,3.1,3.22,3.1,3.22,4800,0
20060105,3.2,3.2,3.2,3.2,2000,0
20060106,3.22,3.22,3.2,3.2,1700,0
20060109,3.23,3.25,3.23,3.25,7500,0
20060110,3.25,3.25,3.25,3.25,100,0
20060111,3.24,3.25,3.24,3.25,3000,0
20060112,3.25,3.31,3.25,3.3,11300,0
20060113,3.3,3.4,3.3,3.4,11600,0
20060117,3.4,3.65,3.4,3.65,8400,0
20060118,3.65,3.65,3.63,3.65,2300,0
20060119,3.64,3.65,3.64,3.64,2000,0
20060120,3.64,3.64,3.6,3.6,5700,0
20060123,3.6,3.6,3.6,3.6,200,0
20060124,3.65,3.7,3.6,3.6,12400,0
20060125,3.72,3.72,3.6,3.65,3400,0
20060126,3.68,3.68,3.62,3.62,900,0
20060127,3.7,3.8,3.7,3.77,4200,0
20060130,3.85,4.4,3.85,4.34,22500,0
20060131,4.34,4.45,4.2,4.45,23000,0
20060201,4.36,4.36,4.28,4.31,12500,0
20060202,4.3,4.35,4.27,4.35,8500,0
20060203,4.45,4.65,4.45,4.65,10900,0
20060206,4.65,4.65,4.56,4.58,12200,0
20060207,4.6,4.6,4.12,4.12,17500,0
20060208,4.15,4.15,4,4,3400,0
20060209,4.09,4.09,4.09,4.09,200,0
20060210,3.95,3.95,3.95,3.95,2100,0
20060213,4,4,3.95,3.95,3000,0
20060214,3.96,3.98,3.96,3.98,300,0
20060215,4,4,3.99,4,900,0
20060216,3.91,3.91,3.91,3.91,300,0
20060217,4.05,4.1,4.05,4.1,1100,0
20060221,4.12,4.25,4.12,4.25,1300,0
20060222,4.2,4.2,4.2,4.2,700,0
20060223,4.27,4.27,4.05,4.05,9300,0
20060224,4.02,4.02,3.71,3.9,9100,0
20060227,3.85,4,3.84,3.99,7100,0
20060228,4,4.1,3.99,4,4200,0
20060301,3.96,4.1,3.96,4.06,20300,0
