Date,Open,High,Low,Close,Volume,OpenInt
20071221,45.195,45.94,45.195,45.94,93184,0
20071224,46.057,46.149,46.057,46.076,28084,0
20071226,46.066,46.193,46.039,46.183,148698,0
20071227,45.931,45.931,45.721,45.721,33705,0
20071228,45.64,45.64,45.522,45.548,28967,0
20071231,45.358,45.513,45.186,45.513,74677,0
20080102,45.486,45.503,44.596,44.968,136362,0
20080103,45.848,45.848,44.732,44.822,31831,0
20080104,45.903,45.903,43.942,43.951,36678,0
20080107,44.487,44.487,43.906,44.042,51439,0
20080108,45.385,45.385,43.534,43.624,88776,0
20080109,43.461,43.977,43.261,43.977,41086,0
20080110,42.634,44.685,42.634,44.478,29959,0
20080111,46.303,46.303,43.969,44.124,31943,0
20080114,45.821,45.821,44.033,44.278,19496,0
20080115,44.46,44.46,43.305,43.315,11234,0
20080116,43.333,43.506,43.033,43.461,11125,0
20080117,44.349,44.349,41.763,41.772,19937,0
20080118,44.451,44.451,40.963,41.608,15541,0
20080122,42.48,42.48,39.484,40.991,31061,0
20080123,40.447,42.289,40.048,42.044,44941,0
20080124,42.162,42.452,41.989,42.208,5726,0
20080125,44.624,44.624,41.581,41.581,30403,0
20080128,42.471,42.471,39.112,42.435,19165,0
20080129,44.195,44.195,42.68,42.98,7711,0
20080130,43.161,43.379,42.67,42.67,12448,0
20080131,41.98,43.624,41.98,43.224,19054,0
20080201,43.434,43.977,43.398,43.906,14319,0
20080204,45.231,45.231,43.496,43.496,33376,0
20080205,44.05,44.05,41.962,41.962,13987,0
20080206,42.462,42.462,41.727,41.727,18394,0
20080207,41.718,42.254,41.718,42.017,4405,0
20080208,41.863,41.928,41.318,41.518,27316,0
20080211,43.152,43.152,41.118,41.528,13657,0
20080212,41.918,43.033,41.863,42.017,88446,0
20080213,43.543,43.543,42.226,42.562,19385,0
20080214,44.169,44.169,42.008,42.008,72916,0
20080215,41.763,42.171,41.754,42.171,16851,0
20080219,44.732,44.732,42.035,42.116,17515,0
20080220,41.309,42.408,41.309,42.245,33594,0
20080221,42.444,42.444,41.763,41.781,99242,0
20080222,41.645,42.271,41.399,42.271,5178,0
20080225,43.96,43.96,42.143,42.888,13217,0
20080226,41.626,43.116,36.379,42.934,27426,0
20080227,42.852,43.216,42.835,43.007,13657,0
