Date,Open,High,Low,Close,Volume,OpenInt
20050225,3.4,3.46,3.29,3.45,107900,0
20050228,3.44,3.45,3.24,3.39,215600,0
20050301,3.2,3.39,3.2,3.33,105600,0
20050302,3.27,3.27,2.88,2.99,1269600,0
20050303,2.99,3.08,2.96,3.02,1026600,0
20050304,3.09,3.09,2.84,2.91,561600,0
20050307,2.92,2.94,2.82,2.83,206200,0
20050308,2.83,2.87,2.57,2.72,355700,0
20050309,2.65,2.84,2.56,2.83,409500,0
20050310,2.83,2.84,2.72,2.79,224600,0
20050311,2.79,3,2.79,2.92,388900,0
20050314,2.95,2.95,2.86,2.86,104100,0
20050315,2.92,2.95,2.84,2.94,272400,0
20050316,2.9,2.97,2.86,2.95,180200,0
20050317,2.94,2.97,2.8,2.81,165400,0
20050318,2.82,2.82,2.7,2.75,164100,0
20050321,2.75,2.84,2.65,2.83,125600,0
20050322,2.85,2.85,2.77,2.83,107900,0
20050323,2.81,2.85,2.77,2.84,107600,0
20050324,2.8,2.89,2.8,2.87,117800,0
20050328,2.89,2.9,2.82,2.87,41200,0
20050329,2.88,2.92,2.85,2.87,94500,0
20050330,2.93,3.08,2.86,3.08,205600,0
20050331,2.97,3.14,2.97,3.14,193600,0
20050401,3.14,3.18,3,3.15,186900,0
20050404,3.15,3.18,3.06,3.15,144800,0
20050405,3.1,3.15,3,3.11,132100,0
20050406,3.12,3.15,3.06,3.14,53000,0
20050407,3.14,3.2,3.14,3.18,191300,0
20050408,3.18,3.19,3.11,3.15,146900,0
20050411,3.11,3.15,2.99,3.07,137600,0
20050412,3,3.05,2.99,3.05,79800,0
20050413,3,3.01,2.9,2.93,93500,0
20050414,2.91,2.93,2.85,2.87,41300,0
20050415,2.85,2.86,2.8,2.85,46700,0
20050418,2.75,2.8,2.65,2.75,128100,0
20050419,2.69,2.75,2.63,2.7,53800,0
20050420,2.65,2.73,2.65,2.69,34600,0
20050421,2.69,2.73,2.62,2.73,48600,0
20050422,2.75,2.75,2.64,2.73,96600,0
20050425,2.7,2.74,2.65,2.7,82600,0
20050426,2.65,2.69,2.57,2.58,79500,0
20050427,2.45,2.48,2.3,2.4,399300,0
20050428,2.4,2.4,2.15,2.18,250800,0
20050429,2.15,2.4,2.1,2.39,232800,0
20050502,2.39,2.5,2.25,2.49,58700,0
20050503,2.46,2.46,2.29,2.42,148300,0
20050504,2.32,2.45,2.32,2.4,59000,0
20050505,2.45,2.6,2.45,2.58,140800,0
20050506,2.59,2.59,2.42,2.45,58700,0
20050509,2.4,2.5,2.4,2.45,59000,0
20050510,2.4,2.4,2.15,2.19,154700,0
