Date,Open,High,Low,Close,Volume,OpenInt
20050225,11.557,11.603,11.502,11.572,40931,0
20050228,11.664,11.664,11.527,11.54,80971,0
20050301,11.564,11.564,11.51,11.527,48178,0
20050302,11.54,11.54,11.502,11.527,38131,0
20050303,11.527,11.572,11.485,11.502,69279,0
20050304,11.485,11.564,11.485,11.527,30253,0
20050307,11.485,11.564,11.485,11.557,24276,0
20050308,11.519,11.564,11.453,11.51,55554,0
20050309,11.54,11.54,11.32,11.399,85555,0
20050310,11.368,11.413,11.329,11.391,63050,0
20050311,11.368,11.368,11.249,11.257,34830,0
20050314,11.257,11.257,11.125,11.125,37504,0
20050315,11.163,11.163,11.061,11.094,59363,0
20050316,11.021,11.069,10.972,10.996,80971,0
20050317,10.996,11.069,10.996,11.029,37623,0
20050318,11.053,11.069,10.98,10.98,59492,0
20050321,10.98,11.038,10.903,10.935,71691,0
20050322,10.941,10.964,10.866,10.888,34069,0
20050323,10.857,10.857,10.637,10.691,49831,0
20050324,10.653,10.706,10.63,10.668,48178,0
20050328,10.668,10.691,10.597,10.645,64704,0
20050329,10.676,10.683,10.605,10.605,34703,0
20050330,10.613,10.683,10.613,10.683,52118,0
20050331,10.744,10.896,10.744,10.896,48684,0
20050401,11.177,11.177,10.935,10.98,56059,0
20050404,10.98,11.045,10.903,10.988,49577,0
20050405,10.98,11.069,10.98,11.021,35976,0
20050406,11.045,11.101,11.021,11.101,19577,0
20050407,11.101,11.146,11.061,11.061,17798,0
20050408,11.085,11.085,10.927,10.927,40039,0
20050411,10.95,10.957,10.896,10.918,39410,0
20050412,10.927,10.957,10.888,10.957,21863,0
20050413,10.927,10.98,10.912,10.972,34450,0
20050414,10.98,10.988,10.918,10.918,29620,0
20050415,10.918,11.021,10.912,10.972,28601,0
20050418,10.972,11.038,10.941,11.038,38265,0
20050419,10.996,11.11,10.98,11.11,48819,0
20050420,11.11,11.11,10.996,11.061,20210,0
20050421,11.029,11.085,11.021,11.021,34194,0
20050422,11.061,11.077,11.021,11.077,39663,0
20050425,11.077,11.077,11.021,11.045,23140,0
20050426,11.029,11.077,11.021,11.069,28093,0
20050427,11.077,11.125,11.045,11.125,34069,0
20050428,11.085,11.171,11.085,11.155,19703,0
20050429,11.163,11.233,11.163,11.216,24914,0
20050502,11.241,11.257,11.177,11.257,60384,0
20050503,11.257,11.29,11.216,11.266,28093,0
20050504,11.266,11.313,11.257,11.282,23140,0
20050505,11.282,11.305,11.249,11.282,44869,0
20050506,11.177,11.233,11.155,11.224,35085,0
20050509,11.171,11.249,11.101,11.249,52628,0
20050510,11.216,11.313,11.216,11.257,100423,0
20050511,11.233,11.257,11.131,11.185,56059,0
20050512,11.233,11.241,11.171,11.233,38386,0
20050513,11.266,11.282,11.233,11.282,34450,0
20050516,11.29,11.313,11.241,11.282,44364,0
20050517,11.29,11.32,11.224,11.313,53644,0
20050518,11.32,11.337,11.29,11.329,61021,0
20050519,11.329,11.345,11.305,11.345,21992,0
20050520,11.345,11.36,11.29,11.29,35215,0
20050523,11.32,11.406,11.32,11.329,43732,0
20050524,11.329,11.519,11.29,11.368,98905,0
20050525,11.399,11.445,11.345,11.368,113393,0
20050526,11.368,11.406,11.313,11.32,34069,0
