Date,Open,High,Low,Close,Volume,OpenInt
20070613,23.455,23.757,23.426,23.757,27079,0
20070614,24.069,24.306,24.069,24.306,16714,0
20070615,24.438,24.523,24.438,24.523,41887,0
20070618,24.664,24.674,24.626,24.645,34271,0
20070619,24.486,24.58,24.448,24.58,106412,0
20070620,24.674,25.053,24.523,25.053,21156,0
20070621,24.353,25.005,24.334,24.438,104932,0
20070622,24.486,24.58,24.4,24.429,23904,0
20070625,24.344,24.486,24.277,24.296,15233,0
20070626,24.296,24.344,24.155,24.202,23904,0
20070627,24.06,24.344,23.956,24.344,44111,0
20070628,24.911,25.005,24.815,24.815,55852,0
20070629,24.911,24.958,24.721,24.721,28243,0
20070702,25.147,25.392,25.147,25.392,50666,0
20070703,25.525,25.573,25.525,25.573,32262,0
20070705,25.384,25.43,25.166,25.242,66428,0
20070706,25.261,25.525,25.261,25.525,79653,0
20070709,26.14,26.376,26.14,26.376,77219,0
20070710,26.376,26.518,26.376,26.423,94779,0
20070711,26.188,26.376,26.188,26.376,94567,0
20070712,26.611,26.801,26.611,26.801,87478,0
20070713,26.896,26.991,26.896,26.991,80816,0
20070716,26.991,27.038,26.755,26.755,77852,0
20070717,26.886,26.991,26.707,26.736,61564,0
20070718,26.413,26.47,26.234,26.47,51408,0
20070719,26.764,26.991,26.659,26.755,108104,0
20070720,26.716,26.755,26.29,26.376,99748,0
20070723,26.621,26.659,26.621,26.659,49188,0
20070724,26.546,26.659,25.563,25.932,79653,0
20070725,26.093,26.14,25.904,25.95,28772,0
20070726,25.629,25.666,24.796,25.242,53841,0
20070727,25.194,25.384,25.034,25.1,29301,0
20070730,25.242,25.506,25.185,25.43,41994,0
20070731,26.159,26.188,25.544,25.714,61142,0
20070801,25.328,25.337,24.911,25.194,72459,0
20070802,25.808,25.856,25.289,25.619,31522,0
20070803,25.356,25.43,24.664,24.853,67698,0
20070806,24.551,24.655,22.83,24.655,107893,0
20070807,25.194,25.666,25.043,25.657,24222,0
20070808,25.743,26.403,25.714,26.093,47388,0
20070809,25.629,26.188,25.629,26.045,17135,0
20070810,25.401,25.544,25.043,25.203,31733,0
20070813,25.213,25.43,24.863,25.043,16924,0
20070814,25.053,25.1,24.779,24.911,14597,0
20070815,23.871,24.05,23.625,23.729,30994,0
20070816,22.594,22.651,20.96,22.443,61667,0
20070817,22.925,23.114,22.877,22.877,39034,0
20070820,23.729,23.729,23.266,23.493,21261,0
20070821,23.285,23.351,23.133,23.314,15761,0
20070822,23.975,24.107,23.813,24.107,18406,0
20070823,24.391,24.438,23.936,24.107,21156,0
20070824,24.05,24.532,23.936,24.504,16607,0
20070827,24.721,24.863,24.467,24.815,39985,0
20070828,24.202,24.296,24.012,24.107,26021,0
20070829,23.871,24.012,23.634,24.012,31840,0
20070830,24.022,24.674,24.022,24.589,37551,0
20070831,24.721,24.911,24.721,24.815,11953,0
20070904,24.891,25.289,24.891,25.289,20203,0
20070905,25.005,25.053,24.834,24.844,24964,0
20070906,25.005,25.629,24.958,25.194,24117,0
20070907,24.645,24.721,24.58,24.645,16924,0
20070910,24.721,24.769,24.457,24.721,13327,0
20070911,24.769,25.005,24.741,24.996,25069,0
20070912,24.825,24.958,24.731,24.949,36809,0
20070913,24.75,24.769,24.438,24.684,19780,0
20070914,24.523,24.58,23.634,24.58,17982,0
20070917,24.467,24.486,24.229,24.229,12374,0
20070918,24.514,25.194,24.382,25.08,23059,0
20070919,25.837,25.95,25.638,25.808,22215,0
20070920,25.762,25.808,25.676,25.762,10154,0
20070921,26.054,26.28,25.96,26.28,21156,0
20070924,26.508,26.518,26.442,26.499,36074,0
20070925,26.188,26.432,26.131,26.432,24964,0
20070926,26.915,27.832,26.793,26.858,32157,0
20070927,27.076,27.086,27.001,27.086,83990,0
20070928,27.086,27.132,27.057,27.132,62515,0
20071001,27.226,27.832,27.226,27.463,55640,0
20071002,27.699,27.841,27.605,27.747,339230,0
20071003,27.369,27.52,27.331,27.52,90336,0
20071004,27.038,27.132,26.546,27.132,55111,0
20071005,27.274,27.558,27.179,27.558,32157,0
20071008,27.983,28.029,27.321,27.321,56062,0
20071009,27.17,27.51,27.122,27.405,51199,0
20071010,27.633,27.699,27.558,27.699,34165,0
20071011,28.058,28.21,27.491,27.633,62937,0
20071012,27.662,27.699,27.293,27.577,50032,0
20071015,27.965,27.983,27.548,27.548,55324,0
20071016,27.321,27.51,27.216,27.443,64104,0
20071017,27.889,27.983,27.841,27.983,31414,0
20071018,27.973,28.029,27.737,27.795,38185,0
20071019,27.851,28.039,27.274,27.274,41572,0
20071022,26.944,27.132,26.707,27.132,43050,0
20071023,27.956,27.983,27.822,27.927,63148,0
20071024,28.153,28.172,27.482,28.086,52360,0
20071025,28.408,28.408,28.125,28.248,43371,0
20071026,28.522,28.616,28.352,28.598,93507,0
20071029,29.118,29.288,28.966,29.288,86315,0
