Date,Open,High,Low,Close,Volume,OpenInt
20050623,14.322,14.322,14.162,14.162,25815,0
20050624,14.152,14.152,13.998,14.018,10703,0
20050627,13.998,14.028,13.989,14.018,2834,0
20050628,14.018,14.123,14.018,14.113,5877,0
20050629,14.113,14.113,14.065,14.075,6715,0
20050630,14.047,14.123,14.047,14.113,7137,0
20050701,14.113,14.113,14.056,14.065,1574,0
20050705,14.028,14.152,14.028,14.152,15215,0
20050706,14.152,14.152,14.152,14.152,1048,0
20050707,13.932,14.094,13.932,14.094,944,0
20050708,14.189,14.284,14.189,14.284,1363,0
20050711,14.294,14.361,14.294,14.351,1888,0
20050712,14.37,14.37,14.351,14.351,632,0
20050713,14.38,14.399,14.38,14.399,1048,0
20050714,14.437,14.455,14.341,14.341,41345,0
20050715,14.38,14.475,14.38,14.475,2727,0
20050718,14.465,14.465,14.409,14.428,7031,0
20050719,14.475,14.523,14.475,14.494,40925,0
20050720,14.494,14.494,14.409,14.494,5037,0
20050721,14.446,14.475,14.37,14.39,6822,0
20050722,14.37,14.399,14.341,14.399,6822,0
20050725,14.428,14.428,14.37,14.37,211,0
20050726,14.37,14.37,14.322,14.341,1888,0
20050727,14.322,14.322,14.275,14.312,5351,0
20050728,14.322,14.361,14.322,14.361,632,0
20050729,14.437,14.437,14.437,14.437,1048,0
20050801,14.455,14.455,14.409,14.409,6086,0
20050802,14.399,14.428,14.399,14.428,2100,0
20050803,14.351,14.38,14.351,14.38,1259,0
20050804,14.255,14.255,14.198,14.218,2100,0
20050805,14.152,14.152,14.113,14.113,419,0
20050808,14.018,14.018,13.95,13.95,1782,0
20050809,14.018,14.018,14.018,14.018,211,0
20050810,14.104,14.104,13.979,14.028,1468,0
20050811,14.037,14.037,13.989,13.989,1259,0
20050812,13.914,13.914,13.904,13.904,736,0
20050815,13.865,13.979,13.836,13.979,3149,0
20050816,13.817,13.817,13.799,13.799,1363,0
20050818,13.799,13.817,13.799,13.799,5457,0
20050819,13.827,13.827,13.78,13.78,6086,0
20050823,13.799,13.799,13.78,13.78,524,0
20050824,13.722,13.722,13.722,13.722,736,0
20050825,13.703,13.732,13.703,13.722,2938,0
20050826,13.703,13.703,13.675,13.675,1048,0
20050829,13.618,13.761,13.618,13.761,3675,0
20050830,13.703,13.703,13.57,13.57,315,0
20050831,13.693,13.693,13.693,13.693,103,0
20050901,13.789,13.827,13.742,13.742,8184,0
20050902,13.732,13.732,13.732,13.732,103,0
20050906,13.807,13.836,13.807,13.836,1157,0
20050907,13.875,13.914,13.865,13.914,5877,0
20050908,13.894,13.894,13.761,13.817,6822,0
20050909,13.836,13.885,13.827,13.885,8500,0
20050912,13.856,13.865,13.856,13.865,1259,0
20050913,13.799,13.799,13.713,13.799,4199,0
20050914,13.742,13.751,13.675,13.675,1468,0
20050915,13.684,13.742,13.684,13.713,1259,0
20050916,13.77,13.78,13.751,13.751,1363,0
20050919,13.722,13.722,13.675,13.675,632,0
20050920,13.703,13.713,13.56,13.56,2100,0
20050921,13.398,13.398,13.294,13.294,8082,0
20050922,13.294,13.361,13.246,13.361,2727,0
20050926,13.464,13.55,13.455,13.484,4406,0
20050927,13.503,13.608,13.493,13.608,10914,0
20050928,13.675,13.693,13.618,13.647,14690,0
20050929,13.675,13.732,13.55,13.732,11019,0
20050930,13.799,13.827,13.78,13.827,9025,0
20051003,13.807,13.885,13.807,13.827,7345,0
20051004,13.865,13.922,13.827,13.827,6715,0
20051005,13.827,13.827,13.657,13.657,6191,0
20051006,13.703,13.703,13.693,13.703,8290,0
20051007,13.751,13.751,13.703,13.713,524,0
20051010,13.713,13.713,13.628,13.628,101896,0
20051011,13.628,13.657,13.589,13.589,9234,0
20051012,13.628,13.628,13.55,13.55,736,0
20051013,13.531,13.589,13.531,13.589,315,0
20051014,13.637,13.637,13.628,13.628,2834,0
20051017,13.628,13.713,13.628,13.675,7452,0
20051018,13.713,13.751,13.713,13.713,6296,0
20051019,13.657,13.703,13.589,13.703,12906,0
20051020,13.807,13.807,13.618,13.628,2621,0
20051021,13.675,13.703,13.637,13.647,1157,0
20051024,13.713,13.827,13.713,13.817,7240,0
20051025,13.799,13.799,13.761,13.761,1259,0
20051026,13.789,13.789,13.647,13.647,6715,0
20051027,13.503,13.522,13.408,13.408,1363,0
20051028,13.531,13.637,13.531,13.637,5773,0
20051031,13.684,13.703,13.657,13.703,5982,0
20051101,13.675,13.713,13.637,13.637,7452,0
20051102,13.657,13.703,13.647,13.693,7031,0
20051103,13.751,13.78,13.684,13.684,35363,0
20051104,13.675,13.675,13.618,13.628,1468,0
20051107,13.657,13.657,13.589,13.589,2727,0
20051108,13.531,13.541,13.531,13.541,1782,0
20051109,13.531,13.589,13.531,13.579,1468,0
20051110,13.969,13.969,13.56,13.618,315,0
20051111,13.589,13.608,13.57,13.599,4199,0
20051114,13.579,13.579,13.55,13.55,3149,0
20051115,13.589,13.589,13.513,13.513,13327,0
20051116,13.531,13.531,13.474,13.474,3253,0
20051117,13.503,13.589,13.503,13.589,9443,0
20051118,13.608,13.665,13.608,13.665,2834,0
20051121,13.657,13.799,13.657,13.789,4406,0
20051122,13.807,13.856,13.807,13.856,3042,0
20051123,13.865,13.95,13.846,13.95,9550,0
20051128,13.941,13.941,13.875,13.894,11124,0
20051129,13.904,13.904,13.904,13.904,1679,0
20051130,13.914,13.941,13.807,13.807,6399,0
20051201,13.846,13.989,13.846,13.989,5141,0
20051202,13.979,14.008,13.95,14.008,13851,0
20051205,13.969,13.969,13.914,13.96,4199,0
20051206,13.922,13.922,13.922,13.922,6507,0
20051207,13.856,13.856,13.799,13.799,4406,0
20051208,13.846,13.846,13.846,13.846,211,0
20051209,13.894,13.914,13.885,13.914,2307,0
20051212,13.894,13.914,13.846,13.865,4301,0
20051213,13.865,13.894,13.865,13.875,3568,0
20051214,13.941,13.989,13.922,13.95,3988,0
20051215,13.875,13.894,13.856,13.875,5037,0
20051216,13.922,13.932,13.914,13.914,5351,0
20051219,13.885,13.885,13.875,13.875,3357,0
20051220,13.807,13.856,13.807,13.827,2938,0
20051221,13.904,13.914,13.827,13.827,4513,0
20051222,13.827,13.856,13.827,13.856,736,0
20051223,13.865,13.865,13.865,13.865,315,0
20051227,13.865,13.904,13.77,13.807,22455,0
20051228,13.789,13.799,13.77,13.78,2938,0
20051229,13.799,13.799,13.799,13.799,1782,0
20051230,13.684,13.713,13.665,13.693,8500,0
20060103,13.693,13.693,13.57,13.608,9340,0
20060104,13.703,13.761,13.675,13.732,2519,0
20060105,13.742,13.807,13.742,13.807,2727,0
20060106,13.807,13.807,13.77,13.799,2307,0
20060109,13.789,13.904,13.789,13.904,47747,0
20060110,13.904,13.904,13.856,13.894,7345,0
20060111,13.875,13.875,13.817,13.827,3568,0
20060112,13.817,13.904,13.799,13.875,4934,0
20060113,13.865,13.904,13.827,13.875,7974,0
20060117,13.817,13.846,13.799,13.807,4934,0
20060118,13.836,13.904,13.817,13.846,13956,0
20060119,13.885,13.914,13.885,13.914,2834,0
20060120,13.932,13.932,13.817,13.817,5247,0
20060123,13.827,13.914,13.827,13.875,2621,0
20060124,13.95,13.95,13.904,13.932,4513,0
20060125,13.95,13.95,13.865,13.865,5141,0
20060126,13.941,13.941,13.885,13.894,1888,0
20060127,13.922,14.008,13.922,13.998,4934,0
20060130,13.969,13.969,13.914,13.95,3465,0
20060131,13.969,14.028,13.969,14.018,2621,0
20060201,13.96,14.008,13.96,13.998,3568,0
20060202,13.979,13.998,13.904,13.95,4199,0
20060203,13.95,14.008,13.932,13.95,8919,0
20060206,13.969,13.969,13.914,13.941,5037,0
20060207,13.96,14.008,13.941,13.96,3988,0
20060208,13.96,13.989,13.865,13.989,8605,0
20060209,13.836,13.998,13.836,13.979,68000,0
20060210,13.904,13.904,13.856,13.894,1888,0
20060213,13.836,13.894,13.836,13.894,3465,0
20060214,13.914,14.008,13.904,13.989,3568,0
20060215,13.922,14.018,13.922,14.008,13013,0
20060216,14.008,14.123,14.008,14.123,2100,0
20060217,14.094,14.133,14.047,14.104,8290,0
20060221,14.143,14.143,14.075,14.113,27597,0
20060222,14.152,14.172,14.133,14.162,10493,0
20060223,14.189,14.236,14.123,14.218,5141,0
20060224,14.208,14.218,14.133,14.218,15846,0
20060227,14.275,14.312,14.255,14.255,14586,0
20060228,14.152,14.162,14.133,14.143,2834,0
20060301,14.172,14.198,14.104,14.189,4513,0
20060302,14.133,14.133,14.056,14.094,6611,0
20060303,14.085,14.152,14.018,14.075,6715,0
20060306,14.008,14.094,14.008,14.018,4199,0
20060307,14.047,14.047,13.998,14.018,7031,0
20060308,14.047,14.172,14.028,14.133,18154,0
20060309,14.123,14.181,14.123,14.143,34628,0
20060310,14.143,14.218,14.143,14.189,27704,0
20060313,14.218,14.218,14.162,14.162,1679,0
20060314,14.113,14.312,14.113,14.275,5247,0
20060315,14.226,14.332,14.226,14.332,3988,0
20060316,14.332,14.419,14.322,14.419,3777,0
20060317,14.428,14.465,14.419,14.455,2621,0
20060320,14.475,14.475,14.37,14.399,6399,0
20060321,14.428,14.465,14.38,14.38,3675,0
20060322,14.428,14.523,14.399,14.523,2519,0
20060323,14.513,14.513,14.409,14.484,3675,0
20060324,14.484,14.494,14.419,14.455,3357,0
20060327,14.465,14.475,14.446,14.475,4826,0
20060328,14.409,14.484,14.39,14.39,6191,0
20060329,14.437,14.504,14.37,14.465,6399,0
