Date,Open,High,Low,Close,Volume,OpenInt
20120720,17.424,17.424,17.288,17.297,72574,0
20120723,17.252,17.331,17.244,17.313,291373,0
20120724,17.32,17.339,17.19,17.233,131504,0
20120725,17.331,17.331,17.201,17.209,43993,0
20120726,17.279,17.305,17.244,17.305,69392,0
20120727,17.408,17.417,17.34,17.417,73348,0
20120730,17.476,17.485,17.391,17.417,83696,0
20120731,17.419,17.443,17.419,17.443,24275,0
20120801,17.553,17.553,17.4,17.424,115324,0
20120802,17.417,17.513,17.348,17.45,235514,0
20120803,17.485,17.495,17.467,17.485,38862,0
20120806,17.649,17.952,17.537,17.553,421861,0
20120807,17.607,17.667,17.521,17.545,226119,0
20120808,17.589,17.598,17.537,17.562,147848,0
20120809,17.684,17.684,17.571,17.607,119540,0
20120810,17.917,17.917,17.58,17.598,113600,0
20120813,17.607,17.616,17.562,17.571,130523,0
20120814,17.625,17.718,17.545,17.545,150311,0
20120815,17.625,17.625,17.537,17.571,117360,0
20120816,17.607,17.616,17.562,17.616,120818,0
20120817,17.634,17.675,17.607,17.675,115475,0
20120820,17.727,17.727,17.634,17.692,190109,0
20120821,17.675,17.675,17.553,17.625,121029,0
20120822,17.598,17.607,17.545,17.598,81153,0
20120823,17.598,17.598,17.537,17.589,96898,0
20120824,17.607,17.625,17.562,17.616,118934,0
20120827,17.616,17.649,17.589,17.643,120622,0
20120828,17.643,17.643,17.598,17.625,60591,0
20120829,17.658,17.667,17.634,17.667,55377,0
20120830,17.675,17.675,17.598,17.625,49941,0
20120831,17.733,17.733,17.629,17.672,127222,0
20120904,17.671,17.671,17.638,17.662,78850,0
20120905,17.671,17.713,17.662,17.713,72927,0
20120906,17.766,17.81,17.75,17.793,93192,0
20120907,17.832,17.884,17.814,17.867,55527,0
20120910,17.926,17.926,17.823,17.849,89871,0
20120911,17.884,17.884,17.814,17.814,57208,0
20120912,17.761,17.867,17.761,17.839,107988,0
20120913,17.867,17.944,17.839,17.944,70150,0
20120914,18.238,18.238,17.967,17.967,155692,0
20120917,18.324,18.324,17.918,17.944,122629,0
20120918,17.953,17.97,17.918,17.97,88242,0
20120919,17.97,18.022,17.962,17.986,299283,0
20120920,18.022,18.022,17.918,17.935,75918,0
20120921,18.001,18.001,17.905,17.941,111380,0
20120924,17.944,17.944,17.839,17.892,92619,0
20120925,17.918,17.918,17.805,17.832,77757,0
20120926,17.83,17.83,17.715,17.785,79262,0
20120927,17.838,17.838,17.794,17.821,100342,0
20120928,17.818,17.818,17.757,17.782,39551,0
20121001,17.732,17.837,17.732,17.775,64927,0
20121002,17.724,17.856,17.724,17.856,73260,0
20121003,17.776,17.891,17.776,17.873,49600,0
20121004,17.847,17.916,17.847,17.899,59032,0
20121005,17.941,17.992,17.914,17.941,69846,0
20121008,18.001,18.001,17.923,17.941,99203,0
20121009,17.941,17.959,17.863,17.905,138542,0
20121010,17.95,17.95,17.889,17.889,68959,0
20121011,17.959,17.967,17.889,17.889,130616,0
20121012,17.95,17.984,17.932,17.984,42772,0
20121015,18.001,18.001,17.905,17.914,60313,0
20121016,18.019,18.019,17.941,17.984,60880,0
20121017,18.054,18.054,17.984,18.037,81182,0
20121018,18.098,18.142,18.037,18.124,187201,0
20121019,18.205,18.205,18.031,18.057,67177,0
20121022,18.098,18.098,17.977,18.019,96590,0
20121023,17.996,17.996,17.884,17.9,143273,0
20121024,17.977,17.977,17.837,17.854,153462,0
20121025,17.967,17.967,17.854,17.863,89190,0
20121026,17.873,17.873,17.785,17.83,91722,0
20121031,17.549,18.259,17.549,18.099,151743,0
20121101,18.136,18.136,18.004,18.075,212569,0
20121102,18.188,18.188,18.013,18.022,37011,0
20121105,18.004,18.013,17.934,17.97,113887,0
20121106,17.971,18.033,17.971,18.024,75298,0
20121107,17.996,18.014,17.884,17.908,68220,0
20121108,17.926,17.935,17.838,17.838,65031,0
20121109,17.838,17.865,17.768,17.838,37425,0
20121112,17.865,17.865,17.794,17.856,61161,0
20121113,17.934,17.934,17.803,17.821,25984,0
20121114,17.907,17.907,17.524,17.575,463964,0
20121115,17.62,17.62,17.349,17.452,171294,0
20121116,17.592,17.611,17.417,17.602,109331,0
20121119,17.707,17.751,17.689,17.751,36377,0
20121120,17.715,17.776,17.689,17.776,49367,0
20121121,17.803,17.821,17.751,17.768,103547,0
20121123,17.794,17.866,17.794,17.831,13682,0
20121126,17.776,17.865,17.776,17.812,110003,0
20121127,17.847,17.873,17.803,17.83,38593,0
20121128,17.803,17.83,17.768,17.83,26560,0
20121129,17.83,17.907,17.83,17.907,67348,0
20121130,17.962,17.97,17.845,17.872,100547,0
20121203,17.987,18.068,17.777,17.777,51144,0
20121204,17.816,17.842,17.772,17.816,24757,0
20121205,17.822,17.831,17.752,17.794,217033,0
20121206,17.813,17.822,17.752,17.803,38371,0
20121207,17.794,17.838,17.794,17.838,25602,0
20121210,17.874,17.874,17.803,17.838,65669,0
20121211,17.892,17.892,17.803,17.803,35695,0
20121212,17.892,17.892,17.813,17.866,126434,0
20121213,17.866,17.866,17.768,17.813,71046,0
20121214,17.857,17.857,17.743,17.743,48167,0
20121217,17.838,17.866,17.76,17.794,76756,0
20121218,17.838,17.866,17.777,17.866,31580,0
20121219,17.935,18.005,17.918,17.971,351836,0
20121220,18.014,18.014,17.918,17.98,53641,0
20121221,17.971,18.049,17.908,17.962,282332,0
20121224,18.005,18.005,17.884,17.954,41297,0
20121226,17.996,17.996,17.892,17.962,60103,0
20121227,17.973,18.007,17.901,17.981,29796,0
20121228,18.061,18.061,17.963,18.016,41706,0
20121231,18.055,18.148,17.974,18.148,70146,0
20130102,18.203,18.265,18.159,18.175,69935,0
20130103,18.229,18.308,18.184,18.256,98035,0
20130104,18.282,18.316,18.238,18.299,98722,0
20130107,18.343,18.343,18.22,18.256,69960,0
20130108,18.282,18.316,18.229,18.275,557052,0
20130109,18.303,18.339,18.294,18.339,471070,0
20130110,18.385,18.404,18.313,18.385,124587,0
20130111,18.371,18.39,18.352,18.371,203954,0
20130114,18.399,18.399,18.343,18.362,70623,0
20130115,18.39,18.431,18.343,18.38,106479,0
20130116,18.38,18.39,18.275,18.308,108772,0
20130117,18.308,18.352,18.308,18.352,98468,0
20130118,18.395,18.404,18.339,18.404,110602,0
20130122,18.54,18.591,18.352,18.399,107952,0
20130123,18.406,18.406,18.359,18.359,103691,0
20130124,18.399,18.408,18.371,18.39,244108,0
20130125,18.395,18.421,18.376,18.421,141138,0
20130128,18.436,18.445,18.367,18.385,149007,0
20130129,18.404,18.404,18.339,18.348,88329,0
20130130,18.667,18.667,18.294,18.313,98609,0
20130131,18.299,18.308,18.282,18.291,144822,0
20130201,18.427,18.427,18.313,18.367,152120,0
20130204,18.367,18.454,18.251,18.287,45054,0
20130205,18.447,18.447,18.271,18.305,61922,0
20130206,18.35,18.35,18.288,18.332,46059,0
20130207,18.359,18.359,18.271,18.314,24605,0
20130208,18.422,18.422,18.295,18.322,41185,0
20130211,18.303,18.33,18.303,18.33,66514,0
20130212,18.367,18.367,18.313,18.367,45759,0
20130213,18.454,18.454,18.348,18.385,96202,0
20130214,18.294,18.357,18.251,18.251,71828,0
20130215,18.252,18.271,18.216,18.225,43902,0
20130219,18.206,18.279,18.206,18.26,49332,0
20130220,18.387,18.387,18.154,18.162,92087,0
20130221,18.153,18.153,18.046,18.099,94743,0
20130222,18.225,18.243,18.084,18.162,65649,0
20130225,18.198,18.215,18.099,18.099,27775,0
20130226,18.119,18.146,18.03,18.136,30576,0
20130227,18.18,18.199,18.128,18.199,70117,0
20130228,18.221,18.23,18.149,18.184,37145,0
20130301,18.243,18.243,18.056,18.119,64972,0
20130304,18.119,18.146,18.056,18.119,70901,0
20130305,18.158,18.239,18.15,18.184,83257,0
20130306,18.239,18.3,18.184,18.22,46317,0
20130307,18.257,18.257,18.194,18.23,79792,0
20130308,18.248,18.276,18.239,18.257,41184,0
20130311,18.262,18.262,18.207,18.262,79714,0
20130312,18.262,18.295,18.235,18.262,76047,0
20130313,18.235,18.271,18.19,18.271,27142,0
20130314,18.243,18.305,18.243,18.271,50775,0
20130315,18.31,18.328,18.257,18.31,40502,0
20130318,18.243,18.295,18.235,18.28,36443,0
20130319,18.305,18.359,18.207,18.235,59043,0
20130320,18.284,18.318,18.239,18.3,65128,0
20130321,18.239,18.31,18.239,18.292,42743,0
20130322,18.276,18.31,18.239,18.257,38048,0
20130325,18.292,18.292,18.23,18.257,66829,0
20130326,18.292,18.292,18.22,18.257,160737,0
20130327,18.284,18.284,18.23,18.257,35308,0
20130328,18.284,18.3,18.248,18.3,20408,0
20130401,18.365,18.419,18.239,18.257,95915,0
20130402,18.265,18.643,18.237,18.255,104935,0
20130403,18.346,18.346,18.203,18.239,90750,0
20130404,18.265,18.265,18.228,18.246,65652,0
20130405,18.248,18.318,18.14,18.239,55213,0
20130408,18.22,18.257,18.203,18.23,48306,0
20130409,18.239,18.3,18.203,18.257,161923,0
20130410,18.291,18.373,18.246,18.354,70329,0
20130411,18.402,18.435,18.328,18.426,77908,0
20130412,18.418,18.434,18.373,18.41,60115,0
20130415,18.419,18.419,18.248,18.276,103480,0
20130416,18.365,18.374,18.31,18.374,102449,0
20130417,18.401,18.434,18.274,18.317,56113,0
20130418,18.355,18.402,18.284,18.31,81119,0
20130419,18.643,18.643,18.317,18.344,30149,0
20130422,18.442,18.508,18.282,18.326,75944,0
20130423,18.344,18.382,18.344,18.373,83542,0
20130424,18.579,18.579,18.392,18.47,87614,0
20130425,18.579,18.579,18.479,18.536,124227,0
20130426,18.527,18.552,18.46,18.517,61083,0
20130429,18.579,18.615,18.527,18.605,95354,0
20130430,18.623,18.642,18.577,18.613,127314,0
20130501,18.652,18.678,18.562,18.579,157310,0
20130502,18.601,18.683,18.601,18.665,113750,0
20130503,18.769,18.787,18.696,18.769,235306,0
20130506,18.769,18.769,18.723,18.76,72868,0
20130507,18.728,18.82,18.719,18.82,51389,0
20130508,18.82,18.857,18.757,18.838,111037,0
20130509,18.866,18.882,18.829,18.866,104147,0
20130510,18.895,18.921,18.805,18.885,24372,0
20130513,18.769,18.885,18.652,18.777,95806,0
20130514,18.85,18.85,18.732,18.769,46190,0
20130515,18.687,18.787,18.661,18.76,72447,0
20130516,18.76,18.76,18.723,18.76,68527,0
20130517,18.757,18.866,18.757,18.866,179882,0
20130520,18.868,18.904,18.85,18.885,73296,0
20130521,18.904,18.921,18.85,18.913,43111,0
20130522,18.939,18.956,18.805,18.841,83008,0
20130523,18.742,18.742,18.634,18.742,48144,0
20130524,18.757,18.757,18.702,18.747,54024,0
20130528,18.838,18.857,18.757,18.757,37967,0
20130529,18.76,18.814,18.514,18.594,107543,0
20130530,18.522,18.702,18.522,18.674,58024,0
20130531,18.674,18.711,18.491,18.5,59781,0
20130603,18.484,18.513,18.259,18.339,80356,0
20130604,18.249,18.448,18.249,18.396,51838,0
20130605,18.438,18.438,18.184,18.268,86766,0
20130606,18.158,18.33,18.158,18.312,46175,0
20130607,18.312,18.414,18.312,18.358,30789,0
20130610,18.321,18.358,18.269,18.278,89688,0
20130611,18.222,18.222,17.995,17.995,73185,0
20130612,17.995,18.087,17.696,17.706,146738,0
20130613,17.679,18.05,17.598,17.995,129692,0
20130614,18.076,18.166,18.047,18.121,46447,0
20130617,18.241,18.303,18.141,18.151,43998,0
20130618,18.102,18.24,18.093,18.211,49785,0
20130619,18.159,18.367,18.033,18.033,25034,0
20130620,17.806,17.825,17.144,17.679,180163,0
20130621,17.62,17.748,17.573,17.646,72393,0
20130624,17.417,17.526,17.226,17.374,104563,0
20130625,17.501,17.554,17.236,17.52,41974,0
20130626,17.52,17.783,17.52,17.71,38517,0
20130627,17.857,17.948,17.838,17.919,26724,0
20130628,18.103,18.297,18.103,18.28,24691,0
20130701,18.211,18.211,17.976,18.021,70201,0
20130702,18.101,18.138,17.964,17.981,115835,0
20130703,18.032,18.032,17.885,17.929,8078,0
20130705,17.902,17.957,17.728,17.728,153970,0
20130708,17.701,17.82,17.646,17.701,52079,0
20130709,17.701,17.811,17.701,17.783,35225,0
20130710,17.728,17.875,17.692,17.857,46923,0
20130711,18.102,18.102,17.957,18.057,41107,0
20130712,18.057,18.121,17.992,17.992,37325,0
20130715,18.093,18.158,18.021,18.102,42347,0
20130716,18.046,18.093,18.019,18.075,28572,0
20130717,18.078,18.178,18.078,18.142,31393,0
20130718,18.194,18.204,18.093,18.175,19460,0
20130719,18.203,18.229,18.148,18.229,19266,0
20130722,18.268,18.312,18.194,18.24,42183,0
20130723,18.293,18.293,18.221,18.23,13969,0
20130724,18.184,18.221,18.076,18.139,158986,0
20130725,18.149,18.166,18.021,18.086,27204,0
20130726,18.009,18.165,18.009,18.129,11418,0
20130729,18.093,18.156,17.99,17.99,19420,0
20130730,18.037,18.084,18.019,18.037,13279,0
20130731,17.981,18.075,17.964,18,23804,0
20130801,18.012,18.04,17.902,17.919,47591,0
20130802,17.873,18.037,17.873,17.936,20812,0
20130805,17.891,17.99,17.891,17.891,53292,0
20130806,17.857,17.866,17.774,17.774,30857,0
20130807,17.772,17.79,17.735,17.735,35937,0
20130808,17.755,17.845,17.755,17.808,32773,0
20130809,17.735,17.918,17.735,17.854,30312,0
20130812,17.891,17.936,17.845,17.854,19807,0
20130813,17.845,17.864,17.707,17.707,39975,0
20130814,17.772,17.799,17.551,17.617,46167,0
20130815,17.526,17.534,17.333,17.415,61810,0
20130816,17.388,17.431,17.268,17.305,66088,0
20130819,17.203,17.297,17.079,17.079,64576,0
20130820,17.12,17.296,17.001,17.231,149292,0
20130821,17.087,17.297,17.012,17.213,229481,0
20130822,17.296,17.415,17.24,17.38,38601,0
20130823,17.388,17.561,17.342,17.535,22312,0
20130826,17.637,17.663,17.469,17.469,16124,0
20130827,17.517,17.526,17.388,17.388,71978,0
20130828,17.202,17.508,17.202,17.479,20350,0
20130829,17.535,17.571,17.451,17.561,24389,0
20130830,17.741,17.842,17.741,17.795,27380,0
20130903,17.508,17.608,17.423,17.479,26725,0
20130904,17.397,17.608,17.397,17.551,39267,0
20130905,17.571,17.618,17.489,17.489,16996,0
20130906,17.608,17.637,17.561,17.58,12456,0
20130909,17.645,17.672,17.589,17.608,39306,0
20130910,17.709,17.727,17.508,17.682,24592,0
20130911,17.756,17.756,17.618,17.69,44341,0
20130912,17.764,17.764,17.571,17.58,23497,0
20130913,17.663,17.663,17.551,17.58,19959,0
20130916,17.608,17.756,17.469,17.618,21857,0
20130917,17.645,17.727,17.637,17.69,21795,0
20130918,17.618,17.902,17.618,17.857,24528,0
20130919,17.993,18.003,17.782,17.782,13584,0
20130920,17.699,17.792,17.69,17.699,18257,0
20130923,17.756,17.774,17.628,17.628,45945,0
20130924,17.645,17.747,17.645,17.69,30391,0
20130925,17.672,17.747,17.672,17.699,24116,0
20130926,17.737,17.801,17.737,17.747,6203,0
20130927,17.747,17.81,17.654,17.654,42530,0
20130930,17.806,18.03,17.806,18.03,24196,0
20131001,17.659,17.937,17.659,17.761,10678,0
20131002,17.695,17.761,17.483,17.714,20905,0
20131003,17.714,17.714,17.65,17.659,20254,0
20131004,17.779,17.789,17.687,17.743,21447,0
20131007,17.807,17.807,17.659,17.659,33226,0
20131008,17.705,17.705,17.566,17.566,23204,0
20131009,17.594,17.594,17.538,17.594,13153,0
20131010,17.761,17.864,17.623,17.724,22135,0
20131011,17.779,17.779,17.687,17.743,37417,0
20131014,17.77,17.77,17.687,17.743,12612,0
20131015,17.779,17.779,17.613,17.613,25972,0
20131016,17.687,17.753,17.659,17.695,22429,0
20131017,17.743,17.873,17.724,17.798,63608,0
20131018,17.947,17.957,17.836,17.9,28388,0
20131021,17.975,18.011,17.891,17.891,20369,0
20131022,18.031,18.132,18.011,18.113,28404,0
20131023,18.168,18.168,17.992,18.095,23507,0
20131024,18.068,18.123,18.001,18.095,15742,0
20131025,18.031,18.113,18.001,18.077,24760,0
20131028,17.975,18.104,17.965,18.031,31642,0
20131029,17.975,18.123,17.957,18.011,89482,0
20131030,18.086,18.132,18.031,18.039,21794,0
20131031,18.124,18.283,18.105,18.217,25249,0
20131101,18.113,18.113,18.02,18.086,28542,0
20131104,18.132,18.132,18.077,18.095,6001,0
20131105,18.132,18.132,18.011,18.011,20621,0
20131106,18.095,18.095,17.991,17.991,19207,0
20131107,18.067,18.077,17.975,17.975,15802,0
20131108,17.853,18.03,17.853,17.956,50231,0
20131111,17.863,18.077,17.863,17.936,90588,0
20131112,17.853,17.982,17.853,17.965,24948,0
20131113,17.872,17.991,17.872,17.946,30698,0
20131114,17.843,18.02,17.797,17.956,31043,0
20131115,18.011,18.113,18.001,18.067,40529,0
20131118,17.991,18.132,17.991,18.067,24341,0
20131119,18.067,18.086,17.975,18.011,17681,0
20131120,18.104,18.132,17.946,17.946,15162,0
20131121,17.882,18.039,17.797,17.956,67708,0
20131122,17.89,18.104,17.89,18.104,20240,0
20131125,18.104,18.104,18.011,18.086,26632,0
20131126,18.132,18.132,18.02,18.02,20855,0
20131127,17.946,18.123,17.946,18.048,309210,0
20131129,18.208,18.217,18.143,18.161,9574,0
20131202,18.124,18.169,17.956,17.956,38727,0
20131203,17.991,18.011,17.927,17.936,32286,0
20131204,18.001,18.001,17.834,17.843,58960,0
20131205,17.918,17.918,17.712,17.76,46249,0
20131206,17.899,17.899,17.712,17.751,25919,0
20131209,17.834,17.881,17.741,17.741,49242,0
20131210,17.806,17.843,17.712,17.712,35893,0
20131211,17.656,17.721,17.6,17.61,101660,0
20131212,17.6,17.6,17.498,17.535,55409,0
20131213,17.59,17.61,17.498,17.562,41527,0
20131216,17.508,17.694,17.508,17.6,40213,0
20131217,17.527,17.684,17.527,17.572,32981,0
20131218,17.543,17.712,17.543,17.666,105705,0
20131219,17.684,17.712,17.562,17.666,38789,0
20131220,17.751,17.76,17.656,17.731,61911,0
20131223,17.76,17.777,17.59,17.666,48897,0
20131224,17.62,17.751,17.62,17.741,25002,0
20131226,17.527,17.721,17.527,17.64,113617,0
20131227,17.753,17.779,17.647,17.685,84744,0
20131230,17.631,17.713,17.631,17.695,167445,0
20131231,17.713,17.77,17.647,17.761,70384,0
20140102,17.695,17.856,17.695,17.837,14541,0
20140103,17.789,17.96,17.789,17.902,34459,0
20140106,18.025,18.1,17.987,18.063,11390,0
20140107,18.043,18.148,17.995,18.092,64525,0
20140108,18.1,18.119,18.063,18.073,27115,0
20140109,18.157,18.166,18.083,18.138,32794,0
20140110,18.157,18.316,18.157,18.316,21696,0
20140113,18.364,18.374,18.289,18.326,9998,0
20140114,18.271,18.374,18.261,18.261,15451,0
20140115,18.345,18.374,18.297,18.345,22506,0
20140116,18.429,18.438,18.307,18.335,28786,0
20140117,18.422,18.448,18.374,18.413,19045,0
20140121,18.553,18.553,18.335,18.364,48933,0
20140122,18.354,18.506,18.354,18.506,92289,0
20140123,18.413,18.476,18.394,18.413,17604,0
20140124,18.326,18.374,18.242,18.251,20884,0
20140127,18.242,18.307,18.185,18.251,9540,0
20140128,18.251,18.404,18.251,18.394,40968,0
20140129,18.326,18.384,18.289,18.326,14594,0
20140130,18.374,18.458,18.374,18.429,13159,0
20140131,18.404,18.429,18.335,18.422,36190,0
20140203,18.364,18.422,18.222,18.222,24405,0
20140204,18.296,18.296,18.232,18.242,32444,0
20140205,18.222,18.27,18.212,18.26,14002,0
20140206,18.296,18.413,18.288,18.374,61089,0
20140207,18.448,18.477,18.374,18.413,63005,0
20140210,18.448,18.497,18.413,18.422,132976,0
20140211,18.413,18.581,18.404,18.581,127006,0
20140212,18.553,18.59,18.517,18.536,123256,0
20140213,18.563,18.695,18.477,18.676,96094,0
20140214,18.619,18.781,18.619,18.743,47026,0
20140218,18.808,18.808,18.743,18.781,45086,0
20140219,18.837,18.837,18.753,18.753,11792,0
20140220,18.837,18.847,18.762,18.799,71577,0
20140221,18.781,18.866,18.762,18.847,20880,0
20140224,18.884,18.884,18.818,18.857,50348,0
20140225,18.828,18.847,18.743,18.789,10479,0
20140226,18.866,18.874,18.789,18.789,47741,0
20140227,18.828,18.884,18.828,18.874,11557,0
20140228,18.894,18.922,18.866,18.922,22342,0
20140303,18.988,18.988,18.78,18.884,17064,0
20140304,18.959,18.959,18.884,18.922,116838,0
20140305,18.884,18.951,18.572,18.941,30255,0
20140306,18.988,18.998,18.894,18.969,99632,0
20140307,18.959,19.017,18.874,18.969,53641,0
20140310,18.998,18.998,18.847,18.866,26537,0
20140311,18.959,18.959,18.866,18.932,12878,0
20140312,18.857,18.998,18.857,18.979,40961,0
20140313,19.008,19.046,18.979,18.988,20653,0
20140314,19.094,19.094,19.017,19.036,3932,0
20140317,19.094,19.178,19.094,19.152,131727,0
20140318,19.103,19.245,19.103,19.188,117989,0
20140319,19.142,19.275,19.084,19.122,74789,0
20140320,18.922,19.178,18.922,19.178,19558,0
20140321,19.178,19.304,19.16,19.235,464493,0
20140324,19.188,19.359,19.16,19.275,937289,0
20140325,19.321,19.321,19.215,19.294,76216,0
20140326,19.304,19.304,19.265,19.294,50846,0
20140327,19.369,19.369,19.265,19.304,15057,0
20140328,19.304,19.379,19.304,19.349,79179,0
20140331,19.359,19.471,19.329,19.409,30604,0
20140401,19.365,19.405,19.308,19.345,45901,0
20140402,19.424,19.424,19.385,19.415,21118,0
20140403,19.452,19.452,19.317,19.443,33729,0
20140404,19.395,19.478,19.345,19.415,15829,0
20140407,19.508,19.508,19.405,19.415,193042,0
20140408,19.478,19.478,19.395,19.452,21458,0
20140409,19.478,19.478,19.405,19.459,41836,0
20140410,19.468,19.528,19.415,19.459,23703,0
20140411,19.478,19.478,19.395,19.424,25236,0
20140414,19.468,19.478,19.424,19.468,46627,0
20140415,19.468,19.468,19.405,19.468,22532,0
20140416,19.468,19.538,19.405,19.488,78466,0
20140417,19.547,19.585,19.488,19.547,27966,0
20140421,19.468,19.518,19.452,19.459,36081,0
20140422,19.478,19.567,19.459,19.478,57551,0
20140423,19.547,19.595,19.508,19.557,69318,0
20140424,19.604,19.624,19.508,19.604,50177,0
20140425,19.624,19.624,19.528,19.567,37509,0
20140428,19.672,19.766,19.624,19.729,83463,0
20140429,19.805,19.805,19.701,19.776,83720,0
20140430,19.834,19.853,19.739,19.853,37582,0
20140501,19.928,19.928,19.841,19.879,50307,0
20140502,19.928,20.1,19.783,19.783,44769,0
20140505,19.831,19.898,19.783,19.898,64696,0
20140506,19.831,19.889,19.831,19.841,26461,0
20140507,19.898,19.898,19.831,19.87,36491,0
20140508,19.898,19.898,19.841,19.85,35646,0
20140509,19.86,19.87,19.735,19.802,31048,0
20140512,19.87,19.87,19.792,19.822,66398,0
20140513,19.889,19.889,19.85,19.879,51535,0
20140514,19.889,19.908,19.87,19.908,28964,0
20140515,19.889,19.908,19.812,19.86,33226,0
20140516,19.879,19.879,19.841,19.879,14327,0
20140519,19.86,19.908,19.812,19.908,37728,0
20140520,19.908,19.928,19.822,19.87,54590,0
20140521,19.928,19.928,19.841,19.879,21361,0
20140522,20.687,20.687,19.822,19.841,33452,0
20140523,19.831,19.87,19.744,19.87,29475,0
20140527,19.898,19.898,19.812,19.87,23524,0
20140528,19.822,19.889,19.812,19.822,81632,0
20140529,19.879,19.918,19.831,19.908,44209,0
20140530,19.86,19.947,19.86,19.889,33709,0
20140602,19.992,19.992,19.926,19.935,33304,0
20140603,19.926,19.945,19.81,19.839,36486,0
20140604,19.973,19.973,19.501,19.637,91561,0
20140605,19.588,19.771,19.56,19.752,29631,0
20140606,19.82,19.848,19.752,19.781,32423,0
20140609,19.703,19.829,19.703,19.781,27760,0
20140610,19.703,19.771,19.665,19.684,28956,0
20140611,19.656,19.752,19.57,19.588,83896,0
20140612,19.588,19.713,19.56,19.713,22210,0
20140613,19.791,19.791,19.617,19.665,26112,0
20140616,19.665,19.722,19.647,19.656,27067,0
20140617,19.703,19.781,19.665,19.771,29793,0
20140618,19.82,19.868,19.752,19.858,24641,0
20140619,19.897,19.926,19.839,19.897,52080,0
20140620,19.992,19.992,19.848,19.926,31597,0
20140623,19.935,19.964,19.887,19.935,33598,0
20140624,19.983,19.983,19.897,19.916,16402,0
20140625,19.916,19.964,19.906,19.964,22190,0
20140626,19.992,20.213,19.906,20.002,15959,0
20140627,19.964,20.031,19.964,20.012,32366,0
20140630,19.964,20.061,19.964,20.041,36766,0
20140701,20.138,20.138,19.953,20.061,18531,0
20140702,20.002,20.119,20.002,20.061,36114,0
20140703,20.1,20.1,19.944,19.982,18514,0
20140707,19.925,20.061,19.925,19.972,21395,0
20140708,19.953,19.982,19.953,19.963,18536,0
20140709,19.982,20.012,19.953,20.012,14923,0
20140710,20.002,20.012,19.982,20.012,17763,0
20140711,19.953,20.09,19.934,20.08,211151,0
20140714,20.158,20.178,20.041,20.08,32667,0
20140715,20.148,20.196,20.071,20.148,43825,0
20140716,20.187,20.274,20.119,20.148,18509,0
20140717,20.119,20.158,19.925,20.041,31173,0
20140718,20.002,20.129,20.002,20.1,24415,0
20140721,20.168,20.215,20.1,20.119,39876,0
20140722,20.215,20.215,20.051,20.1,20776,0
20140723,20.168,20.264,20.09,20.09,140688,0
20140724,20.148,20.148,20.09,20.119,13863,0
20140725,20.129,20.148,20.08,20.148,15410,0
20140728,20.178,20.196,20.08,20.178,31362,0
20140729,20.129,20.205,20.119,20.178,24147,0
20140730,20.187,20.187,20.08,20.109,40584,0
20140731,20.071,20.071,19.837,19.837,29135,0
20140801,19.814,19.969,19.687,19.715,62199,0
20140804,19.824,19.93,19.668,19.706,28714,0
20140805,19.814,19.814,19.599,19.628,57046,0
20140806,19.608,19.911,19.599,19.638,24364,0
20140807,19.725,19.814,19.697,19.755,34068,0
20140808,19.842,19.862,19.785,19.833,15484,0
20140811,19.93,19.998,19.862,19.892,20188,0
20140812,19.901,19.921,19.833,19.833,28084,0
20140813,19.882,19.94,19.852,19.94,22354,0
20140814,20.028,20.126,19.988,20.068,79765,0
20140815,20.106,20.126,20.018,20.106,18780,0
20140818,20.106,20.165,20.087,20.165,16229,0
20140819,20.106,20.165,20.106,20.165,12710,0
20140820,20.184,20.231,20.087,20.212,16136,0
20140821,20.175,20.222,20.126,20.145,49631,0
