Date,Open,High,Low,Close,Volume,OpenInt
20130625,22.823,22.823,22.823,22.823,1070,0
20130626,22.882,22.939,22.882,22.891,3519,0
20130627,23.029,23.048,23.021,23.048,2991,0
20130628,23.104,24.966,23.046,23.056,7094,0
20130701,23.106,23.114,23.106,23.114,636,0
20130702,23.021,23.134,22.939,23.134,639,0
20130703,23.046,23.142,23.009,23.009,2289,0
20130705,23.153,23.173,23.143,23.143,2267,0
20130708,23.114,23.114,23.058,23.086,5017,0
20130709,23.134,23.134,23.077,23.077,606,0
20130710,23.143,23.273,22.939,22.967,10852,0
20130711,23.048,23.192,23.048,23.192,1612,0
20130712,23.435,23.435,23.182,23.182,1083,0
20130715,23.106,23.23,23.106,23.23,485,0
20130716,23.359,23.368,23.32,23.368,9395,0
20130717,23.358,23.358,23.309,23.348,7898,0
20130718,23.387,23.425,23.387,23.425,3837,0
20130719,23.415,23.425,23.31,23.425,5607,0
20130722,23.32,23.415,23.32,23.387,4158,0
20130723,23.444,23.492,23.415,23.492,4568,0
20130724,23.444,23.444,23.405,23.444,4060,0
20130725,23.415,23.415,23.397,23.405,4624,0
20130726,23.397,23.444,23.397,23.405,4492,0
20130729,23.397,23.415,23.339,23.339,1111,0
20130730,23.359,23.359,23.359,23.359,1524,0
20130731,23.339,23.339,23.329,23.329,1121,0
20130801,23.348,23.358,23.348,23.358,3764,0
20130805,23.415,23.415,22.911,23.397,7787,0
20130806,23.424,23.424,23.396,23.424,4010,0
20130807,23.349,23.425,23.349,23.425,2347,0
20130808,23.444,23.444,23.435,23.444,2881,0
20130809,23.464,23.464,23.397,23.397,5548,0
20130812,23.33,23.33,23.31,23.31,3931,0
20130813,23.293,23.415,23.293,23.303,5214,0
20130814,23.32,23.33,23.257,23.32,8428,0
20130815,23.367,23.386,23.367,23.386,1949,0
20130816,23.367,23.367,23.309,23.367,3742,0
20130819,23.415,23.424,23.247,23.386,5733,0
20130820,23.339,23.367,23.329,23.367,2688,0
20130821,23.348,23.348,23.339,23.348,5405,0
20130822,23.329,23.396,23.319,23.396,5059,0
20130823,23.463,23.472,23.386,23.415,2174,0
20130826,23.415,23.415,23.386,23.386,718,0
20130827,23.413,23.413,23.403,23.413,656,0
20130828,23.348,23.348,23.309,23.339,4272,0
