Date,Open,High,Low,Close,Volume,OpenInt
20080305,24.656,25.035,24.578,24.869,255503,0
20080306,24.578,24.647,23.692,23.692,160847,0
20080307,23.138,23.458,23.031,23.225,110280,0
20080310,23.429,23.663,22.661,22.69,174720,0
20080311,24.519,25.259,24.373,25.21,145120,0
20080312,24.676,24.676,24.091,24.091,98049,0
20080313,22.904,23.449,22.767,23.429,98255,0
20080314,23.955,23.955,22.728,23.031,95273,0
20080317,22.35,22.379,21.65,22.193,71326,0
20080318,22.476,23.225,21.892,23.177,117063,0
20080319,23.04,23.04,21.97,21.97,56734,0
20080320,22.193,22.524,21.717,22.524,64234,0
20080324,22.728,23.586,22.728,23.273,65880,0
20080325,24.383,24.549,24.16,24.442,65263,0
20080326,24.285,24.285,23.839,23.926,104317,0
20080327,24.256,24.295,23.799,23.878,29496,0
20080328,24.781,24.781,24.187,24.207,116036,0
20080331,23.488,24.042,23.38,23.868,188389,0
20080401,23.868,24.695,23.868,24.617,118605,0
20080402,24.032,24.101,23.741,23.965,79654,0
20080403,23.721,24.023,23.721,23.993,87053,0
20080404,23.429,23.517,23.196,23.361,70093,0
20080407,23.878,24.081,23.75,23.858,77389,0
20080408,23.634,23.634,23.38,23.566,71429,0
20080409,23.839,23.839,23.351,23.458,45427,0
20080410,23.741,23.77,23.458,23.731,34431,0
20080411,23.341,23.527,23.216,23.312,71945,0
20080414,23.216,23.244,23.07,23.206,33710,0
20080415,24.598,24.723,24.13,24.519,71822,0
20080416,24.82,25.2,24.713,25.2,156824,0
20080417,24.996,25.026,24.627,24.869,161176,0
20080418,25.288,25.58,25.259,25.482,130892,0
20080421,25.19,25.531,25.19,25.531,46910,0
20080422,25.395,25.424,25.055,25.229,181309,0
20080423,25.337,25.531,25.055,25.511,62364,0
20080424,25.531,25.862,25.132,25.676,114313,0
20080425,25.882,26.126,25.676,25.988,100123,0
20080428,25.803,25.833,25.58,25.695,73159,0
20080429,26.221,26.221,25.735,25.911,64175,0
20080430,26.037,26.155,25.784,25.96,98938,0
20080501,25.735,26.495,25.735,26.348,119862,0
20080502,26.475,26.544,26.192,26.416,171309,0
20080505,26.348,26.348,25.969,26.086,34808,0
20080506,25.639,25.96,25.434,25.96,85961,0
20080507,25.57,25.648,24.81,24.908,55003,0
20080508,24.849,24.898,24.578,24.762,47956,0
20080509,24.509,24.598,24.324,24.383,27400,0
20080512,24.324,24.471,24.081,24.461,73768,0
20080513,24.111,24.111,23.75,23.974,74158,0
20080514,24.285,24.422,24.13,24.226,65145,0
20080515,24.471,24.888,24.383,24.879,30358,0
20080516,24.83,24.83,24.49,24.685,125828,0
20080519,24.704,25.132,24.704,24.849,52789,0
20080520,24.578,24.578,24.111,24.256,67615,0
20080521,24.344,24.452,23.887,23.965,38472,0
20080522,23.935,24.072,23.75,23.945,72292,0
20080523,23.711,23.721,23.312,23.331,148907,0
20080527,22.992,23.244,22.943,23.244,44517,0
20080528,23.39,23.517,23.312,23.39,77301,0
20080529,23.099,23.644,23.05,23.527,128305,0
20080530,23.624,23.906,23.468,23.868,127824,0
20080602,23.478,23.498,22.632,22.855,147775,0
20080603,22.845,22.914,22.399,22.573,28419,0
20080604,22.107,22.232,21.901,21.989,94446,0
20080605,22.437,22.708,22.193,22.69,62427,0
20080606,22.087,22.087,21.504,21.513,68535,0
20080609,21.425,21.601,21.269,21.396,110327,0
20080610,21.075,21.259,21.026,21.094,61575,0
20080611,21.406,21.406,20.724,20.744,99820,0
20080612,21.259,21.804,21.259,21.64,47124,0
20080613,21.581,21.795,21.416,21.795,44771,0
20080616,21.61,21.747,21.552,21.63,17368,0
20080617,22.223,22.223,21.823,21.892,37686,0
20080618,21.61,21.61,21.318,21.532,82828,0
20080619,21.542,21.542,21.143,21.474,36024,0
20080620,20.637,20.637,20.219,20.306,68039,0
20080623,20.229,20.316,19.947,20.005,59959,0
20080624,19.635,19.732,19.343,19.46,170829,0
20080625,19.712,20.393,19.712,20.19,188728,0
20080626,20.063,20.141,19.392,19.45,200860,0
20080627,19.265,19.518,18.894,19.245,96300,0
20080630,18.973,19.091,18.72,18.789,97101,0
20080701,18.059,18.409,17.776,18.409,102713,0
20080702,19.216,19.265,18.536,18.536,133489,0
20080703,18.526,18.672,18.117,18.487,135526,0
20080707,18.973,19.071,18.497,18.663,48619,0
20080708,18.924,19.178,18.487,19.178,131055,0
20080709,19.655,19.684,19.032,19.032,94834,0
20080710,19.363,19.557,19.245,19.44,113850,0
20080711,18.846,18.914,18.409,18.672,106320,0
20080714,18.855,19.051,18.536,18.584,92138,0
20080715,18.477,18.477,17.494,18.04,147729,0
20080716,18.078,18.584,17.991,18.564,86536,0
20080717,18.855,19.12,18.468,19.051,226338,0
20080718,19.363,19.363,19.1,19.206,104863,0
20080721,19.343,19.392,19.158,19.226,77847,0
20080722,19.664,20.413,19.45,20.413,174793,0
20080723,21.298,21.357,20.91,21.308,180814,0
20080724,21.191,21.191,20.219,20.306,77846,0
20080725,20.286,20.511,20.278,20.452,83775,0
20080728,20.364,20.481,19.878,19.878,20665,0
20080729,19.693,20.278,19.693,20.278,55999,0
20080730,20.609,20.793,20.374,20.491,130990,0
20080731,20.258,20.393,20.043,20.102,24074,0
20080801,20.627,20.832,20.413,20.773,64523,0
20080804,20.871,20.871,20.383,20.773,34683,0
20080805,21.259,21.882,21.22,21.882,40332,0
20080806,21.455,21.833,21.376,21.698,122530,0
20080807,21.406,21.425,20.997,21.065,53115,0
20080808,21.318,21.95,21.249,21.872,93251,0
20080811,21.94,22.203,21.785,21.989,165782,0
20080812,21.474,21.474,21.007,21.114,74516,0
20080813,20.92,21.026,20.734,21.026,83433,0
20080814,20.278,20.978,20.268,20.822,110553,0
20080815,20.871,20.9,20.637,20.822,24173,0
20080818,20.344,20.344,19.684,19.829,30324,0
20080819,19.956,19.956,19.528,19.8,33025,0
20080820,20.063,20.238,19.888,20.238,24824,0
20080821,19.586,19.79,19.469,19.712,43816,0
20080822,19.8,20.19,19.8,20.19,9240,0
20080825,19.741,19.741,19.324,19.353,74137,0
20080826,19.655,19.868,19.566,19.655,77791,0
20080827,19.693,19.849,19.674,19.703,25275,0
20080828,19.324,19.674,19.226,19.664,51397,0
20080829,19.809,19.809,19.528,19.655,17231,0
20080902,20.471,20.471,19.927,19.947,25773,0
20080903,20.354,20.354,19.898,20.092,27505,0
20080904,19.8,19.8,19.168,19.168,29888,0
20080905,19.265,19.586,18.953,19.586,42089,0
20080908,19.976,20.025,19.363,19.382,25347,0
20080909,19.78,19.78,18.817,18.817,25342,0
20080910,19.363,19.363,18.953,19.061,26650,0
20080911,18.497,18.904,18.272,18.904,47938,0
20080912,17.952,18.574,17.952,18.409,51344,0
20080915,17.406,17.612,17.038,17.066,80093,0
20080916,16.336,17.261,16.336,17.232,62672,0
20080917,16.492,16.725,15.966,16.064,79178,0
