Date,Open,High,Low,Close,Volume,OpenInt
20121226,23.786,23.786,23.778,23.778,1265,0
20121227,23.637,23.637,23.59,23.619,38313,0
20121228,23.619,23.619,23.561,23.561,56822,0
20121231,23.566,23.766,23.566,23.766,12690,0
20130102,24.331,24.331,24.256,24.256,7376,0
20130103,24.417,24.474,24.361,24.361,8096,0
20130104,24.55,24.598,24.427,24.598,8936,0
20130107,24.636,24.636,24.494,24.503,12143,0
20130108,24.379,24.465,24.379,24.465,10576,0
20130109,24.522,24.522,24.484,24.503,22918,0
20130110,24.693,25.681,24.531,24.531,4416,0
20130111,24.617,24.711,24.617,24.711,35285,0
20130114,24.693,24.711,24.683,24.711,23003,0
20130115,24.674,25.263,24.636,24.779,3780,0
20130116,24.731,24.779,24.731,24.779,3224,0
20130117,24.798,24.968,24.798,24.912,19659,0
20130118,24.864,24.864,24.864,24.864,157,0
20130122,24.987,25.149,24.978,25.149,53256,0
20130123,25.088,25.126,25.088,25.126,17137,0
20130124,25.321,25.321,25.244,25.244,5258,0
20130125,25.263,25.331,25.235,25.331,31881,0
20130128,25.263,25.341,25.263,25.321,10224,0
20130129,25.341,25.425,25.341,25.425,21719,0
20130130,25.483,25.483,25.331,25.341,86428,0
20130131,25.357,25.393,25.328,25.338,46689,0
20130201,25.454,25.957,25.435,25.529,15559,0
20130204,25.235,25.377,24.835,25.282,32020,0
20130205,25.451,25.499,25.376,25.481,14524,0
20130206,25.393,25.509,25.393,25.509,42756,0
20130207,25.471,25.471,25.308,25.308,17894,0
20130208,25.509,25.575,25.509,25.556,16472,0
20130211,25.548,25.616,25.548,25.616,28016,0
20130212,25.587,25.672,25.587,25.664,28369,0
20130213,25.672,25.701,25.664,25.664,3023,0
20130214,25.626,26.063,25.626,25.672,29531,0
20130215,25.766,25.766,25.689,25.689,10499,0
20130219,25.92,25.92,25.92,25.92,1288,0
20130220,25.919,25.919,25.919,25.919,9987,0
20130221,25.521,25.558,25.521,25.521,118698,0
20130222,25.689,25.747,25.669,25.718,73502,0
20130225,25.824,25.882,25.474,25.474,18730,0
20130226,25.521,25.521,25.369,25.435,15151,0
20130227,25.795,25.928,25.795,25.928,16032,0
20130228,25.912,25.988,25.874,25.874,51809,0
20130301,26.042,26.042,25.757,25.899,48587,0
20130304,25.965,26.034,25.909,26.034,10013,0
20130305,26.214,26.347,26.214,26.29,39896,0
20130306,26.366,26.366,26.261,26.281,42586,0
20130307,26.357,26.386,26.319,26.347,37121,0
20130308,26.404,26.49,26.376,26.462,18072,0
20130311,26.472,26.557,26.442,26.557,20719,0
20130312,26.615,26.615,26.547,26.615,15615,0
20130313,26.538,26.653,26.538,26.653,103437,0
20130314,27.062,27.062,26.7,26.766,55706,0
20130315,26.843,26.843,26.738,26.776,31230,0
20130318,26.69,26.805,26.69,26.805,733,0
20130319,26.776,26.786,26.633,26.643,46999,0
20130320,26.786,26.824,26.766,26.815,52349,0
20130321,26.748,26.776,26.681,26.681,14198,0
20130322,26.786,26.805,26.766,26.805,17529,0
20130325,26.834,27.072,26.738,26.738,12549,0
20130326,26.89,26.919,26.881,26.919,12221,0
20130327,26.862,26.977,26.862,26.958,16926,0
20130328,26.995,27.091,26.995,27.082,43474,0
20130401,26.929,26.977,26.909,26.948,31492,0
20130402,27.082,27.111,26.948,26.948,36507,0
20130403,26.958,26.958,26.738,26.824,21348,0
20130404,26.909,26.939,26.872,26.939,37148,0
20130405,26.662,26.843,26.643,26.843,93768,0
20130408,26.834,27.024,26.834,27.024,31053,0
20130409,27.043,27.196,27.043,27.138,26267,0
20130410,27.272,27.453,27.272,27.453,16491,0
20130411,27.462,27.576,27.453,27.576,41807,0
20130412,27.462,27.472,27.424,27.443,11266,0
20130415,27.262,27.281,26.977,26.977,14650,0
20130416,27.015,27.111,27.005,27.072,26692,0
20130417,26.815,27.158,26.662,26.796,21035,0
20130418,26.757,26.776,26.643,26.7,38099,0
20130419,26.776,26.948,26.738,26.948,15810,0
