Date,Open,High,Low,Close,Volume,OpenInt
20070504,42.887,42.887,42.651,42.651,11460,0
20070507,42.818,42.818,42.818,42.818,2294,0
20070508,42.896,42.896,42.896,42.896,232,0
20070509,42.835,42.835,42.835,42.835,2294,0
20070510,43.368,43.368,43.096,43.096,9168,0
20070511,44.528,44.666,44.362,44.666,3437,0
20070515,44.99,44.99,44.99,44.99,1147,0
20070522,43.141,43.141,43.141,43.141,1147,0
20070523,43.28,43.28,43.28,43.28,460,0
20070525,44.318,44.318,44.013,44.013,8022,0
20070529,45.802,46.177,45.723,46.177,36672,0
20070530,46.177,47.023,46.177,47.023,3780,0
20070531,47.223,47.223,46.631,46.631,7910,0
20070601,46.892,46.937,46.526,46.526,11573,0
20070604,46.814,46.814,46.762,46.762,6533,0
20070605,46.499,46.499,46.499,46.499,2294,0
20070607,44.894,44.894,44.755,44.755,8022,0
20070611,43.943,44.806,43.943,44.806,347,0
20070613,45.523,45.523,44.17,44.422,6991,0
20070619,44.422,44.422,44.422,44.422,116,0
20070621,43.288,43.288,43.288,43.288,2294,0
20070625,43.62,43.699,43.167,43.167,50423,0
20070628,43.978,43.978,43.978,43.978,2294,0
20070710,43.865,43.865,43.865,43.865,1147,0
20070711,43.078,43.078,43.078,43.078,460,0
20070712,43.411,43.629,43.323,43.629,3210,0
20070719,43.726,43.726,43.726,43.726,116,0
20070720,43.332,43.332,42.756,42.896,917,0
20070723,42.913,42.913,42.225,42.225,3325,0
20070724,42.015,42.843,42.015,42.843,686,0
20070725,40.871,41.212,40.871,41.02,1493,0
20070726,40.121,40.339,40.096,40.165,9510,0
20070727,39.344,39.467,39.039,39.039,460,0
20070730,38.647,39.197,38.647,39.197,6878,0
20070731,39.554,39.676,38.847,38.847,5385,0
20070801,38.446,39.492,38.097,39.492,18908,0
20070802,39.492,40.024,39.492,39.982,2862,0
20070803,39.161,39.327,38.507,38.507,8135,0
20070806,38.027,38.838,37.896,38.838,72888,0
20070807,39.117,39.117,39.117,39.117,2637,0
20070809,40.837,40.986,40.323,40.323,5385,0
20070810,39.737,39.851,39.737,39.746,8022,0
20070814,38.603,38.603,38.29,38.29,347,0
20070815,37.8,37.878,37.8,37.878,1378,0
20070816,37.914,38.202,37.582,38.202,3094,0
20070817,40.409,40.409,39.624,40.356,1147,0
20070821,41.099,41.108,40.915,40.932,33580,0
20070822,41.141,41.141,40.986,41.003,6878,0
20070823,40.828,40.854,40.828,40.854,2637,0
20070827,40.314,40.314,40.314,40.314,1147,0
20070828,39.702,39.702,39.702,39.702,2637,0
20070829,39.702,39.702,39.702,39.702,232,0
20070904,40.802,40.802,40.785,40.785,6878,0
20070905,40.618,40.618,40.4,40.4,2409,0
20070910,39.318,39.318,39.318,39.318,232,0
20070913,40.663,40.663,40.663,40.663,347,0
20070919,42.084,42.084,42.084,42.084,2294,0
20070921,41.702,41.702,41.613,41.613,6878,0
20070927,41.944,42.033,41.849,41.849,8022,0
20070928,41.657,41.657,41.657,41.657,5156,0
20071001,41.806,41.806,41.806,41.806,4585,0
20071003,42.347,42.591,42.302,42.495,11116,0
20071004,42.687,42.773,42.512,42.756,20631,0
20071005,43.036,43.646,42.992,43.646,11116,0
20071008,43.49,43.49,42.922,43.01,18908,0
20071009,42.756,42.756,42.756,42.756,232,0
20071010,43.087,43.087,43.087,43.087,232,0
20071011,43.237,43.237,43.105,43.105,2063,0
20071012,42.582,42.582,42.582,42.582,232,0
20071015,41.788,41.788,41.43,41.43,2525,0
20071016,41.012,41.177,40.54,40.54,11920,0
20071017,40.672,40.672,39.458,39.624,1261,0
20071018,40.156,40.173,40.156,40.165,460,0
20071019,40.069,40.069,39.545,39.545,2862,0
20071022,38.751,38.986,38.751,38.97,6991,0
20071023,39.737,39.755,39.737,39.755,3210,0
20071024,41.361,41.403,39.179,39.37,3894,0
20071025,39.615,39.615,39.248,39.484,4815,0
20071026,38.647,40.182,38.647,40.182,347,0
20071030,40.95,40.95,39.947,39.947,347,0
20071031,40.923,41.072,40.339,41.063,12491,0
20071101,40.314,40.47,39.424,39.424,10083,0
20071102,39.048,39.048,37.956,37.956,7564,0
20071105,37.757,37.757,37.757,37.757,116,0
20071106,37.059,37.503,37.059,37.503,686,0
20071107,37.251,37.251,37.059,37.059,1261,0
20071108,36.414,36.482,35.976,36.055,3094,0
20071109,35.863,36.761,35.863,36.761,460,0
20071112,36.491,36.744,36.491,36.744,347,0
20071114,37.914,37.914,37.783,37.783,5844,0
20071119,35.95,35.95,35.767,35.767,4815,0
20071120,34.911,34.911,34.911,34.911,2294,0
20071121,34.676,34.712,34.502,34.712,2749,0
20071123,35.034,35.81,35.034,35.81,2525,0
20071126,34.467,34.467,34.467,34.467,116,0
20071127,33.708,34.301,33.708,34.301,9743,0
20071128,34.991,35.225,34.86,35.225,9053,0
20071129,34.834,34.834,34.834,34.834,116,0
20071130,36.291,36.291,35.916,36.055,5616,0
20071203,35.523,35.688,35.514,35.688,1147,0
20071204,34.885,34.885,34.712,34.712,570,0
20071205,35.452,35.733,35.452,35.733,8251,0
20071206,36.343,37.119,36.343,37.119,3094,0
