Date,Open,High,Low,Close,Volume,OpenInt
20130611,23.578,23.578,23.568,23.568,2321,0
20130612,23.34,23.34,23.34,23.34,418,0
20130614,23.266,23.34,23.266,23.276,3931,0
20130617,23.34,23.34,23.294,23.294,1005,0
20130618,23.294,23.512,23.217,23.217,12058,0
20130619,23.143,23.143,23.143,23.143,100,0
20130620,23.038,23.038,22.895,22.895,5049,0
20130621,22.505,22.544,22.39,22.544,7572,0
20130624,22.156,22.156,22.156,22.156,1125,0
20130625,21.764,21.764,21.764,21.764,100,0
20130626,21.859,21.869,21.84,21.869,12752,0
20130627,22.248,22.248,22.144,22.144,2538,0
20130628,22.382,22.382,22.313,22.313,1878,0
20130701,22.038,22.038,22.038,22.038,1156,0
20130702,22.077,22.125,22.077,22.125,1533,0
20130709,22.076,22.096,21.896,21.896,418,0
20130715,21.915,21.915,21.915,21.915,950,0
20130717,21.89,21.89,21.777,21.777,592,0
20130718,21.859,21.886,21.822,21.886,526,0
20130723,21.657,21.657,21.657,21.657,100,0
20130724,21.546,21.63,21.423,21.423,2436,0
20130725,21.423,21.423,21.423,21.423,100,0
20130726,21.469,21.582,21.469,21.582,1156,0
20130729,21.869,21.869,21.869,21.869,238,0
20130805,21.545,21.545,21.545,21.545,217,0
20130808,21.725,21.725,21.725,21.725,100,0
20130809,21.715,21.715,21.629,21.629,570,0
20130815,21.295,21.393,20.903,20.991,12103,0
20130816,20.962,20.962,20.962,20.962,467,0
20130819,21.059,21.059,21.059,21.059,217,0
20130820,21.002,21.002,20.648,20.648,2966,0
20130821,20.59,20.59,20.534,20.534,18523,0
20130822,21.012,21.012,20.792,20.792,417,0
20130823,20.914,20.914,20.914,20.914,217,0
20130826,20.773,20.773,20.773,20.773,1153,0
20130827,20.533,20.543,20.533,20.543,2415,0
20130828,21.287,21.287,20.677,20.677,3252,0
20130830,21.15,21.209,20.967,20.967,9410,0
20130903,20.677,20.726,20.668,20.677,1989,0
20130904,20.782,20.933,20.552,20.552,10461,0
20130905,20.59,20.59,20.382,20.382,14853,0
20130906,20.428,20.648,20.428,20.476,13494,0
20130909,20.6,20.6,20.495,20.505,13180,0
20130910,20.717,20.717,20.457,20.457,26153,0
20130911,20.736,20.736,20.523,20.533,25105,0
20130912,20.707,20.707,20.6,20.6,2510,0
20130913,20.963,21.04,20.858,20.904,12763,0
20130916,21.185,21.185,20.933,21.05,2196,0
20130917,21.012,21.012,20.914,20.992,2981,0
20130918,21.098,21.098,21.098,21.098,1361,0
20130919,21.268,21.336,21.268,21.268,3767,0
20130920,21.414,21.414,21.385,21.385,521,0
20130923,21.306,21.336,21.306,21.336,2732,0
20130924,21.385,21.385,21.213,21.248,8892,0
20130925,21.277,21.277,21.268,21.268,2588,0
20130926,21.326,21.987,21.326,21.882,113189,0
20130927,21.509,21.987,21.509,21.937,833,0
20130930,22.096,22.194,21.961,21.991,2590,0
20131001,21.864,21.864,21.729,21.729,2087,0
20131002,21.817,21.874,21.719,21.797,78942,0
20131004,21.826,21.826,21.826,21.826,315,0
20131008,21.845,21.845,21.845,21.845,518,0
20131009,21.807,21.807,21.797,21.797,3545,0
20131010,21.575,21.719,21.575,21.719,1166,0
20131011,21.66,21.836,21.66,21.807,8551,0
20131014,21.787,21.787,21.67,21.719,3857,0
20131015,21.883,21.883,21.739,21.826,1563,0
20131016,21.787,21.864,21.632,21.797,12513,0
20131017,21.651,21.69,21.651,21.69,518,0
20131018,21.758,21.758,21.69,21.69,1875,0
20131021,21.719,21.719,21.719,21.719,315,0
20131022,21.864,21.864,21.826,21.836,2189,0
20131023,21.883,21.883,21.807,21.807,3232,0
20131024,22.055,22.313,21.891,22.219,54254,0
20131025,22.419,22.419,22.352,22.391,4338,0
20131028,22.448,22.476,22.332,22.476,18193,0
20131029,22.525,22.525,22.486,22.486,2087,0
20131030,22.486,22.486,22.486,22.486,1044,0
20131031,22.694,22.694,22.664,22.674,3627,0
20131101,22.608,22.636,22.502,22.589,16178,0
20131104,22.57,22.579,22.551,22.56,35099,0
20131105,22.512,22.512,22.415,22.415,5888,0
20131106,22.367,22.387,22.348,22.367,13198,0
20131107,22.405,22.551,22.396,22.463,12578,0
20131108,22.328,22.338,22.318,22.338,7567,0
20131111,22.348,22.435,22.279,22.298,11675,0
20131112,22.328,22.328,22.288,22.308,12890,0
20131113,22.288,22.377,22.288,22.377,5344,0
20131114,22.318,22.444,22.318,22.338,33187,0
20131115,22.415,22.415,22.405,22.405,2546,0
20131118,22.387,22.453,22.387,22.425,8462,0
20131119,22.435,22.453,22.415,22.444,9460,0
20131120,22.522,22.522,22.415,22.415,5965,0
20131121,22.405,22.405,22.377,22.377,6238,0
20131122,22.288,22.288,22.288,22.288,519,0
20131125,22.377,22.425,22.358,22.425,3338,0
20131127,22.444,22.444,22.444,22.444,4677,0
20131202,22.347,22.405,22.347,22.357,868,0
20131204,22.318,22.318,22.298,22.298,6010,0
20131206,22.232,22.232,22.185,22.205,2844,0
20131209,22.288,22.288,22.269,22.269,275,0
20131210,22.298,22.298,22.242,22.288,4904,0
20131211,22.318,22.318,22.318,22.318,100,0
20131212,22.415,22.415,22.318,22.318,934,0
20131213,22.387,22.396,22.357,22.396,1249,0
20131217,22.396,22.396,22.396,22.396,1037,0
20131218,22.251,22.435,22.251,22.318,4923,0
20131219,22.242,22.242,22.242,22.242,668,0
20131223,22.298,22.347,22.288,22.288,726,0
20131226,22.367,22.367,22.357,22.357,1136,0
20131230,22.396,22.502,22.396,22.492,2556,0
20140102,22.435,22.435,22.387,22.387,864,0
20140103,22.396,22.396,22.387,22.387,1198,0
20140106,22.396,22.405,22.396,22.405,563,0
20140107,22.482,22.482,22.454,22.454,3424,0
20140108,22.482,22.482,22.482,22.482,1227,0
20140109,22.502,22.502,22.502,22.502,1136,0
20140110,22.646,22.705,22.646,22.705,18804,0
20140115,22.801,22.801,22.745,22.792,9404,0
20140116,22.821,22.821,22.782,22.782,1446,0
20140117,22.861,22.929,22.861,22.861,312,0
20140121,22.958,22.958,22.889,22.948,1498,0
20140122,22.967,22.976,22.919,22.958,14153,0
20140123,23.064,23.064,23.064,23.064,1592,0
20140124,23.083,23.083,23.034,23.034,1524,0
20140127,23.093,23.093,23.083,23.083,3103,0
20140128,23.141,23.169,23.141,23.169,4557,0
20140129,23.141,23.141,23.044,23.131,13329,0
20140130,23.044,23.044,23.034,23.034,3410,0
20140131,23.044,23.044,23.044,23.044,1380,0
20140203,23.073,23.073,23.073,23.073,211,0
20140204,23.19,23.2,23.064,23.2,6874,0
20140205,23.21,23.21,23.122,23.122,1936,0
20140207,23.21,23.21,23.083,23.083,1502,0
20140214,23.073,23.073,23.073,23.073,728,0
20140218,23.239,23.239,23.152,23.239,211,0
20140220,23.249,23.268,23.249,23.268,11127,0
20140221,23.268,23.278,23.268,23.268,3194,0
20140224,23.268,23.268,23.268,23.268,211,0
20140225,23.258,23.258,23.258,23.258,1031,0
20140226,23.306,23.384,23.306,23.384,2574,0
20140227,23.472,23.472,23.472,23.472,9932,0
20140228,23.462,23.53,23.462,23.53,1498,0
20140305,23.413,23.423,23.209,23.209,4830,0
