Date,Open,High,Low,Close,Volume,OpenInt
20081113,21.075,22.415,21.075,21.075,8294,0
20081117,20.362,20.362,20.072,20.072,1869,0
20081118,18.953,18.953,18.953,18.953,152,0
20081119,17.949,17.949,17.949,17.949,100,0
20081120,16.435,16.435,16.137,16.137,207,0
20081124,16.435,16.435,16.435,16.435,100,0
20081125,19.396,19.396,18.789,18.973,3111,0
20081201,19.59,19.59,19.59,19.59,261,0
20081202,18.538,18.538,18.538,18.538,100,0
20081203,19.782,19.782,19.039,19.474,4405,0
20081204,20.323,20.447,20.323,20.447,519,0
20081205,10.986,20.939,10.986,20.939,1555,0
20081208,20.167,22.233,18.344,22.223,4333,0
20081209,22.686,22.686,22.56,22.667,881,0
20081210,21.104,21.104,21.104,21.104,100,0
20081211,20.872,20.93,20.872,20.93,519,0
20081212,19.974,19.974,19.551,19.637,2361,0
20081215,19.311,19.686,19.311,19.396,364,0
20081216,20.216,21.306,20.216,21.306,1037,0
20081218,21.779,21.779,21.172,21.172,1190,0
20081219,20.661,21.162,20.524,20.534,55642,0
20081222,20.514,20.67,19.86,19.86,24676,0
20081223,19.715,19.715,19.715,19.715,100,0
20081226,19.782,19.792,19.782,19.792,11406,0
20081231,20.69,20.959,20.69,20.959,4262,0
20090105,21.5,21.701,21.5,21.653,3786,0
20090106,21.943,21.943,21.943,21.943,207,0
20090107,21.47,21.47,21.47,21.47,2072,0
20090108,20.641,20.641,20.641,20.641,313,0
20090112,19.841,19.841,18.422,18.606,11255,0
20090115,17.709,17.825,16.677,17.265,14541,0
20090116,17.13,17.13,15.915,16.541,8716,0
20090120,15.683,15.683,15.066,15.133,641,0
20090121,14.805,14.805,14.622,14.622,415,0
20090122,14.602,15.192,14.565,14.565,1166,0
20090123,16.339,16.339,15.259,15.259,1658,0
20090126,15.413,15.451,15.374,15.451,2283,0
20090129,17.197,17.256,17.054,17.207,2643,0
20090130,16.368,16.435,15.646,15.683,1477,0
20090202,15.818,15.818,15.818,15.818,2072,0
20090203,15.693,15.693,15.674,15.674,3366,0
20090204,15.655,15.655,15.655,15.655,4976,0
20090206,16.619,16.619,16.358,16.561,8890,0
20090209,17.236,17.284,17.236,17.284,4250,0
20090210,17.168,17.168,15.288,15.288,4437,0
20090211,15.905,15.992,15.905,15.962,9332,0
20090212,15.636,15.702,15.636,15.693,6738,0
20090213,15.799,15.876,15.568,15.568,15759,0
20090217,14.574,14.574,14.179,14.179,8707,0
20090218,13.792,13.792,13.792,13.792,5183,0
20090219,13.706,13.706,13.706,13.706,1037,0
20090220,12.346,12.819,12.018,12.809,11716,0
20090223,13.09,13.099,12.54,12.606,10262,0
20090224,12.211,12.567,12.211,12.567,4624,0
20090226,14.151,14.555,13.84,13.84,2937,0
20090227,12.693,12.982,12.693,12.827,15528,0
20090302,12.076,12.086,12.057,12.086,11145,0
20090303,12.027,12.027,11.372,11.372,727,0
20090305,11.102,11.102,10.263,10.263,5288,0
20090306,10.533,10.533,10.003,10.155,15995,0
20090309,10.117,10.117,10.117,10.117,207,0
20090310,11.69,11.69,11.69,11.69,207,0
20090311,12.317,12.443,12.317,12.443,5496,0
20090312,12.317,13.696,12.25,13.696,2488,0
20090313,14.092,14.092,13.908,13.928,3993,0
20090316,14.459,14.844,14.102,14.102,7828,0
20090318,15.529,16.28,15.529,16.088,4141,0
20090319,16.996,16.996,15.133,15.133,11232,0
20090320,15.153,15.153,14.68,14.68,207,0
20090323,15.655,16.147,15.48,16.147,63918,0
20090324,16.098,17.101,16.069,16.069,7393,0
20090325,16.725,16.918,15.529,15.529,4384,0
20090326,16.898,16.898,16.241,16.27,2461,0
20090327,16.224,17.631,16.049,16.108,2723,0
20090330,15.278,15.278,14.488,14.488,1919,0
20090331,14.999,15.441,14.883,15.441,1606,0
20090401,15.288,15.587,15.288,15.587,415,0
20090402,16.561,16.561,16.059,16.059,2643,0
20090403,16.166,16.667,15.933,16.657,9862,0
20090406,16.28,16.28,16.28,16.28,313,0
20090407,15.982,15.982,15.982,15.982,727,0
20090408,16.28,16.28,15.982,16.176,3421,0
20090409,28.762,28.762,17.323,18.587,4145,0
20090413,18.163,19.927,18.105,19.725,6051,0
20090414,19.513,19.812,18.568,18.934,4430,0
20090415,18.056,19.165,18.046,19.165,5080,0
20090416,19.204,19.56,19.145,19.551,2230,0
20090417,19.474,19.888,19.058,19.888,4309,0
20090420,18.509,18.509,17.439,17.439,2810,0
20090421,16.059,18.325,16.059,18.22,5008,0
20090422,18.046,18.693,18.007,18.606,10638,0
20090423,18.211,18.403,17.815,18.403,6584,0
20090424,18.568,19.165,18.412,19.165,6232,0
20090427,18.635,18.635,18.344,18.403,3943,0
20090428,17.748,18.268,17.748,18.095,1649,0
20090429,18.47,18.875,18.47,18.789,4536,0
20090430,19.415,19.444,19.049,19.135,6567,0
20090501,18.973,18.973,18.769,18.798,1658,0
20090504,19.272,20.062,19.272,20.062,727,0
20090505,20.661,20.757,20.399,20.534,2325,0
20090506,21.529,22.407,21.201,22.135,13167,0
20090507,23.988,23.988,21.509,21.895,5100,0
20090508,23.255,23.39,22.443,23.39,6438,0
20090511,24.99,24.99,22.009,22.048,7363,0
20090512,21.49,22.184,21.016,21.422,7792,0
20090513,20.69,20.69,20.062,20.158,8087,0
20090514,20.68,21.201,20.68,21.075,5262,0
20090515,21.085,21.114,20.514,20.592,3266,0
20090518,21.124,22.078,21.124,22.078,2905,0
20090519,21.895,22.339,21.77,21.77,3408,0
20090520,22.378,22.378,21.153,21.239,24112,0
20090521,20.91,21.374,20.891,21.114,5764,0
20090522,21.172,21.258,21.153,21.181,1929,0
20090526,21.594,21.594,21.461,21.549,1244,0
20090527,21.828,21.828,21.046,21.046,11942,0
20090528,21.239,21.701,21.239,21.701,2637,0
