Date,Open,High,Low,Close,Volume,OpenInt
20100830,16.954,17.389,16.59,17.389,2864,0
20100907,17.298,17.298,17.298,17.298,4294,0
20100910,17.117,17.117,16.98,16.98,882,0
20100915,17.207,17.508,17.207,17.508,3523,0
20100916,17.48,17.48,17.48,17.48,1101,0
20100920,17.707,17.707,17.707,17.707,882,0
20100921,17.571,17.571,17.571,17.571,315,0
20100928,17.526,17.971,17.526,17.798,1377,0
20100929,17.707,17.707,17.253,17.253,991,0
20100930,17.253,17.253,17.043,17.081,438,0
20101004,17.48,17.907,17.48,17.907,551,0
20101005,17.707,17.707,17.707,17.707,221,0
20101007,17.516,17.516,17.435,17.435,1885,0
20101012,17.253,17.253,17.081,17.081,363,0
20101015,16.744,17.48,16.744,17.226,657996,0
20101019,17.471,17.471,17.471,17.471,995,0
20101020,17.689,17.689,17.662,17.662,8288,0
20101025,17.444,17.48,17.444,17.48,1982,0
20101026,17.68,17.68,17.68,17.68,551,0
20101101,17.671,17.68,17.671,17.671,11233,0
20101102,17.671,17.671,17.444,17.444,9251,0
20101104,17.435,17.435,17.435,17.435,13216,0
20101105,17.207,17.207,16.59,16.599,2534,0
20101108,16.99,17.344,16.99,17.253,4240,0
20101109,17.298,17.298,17.298,17.298,2642,0
20101115,17.526,17.752,17.526,17.752,551,0
20101117,17.98,17.98,17.09,17.09,770,0
20101118,17.317,18.162,17.317,18.162,4514,0
20101126,18.525,18.597,18.162,18.162,438,0
20101129,17.798,17.798,17.707,17.707,991,0
20101130,17.889,17.926,17.889,17.926,330,0
20101203,17.471,17.471,16.954,17.062,3635,0
20101207,16.98,16.98,16.98,16.98,221,0
20101209,16.864,16.864,16.864,16.864,221,0
20101213,16.864,16.864,16.344,16.363,551,0
20101214,16.618,16.845,16.618,16.799,551,0
20101215,17.117,17.752,17.117,17.435,804,0
20101217,17.253,17.253,17.253,17.253,221,0
20101221,17.435,17.435,17.253,17.253,221,0
20101222,16.799,17.026,16.344,17.026,661,0
20101223,16.571,16.571,16.445,16.445,495,0
