Date,Open,High,Low,Close,Volume,OpenInt
20091103,21.674,22.068,21.656,22.051,213867,0
20091104,22.372,22.498,22.238,22.3,128414,0
20091105,22.65,22.731,22.462,22.587,104241,0
20091106,22.561,23.178,22.381,22.695,183212,0
20091109,23.17,23.402,23.07,23.366,260806,0
20091110,23.214,23.259,23.017,23.178,182468,0
20091111,23.447,23.5,23.187,23.25,309958,0
20091112,23.295,23.304,22.829,22.91,147572,0
20091113,23.142,23.286,22.919,23.196,129210,0
20091116,23.429,23.716,23.393,23.581,205729,0
20091117,23.447,23.455,23.205,23.429,218739,0
20091118,23.519,23.519,23.259,23.393,137960,0
20091119,23.151,23.151,22.74,22.981,175609,0
20091120,22.731,22.838,22.551,22.821,126603,0
20091123,23.348,23.474,23.151,23.232,119297,0
20091124,23.259,23.259,22.955,23.098,158177,0
20091125,23.321,23.465,23.178,23.447,103614,0
20091127,22.596,22.883,22.381,22.757,175469,0
20091130,22.829,22.955,22.614,22.829,138159,0
20091201,23.295,23.527,23.223,23.483,113044,0
20091202,23.519,23.625,23.411,23.491,94720,0
20091203,23.689,23.716,23.348,23.366,78364,0
20091204,23.68,23.725,23.142,23.393,189328,0
20091207,23.357,23.411,23.178,23.214,129830,0
20091208,23.07,23.08,22.721,22.793,253655,0
20091209,22.829,22.856,22.551,22.821,142090,0
20091210,23.008,23.035,22.802,22.91,80709,0
20091211,23.035,23.035,22.829,22.919,110301,0
20091214,23.151,23.17,22.981,23.134,254780,0
20091215,22.991,23.017,22.838,22.891,168419,0
20091216,23.151,23.268,23.07,23.134,172248,0
20091217,22.847,22.847,22.507,22.542,181150,0
20091218,22.685,22.74,22.381,22.596,149440,0
20091221,22.776,22.821,22.668,22.704,131953,0
20091222,22.883,22.927,22.757,22.901,167482,0
20091223,23.017,23.035,22.838,23.017,98928,0
20091224,23.187,23.187,23.053,23.151,66080,0
20091228,23.321,23.67,23.151,23.24,135162,0
20091229,23.455,23.455,23.187,23.25,207878,0
20091230,23.161,23.17,23.017,23.17,201811,0
20091231,23.402,23.429,23.053,23.08,160191,0
